Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,114.5,110.95,112.9,111.0,3393293
2018-06-07,113.1,108.55,113.1,111.4,3383684
2018-06-08,114.05,112.4,113.05,113.4,2274883
2018-06-11,114.25,112.6,112.75,113.15,1648483
2018-06-12,113.8,112.1,112.65,113.35,1191831
2018-06-13,114.4,112.5,113.45,112.65,1548927
2018-06-14,115.7,112.7,115.4,113.3,944943
2018-06-15,116.55,114.05,114.05,115.4,1763529
2018-06-18,117.95,113.25,117.15,113.8,2421800
2018-06-19,116.75,115.55,116.0,116.7,1792379
2018-06-20,117.7,115.5,117.35,116.05,1880255
2018-06-21,118.5,116.8,117.9,117.5,1219426
2018-06-25,118.65,114.55,114.65,118.05,1994009
2018-06-26,115.6,112.85,114.3,114.0,1577329
2018-06-27,116.0,113.55,115.0,114.45,1384456
2018-06-28,118.35,114.5,115.5,114.8,1298556
2018-06-29,118.1,115.8,118.0,116.15,949892
2018-07-02,117.35,115.0,115.75,117.15,906013
2018-07-03,116.85,115.05,115.6,115.9,961158
2018-07-04,115.7,113.55,113.95,115.6,611923
2018-07-05,115.8,113.6,114.95,113.95,1113135
2018-07-06,115.9,114.55,115.05,114.9,1158588
2018-07-09,117.3,115.2,115.9,115.2,716949
2018-07-10,118.2,115.1,117.0,115.4,1238436
2018-07-11,116.85,115.4,116.85,116.1,967354
2018-07-12,120.15,116.65,120.05,116.8,1064347
2018-07-13,122.2,118.9,120.95,119.95,1010717
2018-07-16,121.9,120.25,120.65,121.0,748525
2018-07-17,121.3,119.75,120.4,121.3,929313
2018-07-18,122.15,120.7,121.35,121.0,1164980
2018-07-19,122.1,120.0,122.05,121.95,1122520
2018-07-20,124.1,122.15,124.0,122.15,777269
2018-07-23,124.2,122.65,124.1,123.7,694095
2018-07-24,126.6,123.5,126.2,124.3,624731
2018-07-25,126.75,124.9,126.3,126.15,574372
2018-07-26,127.15,125.85,127.1,126.85,925872
2018-07-27,128.25,125.7,127.65,126.95,436784
2018-07-30,127.05,125.4,125.8,127.05,617067
2018-07-31,126.0,123.15,123.45,125.9,1042066
2018-08-01,126.2,123.0,124.75,123.0,973372
2018-08-02,126.15,124.25,126.15,124.35,856984
2018-08-03,127.3,125.95,127.05,126.35,626870
2018-08-06,128.7,126.85,127.55,126.95,642573
2018-08-07,128.2,126.6,126.7,127.5,717389
2018-08-08,127.15,125.45,127.0,126.6,746270
2018-08-09,128.2,126.7,128.1,126.7,724024
2018-08-10,127.95,126.9,127.4,127.5,755269
2018-08-13,127.1,123.9,124.5,126.85,1379698
2018-08-14,126.15,123.6,124.4,125.0,2213410
2018-08-15,125.05,119.8,120.45,123.8,1846469
2018-08-16,123.15,120.6,122.6,120.6,1797516
2018-08-17,124.85,122.5,124.25,122.5,1134139
2018-08-20,125.35,123.45,123.85,124.25,922209
2018-08-21,126.15,123.3,124.8,123.3,1156598
2018-08-22,127.35,125.1,126.95,125.1,1366963
2018-08-23,128.35,125.65,126.0,126.9,1196249
2018-08-24,127.2,126.0,126.9,126.0,1135732
2018-08-27,130.35,127.25,128.3,127.25,1157701
2018-08-28,130.0,126.45,130.0,128.5,1620479
2018-08-29,130.75,129.1,129.65,129.8,1215932
2018-08-30,125.3,116.05,116.05,123.2,7310571
2018-08-31,121.65,116.4,119.55,116.7,4467712
2018-09-03,119.1,115.35,119.0,118.65,2744722
2018-09-04,119.1,115.75,118.0,119.1,3069163
2018-09-05,118.0,116.0,116.65,117.05,2657514
2018-09-06,121.3,116.9,117.0,117.0,2696903
2018-09-07,120.9,117.15,120.4,117.15,1639172
2018-09-10,120.8,119.1,119.35,120.4,1039071
2018-09-11,121.7,119.35,121.3,119.65,952442
2018-09-12,123.55,121.0,123.4,121.55,1127612
2018-09-13,124.25,121.05,123.75,123.0,2045135
2018-09-14,126.8,123.8,126.8,124.2,1534453
2018-09-17,131.35,127.85,130.45,127.85,2317576
2018-09-18,130.5,127.45,128.85,130.45,1403918
2018-09-19,129.5,126.85,127.05,129.5,1409810
2018-09-20,127.4,124.45,124.65,127.1,1327758
2018-09-21,125.45,124.0,124.0,125.4,6577931
2018-09-24,124.75,120.95,123.0,124.0,1155074
2018-09-25,124.9,122.8,124.45,123.0,1034117
2018-09-26,125.0,123.05,123.55,124.75,1222665
2018-09-27,124.4,115.05,119.65,123.25,5031750
2018-09-28,121.95,119.05,119.55,119.05,2409738
2018-10-01,121.85,118.5,118.75,121.0,2160354
2018-10-02,120.2,118.1,118.35,118.8,1603188
2018-10-03,119.55,117.9,118.3,118.5,1162019
2018-10-04,119.15,116.05,116.85,118.25,1574075
2018-10-05,118.2,116.6,117.3,116.75,1549097
2018-10-08,117.3,113.4,113.7,117.3,1041902
2018-10-09,113.8,111.35,113.2,113.6,1231088
2018-10-10,113.5,109.7,110.2,113.5,1275644
2018-10-11,110.75,107.7,109.25,108.25,1265837
2018-10-12,109.7,106.5,107.4,109.15,1429378
2018-10-15,107.3,104.25,104.6,107.25,1011717
2018-10-16,109.0,104.3,108.75,104.55,1068801
2018-10-17,109.7,106.75,108.35,109.0,1115520
2018-10-18,111.25,108.35,110.1,108.35,1048379
2018-10-19,110.45,108.4,109.4,110.1,843851
2018-10-22,110.05,108.5,108.8,109.5,719252
2018-10-23,108.4,106.05,107.0,107.2,859822
2018-10-24,111.6,106.85,109.75,107.45,1111438
2018-10-25,110.3,107.35,108.4,108.45,1021875
2018-10-26,107.5,104.85,105.75,107.35,1339309
2018-10-29,109.55,105.05,107.0,105.7,1504972
2018-10-30,108.3,105.6,107.95,106.95,1078930
2018-10-31,118.75,108.6,116.05,108.6,2696375
2018-11-01,118.0,115.25,117.0,117.7,1296105
2018-11-02,119.3,117.1,117.5,118.0,426265
2018-11-05,119.1,115.85,116.05,118.5,1125513
2018-11-06,116.3,113.4,116.25,115.7,968887
2018-11-07,117.35,114.35,116.0,117.05,638658
2018-11-08,117.15,113.05,113.35,116.05,610084
2018-11-09,114.95,112.2,112.7,112.95,841282
2018-11-12,113.0,109.1,109.45,112.8,722263
2018-11-13,109.0,105.35,106.8,109.0,1186601
2018-11-14,107.35,105.25,107.0,106.45,743826
2018-11-15,111.4,105.8,106.6,107.4,1262594
2018-11-16,109.65,106.6,108.95,106.6,882431
2018-11-19,111.1,108.15,108.55,108.9,944805
2018-11-20,107.9,100.5,103.55,107.9,1425686
2018-11-21,103.75,100.7,102.4,103.55,2124026
2018-11-22,103.0,101.05,101.45,102.25,634743
2018-11-23,102.95,100.1,102.85,100.95,688313
2018-11-26,104.05,101.0,103.2,102.85,957879
2018-11-27,106.1,101.8,102.7,103.2,1249878
2018-11-28,108.6,105.0,106.05,105.6,1846528
2018-11-29,111.65,97.12,110.8,102.6,4845472
2018-11-30,116.45,108.9,109.65,112.0,1941312
2018-12-03,113.9,110.5,110.8,110.6,1500190
2018-12-04,112.15,108.5,108.85,111.0,1384772
2018-12-05,116.1,108.6,112.6,109.0,2872490
2018-12-06,112.65,107.9,108.85,112.0,2336738
2018-12-07,116.0,108.85,114.65,108.85,2219878
2018-12-10,117.55,112.75,115.3,114.4,1573405
2018-12-11,118.1,112.5,112.9,116.0,1218391
2018-12-12,116.9,111.6,116.5,112.9,959404
2018-12-13,117.0,114.2,114.75,116.15,903928
2018-12-14,114.3,112.7,113.35,114.2,691314
2018-12-17,113.3,111.6,112.15,113.0,647963
2018-12-18,112.7,109.7,111.35,111.3,960550
2018-12-19,112.75,110.65,112.05,111.25,950642
2018-12-20,112.35,109.0,109.0,111.45,764909
2018-12-21,108.9,105.65,105.65,108.2,1807258
2018-12-27,107.6,104.35,105.4,106.15,832264
2018-12-28,107.0,104.8,105.35,105.3,717538
2019-01-02,107.0,104.1,106.3,105.05,626279
2019-01-03,105.75,102.45,102.9,105.7,994240
2019-01-04,104.55,101.85,104.15,103.2,986804
2019-01-07,107.65,104.55,107.0,104.55,658874
2019-01-08,109.9,106.35,108.45,107.1,1095647
2019-01-09,112.7,109.0,111.95,109.5,999966
2019-01-10,113.25,109.25,113.05,111.85,987345
2019-01-11,114.0,112.1,112.2,113.65,629447
2019-01-14,112.25,109.65,110.45,112.2,735162
2019-01-15,111.55,110.0,111.25,111.4,636134
2019-01-16,118.7,111.15,117.15,111.15,1194564
2019-01-17,118.2,116.0,117.7,116.8,701730
2019-01-18,119.4,117.85,119.35,118.1,801173
2019-01-21,120.25,118.5,119.0,119.35,471105
2019-01-22,120.55,119.0,120.15,119.0,898908
2019-01-23,122.8,119.15,122.45,120.0,1130742
2019-01-24,126.2,123.0,125.3,123.7,1632737
2019-01-25,126.55,122.35,122.7,125.65,820061
2019-01-28,123.3,121.45,121.5,122.7,593169
2019-01-29,123.6,120.7,122.45,121.5,661867
2019-01-30,125.25,122.6,124.0,123.05,854409
2019-01-31,125.15,120.05,120.9,124.8,1268706
2019-02-01,122.35,118.65,119.0,121.0,965932
2019-02-04,120.2,116.5,119.3,119.3,1182042
2019-02-05,121.3,118.2,120.75,119.05,1237568
2019-02-06,121.25,119.6,120.7,120.75,535468
2019-02-07,121.25,119.0,119.2,120.7,849299
2019-02-08,119.7,118.15,119.7,119.3,534515
2019-02-11,120.75,119.65,120.65,120.1,566695
2019-02-12,125.9,121.0,123.0,121.55,1430281
2019-02-13,128.25,123.6,126.55,123.6,1244856
2019-02-14,129.45,126.15,127.7,126.85,1061563
