Date,Closing price,50,200
2018-06-04,75.4,,
2018-06-05,84.0,,
2018-06-06,83.4,,
2018-06-07,77.6,,
2018-06-08,81.4,,
2018-06-11,81.4,,
2018-06-12,76.8,,
2018-06-13,75.8,,
2018-06-14,73.6,,
2018-06-15,65.8,,
2018-06-18,58.4,,
2018-06-19,64.2,,
2018-06-20,62.8,,
2018-06-21,60.6,,
2018-06-22,62.4,,
2018-06-25,56.4,,
2018-06-26,55.0,,
2018-06-27,58.6,,
2018-06-28,57.0,,
2018-06-29,58.2,,
2018-07-02,59.6,,
2018-07-03,57.0,,
2018-07-04,61.0,,
2018-07-05,63.0,,
2018-07-06,61.0,,
2018-07-09,59.4,,
2018-07-10,56.8,,
2018-07-11,53.2,,
2018-07-12,51.8,,
2018-07-13,49.8,,
2018-07-16,50.2,,
2018-07-17,49.8,,
2018-07-18,48.0,,
2018-07-19,45.0,,
2018-07-20,47.8,,
2018-07-23,44.0,,
2018-07-24,40.4,,
2018-07-25,40.6,,
2018-07-26,43.8,,
2018-07-27,41.4,,
2018-07-30,40.8,,
2018-07-31,43.8,,
2018-08-01,53.2,,
2018-08-02,48.2,,
2018-08-03,48.6,,
2018-08-06,45.2,,
2018-08-07,42.8,,
2018-08-08,41.0,,
2018-08-09,42.6,,
2018-08-10,43.0,,
2018-08-13,41.4,,
2018-08-14,40.6,,
2018-08-15,39.2,,
2018-08-16,36.8,,
2018-08-17,33.9,,
2018-08-20,33.2,,
2018-08-21,33.8,,
2018-08-22,34.0,,
2018-08-23,36.5,,
2018-08-24,35.2,,
2018-08-27,34.4,,
2018-08-28,34.4,,
2018-08-29,38.5,,
2018-08-30,42.4,,
2018-08-31,37.3,,
2018-09-03,41.2,,
2018-09-04,40.8,,
2018-09-05,48.8,,
2018-09-06,45.2,,
2018-09-07,44.8,,
2018-09-10,45.2,,
2018-09-11,45.0,,
2018-09-12,42.4,,
2018-09-13,44.4,,
2018-09-14,44.4,,
2018-09-17,42.4,,
2018-09-18,41.4,,
2018-09-19,41.4,,
2018-09-20,42.0,,
2018-09-21,39.7,,
2018-09-24,40.6,,
2018-09-25,39.3,,
2018-09-26,39.2,,
2018-09-27,38.0,,
2018-09-28,39.7,,
2018-10-01,38.4,,
2018-10-02,39.6,,
2018-10-03,35.7,,
2018-10-04,36.2,,
2018-10-05,35.9,,
2018-10-08,34.1,,
2018-10-09,34.4,,
2018-10-10,34.7,,
2018-10-11,33.1,,
2018-10-12,33.2,,
2018-10-15,33.4,,
2018-10-16,32.4,,
2018-10-17,32.0,,
2018-10-18,30.4,,
2018-10-19,30.8,,
2018-10-22,30.8,,
2018-10-23,28.8,,
2018-10-24,29.8,,
2018-10-25,30.3,,
2018-10-26,29.8,,
2018-10-29,32.8,,
2018-10-30,32.0,,
2018-10-31,31.5,,
2018-11-01,31.6,,
2018-11-02,34.0,,
2018-11-05,36.0,,
2018-11-06,34.4,,
2018-11-07,35.1,,
2018-11-08,39.4,,
2018-11-09,38.8,,
2018-11-12,35.4,,
2018-11-13,32.4,,
2018-11-14,32.1,,
2018-11-15,32.0,,
2018-11-16,32.1,,
2018-11-19,29.8,,
2018-11-20,26.8,,
2018-11-21,27.4,,
2018-11-22,27.8,,
2018-11-23,23.8,,
2018-11-26,23.4,,
2018-11-27,22.4,,
2018-11-28,23.2,,
2018-11-29,23.4,,
2018-11-30,19.76,,
2018-12-03,18.28,,
2018-12-04,19.36,,
2018-12-05,18.6,,
2018-12-06,17.6,,
2018-12-07,18.16,,
2018-12-10,18.6,,
2018-12-11,15.68,,
2018-12-12,16.6,,
2018-12-13,16.56,,
2018-12-14,16.8,,
2018-12-17,16.28,,
2018-12-18,16.12,,
2018-12-19,14.6,,
2018-12-20,12.76,,
2018-12-21,11.48,,
2018-12-27,12.56,,
2018-12-28,12.4,,
2019-01-02,13.0,,
2019-01-03,14.4,,
2019-01-04,14.0,,
2019-01-07,16.0,,
2019-01-08,15.0,,
2019-01-09,14.68,,
2019-01-10,14.6,,
2019-01-11,14.8,,
2019-01-14,14.64,,
2019-01-15,14.24,,
2019-01-16,14.68,,
2019-01-17,14.4,,
2019-01-18,15.16,,
2019-01-21,14.2,,
2019-01-22,13.92,,
2019-01-23,14.84,,
2019-01-24,14.88,,
2019-01-25,14.64,,
2019-01-28,13.96,,
2019-01-29,14.48,,
2019-01-30,14.12,,
2019-01-31,14.28,,
2019-02-01,14.2,,
2019-02-04,14.64,,
2019-02-05,14.56,,
2019-02-06,14.32,,
2019-02-07,14.2,,
2019-02-08,14.0,,
2019-02-11,14.2,,
2019-02-12,14.12,,
2019-02-13,13.8,,
2019-02-14,13.6,,
2019-02-15,13.6,,
2019-02-18,13.6,,
2019-02-19,12.68,,
2019-02-20,12.0,,
2019-02-21,11.8,,
2019-02-22,12.6,,
2019-02-25,12.4,,
2019-02-26,11.88,,
2019-02-27,11.84,,
2019-02-28,11.12,,
2019-03-01,10.72,,
2019-03-04,10.96,,
2019-03-05,10.8,,
2019-03-06,11.48,,
2019-03-07,10.12,,
2019-03-08,10.4,,
2019-03-11,10.08,,
2019-03-12,9.28,,
2019-03-13,8.98,,
2019-03-14,8.64,,
2019-03-15,7.66,,
2019-03-18,8.38,,
2019-03-19,7.26,,
2019-03-20,6.82,,
2019-03-21,7.42,,
2019-03-22,6.74,,
2019-03-25,6.34,,
2019-03-26,5.68,,
2019-03-27,5.5,,
2019-03-28,5.4,,
2019-03-29,5.34,,
2019-04-01,5.592,,
2019-04-02,5.584,,
2019-04-03,5.2,,
2019-04-04,5.216,,
2019-04-05,4.676,,
2019-04-08,4.796,,
2019-04-09,5.204,,
2019-04-10,6.28,,
2019-04-11,6.14,,
2019-04-12,6.028,,
2019-04-15,6.36,,
2019-04-16,5.78,,
2019-04-17,5.556,,
2019-04-18,5.556,,
2019-04-23,5.024,,
2019-04-24,5.304,,
2019-04-25,5.03,,
2019-04-26,4.75,,
2019-04-29,4.5,,
2019-04-30,4.488,,
2019-05-02,4.214,,
2019-05-03,4.45,,
2019-05-06,4.14,,
2019-05-07,3.8,,
2019-05-08,3.606,,
2019-05-09,3.558,,
2019-05-10,3.678,,
2019-05-13,3.35,,
2019-05-14,3.368,,
2019-05-15,4.0,,
2019-05-16,4.78,6.0465599999999995,22.037940000000003
2019-05-20,5.015,5.930859999999999,21.844015
2019-05-21,4.38,5.788859999999999,21.599915
2019-05-22,4.1,5.668459999999999,21.379415000000005
2019-05-23,4.0,5.5404599999999995,21.156415000000003
2019-05-24,4.058,5.420019999999999,20.950705000000003
2019-05-27,3.71,5.308620000000001,20.755255000000002
2019-05-28,3.65,5.20202,20.568505000000002
2019-05-29,3.748,5.1041799999999995,20.374245000000002
2019-05-31,3.4,5.01898,20.176245
