Date,High,Low,Close,Open,Volume
2020-01-02,42.85,40.0,42.0,40.5,27566
2020-01-03,41.95,40.55,41.4,41.95,21212
2020-01-07,42.15,39.6,41.0,41.0,20749
2020-01-08,43.0,39.4,41.4,41.0,51801
2020-01-09,41.75,39.4,40.0,40.25,36274
2020-01-10,41.05,39.7,39.95,40.0,4499
2020-01-13,40.2,38.65,40.1,39.45,17260
2020-01-14,40.35,39.05,39.25,40.1,4844
2020-01-15,39.95,39.0,39.95,39.6,7163
2020-01-16,41.4,40.0,41.0,40.35,25528
2020-01-17,41.75,40.05,40.7,41.75,9907
2020-01-20,41.2,39.6,40.0,40.7,6070
2020-01-21,41.4,39.4,39.85,40.0,17738
2020-01-22,40.8,39.15,40.8,39.25,3943
2020-01-23,40.85,39.25,40.5,40.0,4273
2020-01-24,42.2,39.0,40.35,40.5,15394
2020-01-27,40.35,37.55,38.35,40.35,19102
2020-01-28,40.35,38.4,39.8,38.4,2832
2020-01-29,39.8,39.2,39.7,39.8,4451
2020-01-30,39.95,37.1,38.0,39.95,19024
2020-01-31,41.2,38.65,39.9,38.75,36682
2020-02-03,43.0,38.55,40.45,38.7,23020
2020-02-04,52.7,40.45,51.4,40.45,75790
2020-02-05,55.6,45.25,45.25,51.9,60753
2020-02-06,48.9,45.25,46.0,45.25,9443
2020-02-07,49.05,42.15,46.0,46.0,28165
2020-02-10,48.45,42.95,43.95,46.0,15754
2020-02-11,45.5,43.95,44.55,43.95,8543
2020-02-12,51.5,44.75,46.0,45.0,11562
2020-02-13,48.05,44.3,46.55,46.0,11361
2020-02-14,48.65,45.1,45.1,46.55,5147
2020-02-17,47.0,44.0,45.75,45.1,15764
2020-02-18,47.95,45.5,45.75,45.75,9139
2020-02-19,46.55,44.7,45.35,45.8,14066
2020-02-20,44.85,43.2,43.7,44.15,9464
2020-02-21,44.0,41.55,41.9,43.7,9735
2020-02-24,42.25,40.0,40.55,41.9,15787
2020-02-25,44.0,40.85,41.5,40.85,10934
2020-02-26,41.5,37.55,40.35,41.5,20774
2020-02-27,40.7,37.0,37.5,39.9,19338
2020-02-28,37.0,32.0,36.6,36.9,16798
2020-03-02,41.8,35.5,36.35,37.3,21814
2020-03-03,39.2,36.35,37.45,36.35,10657
2020-03-04,38.15,36.7,37.5,37.5,3144
2020-03-05,38.3,36.6,36.95,38.15,10388
2020-03-06,37.05,35.75,36.9,37.05,20252
2020-03-09,36.0,33.3,35.0,36.0,7796
2020-03-10,36.0,31.0,32.05,34.0,26304
2020-03-11,39.5,32.0,33.3,32.0,33796
2020-03-12,33.2,28.0,29.0,33.2,25532
2020-03-13,31.95,25.7,29.3,29.0,30284
2020-03-16,29.0,25.0,26.45,29.0,17233
2020-03-17,28.0,24.55,26.45,26.45,5134
2020-03-18,27.0,25.5,26.5,25.55,15130
2020-03-19,29.0,25.5,29.0,27.0,16090
2020-03-20,29.6,26.5,27.0,26.9,14747
2020-03-23,27.75,22.55,26.8,26.5,15765
2020-03-24,29.5,25.55,27.8,25.55,9557
2020-03-25,29.95,27.15,28.1,27.85,18064
2020-03-26,28.2,25.5,27.9,27.75,17428
2020-03-27,28.05,27.0,27.0,28.05,20865
2020-03-30,28.2,26.0,27.7,26.9,5242
2020-03-31,28.15,26.85,28.15,27.7,11577
2020-04-01,28.7,27.6,28.7,28.2,2035
2020-04-02,28.5,27.45,27.95,28.5,6257
2020-04-03,29.05,27.75,28.25,28.0,8836
2020-04-06,30.8,29.0,30.0,29.95,13598
