Date,High,Low,Close,Open,Volume
2020-01-02,87.3,85.5,87.3,85.5,38316
2020-01-03,87.4,85.6,86.3,87.4,39887
2020-01-07,87.0,85.1,86.1,86.2,60372
2020-01-08,86.8,85.3,85.9,86.1,53041
2020-01-09,87.6,86.6,86.7,86.9,42119
2020-01-10,88.0,84.8,85.7,88.0,47874
2020-01-13,88.5,86.4,87.1,86.4,106827
2020-01-14,87.7,85.6,86.0,87.7,58727
2020-01-15,86.8,85.2,86.8,86.0,30168
2020-01-16,90.2,87.2,90.2,88.0,94038
2020-01-17,90.6,89.3,90.1,90.0,50567
2020-01-20,90.0,88.4,89.4,90.0,24288
2020-01-21,89.4,87.5,88.3,89.4,43128
2020-01-22,89.7,88.5,89.7,88.9,31706
2020-01-23,90.2,88.5,88.7,90.0,36049
2020-01-24,85.4,80.0,84.7,83.4,242498
2020-01-27,86.1,84.1,84.5,85.4,97495
2020-01-28,85.7,83.4,84.5,84.6,53440
2020-01-29,84.9,83.5,83.5,84.5,41503
2020-01-30,82.6,81.5,81.5,82.6,31685
2020-01-31,81.5,80.5,81.1,81.5,52540
2020-02-03,81.9,80.1,81.1,81.0,62282
2020-02-04,82.3,80.9,82.2,81.1,39411
2020-02-05,82.4,81.0,81.0,82.2,33506
2020-02-06,82.9,81.6,82.7,82.0,27320
2020-02-07,89.8,84.1,89.8,84.2,266091
2020-02-10,91.7,89.9,89.9,90.4,121590
2020-02-11,95.7,90.6,95.3,90.6,134868
2020-02-12,95.5,93.9,94.6,95.0,55817
2020-02-13,95.1,93.0,95.0,94.4,68426
2020-02-14,95.2,94.3,94.3,95.0,34878
2020-02-17,96.1,94.7,95.4,95.0,45641
2020-02-18,95.2,94.2,94.6,95.0,33282
2020-02-19,94.6,92.9,94.1,93.5,87124
2020-02-20,94.1,92.4,92.4,94.1,31177
2020-02-21,92.5,90.6,90.8,92.2,39242
2020-02-24,90.0,86.2,87.4,90.0,84953
2020-02-25,88.4,85.4,85.4,87.4,37440
2020-02-26,86.4,82.0,85.4,84.9,89690
2020-02-27,84.6,80.3,81.8,83.5,91553
2020-02-28,80.2,77.8,78.5,79.0,84136
2020-03-02,81.1,77.1,78.1,78.5,99800
2020-03-03,80.5,78.5,78.5,79.5,95334
2020-03-04,81.1,78.5,80.5,78.5,50534
2020-03-05,81.6,77.9,78.7,80.5,76375
2020-03-06,77.8,74.8,76.1,77.8,75305
2020-03-09,74.7,70.4,73.8,74.0,122176
2020-03-10,77.4,73.5,74.0,73.9,82615
2020-03-11,76.0,72.5,72.5,74.0,51951
2020-03-12,69.9,65.5,65.7,68.8,154443
2020-03-13,73.6,65.5,69.5,65.7,126999
2020-03-16,69.2,64.1,67.5,66.8,123228
2020-03-17,73.1,67.2,72.6,67.5,50571
2020-03-18,76.8,69.8,74.3,71.8,84066
2020-03-19,78.6,72.9,78.4,74.8,66904
2020-03-20,81.0,77.4,78.0,79.8,111987
2020-03-23,78.8,72.6,73.3,74.5,92467
2020-03-24,77.5,74.7,76.7,75.4,86771
2020-03-25,80.4,75.4,77.7,78.6,62544
2020-03-26,77.1,74.2,75.5,77.1,49016
2020-03-27,77.2,73.8,74.1,76.9,54179
2020-03-30,78.9,73.2,78.5,74.5,54499
2020-03-31,83.8,79.3,81.0,81.2,125602
2020-04-01,81.5,77.4,80.4,79.1,41466
2020-04-02,82.4,79.5,80.6,82.0,51017
2020-04-03,81.3,79.8,79.8,80.6,31919
2020-04-06,82.9,80.3,82.3,80.3,35161
2020-04-07,83.6,81.3,82.8,83.3,72843
2020-04-08,85.5,82.0,85.5,82.0,41721
2020-04-09,86.1,83.1,83.4,86.1,36143
2020-04-14,87.2,84.5,86.3,84.7,55925
2020-04-15,88.4,85.9,87.8,86.3,78836
2020-04-16,90.0,87.8,89.9,87.8,54148
2020-04-17,92.8,90.0,92.5,90.0,47214
2020-04-20,94.0,91.0,92.1,94.0,54228
2020-04-21,92.1,87.5,87.5,92.1,31613
2020-04-22,93.3,89.8,91.5,90.1,80118
2020-04-23,92.2,89.1,90.9,91.6,30740
2020-04-24,90.6,87.6,88.4,90.2,78103
2020-04-27,90.6,88.7,90.6,89.1,30076
2020-04-28,90.3,88.4,88.6,90.0,48500
2020-04-29,90.5,88.7,89.8,89.3,48430
2020-04-30,92.7,90.1,92.5,90.1,35673
2020-05-04,90.6,88.0,88.0,90.5,105153
2020-05-05,90.0,88.5,89.6,88.5,18143
2020-05-06,90.9,89.1,89.5,90.0,46877
2020-05-07,90.1,89.2,89.4,89.8,12032
2020-05-08,91.5,90.0,90.2,90.0,32569
2020-05-11,92.0,90.1,90.6,90.7,27487
2020-05-12,92.3,90.6,91.8,90.9,24726
2020-05-13,92.4,89.3,89.3,92.4,27632
2020-05-14,89.5,85.6,86.7,89.5,40811
2020-05-15,89.2,85.8,88.5,86.1,24467
2020-05-18,91.3,89.2,91.3,89.9,26936
2020-05-19,92.4,90.1,91.4,91.7,50955
2020-05-20,92.3,90.6,91.0,92.0,22020
2020-05-22,92.5,89.8,92.0,91.5,22527
2020-05-25,94.6,92.4,93.7,92.4,63779
2020-05-26,94.8,92.4,92.4,94.6,32788
2020-05-27,93.2,90.7,91.0,92.5,35725
2020-05-28,94.0,91.2,94.0,91.3,20988
2020-05-29,94.1,91.7,93.1,94.1,31167
2020-06-01,94.5,92.8,93.4,93.1,12700
2020-06-02,96.0,93.5,96.0,94.2,30325
2020-06-03,99.4,96.2,99.4,96.5,50140
2020-06-04,100.6,96.5,96.7,99.8,40659
2020-06-05,99.4,96.2,97.3,97.4,29988
2020-06-08,97.4,94.5,95.2,97.3,77690
2020-06-09,95.8,93.6,93.6,94.7,48169
2020-06-10,95.8,93.6,94.6,93.6,24705
2020-06-11,94.5,91.1,91.2,94.3,27636
2020-06-12,92.9,90.0,92.4,90.0,27103
2020-06-15,92.2,89.4,91.4,90.7,32758
2020-06-16,95.0,92.9,95.0,93.1,18511
2020-06-17,95.6,94.5,94.5,95.0,13770
2020-06-18,95.2,93.9,95.2,94.6,19706
2020-06-22,95.3,93.4,94.9,94.2,19425
2020-06-23,95.7,93.9,94.2,94.9,10340
2020-06-24,94.3,92.3,92.7,94.2,15049
2020-06-25,93.4,91.7,93.4,92.7,10642
2020-06-26,96.4,94.7,94.7,95.0,39157
2020-06-29,95.2,93.1,93.8,93.1,25540
2020-06-30,94.6,92.7,92.7,93.9,63221
2020-07-01,94.7,92.5,94.7,94.7,33433
2020-07-02,94.8,93.1,94.6,93.8,39573
2020-07-03,95.2,94.0,94.8,94.6,12486
2020-07-06,100.0,95.2,100.0,95.2,58179
2020-07-07,99.6,95.0,96.1,99.6,72810
2020-07-08,95.8,94.3,94.3,95.0,26463
2020-07-09,94.8,93.3,93.5,94.3,32436
2020-07-10,95.3,93.5,93.6,94.9,7259
2020-07-13,95.7,93.7,95.5,94.3,20469
2020-07-14,96.7,93.6,95.8,93.8,39744
2020-07-15,98.0,96.0,97.0,96.0,29649
2020-07-16,97.6,95.8,95.8,97.4,32060
2020-07-17,106.6,99.6,105.8,99.6,104759
2020-07-20,111.4,106.0,111.4,106.0,93654
2020-07-21,114.8,111.6,112.2,111.6,93286
2020-07-22,114.0,111.0,111.2,113.0,67588
2020-07-23,114.2,111.6,113.8,111.6,59676
