Date,High,Low,Close,Open,Volume
2020-01-02,6.74,6.52,6.72,6.68,50073
2020-01-03,6.76,6.48,6.54,6.74,55301
2020-01-07,6.58,6.28,6.4,6.5,17130
2020-01-08,6.4,6.2,6.4,6.38,13811
2020-01-09,6.52,6.36,6.52,6.4,13761
2020-01-10,6.54,6.34,6.48,6.54,4151
2020-01-13,6.52,6.4,6.44,6.5,8597
2020-01-14,6.54,6.42,6.44,6.46,6177
2020-01-15,6.5,6.42,6.48,6.5,8988
2020-01-16,6.56,6.48,6.56,6.5,15748
2020-01-17,6.66,6.52,6.6,6.58,19321
2020-01-20,6.66,6.56,6.64,6.6,9105
2020-01-21,6.66,6.52,6.54,6.66,13057
2020-01-22,6.66,6.58,6.64,6.6,11824
2020-01-23,6.64,6.5,6.5,6.62,14613
2020-01-24,6.62,6.48,6.52,6.62,6342
2020-01-27,6.48,6.2,6.26,6.48,38981
2020-01-28,6.4,6.24,6.36,6.24,20749
2020-01-29,6.36,6.24,6.26,6.3,10420
2020-01-30,6.3,6.14,6.24,6.26,10218
2020-01-31,6.38,6.24,6.28,6.24,13240
2020-02-03,6.18,6.02,6.02,6.1,29973
2020-02-04,6.34,6.12,6.2,6.12,20847
2020-02-05,6.3,6.2,6.22,6.2,31568
2020-02-06,6.38,6.14,6.24,6.32,31045
2020-02-07,6.38,6.22,6.32,6.28,19160
2020-02-10,6.36,6.18,6.26,6.32,29232
2020-02-11,6.3,6.18,6.3,6.26,9838
2020-02-12,6.38,6.26,6.3,6.3,12399
2020-02-13,6.38,6.2,6.34,6.34,19315
2020-02-14,6.46,6.36,6.42,6.4,18044
2020-02-17,6.66,6.42,6.56,6.46,61438
2020-02-18,6.14,5.7,6.12,6.0,141201
2020-02-19,6.32,6.2,6.2,6.26,51889
2020-02-20,6.26,6.14,6.14,6.2,14409
2020-02-21,6.14,5.8,5.94,6.14,28806
2020-02-24,5.74,5.46,5.54,5.7,83602
2020-02-25,5.72,5.3,5.34,5.54,56630
2020-02-26,5.42,5.0,5.38,5.34,119760
2020-02-27,5.48,5.24,5.36,5.38,17652
2020-02-28,5.3,5.08,5.2,5.3,34360
2020-03-02,5.48,5.16,5.22,5.2,32110
2020-03-03,5.42,5.26,5.34,5.28,34368
2020-03-04,5.3,5.14,5.22,5.26,20256
2020-03-05,5.26,5.0,5.1,5.2,33065
2020-03-06,5.08,4.86,4.99,5.08,30097
2020-03-09,4.8,4.55,4.6,4.78,57780
2020-03-10,4.74,4.54,4.59,4.61,33986
2020-03-11,4.6,4.31,4.37,4.6,36302
2020-03-12,4.25,3.91,3.95,4.1,71299
2020-03-13,4.35,3.9,3.95,3.93,53502
2020-03-16,3.82,3.56,3.79,3.82,30220
2020-03-17,3.9,3.64,3.89,3.79,44261
2020-03-18,3.9,3.71,3.75,3.9,22452
2020-03-19,3.8,3.6,3.72,3.72,24164
2020-03-20,3.99,3.77,3.88,3.8,46240
2020-03-23,3.77,3.4,3.62,3.77,30588
2020-03-24,3.87,3.69,3.76,3.69,24110
2020-03-25,4.15,3.8,3.86,3.85,42144
2020-03-26,3.86,3.77,3.82,3.86,11282
2020-03-27,3.85,3.71,3.83,3.85,11802
2020-03-30,3.85,3.7,3.75,3.85,5952
2020-03-31,3.98,3.76,3.98,3.76,16680
2020-04-01,3.97,3.87,3.96,3.97,18777
2020-04-02,4.39,3.93,4.0,3.99,31853
2020-04-03,4.07,3.95,3.97,4.0,18153
2020-04-06,4.2,4.0,4.03,4.05,20952
2020-04-07,4.39,4.15,4.23,4.24,29212
2020-04-08,4.36,4.2,4.25,4.25,18795
2020-04-09,4.54,4.31,4.4,4.35,17566
2020-04-14,4.55,4.46,4.49,4.46,12562
2020-04-15,4.5,4.36,4.37,4.5,20239
2020-04-16,4.37,4.19,4.29,4.3,11564
2020-04-17,4.35,4.22,4.3,4.29,13964
2020-04-20,4.38,4.28,4.33,4.35,5788
2020-04-21,4.31,4.18,4.18,4.31,5973
2020-04-22,4.31,4.24,4.31,4.29,5025
2020-04-23,4.42,4.31,4.38,4.31,4581
2020-04-24,4.45,4.16,4.36,4.35,13317
2020-04-27,4.5,4.39,4.42,4.48,14494
2020-04-28,4.6,4.48,4.58,4.5,6650
2020-04-29,4.6,4.5,4.54,4.59,24928
2020-04-30,4.79,4.57,4.7,4.58,19823
2020-05-04,4.7,4.4,4.42,4.7,16991
2020-05-05,4.58,4.44,4.57,4.44,12877
2020-05-06,4.95,4.68,4.8,4.73,36072
2020-05-07,4.88,4.71,4.86,4.84,10558
