Date,High,Low,Close,Open,Volume
2020-01-02,443.6,434.4,442.8,435.8,279641
2020-01-03,444.2,438.4,443.8,442.8,245581
2020-01-07,445.4,438.2,443.8,443.8,315226
2020-01-08,443.8,435.6,443.0,443.8,302097
2020-01-09,448.0,441.2,448.0,444.6,268278
2020-01-10,453.0,444.8,448.2,450.0,242148
2020-01-13,455.4,448.6,454.4,448.6,251765
2020-01-14,460.6,451.4,460.2,454.8,329340
2020-01-15,457.0,443.2,444.0,456.0,653482
2020-01-16,453.4,444.0,453.0,444.0,465478
2020-01-17,458.6,451.6,456.4,454.4,274728
2020-01-20,458.2,453.4,454.4,457.8,205393
2020-01-21,453.8,446.0,449.6,453.8,303383
2020-01-22,452.4,445.8,449.0,450.0,261160
2020-01-23,448.6,440.0,447.0,443.8,588432
2020-01-24,457.8,445.0,457.2,446.0,270470
2020-01-27,455.0,448.2,448.2,454.2,458630
2020-01-28,454.2,445.6,448.2,449.0,317855
2020-01-29,456.4,448.6,455.6,448.6,423466
2020-01-30,456.2,452.0,454.6,455.2,229865
2020-01-31,460.8,454.6,457.4,454.6,260838
2020-02-03,461.6,456.2,461.0,457.0,328388
2020-02-04,469.6,461.0,469.6,461.0,256175
2020-02-05,474.8,465.2,474.0,469.6,407312
2020-02-06,476.0,468.6,473.8,476.0,327170
2020-02-07,477.6,473.0,476.4,474.6,290133
2020-02-10,481.6,474.2,480.2,477.0,173269
2020-02-11,489.0,481.8,487.2,482.6,257965
2020-02-12,487.0,480.4,483.8,486.0,319126
2020-02-13,499.0,481.0,498.4,483.8,402103
2020-02-14,509.5,499.4,507.0,499.4,264942
2020-02-17,513.5,505.0,511.0,507.0,229252
2020-02-18,522.0,508.0,515.0,510.0,311753
2020-02-19,534.0,515.0,533.0,515.0,349485
2020-02-20,541.0,527.0,530.5,534.0,330715
2020-02-21,536.0,524.5,530.0,528.5,286563
2020-02-24,526.5,514.5,520.0,526.0,411604
2020-02-25,530.0,511.5,512.0,520.0,458825
2020-02-26,514.5,488.2,510.5,507.0,693105
2020-02-27,510.5,481.8,486.8,510.5,786688
2020-02-28,469.8,449.2,451.8,458.0,1344699
2020-03-02,467.0,439.8,444.4,459.0,906434
2020-03-03,479.2,449.6,474.8,452.0,836313
2020-03-04,490.2,466.8,487.4,474.8,660976
2020-03-05,495.6,482.2,487.8,492.2,568286
2020-03-06,481.4,461.2,471.8,481.4,699693
2020-03-09,449.8,424.6,433.0,448.0,1233190
2020-03-10,450.0,412.8,417.0,434.0,943238
2020-03-11,428.0,404.6,405.0,418.4,860716
2020-03-12,385.6,334.6,338.4,380.0,1458597
2020-03-13,357.0,319.4,324.4,342.8,1349802
2020-03-16,308.8,268.8,286.0,308.8,1781815
2020-03-17,298.8,248.2,266.4,290.0,2120654
2020-03-18,258.4,231.4,256.6,258.4,2008840
2020-03-19,293.8,257.0,287.0,257.0,1626248
2020-03-20,325.4,284.2,292.8,303.6,1501061
2020-03-23,290.2,266.2,276.6,277.0,1402035
2020-03-24,308.4,285.0,305.0,298.2,1225458
2020-03-25,332.0,307.2,329.0,322.6,1248164
2020-03-26,357.4,314.0,353.0,325.0,1322253
2020-03-27,353.0,335.2,342.4,353.0,895033
2020-03-30,350.8,328.8,339.0,347.0,818144
2020-03-31,361.4,338.4,357.0,348.2,1302063
2020-04-01,347.2,330.3,333.0,346.2,890373
2020-04-02,337.2,315.0,318.5,334.6,1150403
2020-04-03,322.5,313.1,316.5,320.0,661385
2020-04-06,333.4,314.5,330.4,327.7,780698
2020-04-07,360.5,340.0,352.2,340.0,996799
2020-04-08,362.9,346.5,361.2,350.8,694799
2020-04-09,381.1,365.0,380.0,365.0,663620
2020-04-14,392.1,372.5,379.9,390.0,855544
2020-04-15,382.1,367.7,372.5,382.0,972744
2020-04-16,382.7,352.0,353.0,375.0,1146259
2020-04-17,369.7,356.2,366.0,361.0,748620
2020-04-20,372.3,358.8,365.5,367.0,400530
2020-04-21,365.7,357.0,362.3,363.0,630191
2020-04-22,369.9,358.3,358.9,362.4,556506
2020-04-23,369.8,355.9,367.0,359.3,466125
2020-04-24,379.4,359.6,379.4,366.6,675598
2020-04-27,388.8,374.8,377.4,383.2,582523
2020-04-28,387.5,376.5,379.8,378.0,461358
2020-04-29,382.8,371.6,382.2,382.8,721983
2020-04-30,392.2,383.0,386.0,384.6,437073
2020-05-04,379.0,363.0,370.0,377.6,632229
2020-05-05,383.1,373.4,377.5,375.5,490640
2020-05-06,380.0,373.0,373.9,377.9,426228
2020-05-07,391.0,370.9,389.4,372.9,496568
2020-05-08,408.3,390.0,407.4,395.9,819219
2020-05-11,415.8,381.7,394.5,411.0,986162
2020-05-12,397.0,381.6,386.4,394.5,597757
2020-05-13,379.0,355.0,361.4,378.4,1436907
2020-05-14,357.6,339.1,343.1,357.4,716143
2020-05-15,357.3,343.5,352.8,346.5,707233
2020-05-18,369.1,355.7,368.4,357.8,382526
2020-05-19,383.0,362.9,377.0,372.3,677063
2020-05-20,385.4,371.7,379.3,377.7,242931
2020-05-22,377.8,366.9,374.1,377.6,387185
2020-05-25,387.5,373.8,386.7,375.1,456136
2020-05-26,391.4,378.5,379.0,388.5,408338
2020-05-27,384.0,373.4,376.5,379.0,464781
2020-05-28,393.1,378.5,386.7,380.0,725306
2020-05-29,384.6,367.6,384.6,376.4,1323080
2020-06-01,392.0,375.3,382.6,388.2,404988
