Date,High,Low,Close,Open,Volume
2020-01-02,39.6,39.6,39.6,39.6,0
2020-01-03,39.6,39.6,39.6,39.6,0
2020-01-06,39.6,39.6,39.6,39.6,0
2020-01-07,39.6,39.6,39.6,39.6,0
2020-01-08,41.6,41.6,41.6,41.6,500
2020-01-09,41.6,41.6,41.6,41.6,0
2020-01-10,41.6,41.6,41.6,41.6,0
2020-01-13,41.0,40.0,41.0,40.0,1000
2020-01-14,41.0,41.0,41.0,41.0,0
2020-01-15,35.4,35.4,35.4,35.4,600
2020-01-16,36.4,35.6,35.6,35.6,1584
2020-01-17,38.4,36.0,36.6,36.0,1910
2020-01-20,36.8,36.8,36.8,36.8,500
2020-01-21,36.8,36.8,36.8,36.8,0
2020-01-22,39.8,39.8,39.8,39.8,375
2020-01-23,36.2,36.2,36.2,36.2,6
2020-01-24,36.2,36.2,36.2,36.2,0
2020-01-27,36.8,36.8,36.8,36.8,728
2020-01-28,36.8,36.8,36.8,36.8,0
2020-01-29,36.8,36.8,36.8,36.8,172
2020-01-30,39.6,37.0,37.0,38.8,1662
2020-01-31,39.6,36.6,39.6,36.8,938
2020-02-03,39.6,39.6,39.6,39.6,82
2020-02-04,39.6,39.6,39.6,39.6,0
2020-02-05,39.6,39.6,39.6,39.6,0
2020-02-06,39.6,39.6,39.6,39.6,0
2020-02-07,39.6,39.6,39.6,39.6,0
2020-02-10,39.6,34.2,34.2,39.6,900
2020-02-11,36.8,31.4,31.4,34.6,9922
2020-02-12,35.8,35.0,35.8,35.4,2461
2020-02-13,36.0,35.4,36.0,35.8,862
2020-02-14,38.4,37.6,38.4,37.6,950
2020-02-17,38.2,35.0,38.0,35.0,1790
2020-02-18,38.0,38.0,38.0,38.0,0
2020-02-19,38.2,38.0,38.2,38.0,1138
2020-02-20,38.2,38.2,38.2,38.2,69
2020-02-21,38.2,38.2,38.2,38.2,227
2020-02-24,38.2,38.0,38.0,38.2,492
2020-02-25,37.0,35.4,35.4,37.0,823
2020-02-26,36.2,36.0,36.2,36.0,725
2020-02-27,34.8,34.8,34.8,34.8,94
2020-02-28,35.0,34.4,35.0,34.4,1105
2020-03-02,35.0,35.0,35.0,35.0,0
2020-03-03,35.0,35.0,35.0,35.0,0
2020-03-04,35.0,35.0,35.0,35.0,93
2020-03-05,35.0,35.0,35.0,35.0,0
2020-03-06,34.6,34.6,34.6,34.6,200
2020-03-09,34.6,31.0,31.0,34.6,4045
2020-03-10,31.0,31.0,31.0,31.0,0
2020-03-11,31.0,31.0,31.0,31.0,0
2020-03-12,30.0,30.0,30.0,30.0,400
2020-03-13,30.0,30.0,30.0,30.0,0
2020-03-16,30.0,30.0,30.0,30.0,80
2020-03-17,30.0,30.0,30.0,30.0,520
2020-03-18,30.0,30.0,30.0,30.0,157
2020-03-19,30.0,30.0,30.0,30.0,0
2020-03-20,30.0,30.0,30.0,30.0,0
2020-03-23,29.0,29.0,29.0,29.0,23
2020-03-24,29.0,29.0,29.0,29.0,0
2020-03-25,28.6,28.6,28.6,28.6,50
2020-03-26,28.6,28.6,28.6,28.6,0
2020-03-27,28.6,28.6,28.6,28.6,0
2020-03-30,28.6,28.6,28.6,28.6,0
2020-03-31,32.0,32.0,32.0,32.0,311
2020-04-01,29.4,29.4,29.4,29.4,234
2020-04-02,32.0,31.0,32.0,32.0,623
2020-04-03,32.0,32.0,32.0,32.0,0
2020-04-06,32.2,32.0,32.2,32.0,550
2020-04-07,32.2,32.2,32.2,32.2,0
2020-04-08,34.0,33.0,33.0,33.0,922
2020-04-09,33.0,33.0,33.0,33.0,0
2020-04-14,34.0,33.0,34.0,33.0,426
2020-04-15,34.0,32.0,32.0,34.0,1217
2020-04-16,33.0,33.0,33.0,33.0,622
2020-04-17,33.0,33.0,33.0,33.0,0
