Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,19.9,19.54,19.82,19.62,43421
2018-06-06,19.88,19.6,19.86,19.7,90734
2018-06-07,20.0,19.64,19.68,19.9,8837
2018-06-08,19.98,19.58,19.72,19.82,5545
2018-06-11,19.86,19.5,19.66,19.7,5187
2018-06-12,19.8,19.54,19.74,19.7,6640
2018-06-13,19.92,19.64,19.72,19.76,8354
2018-06-14,19.8,19.6,19.64,19.72,2927
2018-06-15,19.64,19.18,19.5,19.64,19307
2018-06-18,19.66,19.12,19.24,19.66,10997
2018-06-19,19.28,19.02,19.06,19.22,15312
2018-06-20,19.86,19.08,19.5,19.08,13457
2018-06-21,19.76,19.22,19.22,19.52,4874
2018-06-25,19.54,19.08,19.54,19.24,9793
2018-06-26,19.46,19.14,19.18,19.4,4602
2018-06-27,19.36,19.12,19.18,19.36,3474
2018-06-28,19.36,19.18,19.32,19.18,7005
2018-06-29,19.38,19.22,19.38,19.38,5900
2018-07-02,19.38,19.14,19.3,19.22,8166
2018-07-03,19.32,19.1,19.26,19.32,4984
2018-07-04,19.3,19.12,19.22,19.3,1703
2018-07-05,19.28,19.1,19.28,19.22,3186
2018-07-06,19.3,19.12,19.26,19.28,1641
2018-07-09,19.38,19.2,19.28,19.26,3935
2018-07-10,19.66,19.22,19.38,19.28,5880
2018-07-11,19.46,19.22,19.36,19.4,3820
2018-07-12,19.42,19.24,19.38,19.38,1636
2018-07-13,19.5,19.32,19.44,19.32,1986
2018-07-16,19.44,19.2,19.2,19.44,1919
2018-07-17,19.4,19.2,19.36,19.2,1728
2018-07-18,19.44,19.14,19.44,19.38,6168
2018-07-19,19.46,19.2,19.38,19.2,3478
2018-07-20,19.4,19.2,19.26,19.38,3306
2018-07-23,19.6,19.28,19.32,19.5,4107
2018-07-24,19.74,19.2,19.22,19.74,2627
2018-07-25,19.34,19.12,19.18,19.3,4413
2018-07-26,19.42,19.16,19.32,19.16,6485
2018-07-27,19.52,19.34,19.5,19.48,2276
2018-07-30,19.58,19.5,19.58,19.52,3110
2018-07-31,19.5,19.2,19.22,19.5,6853
2018-08-01,19.4,18.84,19.2,19.1,17277
2018-08-02,19.3,19.04,19.14,19.22,7777
2018-08-03,19.26,19.02,19.26,19.02,6444
2018-08-06,19.32,19.02,19.06,19.32,10398
2018-08-07,19.24,19.06,19.1,19.08,3029
