Date,High,Low,Close,Open,Volume
2020-01-02,37.6,36.0,37.3,37.0,16761
2020-01-03,37.5,36.2,37.5,37.3,16469
2020-01-06,37.5,35.5,36.6,37.5,86411
2020-01-07,36.3,35.6,35.8,36.0,10025
2020-01-08,36.3,35.5,36.2,36.3,28557
2020-01-09,36.2,35.2,35.7,36.2,326455
2020-01-10,36.7,35.7,36.1,35.7,32567
2020-01-13,36.7,36.0,36.3,36.5,23510
2020-01-14,36.7,36.0,36.7,36.1,11608
2020-01-15,36.7,35.9,36.3,36.7,16250
2020-01-16,36.3,35.7,35.9,36.3,22289
2020-01-17,36.6,36.0,36.0,36.0,14401
2020-01-20,37.5,36.1,37.3,36.7,48624
2020-01-21,37.0,36.1,37.0,37.0,21350
2020-01-22,37.9,36.3,37.1,37.0,72152
2020-01-23,37.1,35.8,36.3,37.1,24831
2020-01-24,37.2,35.6,37.1,36.0,1951187
2020-01-27,37.0,35.9,36.0,37.0,4998
2020-01-28,36.2,35.7,35.9,36.0,35570
2020-01-29,38.3,36.3,38.1,36.9,469761
2020-01-30,38.5,37.4,37.4,38.5,11482
2020-01-31,38.3,37.0,37.0,37.4,22235
2020-02-03,37.5,36.4,36.6,36.9,13238
2020-02-04,37.9,37.0,37.3,37.0,63257
2020-02-05,38.5,37.3,38.5,37.3,95121
2020-02-06,39.5,38.1,39.0,38.5,21648
2020-02-07,39.4,37.1,39.0,37.1,64060
2020-02-10,39.0,38.0,38.1,39.0,25794
2020-02-11,42.9,40.3,41.1,41.2,8167866
2020-02-12,42.2,41.1,41.4,41.6,27803
2020-02-13,41.1,40.0,40.8,40.2,64712
2020-02-14,41.0,40.3,40.6,40.3,34716
2020-02-17,41.2,40.2,40.8,41.0,16830
2020-02-18,42.2,40.4,42.2,40.5,45816
2020-02-19,41.8,40.6,41.5,41.0,64823
2020-02-20,43.0,41.5,41.5,41.5,5235
2020-02-21,42.5,41.2,41.6,42.5,17733
2020-02-24,42.5,41.0,41.1,42.5,63298
2020-02-25,41.2,40.8,40.8,41.0,10254
2020-02-26,41.0,38.4,39.1,40.7,71971
2020-02-27,42.0,39.3,41.5,39.5,90944
2020-02-28,40.5,38.6,40.5,40.0,54999
2020-03-02,41.3,40.1,41.0,40.5,37545
2020-03-03,43.0,41.3,42.8,41.3,24488
2020-03-04,44.6,40.1,44.0,40.1,89585
2020-03-05,44.0,40.0,40.5,44.0,42350
2020-03-06,40.9,38.0,38.3,40.9,60480
2020-03-09,37.9,36.0,36.4,36.0,37036
2020-03-10,37.6,36.2,37.6,36.4,27511
2020-03-11,37.6,36.4,36.4,37.6,29156
2020-03-12,36.4,33.9,33.9,36.4,59157
2020-03-13,39.9,33.8,39.9,33.8,32890
2020-03-16,37.4,35.0,35.4,36.0,33320
2020-03-17,35.3,33.8,33.8,34.3,38506
2020-03-18,35.0,33.0,35.0,33.8,71770
2020-03-19,35.0,33.1,34.3,35.0,8191
2020-03-20,35.0,31.6,31.9,35.0,94777
2020-03-23,33.0,31.0,32.5,32.1,17629
2020-03-24,34.9,32.3,32.5,34.9,35902
2020-03-25,34.7,33.8,33.8,34.2,10399
2020-03-26,34.8,33.0,34.3,34.0,10279
2020-03-27,34.8,32.9,33.6,34.8,6673
2020-03-30,35.0,33.2,35.0,33.7,16741
2020-03-31,35.0,33.6,35.0,34.7,40866
2020-04-01,38.5,34.9,38.0,34.9,16674
2020-04-02,39.8,37.3,38.5,38.0,875
2020-04-03,40.2,39.0,40.2,39.1,13741
2020-04-06,41.0,39.0,41.0,39.0,35440
2020-04-07,43.3,41.2,42.5,41.2,29145
2020-04-08,42.8,41.1,42.5,42.8,33786
2020-04-09,42.5,42.5,42.5,42.5,0
2020-04-14,42.5,41.2,42.5,42.0,11364
2020-04-15,42.5,41.0,42.0,42.5,23649
2020-04-16,42.0,41.0,42.0,42.0,15600
2020-04-17,43.3,40.4,43.3,42.0,46246
2020-04-20,44.6,40.0,44.6,42.7,14586
2020-04-21,44.5,42.0,43.0,44.4,5967
2020-04-22,43.0,41.0,41.0,42.4,13086
2020-04-23,43.3,41.0,43.3,41.3,12379
2020-04-24,44.0,43.0,44.0,43.3,2017
2020-04-27,44.0,43.5,43.9,44.0,2288
2020-04-28,44.0,40.0,44.0,43.9,29660
2020-04-29,44.5,43.6,44.2,44.5,2017
2020-04-30,44.8,41.3,44.8,44.2,7241
2020-05-04,43.5,41.1,42.7,43.5,10110
2020-05-05,42.8,42.0,42.8,42.7,3105
2020-05-06,42.8,41.1,42.2,42.8,5924
2020-05-07,42.5,41.5,42.1,41.7,16695
2020-05-08,42.6,40.5,41.6,42.1,3717
2020-05-11,42.1,42.0,42.0,42.0,4337
2020-05-12,42.5,41.5,42.0,42.5,8263
2020-05-13,41.8,40.5,41.0,40.5,2309
2020-05-14,46.9,44.2,46.5,45.3,339359
2020-05-15,46.6,45.5,46.2,46.5,27946
2020-05-18,46.2,45.5,46.1,46.2,106789
2020-05-19,46.3,45.6,46.0,45.9,88787
2020-05-20,46.3,46.0,46.2,46.0,6486
2020-05-22,46.3,46.0,46.0,46.3,8537
2020-05-25,46.3,46.0,46.0,46.0,7883
2020-05-26,46.3,45.4,45.7,46.0,22526131
2020-05-27,45.7,45.4,45.7,45.6,65809
2020-05-28,45.7,45.4,45.4,45.5,92665
2020-05-29,45.7,41.0,41.0,45.7,409274
2020-06-02,43.8,42.5,43.4,42.7,126085
2020-06-03,44.0,42.9,43.1,44.0,64089
2020-06-04,43.4,43.0,43.3,43.4,3899
2020-06-05,43.5,43.0,43.5,43.2,6792
2020-06-08,44.7,43.6,43.8,43.9,48351
2020-06-09,44.5,43.5,44.5,43.9,11212
2020-06-10,44.0,43.5,43.6,43.7,4936
2020-06-11,44.0,43.5,43.5,43.6,5972
2020-06-12,44.4,42.9,43.4,44.4,6236
2020-06-15,44.0,42.8,43.6,43.4,9370
2020-06-16,45.2,43.6,44.7,43.6,70574
2020-06-17,45.0,44.0,45.0,44.0,5692
2020-06-18,45.4,44.6,44.6,45.0,4658
2020-06-19,45.2,43.9,43.9,44.6,21741
2020-06-22,44.3,43.6,43.7,43.6,7580
2020-06-23,43.9,43.5,43.5,43.6,2384
2020-06-24,44.1,42.8,43.2,43.9,10442
2020-06-25,45.0,43.5,44.8,43.5,8145
2020-06-26,44.9,43.7,44.4,44.9,3846
2020-06-29,45.4,43.8,45.2,43.8,21743
2020-06-30,46.4,44.5,45.4,45.0,50000
2020-07-01,45.9,45.1,45.6,45.6,6743
2020-07-02,45.6,45.1,45.2,45.3,6488
2020-07-03,45.9,45.1,45.3,45.1,16282
2020-07-06,46.0,45.1,45.3,45.1,31375
2020-07-07,45.5,45.3,45.5,45.3,1790
2020-07-08,45.7,45.3,45.7,45.5,6300
2020-07-09,45.8,45.5,45.5,45.7,6268
2020-07-10,45.3,45.1,45.3,45.1,3233
2020-07-13,45.6,44.6,44.6,45.6,35346
2020-07-14,46.0,44.5,46.0,44.6,39856
2020-07-15,46.0,45.4,45.4,46.0,4543
2020-07-16,45.5,45.1,45.2,45.1,4542
2020-07-17,45.7,44.8,44.8,45.3,26716
2020-07-20,45.3,44.8,44.9,45.2,3036
2020-07-21,45.3,45.0,45.0,45.2,16353
2020-07-22,45.1,45.0,45.1,45.0,11125
2020-07-23,45.2,45.0,45.0,45.2,17792
