Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,34.5,33.9,34.0,33.9,86666
2018-06-06,34.9,33.9,34.205,34.1,38520
2018-06-07,34.695,33.9,33.9,34.205,11132
2018-06-08,34.9,33.9,33.9,34.5,115933
2018-06-11,34.5,33.6,33.8,34.5,21048
2018-06-12,34.2,33.7,33.9,33.8,78656
2018-06-13,34.74,33.5,33.805,34.0,126620
2018-06-14,34.5,33.5,34.5,33.85,272859
2018-06-15,34.78,34.485,34.75,34.5,262633
2018-06-18,34.95,34.52,34.8,34.8,25111
2018-06-19,34.8,34.16,34.8,34.75,34551
2018-06-20,34.8,34.0,34.0,34.8,34203
2018-06-21,34.4,34.0,34.0,34.2,315361
2018-06-22,34.45,33.7,33.905,34.05,214606
2018-06-25,34.5,33.6,33.9,34.5,7474
2018-06-26,34.0,33.52,33.92,33.52,4719
2018-06-27,34.46,33.5,34.105,33.54,18594
2018-06-28,34.105,33.25,33.5,34.105,26001
2018-06-29,34.0,32.3,33.0,34.0,81454
2018-07-02,33.9,32.45,33.15,33.9,107631
2018-07-03,33.38,32.8,33.0,33.1,43942
2018-07-04,33.685,32.81,33.6,33.0,13014
2018-07-05,33.7,33.1,33.65,33.1,125315
2018-07-06,34.15,32.8,33.4,34.1,164201
2018-07-09,33.7,33.4,33.4,33.4,53644
2018-07-10,33.6,33.13,33.3,33.4,28594
2018-07-11,33.87,33.4,33.8,33.45,23148
2018-07-12,33.75,33.4,33.4,33.565,12595
2018-07-13,33.7,33.2,33.595,33.4,13647
2018-07-16,33.6,33.405,33.415,33.6,8530
2018-07-17,34.0,33.4,33.6,33.4,39323
2018-07-18,33.8,33.6,33.78,33.7,13784
2018-07-19,34.495,33.78,33.905,33.78,108605
2018-07-20,34.0,33.61,33.8,34.0,18293
2018-07-23,33.8,33.5,33.69,33.7,18709
2018-07-24,33.88,33.5,33.51,33.7,6565
2018-07-25,33.9,33.5,33.5,33.51,12639
2018-07-26,33.9,33.5,33.5,33.85,9228
2018-07-27,33.9,33.5,33.5,33.5,17358
2018-07-30,33.71,33.5,33.55,33.5,11908
2018-07-31,33.9,33.4,33.5,33.9,24105
2018-08-01,33.745,33.4,33.655,33.5,15692
2018-08-02,34.22,33.365,33.6,33.6,182481
2018-08-03,34.2,33.51,34.195,33.7,86207
2018-08-06,34.5,33.8,34.5,34.06,42276
2018-08-07,34.8,34.0,34.175,34.0,9243
2018-08-08,34.8,34.0,34.0,34.7,180359
2018-08-09,34.5,33.505,33.8,34.5,12092
2018-08-10,34.0,33.51,33.51,33.8,8985
2018-08-13,34.0,33.21,33.5,34.0,27752
2018-08-14,33.51,33.0,33.0,33.51,83285
2018-08-15,33.0,32.5,32.8,32.6,43470
2018-08-16,32.8,32.16,32.16,32.7,85214
2018-08-17,33.0,31.6,32.5,32.16,45967
2018-08-20,33.0,32.2,32.6,33.0,15356
2018-08-21,33.3,32.705,32.8,33.0,28330
2018-08-22,33.495,33.0,33.27,33.495,28149
2018-08-23,33.8,33.495,33.76,33.495,11941
2018-08-24,33.9,33.015,33.78,33.9,13702
2018-08-27,34.05,33.605,33.8,34.01,16116
2018-08-28,34.5,33.2,33.5,34.075,33524
2018-08-29,33.7,33.49,33.7,33.49,25545
2018-08-30,34.6,33.565,33.7,34.3,289243
2018-08-31,34.0,33.0,33.99,34.0,11000
2018-09-03,34.49,33.105,33.605,34.49,12706
2018-09-04,33.99,33.615,33.95,33.89,181002
2018-09-05,33.975,33.8,33.9,33.95,27989
2018-09-06,34.2,33.8,34.2,34.0,102382
2018-09-07,34.2,32.7,32.74,34.1,261316
2018-09-10,33.595,32.7,32.895,33.07,17399
2018-09-11,33.49,32.96,33.385,32.965,14448
2018-09-12,33.5,32.905,33.0,32.91,7508
2018-09-13,33.3,32.8,32.975,32.905,118904
2018-09-14,33.0,32.6,32.8,33.0,11978
2018-09-17,33.4,32.8,33.15,33.4,8563
2018-09-18,33.095,32.5,32.7,33.0,36254
2018-09-19,32.995,32.6,32.7,32.7,13402
2018-09-20,33.2,32.0,32.3,33.0,29997
2018-09-21,33.2,32.4,33.2,32.4,530568
2018-09-24,33.18,32.5,32.91,32.855,82354
2018-09-25,32.975,32.22,32.47,32.65,278981
2018-09-26,33.1,32.4,33.1,32.47,74216
2018-09-27,33.1,32.57,33.1,32.995,23551
2018-09-28,33.18,32.8,33.175,33.0,22062
2018-10-01,33.18,32.57,33.18,33.18,23210
2018-10-02,33.0,32.3,32.77,33.0,23904
2018-10-03,32.99,32.4,32.95,32.99,38580
2018-10-04,33.0,32.3,32.36,33.0,766078
2018-10-05,32.95,32.3,32.655,32.95,14950
2018-10-08,32.99,32.39,32.675,32.655,108162
2018-10-09,32.73,31.8,32.23,32.42,380784
2018-10-10,32.23,31.5,31.8,32.23,478112
2018-10-11,31.8,30.1,31.725,31.51,157570
2018-10-12,31.65,31.1,31.5,31.65,21230
2018-10-15,32.3,30.7,31.2,31.9,26177
2018-10-16,32.5,31.675,32.4,31.99,30647
2018-10-17,32.89,31.7,31.7,32.75,105352
2018-10-18,32.5,32.0,32.0,32.5,13781
2018-10-19,32.5,31.5,32.0,32.5,34245
2018-10-22,32.5,31.5,32.0,32.5,156224
2018-10-23,31.9,30.54,31.0,31.6,65464
2018-10-24,31.115,30.4,30.9,31.0,32255
2018-10-25,30.8,30.2,30.4,30.2,22971
2018-10-26,30.95,30.095,30.4,30.95,23862
2018-10-29,31.945,30.405,31.32,31.0,5386
2018-10-30,31.95,30.57,31.0,31.95,15073
2018-10-31,31.5,30.8,31.0,31.0,20661
2018-11-01,31.49,30.4,30.4,31.0,46309
2018-11-02,31.1,30.11,31.095,30.705,89548
2018-11-05,31.51,30.9,31.375,31.2,25634
2018-11-06,31.995,31.3,31.3,31.995,23371
2018-11-07,33.0,31.15,32.5,31.68,301644
2018-11-08,32.99,32.0,32.95,32.99,145550
2018-11-09,32.9,32.205,32.89,32.8,176907
2018-11-12,32.89,32.0,32.89,32.5,12219
2018-11-13,32.89,32.01,32.5,32.89,69888
2018-11-14,32.5,31.875,32.2,32.5,21352
2018-11-15,32.2,31.6,31.8,31.81,90492
2018-11-16,32.0,31.6,32.0,31.755,24075
2018-11-19,32.5,31.615,32.5,32.2,55047
2018-11-20,32.5,31.8,32.4,31.8,177862
2018-11-21,32.89,32.005,32.6,32.4,27042
2018-11-22,32.6,32.0,32.5,32.0,19110
2018-11-23,32.75,32.1,32.5,32.5,122661
2018-11-26,32.98,32.5,32.98,32.5,301421
2018-11-27,33.1,32.75,33.1,32.98,33856
2018-11-28,33.0,33.0,33.0,33.0,6311
2018-11-29,33.1,32.86,33.1,33.0,13772
2018-11-30,33.3,32.9,33.3,33.0,338129
2018-12-03,34.0,33.0,34.0,33.36,35467
2018-12-04,34.0,33.605,33.785,34.0,20446
2018-12-05,33.6,33.0,33.2,33.6,14832
2018-12-06,33.695,32.7,32.96,33.0,62204
2018-12-07,33.5,33.0,33.215,33.0,231525
2018-12-10,33.405,32.79,33.1,33.315,23740
2018-12-11,33.49,33.0,33.1,33.0,53083
2018-12-12,33.4,33.1,33.4,33.24,132302
2018-12-13,33.5,33.155,33.19,33.5,33556
2018-12-14,34.0,33.5,33.65,33.5,178703
2018-12-17,34.0,33.65,33.685,33.65,121236
2018-12-18,33.94,33.19,33.6,33.71,83399
2018-12-19,33.9,33.19,33.5,33.9,84975
2018-12-20,33.5,33.0,33.31,33.5,173755
2018-12-21,33.795,32.205,33.225,33.31,140355
2018-12-27,33.5,33.1,33.5,33.5,31493
2018-12-28,34.0,33.4,34.0,33.4,51943
2019-01-02,34.6,33.7,33.9,34.5,76269
2019-01-03,33.9,33.13,33.8,33.9,19123
2019-01-04,34.495,33.77,34.35,33.77,63253
2019-01-07,35.395,34.35,35.395,34.5,148230
2019-01-08,37.0,35.395,36.0,35.4,127715
2019-01-09,36.48,35.8,35.8,36.15,52660
2019-01-10,36.0,35.015,35.75,35.8,68252
2019-01-11,36.0,35.85,35.9,36.0,36738
2019-01-14,36.095,34.805,35.25,35.9,222984
2019-01-15,35.88,34.2,35.3,35.25,51911
2019-01-16,35.665,35.015,35.665,35.4,10291
2019-01-17,36.0,35.8,35.8,35.8,17364
2019-01-18,36.2,35.48,35.8,36.2,63662
2019-01-21,35.5,35.0,35.5,35.0,66743
2019-01-22,35.7,35.155,35.44,35.5,14037
2019-01-23,35.89,34.7,35.5,35.0,44916
2019-01-24,35.925,35.0,35.105,35.5,30897
2019-01-25,36.0,35.37,35.4,36.0,682118
2019-01-28,35.92,35.425,35.9,35.425,22086
2019-01-29,36.0,35.6,36.0,35.9,59345
2019-01-30,36.0,35.8,35.9,36.0,5174
2019-01-31,36.5,35.41,36.0,35.78,90785
2019-02-01,36.0,35.8,36.0,36.0,29829
2019-02-04,36.1,35.9,36.0,36.0,40436
2019-02-05,36.1,35.8,36.0,36.0,88367
2019-02-06,36.5,35.8,36.5,36.0,31956
2019-02-07,37.005,36.005,36.5,36.5,93767
2019-02-08,37.0,36.0,36.5,37.0,24642
2019-02-11,37.0,36.35,36.585,36.5,10109
2019-02-12,36.975,36.5,36.7,36.5,112903
2019-02-13,37.0,36.67,36.67,37.0,130117
2019-02-14,37.2,35.8,36.2,37.005,147559
2019-02-15,36.5,35.905,36.335,36.5,22142
2019-02-18,36.5,35.96,36.495,36.335,24538
2019-02-19,36.705,36.1,36.4,36.125,32175
2019-02-20,37.0,36.15,37.0,36.4,36633
2019-02-21,37.905,36.995,37.505,37.0,98496
2019-02-22,38.1,37.8,38.1,37.8,44128
2019-02-25,38.8,38.1,38.105,38.8,10131
2019-02-26,38.3,37.5,37.5,38.3,14258
2019-02-27,38.375,37.765,37.8,37.77,103932
2019-02-28,38.0,37.4,38.0,37.8,39649
2019-03-01,38.5,37.9,38.5,38.0,123064
2019-03-04,38.5,38.1,38.4,38.5,57576
2019-03-05,38.5,37.8,38.29,38.5,107951
2019-03-06,38.5,37.985,38.01,38.5,46234
2019-03-07,38.5,38.06,38.4,38.1,18709
2019-03-08,38.55,38.055,38.08,38.55,22874
2019-03-11,39.1,38.605,39.0,39.1,28236
2019-03-12,39.1,38.5,38.5,39.1,35657
2019-03-13,39.1,38.505,38.53,39.1,7177
2019-03-14,38.855,38.4,38.41,38.855,5333
2019-03-15,38.79,37.5,38.2,38.285,32765
2019-03-18,38.495,38.2,38.4,38.2,19656
2019-03-19,38.5,38.06,38.17,38.4,22491
2019-03-20,38.1,37.7,37.95,37.8,54102
2019-03-21,37.75,36.6,37.75,37.4,80778
2019-03-22,37.86,36.6,36.6,37.75,35281
2019-03-25,36.575,36.075,36.2,36.575,49836
2019-03-26,37.695,36.075,36.7,36.075,36241
2019-03-27,37.3,36.045,37.2,37.3,95534
2019-03-28,37.35,36.8,37.35,37.0,22246
2019-03-29,36.645,35.8,36.385,35.8,16363498
2019-04-01,37.05,35.7,36.8,36.95,95955
2019-04-02,36.7,36.15,36.55,36.7,139525
2019-04-03,37.0,36.15,37.0,36.5,257953
2019-04-04,37.25,36.6,36.7,37.2,170257
2019-04-05,37.35,36.9,37.35,37.3,55620
2019-04-08,37.4,36.7,37.2,37.35,84226
2019-04-09,37.5,36.85,37.5,37.4,53629
2019-04-10,37.7,37.5,37.65,37.5,9041
2019-04-11,39.0,38.4,38.45,38.5,369083
2019-04-12,38.9,38.45,38.5,38.9,297015
2019-04-15,39.5,38.9,38.95,39.35,77430
2019-04-16,39.45,38.95,39.15,39.45,188009
2019-04-17,39.4,38.8,39.15,39.15,81920
2019-04-18,39.15,39.15,39.15,39.15,0
2019-04-23,43.6,39.4,39.4,43.6,122490
2019-04-24,40.0,39.0,39.0,40.0,194676
2019-04-25,39.85,39.0,39.2,39.35,141109
2019-04-26,40.0,39.2,39.2,40.0,66017
2019-04-29,39.5,38.9,39.0,39.2,54581
2019-04-30,39.75,38.95,39.6,39.1,84590
2019-05-02,40.0,39.3,39.45,40.0,103712
2019-05-03,39.9,38.65,39.8,38.65,178766
2019-05-06,39.8,38.75,39.2,39.2,111884
2019-05-07,40.0,39.2,39.5,39.8,74895
2019-05-08,39.75,39.35,39.5,39.5,76633
2019-05-09,40.0,39.2,39.95,39.9,101792
2019-05-10,40.85,39.95,40.7,40.0,99018
2019-05-13,40.9,40.0,40.5,40.0,330483
2019-05-14,40.65,39.75,40.45,39.75,171720
2019-05-15,39.95,38.5,39.75,39.95,263404
2019-05-16,41.0,39.95,40.75,40.0,403118
2019-05-20,41.6,40.15,40.35,41.6,133120
2019-05-21,41.5,40.0,40.5,41.5,150515
2019-05-22,42.95,40.85,41.55,41.2,306884
2019-05-23,42.05,41.15,41.5,41.6,229553
2019-05-24,43.6,41.65,43.15,41.65,335438
2019-05-27,44.6,43.2,43.65,43.2,240795
2019-05-28,44.65,43.0,43.85,44.2,200699
2019-05-29,44.05,42.85,43.95,44.0,135194
2019-05-31,45.2,42.15,44.4,43.0,1099942
2019-06-03,45.35,44.4,45.35,45.0,159157
2019-06-04,42.75,40.7,41.15,42.05,16454414
2019-06-05,41.6,40.15,41.0,41.6,603213
