Date,Closing price,50,200
2018-06-04,0.066,,
2018-06-05,0.066,,
2018-06-07,0.065,,
2018-06-08,0.064,,
2018-06-11,0.064,,
2018-06-12,0.067,,
2018-06-13,0.069,,
2018-06-14,0.066,,
2018-06-15,0.064,,
2018-06-18,0.055,,
2018-06-19,0.055,,
2018-06-20,0.052,,
2018-06-21,0.05,,
2018-06-25,0.052,,
2018-06-26,0.056,,
2018-06-27,0.056,,
2018-06-28,0.057,,
2018-06-29,0.057,,
2018-07-02,0.058,,
2018-07-03,0.058,,
2018-07-04,0.059,,
2018-07-05,0.06,,
2018-07-06,0.06,,
2018-07-09,0.058,,
2018-07-10,0.057,,
2018-07-11,0.057,,
2018-07-12,0.055,,
2018-07-13,0.057,,
2018-07-16,0.055,,
2018-07-17,0.078,,
2018-07-18,0.07,,
2018-07-19,0.066,,
2018-07-20,0.074,,
2018-07-23,0.073,,
2018-07-24,0.072,,
2018-07-25,0.072,,
2018-07-26,0.071,,
2018-07-27,0.071,,
2018-07-30,0.07,,
2018-07-31,0.071,,
2018-08-01,0.071,,
2018-08-02,0.07,,
2018-08-03,0.072,,
2018-08-06,0.072,,
2018-08-07,0.073,,
2018-08-08,0.073,,
2018-08-09,0.072,,
2018-08-10,0.072,,
2018-08-13,0.072,,
2018-08-14,0.071,,
2018-08-15,0.069,,
2018-08-16,0.068,,
2018-08-17,0.07,,
2018-08-20,0.07,,
2018-08-21,0.068,,
2018-08-22,0.069,,
2018-08-23,0.066,,
2018-08-24,0.067,,
2018-08-27,0.066,,
2018-08-28,0.067,,
2018-08-29,0.065,,
2018-08-30,0.064,,
2018-08-31,0.062,,
2018-09-03,0.062,,
2018-09-04,0.06,,
2018-09-05,0.057,,
2018-09-06,0.06,,
2018-09-07,0.059,,
2018-09-10,0.057,,
2018-09-11,0.058,,
2018-09-12,0.066,,
2018-09-13,0.065,,
2018-09-14,0.068,,
2018-09-17,0.07,,
2018-09-18,0.071,,
2018-09-19,0.067,,
2018-09-20,0.066,,
2018-09-21,0.066,,
2018-09-24,0.068,,
2018-09-25,0.07,,
2018-09-26,0.069,,
2018-09-27,0.069,,
2018-09-28,0.068,,
2018-10-01,0.066,,
2018-10-02,0.067,,
2018-10-03,0.068,,
2018-10-04,0.064,,
2018-10-05,0.065,,
2018-10-08,0.063,,
2018-10-09,0.064,,
2018-10-10,0.061,,
2018-10-11,0.063,,
2018-10-12,0.068,,
2018-10-15,0.06,,
2018-10-16,0.06,,
2018-10-17,0.06,,
2018-10-18,0.061,,
2018-10-19,0.062,,
2018-10-22,0.06,,
2018-10-23,0.057,,
2018-10-24,0.053,,
2018-10-25,0.051,,
2018-10-26,0.049,,
2018-10-29,0.05,,
2018-10-30,0.052,,
2018-10-31,0.055,,
2018-11-01,0.055,,
2018-11-02,0.058,,
2018-11-05,0.055,,
2018-11-06,0.052,,
2018-11-07,0.052,,
2018-11-08,0.055,,
2018-11-09,0.052,,
2018-11-12,0.052,,
2018-11-13,0.055,,
2018-11-14,0.054,,
2018-11-15,0.054,,
2018-11-16,0.053,,
2018-11-19,0.052,,
2018-11-20,0.051,,
2018-11-21,0.052,,
2018-11-22,0.052,,
2018-11-23,0.053,,
2018-11-26,0.05,,
2018-11-27,0.05,,
2018-11-28,0.05,,
2018-11-29,0.049,,
2018-11-30,0.05,,
2018-12-03,0.05,,
2018-12-04,0.048,,
2018-12-05,0.05,,
2018-12-06,0.046,,
2018-12-07,0.05,,
2018-12-10,0.048,,
2018-12-11,0.045,,
2018-12-12,0.046,,
2018-12-13,0.05,,
2018-12-14,0.049,,
2018-12-17,0.051,,
2018-12-18,0.047,,
2018-12-19,0.049,,
2018-12-20,0.049,,
2018-12-21,0.049,,
2018-12-27,0.048,,
2018-12-28,0.048,,
2019-01-02,0.047,,
2019-01-03,0.051,,
2019-01-04,0.054,,
2019-01-07,0.053,,
2019-01-08,0.053,,
2019-01-09,0.053,,
2019-01-10,0.047,,
2019-01-11,0.05,,
2019-01-14,0.048,,
2019-01-15,0.048,,
2019-01-16,0.048,,
2019-01-17,0.048,,
2019-01-18,0.048,,
2019-01-21,0.045,,
2019-01-22,0.047,,
2019-01-23,0.046,,
2019-01-24,0.046,,
2019-01-25,0.055,,
2019-01-28,0.05,,
2019-01-29,0.054,,
2019-01-30,0.054,,
2019-01-31,0.055,,
2019-02-01,0.063,,
2019-02-04,0.065,,
2019-02-05,0.064,,
2019-02-06,0.064,,
2019-02-07,0.06,,
2019-02-08,0.058,,
2019-02-11,0.062,,
2019-02-12,0.061,,
2019-02-13,0.057,,
2019-02-14,0.06,,
2019-02-15,0.057,,
2019-02-18,0.06,,
2019-02-19,0.063,,
2019-02-20,0.058,,
2019-02-21,0.057,,
2019-02-22,0.056,,
2019-02-25,0.054,,
2019-02-26,0.055,,
2019-02-27,0.055,,
2019-02-28,0.058,,
2019-03-01,0.059,,
2019-03-04,0.057,,
2019-03-05,0.056,,
2019-03-06,0.057,,
2019-03-07,0.061,,
2019-03-08,0.082,,
2019-03-11,0.101,,
2019-03-12,0.1,,
2019-03-13,0.094,,
2019-03-14,0.087,,
2019-03-15,0.1,,
2019-03-18,0.1,,
2019-03-19,0.1,,
2019-03-20,0.1,,
2019-03-21,0.103,,
2019-03-22,0.112,,
2019-03-25,0.109,,
2019-03-26,0.105,,
2019-03-27,0.1,,
2019-03-28,0.1,,
2019-03-29,0.103,,
2019-04-01,0.092,,
2019-04-02,0.091,,
2019-04-03,0.097,,
2019-04-04,0.098,,
2019-04-05,0.1,,
2019-04-08,0.102,,
2019-04-09,0.104,,
2019-04-10,0.107,,
2019-04-11,0.107,,
2019-04-12,0.109,,
2019-04-15,0.11,,
2019-04-16,0.11,,
2019-04-17,0.109,,
2019-04-18,0.107,,
2019-04-23,0.103,,
2019-04-24,0.103,,
2019-04-25,0.104,,
2019-04-26,0.105,,
2019-04-29,0.105,,
2019-04-30,0.101,,
2019-05-02,0.099,,
2019-05-03,0.099,,
2019-05-06,0.091,,
2019-05-07,0.085,,
2019-05-08,0.089,,
2019-05-09,0.086,,
2019-05-10,0.09,,
2019-05-13,0.088,,
2019-05-14,0.09,,
2019-05-15,0.09,,
2019-05-16,0.085,,
2019-05-17,0.075,0.0969,0.06773500000000005
2019-05-20,0.099,0.09773999999999998,0.06787500000000003
2019-05-21,0.087,0.09825999999999997,0.06796000000000003
2019-05-22,0.085,0.09831999999999998,0.06802500000000004
2019-05-23,0.082,0.09793999999999999,0.06807500000000005
2019-05-24,0.087,0.09767999999999999,0.06814500000000004
2019-05-27,0.087,0.09754,0.06821500000000004
2019-05-28,0.08,0.0974,0.06825500000000004
2019-05-29,0.08,0.09699999999999999,0.06829500000000004
2019-05-31,0.079,0.09658,0.06833000000000004
