Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,2.84,2.6,2.6,2.62,62509
2018-06-07,2.68,2.5,2.61,2.6,34500
2018-06-08,2.6,2.5,2.6,2.6,44649
2018-06-11,2.8,2.56,2.59,2.6,69438
2018-06-12,2.6,2.32,2.41,2.5,103139
2018-06-13,2.41,2.28,2.4,2.41,17065
2018-06-14,2.4,2.3,2.33,2.4,19344
2018-06-15,2.35,2.3,2.35,2.3,15128
2018-06-18,2.3,2.21,2.21,2.25,39216
2018-06-19,2.34,2.25,2.34,2.25,24172
2018-06-20,2.56,2.32,2.56,2.35,108520
2018-06-21,2.56,2.35,2.4,2.55,58697
2018-06-25,2.5,2.3,2.39,2.4,98201
2018-06-26,3.0,2.48,2.56,2.5,205280
2018-06-27,2.7,2.5,2.52,2.5,55835
2018-06-28,2.7,2.52,2.52,2.54,12373
2018-06-29,2.69,2.41,2.45,2.53,133592
2018-07-02,2.57,2.37,2.5,2.45,32401
2018-07-03,2.79,2.45,2.47,2.56,26551
2018-07-04,2.47,2.39,2.39,2.47,63873
2018-07-05,2.45,2.3,2.3,2.43,50554
2018-07-06,2.67,2.3,2.4,2.3,67197
2018-07-09,2.71,2.45,2.71,2.45,53961
2018-07-10,2.62,2.4,2.43,2.62,102789
2018-07-11,2.49,2.4,2.41,2.44,6333
2018-07-12,2.49,2.41,2.42,2.49,14254
2018-07-13,2.45,2.35,2.38,2.42,15707
2018-07-16,2.58,2.37,2.44,2.44,72762
2018-07-17,2.49,2.39,2.49,2.44,57820
2018-07-18,2.8,2.41,2.71,2.41,73889
2018-07-19,2.8,2.54,2.69,2.62,15254
2018-07-20,2.75,2.6,2.66,2.65,74659
2018-07-23,2.86,2.68,2.72,2.74,65417
2018-07-24,2.88,2.7,2.7,2.7,29145
2018-07-25,2.8,2.7,2.8,2.78,10958
2018-07-26,2.9,2.75,2.88,2.8,25244
2018-07-27,2.88,2.73,2.87,2.88,18811
2018-07-30,3.9,2.87,3.29,2.9,87966
2018-07-31,3.2,2.8,3.0,3.2,379438
2018-08-01,3.0,2.85,2.98,3.0,152489
2018-08-02,3.0,2.9,2.91,2.98,93265
2018-08-03,2.98,2.9,2.95,2.91,58215
2018-08-06,3.09,3.0,3.08,3.0,49252
2018-08-07,3.13,2.95,3.0,3.13,64170
2018-08-08,3.04,2.9,3.04,2.99,84510
2018-08-09,3.1,2.93,3.04,3.1,40719
2018-08-10,3.1,2.95,3.1,3.0,12858
2018-08-13,3.12,3.0,3.1,3.11,84295
2018-08-14,3.12,2.88,3.04,3.12,103180
2018-08-15,3.04,2.96,2.98,2.96,16696
2018-08-16,3.07,2.92,3.0,2.98,22481
2018-08-17,2.97,2.9,2.97,2.92,22148
2018-08-20,3.05,2.91,3.05,2.97,58303
2018-08-21,3.08,2.97,3.0,3.08,32923
2018-08-22,3.05,2.97,3.0,2.97,17368
2018-08-23,3.06,2.82,2.98,3.06,70702
2018-08-24,3.05,2.88,3.04,2.98,90377
2018-08-27,3.08,2.95,3.0,3.08,63483
2018-08-28,3.35,3.02,3.16,3.1,155754
2018-08-29,3.32,3.07,3.18,3.2,82323
2018-08-30,3.6,3.28,3.4,3.28,104607
2018-08-31,3.58,3.37,3.55,3.48,88113
2018-09-03,3.99,3.58,3.8,3.58,142916
2018-09-04,3.98,3.63,3.72,3.8,92961
2018-09-05,3.96,3.72,3.73,3.75,94758
2018-09-06,3.8,3.6,3.7,3.8,29138
2018-09-07,3.83,3.67,3.8,3.7,37115
2018-09-10,3.91,3.58,3.58,3.69,69697
2018-09-11,3.7,3.47,3.66,3.6,57938
2018-09-12,3.8,3.55,3.6,3.7,119693
2018-09-13,3.79,3.53,3.72,3.75,68828
2018-09-14,3.71,3.56,3.66,3.71,34424
2018-09-17,3.71,3.56,3.56,3.66,36526
2018-09-18,3.7,3.47,3.65,3.55,45636
2018-09-19,3.69,3.56,3.56,3.65,40854
2018-09-20,3.8,3.6,3.8,3.66,140785
2018-09-21,4.09,3.56,3.69,3.8,58073
2018-09-24,3.87,3.8,3.8,3.87,27663
2018-09-25,3.91,3.7,3.83,3.8,17008
2018-09-26,3.84,3.6,3.63,3.84,72089
2018-09-27,3.9,3.66,3.82,3.74,52411
2018-09-28,3.92,3.6,3.76,3.92,61949
2018-10-01,4.0,3.76,3.78,3.77,115446
2018-10-02,3.8,3.65,3.78,3.78,37607
2018-10-03,4.49,4.0,4.48,4.07,668723
2018-10-04,4.44,4.25,4.4,4.44,122353
2018-10-05,4.59,4.2,4.54,4.44,99934
2018-10-08,5.7,4.55,5.2,4.55,629474
2018-10-09,5.98,5.0,5.78,5.2,464597
2018-10-10,5.84,5.32,5.5,5.84,222283
2018-10-11,5.68,4.65,5.6,5.4,367030
2018-10-12,5.5,5.12,5.44,5.5,128664
2018-10-15,5.46,4.82,5.26,5.44,251469
2018-10-16,5.36,4.95,5.1,5.26,110224
2018-10-17,5.28,4.91,5.1,5.1,126728
2018-10-18,5.4,5.1,5.24,5.14,154427
2018-10-19,5.32,4.9,5.1,5.24,209630
2018-10-22,5.0,4.65,4.83,4.93,334066
2018-10-23,5.68,4.8,5.36,4.8,466454
2018-10-24,5.6,5.08,5.36,5.38,219076
2018-10-25,5.26,4.95,5.18,5.18,173462
2018-10-26,5.5,5.02,5.44,5.18,94212
2018-10-29,5.76,5.2,5.5,5.44,149811
2018-10-30,6.0,5.4,5.5,5.48,244327
2018-10-31,5.6,4.7,5.3,5.6,177924
2018-11-01,6.0,4.21,4.37,6.0,1953917
2018-11-02,4.32,3.81,4.06,4.29,704720
2018-11-05,4.39,3.95,4.09,4.0,236708
2018-11-06,4.14,3.73,3.85,4.09,262224
2018-11-07,3.99,3.47,3.6,3.9,302226
2018-11-08,3.6,3.3,3.46,3.6,228955
2018-11-09,3.8,3.25,3.78,3.35,218802
2018-11-12,4.19,3.56,3.56,3.66,296738
2018-11-13,3.6,3.3,3.48,3.6,126181
2018-11-14,3.49,3.26,3.45,3.49,59518
2018-11-15,3.8,3.32,3.8,3.45,120675
2018-11-16,3.95,3.4,3.49,3.8,143958
2018-11-19,3.49,3.28,3.31,3.49,93007
2018-11-20,3.4,3.02,3.05,3.31,120985
2018-11-21,3.66,3.06,3.31,3.06,119983
2018-11-22,3.4,3.08,3.2,3.39,51085
2018-11-23,3.38,3.09,3.2,3.2,44648
2018-11-26,3.19,3.02,3.09,3.19,42021
2018-11-27,3.17,3.01,3.16,3.08,45311
2018-11-28,3.09,3.0,3.09,3.06,27828
2018-11-29,3.17,3.0,3.08,3.17,35527
2018-11-30,3.08,2.99,3.08,3.04,80307
2018-12-03,3.08,2.83,2.96,3.08,61115
2018-12-04,2.98,2.8,2.98,2.96,60319
2018-12-05,3.17,2.9,2.98,3.17,42702
2018-12-06,3.1,2.85,3.04,2.9,47739
2018-12-07,3.09,2.97,3.09,3.04,40259
2018-12-10,3.25,2.83,2.91,3.25,122527
2018-12-11,3.0,2.8,2.9,2.99,56399
2018-12-12,2.9,2.76,2.85,2.9,33380
2018-12-13,2.9,2.8,2.9,2.81,15260
2018-12-14,2.9,2.73,2.9,2.9,82684
2018-12-17,3.15,2.73,2.82,2.82,50419
2018-12-18,2.9,2.71,2.83,2.82,8380
2018-12-19,2.9,2.64,2.77,2.9,55790
2018-12-20,2.7,2.5,2.69,2.69,69475
2018-12-21,2.81,2.51,2.78,2.69,64372
2018-12-27,2.78,2.6,2.69,2.78,36585
2018-12-28,2.8,2.5,2.56,2.61,64791
2019-01-02,2.76,2.6,2.7,2.6,55785
2019-01-03,2.71,2.52,2.69,2.65,48173
2019-01-04,2.77,2.61,2.77,2.69,49795
2019-01-07,2.94,2.74,2.91,2.8,100681
2019-01-08,2.9,2.69,2.79,2.9,38735
2019-01-09,2.79,2.61,2.7,2.78,107029
2019-01-10,2.88,2.62,2.76,2.7,114064
2019-01-11,2.89,2.76,2.89,2.76,61342
2019-01-14,2.8,2.7,2.8,2.8,55285
2019-01-15,2.89,2.7,2.81,2.8,132808
2019-01-16,2.89,2.71,2.89,2.81,94347
2019-01-17,2.89,2.75,2.89,2.8,52742
2019-01-18,2.97,2.75,2.8,2.89,77140
2019-01-21,2.78,2.65,2.73,2.75,48638
2019-01-22,2.69,2.56,2.66,2.65,83056
2019-01-23,2.66,2.4,2.56,2.66,84865
2019-01-24,2.64,2.47,2.48,2.49,49324
2019-01-25,2.82,2.56,2.8,2.56,88256
2019-01-28,2.89,2.67,2.81,2.8,85918
2019-01-29,2.85,2.61,2.72,2.81,56912
2019-01-30,2.78,2.6,2.69,2.78,51614
2019-01-31,2.7,2.62,2.65,2.62,14916
2019-02-01,2.8,2.66,2.8,2.7,72227
2019-02-04,3.42,2.84,2.84,3.06,559914
2019-02-05,3.02,2.79,2.84,2.87,165501
2019-02-06,2.91,2.75,2.85,2.81,71383
2019-02-07,2.86,2.75,2.8,2.86,128587
2019-02-08,2.88,2.76,2.83,2.8,29026
2019-02-11,2.99,2.68,2.8,2.93,110094
2019-02-12,2.78,2.65,2.77,2.71,85042
2019-02-13,2.79,2.55,2.68,2.79,92905
2019-02-14,2.68,2.55,2.65,2.68,43623
2019-02-15,2.7,2.52,2.69,2.65,48363
2019-02-18,2.8,2.63,2.77,2.76,38349
2019-02-19,2.73,2.6,2.68,2.68,66334
2019-02-20,2.89,2.62,2.8,2.75,65559
2019-02-21,2.78,2.67,2.78,2.67,5847
2019-02-22,2.68,2.61,2.64,2.67,23876
2019-02-25,2.72,2.52,2.67,2.72,59100
2019-02-26,2.67,2.53,2.65,2.67,63588
2019-02-27,2.8,2.6,2.7,2.6,33788
2019-02-28,2.68,2.6,2.68,2.62,11590
2019-03-01,2.68,2.5,2.66,2.68,99866
2019-03-04,2.64,2.42,2.62,2.59,34825
2019-03-05,2.64,2.5,2.56,2.64,11335
2019-03-06,2.71,2.49,2.68,2.56,49275
2019-03-07,2.71,2.6,2.7,2.7,19660
2019-03-08,2.7,2.6,2.6,2.7,8954
2019-03-11,2.68,2.55,2.62,2.56,21935
2019-03-12,2.6,2.55,2.57,2.57,38894
2019-03-13,2.62,2.51,2.59,2.57,29133
2019-03-14,2.59,2.53,2.59,2.58,11426
2019-03-15,2.59,2.48,2.57,2.5,22808
2019-03-18,2.59,2.48,2.56,2.57,26293
2019-03-19,2.58,2.44,2.56,2.48,47753
2019-03-20,2.52,2.44,2.45,2.45,47848
2019-03-21,2.55,2.47,2.53,2.52,10071
2019-03-22,2.52,2.4,2.52,2.46,76173
2019-03-25,2.64,2.39,2.64,2.44,181342
2019-03-26,2.69,2.55,2.65,2.68,36777
2019-03-27,2.62,2.45,2.45,2.62,111626
2019-03-28,2.53,2.42,2.43,2.53,59636
2019-03-29,2.55,2.4,2.47,2.43,113038
2019-04-01,2.43,2.35,2.35,2.4,111639
2019-04-02,2.42,2.3,2.39,2.41,44254
2019-04-03,2.48,2.36,2.48,2.37,43626
2019-04-04,2.42,2.32,2.42,2.4,110108
2019-04-05,2.49,2.36,2.44,2.49,36911
2019-04-08,2.44,2.3,2.4,2.44,51864
2019-04-09,2.37,2.3,2.37,2.31,50223
2019-04-10,2.43,2.31,2.4,2.36,77487
2019-04-11,2.42,2.32,2.4,2.36,59227
2019-04-12,2.56,2.36,2.4,2.4,239059
2019-04-15,2.44,2.35,2.42,2.41,35579
2019-04-16,2.43,2.32,2.42,2.36,20712
2019-04-17,2.4,2.33,2.33,2.37,29128
2019-04-18,2.38,2.3,2.33,2.37,40016
2019-04-23,2.37,2.3,2.31,2.3,19651
2019-04-24,2.6,2.32,2.41,2.34,86178
2019-04-25,2.41,2.3,2.39,2.41,46500
2019-04-26,2.4,2.34,2.4,2.39,35095
2019-04-29,2.51,2.4,2.4,2.45,149045
2019-04-30,2.43,2.4,2.41,2.4,29817
2019-05-02,2.46,2.36,2.4,2.43,68552
2019-05-03,2.46,2.4,2.4,2.4,71319
2019-05-06,2.45,2.35,2.45,2.39,72602
2019-05-07,2.51,2.4,2.45,2.48,81833
2019-05-08,2.52,2.4,2.47,2.5,58472
2019-05-09,2.5,2.4,2.41,2.4,53584
2019-05-10,2.49,2.37,2.49,2.41,38252
2019-05-13,2.49,2.41,2.41,2.46,13526
2019-05-14,2.41,2.3,2.3,2.41,22009
2019-05-15,2.43,2.28,2.35,2.3,34330
2019-05-16,2.36,2.3,2.3,2.36,27338
2019-05-17,2.32,2.21,2.31,2.3,45204
2019-05-20,2.39,2.26,2.3,2.31,30222
2019-05-21,2.35,2.22,2.28,2.35,23235
2019-05-22,2.4,2.28,2.4,2.28,52260
2019-05-23,2.38,2.24,2.27,2.32,136503
2019-05-24,2.4,2.3,2.4,2.3,28792
2019-05-27,2.49,2.37,2.41,2.4,89451
2019-05-28,2.46,2.3,2.32,2.46,87862
2019-05-29,2.36,2.26,2.3,2.32,82426
2019-05-31,2.4,2.26,2.4,2.3,71644
2019-06-03,2.59,2.32,2.37,2.47,85241
2019-06-04,2.4,2.32,2.36,2.37,58746
2019-06-05,2.46,2.36,2.45,2.41,16244
