Date,High,Low,Close,Open,Volume
2020-01-02,171.8,164.2,169.0,167.4,59930
2020-01-03,170.2,165.6,168.4,168.6,43295
2020-01-07,171.6,168.0,171.4,168.2,93105
2020-01-08,171.8,169.4,170.6,170.8,35667
2020-01-09,174.6,171.8,173.8,171.8,80722
2020-01-10,177.2,172.2,174.8,173.8,45385
2020-01-13,181.8,174.6,180.6,174.8,65908
2020-01-14,181.6,178.6,180.0,180.0,71637
2020-01-15,183.0,179.0,181.8,180.0,38506
2020-01-16,183.0,180.0,182.4,181.8,34277
2020-01-17,186.2,180.0,186.0,182.2,66168
2020-01-20,200.5,187.6,196.4,187.6,126688
2020-01-21,201.5,197.0,198.0,197.2,116643
2020-01-22,201.0,190.4,190.4,200.0,81634
2020-01-23,195.4,188.4,192.4,190.0,109818
2020-01-24,197.0,192.4,192.4,196.2,24284
2020-01-27,192.0,183.6,189.8,192.0,58230
2020-01-28,191.0,187.2,187.2,188.0,18826
2020-01-29,189.0,183.8,185.8,187.6,22813
2020-01-30,185.4,178.4,180.0,185.4,69417
2020-01-31,178.8,169.0,169.0,178.2,116662
2020-02-03,180.0,165.0,179.0,168.2,221392
2020-02-04,189.0,179.4,188.6,179.4,90912
2020-02-05,195.0,189.0,195.0,189.0,61961
2020-02-06,195.0,191.8,193.6,195.0,43932
2020-02-07,196.0,193.4,195.6,193.6,53902
2020-02-10,198.0,195.6,196.6,195.6,44990
2020-02-11,199.8,195.0,196.0,197.0,206104
2020-02-12,203.0,198.0,202.0,200.0,271968
2020-02-13,204.0,199.4,203.0,202.0,126465
2020-02-14,204.5,202.5,204.5,203.0,33839
2020-02-17,204.5,198.0,204.0,204.5,50867
2020-02-18,207.5,202.5,207.0,202.5,125927
2020-02-19,216.5,203.5,215.0,207.0,77129
2020-02-20,222.5,215.0,222.0,215.0,91681
2020-02-21,222.0,214.0,220.0,219.0,58322
2020-02-24,218.0,201.0,208.0,218.0,130097
2020-02-25,210.5,198.0,205.0,204.0,141329
2020-02-26,205.0,187.0,205.0,201.5,206761
2020-02-27,203.5,189.0,198.8,202.5,116455
2020-02-28,190.0,180.0,187.0,183.8,285754
2020-03-02,204.5,182.6,188.6,189.0,99823
2020-03-03,198.6,191.4,192.8,191.4,92918
2020-03-04,194.0,186.2,193.4,192.8,52789
2020-03-05,196.0,185.0,188.0,195.2,57626
2020-03-06,186.2,180.0,186.2,185.0,113878
2020-03-09,184.2,169.0,177.4,175.0,122338
2020-03-10,185.0,175.0,180.0,177.4,123541
2020-03-11,182.8,176.4,182.8,179.8,114613
2020-03-12,176.0,146.8,173.0,175.0,506192
2020-03-13,176.2,161.0,167.0,165.2,378034
2020-03-16,160.6,136.0,143.6,160.0,686914
2020-03-17,143.6,122.6,136.0,143.6,865250
2020-03-18,141.0,130.2,131.4,132.0,242551
2020-03-19,150.0,134.0,145.0,135.0,293143
2020-03-20,155.0,136.6,139.4,148.6,222135
2020-03-23,138.0,129.0,134.0,134.8,229317
