Date,High,Low,Close,Open,Volume
2020-01-02,4.0,3.8,3.8,3.9,960
2020-01-03,3.84,3.7,3.84,3.82,8750
2020-01-07,3.94,3.8,3.94,3.84,2696
2020-01-08,3.94,3.94,3.94,3.94,0
2020-01-09,3.86,3.68,3.82,3.72,121
2020-01-10,3.8,3.68,3.76,3.68,11146
2020-01-13,3.72,3.54,3.6,3.64,7296
2020-01-14,3.7,3.54,3.54,3.7,500
2020-01-15,3.66,3.5,3.5,3.66,860
2020-01-16,3.54,3.48,3.54,3.54,2110
2020-01-17,3.5,3.4,3.5,3.5,100
2020-01-20,3.68,3.4,3.68,3.4,16945
2020-01-21,4.0,3.5,3.56,3.7,16348
2020-01-22,3.62,3.5,3.52,3.54,5680
2020-01-23,3.6,3.48,3.5,3.48,4265
2020-01-24,3.7,3.46,3.6,3.5,12451
2020-01-27,3.7,3.58,3.58,3.58,2474
2020-01-28,3.48,3.44,3.44,3.48,400
2020-01-29,3.4,3.36,3.36,3.36,1838
2020-01-30,3.38,3.28,3.38,3.36,10241
2020-01-31,3.56,3.42,3.56,3.42,6440
2020-02-03,3.7,3.5,3.5,3.6,32620
2020-02-04,3.52,3.5,3.52,3.52,1964
2020-02-05,3.52,3.46,3.46,3.52,11580
2020-02-06,3.46,3.46,3.46,3.46,0
2020-02-07,3.52,3.46,3.52,3.46,7660
2020-02-10,3.5,3.46,3.46,3.5,3755
2020-02-11,3.5,3.38,3.5,3.4,7020
2020-02-12,3.48,3.48,3.48,3.48,620
2020-02-13,3.56,3.56,3.56,3.56,41
2020-02-14,3.58,3.46,3.46,3.46,95
2020-02-17,3.5,3.46,3.46,3.5,120
2020-02-18,3.46,3.36,3.36,3.46,4090
2020-02-19,3.48,3.36,3.4,3.48,185
2020-02-20,3.48,3.32,3.34,3.48,1135
2020-02-21,3.44,3.32,3.32,3.32,1040
2020-02-24,3.44,3.32,3.32,3.44,2040
2020-02-25,3.34,3.32,3.34,3.32,980
2020-02-26,3.3,3.22,3.3,3.22,45
2020-02-27,3.24,3.0,3.0,3.24,30878
2020-02-28,3.12,3.0,3.0,3.12,8840
2020-03-02,3.06,2.88,2.88,3.06,2820
2020-03-03,2.96,2.96,2.96,2.96,27
2020-03-04,2.92,2.92,2.92,2.92,60
2020-03-05,2.92,2.92,2.92,2.92,0
2020-03-06,2.92,2.92,2.92,2.92,100
2020-03-09,2.86,2.68,2.68,2.86,572
2020-03-10,2.9,2.62,2.9,2.62,19384
2020-03-11,2.82,2.7,2.7,2.82,10064
2020-03-12,2.6,2.5,2.6,2.5,440
2020-03-13,2.7,2.6,2.7,2.6,41
2020-03-16,2.6,2.4,2.4,2.6,9240
2020-03-17,2.14,2.1,2.1,2.14,3200
2020-03-18,2.1,2.1,2.1,2.1,0
2020-03-19,2.14,2.02,2.02,2.06,1420
2020-03-20,2.16,2.02,2.16,2.02,12967
2020-03-23,2.16,1.72,1.77,2.16,90773
2020-03-24,1.87,1.68,1.76,1.78,58787
2020-03-25,1.79,1.5,1.5,1.76,72379
2020-03-26,1.78,1.51,1.63,1.51,85823
2020-03-27,1.58,1.5,1.5,1.58,38651
2020-03-30,1.49,1.3,1.49,1.3,19099
2020-03-31,1.54,1.48,1.5,1.49,41996
2020-04-01,1.455,1.41,1.455,1.415,14244
2020-04-02,1.44,1.44,1.44,1.44,40
2020-04-03,1.505,1.505,1.505,1.505,340
2020-04-06,1.505,1.415,1.48,1.505,3726
2020-04-07,1.535,1.425,1.52,1.425,33234
2020-04-08,1.53,1.43,1.465,1.44,4040
2020-04-09,1.465,1.465,1.465,1.465,0
2020-04-14,1.475,1.47,1.47,1.475,9387
2020-04-15,1.505,1.445,1.505,1.445,28860
2020-04-16,1.6,1.55,1.55,1.58,56241
2020-04-17,1.53,1.41,1.41,1.53,79428
2020-04-20,1.49,1.385,1.42,1.49,12944
2020-04-21,1.42,1.415,1.42,1.415,109
2020-04-22,1.46,1.39,1.39,1.42,14540
2020-04-23,1.425,1.39,1.39,1.425,731
2020-04-24,1.43,1.4,1.43,1.425,1144
2020-04-27,1.435,1.43,1.435,1.43,468
2020-04-28,1.385,1.0,1.085,1.385,285418
2020-04-29,1.13,1.04,1.13,1.05,17549
2020-04-30,1.13,1.06,1.1,1.13,27590
2020-05-04,1.1,1.015,1.02,1.1,34321
2020-05-05,1.085,1.055,1.07,1.055,32508
2020-05-06,1.09,1.09,1.09,1.09,950
2020-05-07,1.05,1.01,1.045,1.05,8976
2020-05-08,1.025,0.994,1.025,1.025,78417
2020-05-11,0.998,0.93,0.932,0.932,30284
2020-05-12,0.98,0.934,0.94,0.98,2471
2020-05-13,0.98,0.93,0.95,0.94,6420
2020-05-14,0.92,0.9,0.9,0.91,15664
2020-05-15,0.92,0.91,0.92,0.91,563
2020-05-18,0.93,0.9,0.9,0.93,8674
2020-05-19,0.928,0.88,0.9,0.928,27355
2020-05-20,0.908,0.908,0.908,0.908,10706
2020-05-22,0.88,0.72,0.88,0.72,74773
2020-05-25,0.88,0.82,0.848,0.832,31311
2020-05-26,1.52,0.704,0.922,0.79,890822
2020-05-27,0.924,0.752,0.82,0.924,246476
2020-05-28,0.85,0.704,0.716,0.82,154220
2020-05-29,0.754,0.724,0.742,0.724,122431
2020-06-01,0.77,0.74,0.768,0.742,26700
2020-06-02,0.92,0.756,0.798,0.768,197802
