Date,Closing price,50,200
2018-06-04,20.2,,
2018-06-05,20.0,,
2018-06-07,20.0,,
2018-06-08,19.5,,
2018-06-11,19.8,,
2018-06-12,19.6,,
2018-06-13,19.3,,
2018-06-14,19.9,,
2018-06-15,19.1,,
2018-06-18,19.3,,
2018-06-19,20.0,,
2018-06-20,20.0,,
2018-06-21,20.5,,
2018-06-25,19.75,,
2018-06-26,18.9,,
2018-06-27,18.9,,
2018-06-28,19.6,,
2018-06-29,20.2,,
2018-07-02,18.5,,
2018-07-03,19.6,,
2018-07-04,18.7,,
2018-07-05,18.3,,
2018-07-06,19.5,,
2018-07-09,19.45,,
2018-07-10,20.0,,
2018-07-11,20.0,,
2018-07-12,20.5,,
2018-07-13,20.4,,
2018-07-16,22.0,,
2018-07-17,23.0,,
2018-07-18,23.0,,
2018-07-19,24.5,,
2018-07-20,25.0,,
2018-07-23,25.5,,
2018-07-24,26.0,,
2018-07-25,25.5,,
2018-07-26,25.5,,
2018-07-27,25.5,,
2018-07-30,25.9,,
2018-07-31,24.0,,
2018-08-01,22.8,,
2018-08-02,23.8,,
2018-08-03,23.8,,
2018-08-06,24.8,,
2018-08-07,23.5,,
2018-08-08,25.0,,
2018-08-09,24.5,,
2018-08-10,24.5,,
2018-08-13,24.0,,
2018-08-14,22.3,,
2018-08-15,23.3,,
2018-08-16,23.5,,
2018-08-17,25.0,,
2018-08-20,23.5,,
2018-08-21,25.0,,
2018-08-22,25.0,,
2018-08-23,25.9,,
2018-08-24,25.4,,
2018-08-27,25.4,,
2018-08-28,23.6,,
2018-08-29,24.0,,
2018-08-30,23.1,,
2018-08-31,20.4,,
2018-09-03,22.0,,
2018-09-04,22.6,,
2018-09-05,22.6,,
2018-09-06,20.6,,
2018-09-07,21.3,,
2018-09-10,21.3,,
2018-09-11,22.9,,
2018-09-12,22.2,,
2018-09-13,22.0,,
2018-09-14,22.1,,
2018-09-17,22.4,,
2018-09-18,22.1,,
2018-09-19,21.5,,
2018-09-20,23.0,,
2018-09-21,22.0,,
2018-09-24,22.0,,
2018-09-25,22.0,,
2018-09-26,20.6,,
2018-09-27,21.2,,
2018-09-28,19.55,,
2018-10-01,19.15,,
2018-10-02,21.0,,
2018-10-03,21.0,,
2018-10-04,21.0,,
2018-10-05,20.0,,
2018-10-08,20.0,,
2018-10-09,20.0,,
2018-10-10,19.2,,
2018-10-11,19.45,,
2018-10-12,18.7,,
2018-10-15,19.4,,
2018-10-16,19.55,,
2018-10-17,18.7,,
2018-10-18,19.5,,
2018-10-19,19.15,,
2018-10-22,19.15,,
2018-10-23,19.15,,
2018-10-24,19.15,,
2018-10-25,18.95,,
2018-10-26,18.9,,
2018-10-29,18.25,,
2018-10-30,19.0,,
2018-10-31,19.65,,
2018-11-01,18.25,,
2018-11-02,18.55,,
2018-11-05,18.1,,
2018-11-06,17.9,,
2018-11-07,17.45,,
2018-11-08,17.85,,
2018-11-09,17.95,,
2018-11-12,17.15,,
2018-11-13,16.7,,
2018-11-14,17.4,,
2018-11-15,18.95,,
2018-11-16,17.0,,
2018-11-19,16.6,,
2018-11-20,16.0,,
2018-11-21,17.0,,
2018-11-22,17.0,,
2018-11-23,15.9,,
2018-11-26,17.0,,
2018-11-27,17.95,,
2018-11-28,17.7,,
2018-11-29,17.2,,
2018-11-30,17.0,,
2018-12-03,17.5,,
2018-12-04,17.5,,
2018-12-05,17.5,,
2018-12-06,15.85,,
2018-12-07,16.15,,
2018-12-10,15.0,,
2018-12-11,16.25,,
2018-12-12,15.0,,
2018-12-13,15.6,,
2018-12-14,14.45,,
2018-12-17,13.95,,
2018-12-18,14.1,,
2018-12-19,15.0,,
2018-12-20,14.4,,
2018-12-21,14.6,,
2018-12-27,14.6,,
2018-12-28,16.35,,
2019-01-02,16.2,,
2019-01-03,15.4,,
2019-01-04,16.3,,
2019-01-07,15.7,,
2019-01-08,15.9,,
2019-01-09,15.7,,
2019-01-10,15.4,,
2019-01-11,15.3,,
2019-01-14,15.3,,
2019-01-15,15.3,,
2019-01-16,15.3,,
2019-01-17,15.3,,
2019-01-18,15.7,,
2019-01-21,15.7,,
2019-01-22,15.8,,
2019-01-23,15.8,,
2019-01-24,16.0,,
2019-01-25,15.55,,
2019-01-28,15.3,,
2019-01-29,15.5,,
2019-01-30,16.35,,
2019-01-31,16.0,,
2019-02-01,16.45,,
2019-02-04,16.5,,
2019-02-05,16.45,,
2019-02-06,16.0,,
2019-02-07,15.5,,
2019-02-08,15.5,,
2019-02-11,15.3,,
2019-02-12,15.3,,
2019-02-13,15.5,,
2019-02-14,16.35,,
2019-02-15,15.55,,
2019-02-18,15.5,,
2019-02-19,16.15,,
2019-02-20,16.5,,
2019-02-21,16.5,,
2019-02-22,16.5,,
2019-02-25,16.4,,
2019-02-26,16.05,,
2019-02-27,16.0,,
2019-02-28,16.0,,
2019-03-01,16.7,,
2019-03-04,16.4,,
2019-03-05,16.15,,
2019-03-06,16.15,,
2019-03-07,16.5,,
2019-03-08,16.85,,
2019-03-11,16.15,,
2019-03-12,16.85,,
2019-03-13,17.0,,
2019-03-14,17.0,,
