Date,High,Low,Close,Open,Volume
2020-01-02,3.75,3.65,3.74,3.75,110394
2020-01-03,3.72,3.63,3.72,3.69,58470
2020-01-07,3.91,3.71,3.85,3.74,270768
2020-01-08,3.92,3.7,3.76,3.86,99140
2020-01-09,3.99,3.79,3.99,3.79,288465
2020-01-10,4.04,3.8,4.04,3.96,205549
2020-01-13,4.12,3.89,3.99,4.03,239997
2020-01-14,3.99,3.81,3.81,3.99,94805
2020-01-15,4.0,3.81,3.96,3.89,141984
2020-01-16,4.09,3.96,4.0,3.96,103226
2020-01-17,3.98,3.86,3.95,3.93,188049
2020-01-20,3.99,3.91,3.95,3.99,50015
2020-01-21,4.1,3.87,4.08,3.95,217666
2020-01-22,4.1,3.89,3.9,4.1,103282
2020-01-23,3.93,3.84,3.84,3.91,46670
2020-01-24,3.92,3.86,3.86,3.92,38598
2020-01-27,3.89,3.81,3.81,3.85,45774
2020-01-28,3.85,3.81,3.85,3.81,18551
2020-01-29,3.96,3.85,3.96,3.92,39705
2020-01-30,3.91,3.86,3.9,3.86,3293
2020-01-31,3.88,3.81,3.88,3.84,106217
2020-02-03,3.9,3.84,3.88,3.9,17695
2020-02-04,3.88,3.81,3.87,3.81,78769
2020-02-05,3.9,3.8,3.8,3.9,71514
2020-02-06,3.86,3.79,3.85,3.8,36110
2020-02-07,3.79,3.77,3.77,3.79,19318
2020-02-10,3.89,3.71,3.89,3.76,21595
2020-02-11,3.9,3.83,3.9,3.83,27650
2020-02-12,3.9,3.82,3.82,3.9,25209
2020-02-13,3.84,3.81,3.81,3.81,20607
2020-02-14,3.9,3.79,3.82,3.9,69356
2020-02-17,3.89,3.78,3.86,3.82,71444
2020-02-18,3.89,3.8,3.8,3.89,33794
2020-02-19,3.86,3.71,3.75,3.86,118081
2020-02-20,3.85,3.7,3.78,3.75,39067
2020-02-21,3.78,3.61,3.67,3.74,224887
2020-02-24,3.66,3.51,3.6,3.65,279160
2020-02-25,3.72,3.6,3.7,3.6,79393
2020-02-26,3.69,3.51,3.59,3.64,116704
2020-02-27,3.66,3.47,3.47,3.66,88182
2020-02-28,3.47,3.32,3.41,3.44,91887
2020-03-02,3.47,3.36,3.44,3.36,63104
2020-03-03,3.49,3.42,3.42,3.44,45499
2020-03-04,3.51,3.37,3.45,3.42,175768
2020-03-05,3.42,3.33,3.42,3.38,129255
2020-03-06,3.52,3.31,3.4,3.42,228613
2020-03-09,3.39,3.19,3.28,3.39,96912
2020-03-10,3.59,3.2,3.24,3.28,91056
2020-03-11,3.54,3.29,3.29,3.3,8296
2020-03-12,3.29,2.9,2.9,3.29,93617
2020-03-13,3.19,2.87,2.98,2.9,90205
2020-03-16,2.98,2.75,2.82,2.98,25877
2020-03-17,2.86,2.52,2.67,2.86,49836
2020-03-18,2.79,2.6,2.77,2.66,104799
2020-03-19,2.89,2.77,2.89,2.79,12889
2020-03-20,3.1,2.89,3.01,2.97,109460
2020-03-23,3.0,2.67,2.82,3.0,114724
2020-03-24,3.49,2.7,3.07,2.82,79975
2020-03-25,3.16,3.01,3.14,3.1,68065
2020-03-26,3.14,2.85,2.95,3.14,45574
2020-03-27,2.98,2.8,2.8,2.98,104531
2020-03-30,2.99,2.7,2.99,2.8,98830
2020-03-31,3.2,2.85,3.14,2.95,391856
2020-04-01,3.18,2.93,3.17,3.12,99969
2020-04-02,3.24,3.08,3.24,3.13,84730
2020-04-03,3.29,3.14,3.14,3.25,45707
2020-04-06,3.25,3.1,3.12,3.15,67309
2020-04-07,3.17,3.1,3.14,3.12,38660
2020-04-08,3.35,3.16,3.31,3.16,221300
2020-04-09,3.46,3.3,3.46,3.34,81255
2020-04-14,3.48,3.33,3.44,3.46,82115
2020-04-15,3.48,3.32,3.48,3.44,82768
2020-04-16,3.39,3.29,3.3,3.39,86747
2020-04-17,3.3,3.2,3.22,3.3,77294
2020-04-20,3.39,3.23,3.39,3.23,35265
2020-04-21,3.41,3.26,3.41,3.33,192328
2020-04-22,3.47,3.39,3.39,3.45,64865
2020-04-23,3.4,3.21,3.4,3.33,102306
2020-04-24,3.47,3.35,3.35,3.47,22670
2020-04-27,3.47,3.26,3.34,3.47,92130
2020-04-28,3.49,3.3,3.48,3.34,124654
2020-04-29,3.5,3.39,3.49,3.41,92708
2020-04-30,3.5,3.4,3.5,3.49,26320
2020-05-04,3.4,3.24,3.32,3.4,134840
2020-05-05,3.38,3.32,3.38,3.32,1350
2020-05-06,3.44,3.16,3.4,3.44,138251
2020-05-07,3.36,3.15,3.2,3.36,75816
2020-05-08,3.25,3.15,3.21,3.25,20190
2020-05-11,3.27,2.98,3.02,3.24,283746
2020-05-12,3.08,2.97,3.02,3.08,75229
2020-05-13,3.02,2.83,2.93,2.97,158804
2020-05-14,2.9,2.75,2.8,2.9,116160
2020-05-15,2.83,2.8,2.8,2.82,27510
2020-05-18,3.01,2.8,3.01,2.85,152419
2020-05-19,3.08,2.99,3.06,2.99,39916
2020-05-20,3.03,3.0,3.0,3.01,22902
2020-05-22,3.0,2.94,2.98,2.94,29841
2020-05-25,2.98,2.93,2.97,2.93,29668
2020-05-26,2.97,2.85,2.97,2.97,136799
2020-05-27,2.98,2.87,2.87,2.91,67091
2020-05-28,2.99,2.87,2.99,2.92,58785
2020-05-29,3.05,2.94,3.03,2.96,136812
2020-06-01,3.2,2.94,3.09,3.01,159162
2020-06-02,3.11,3.0,3.07,3.09,41089
2020-06-03,3.07,2.98,2.98,3.07,47032
2020-06-04,2.98,2.85,2.88,2.98,122986
2020-06-05,2.98,2.91,2.97,2.94,129876
2020-06-08,3.06,2.92,3.05,2.97,56429
2020-06-09,3.1,3.06,3.06,3.1,88171
2020-06-10,3.11,3.02,3.02,3.11,36790
2020-06-11,3.02,3.0,3.02,3.02,8000
2020-06-12,3.01,2.92,2.96,2.96,28032
2020-06-15,2.99,2.96,2.99,2.97,26537
2020-06-16,3.06,2.97,3.06,3.0,36032
2020-06-17,3.14,3.04,3.04,3.06,14260
2020-06-18,3.06,3.02,3.06,3.05,42320
2020-06-22,3.12,3.02,3.07,3.06,19913
2020-06-23,3.19,3.07,3.19,3.13,55044
2020-06-24,3.21,3.17,3.21,3.19,11807
2020-06-25,3.18,3.09,3.1,3.18,15746
2020-06-26,3.1,3.04,3.08,3.1,13163
2020-06-29,3.15,3.09,3.15,3.09,43031
2020-06-30,3.33,3.2,3.3,3.2,50385
2020-07-01,3.37,3.23,3.29,3.36,29541
2020-07-02,3.31,3.24,3.24,3.29,27163
2020-07-03,3.29,3.15,3.19,3.29,52138
2020-07-06,3.2,3.1,3.15,3.2,15298
2020-07-07,3.21,3.1,3.1,3.2,21078
2020-07-08,3.5,3.14,3.14,3.5,33025
2020-07-09,3.27,3.2,3.27,3.2,37423
2020-07-10,3.3,3.25,3.25,3.27,16925
2020-07-13,3.26,3.19,3.19,3.25,2346
2020-07-14,3.16,3.1,3.13,3.15,4004
2020-07-15,3.2,3.11,3.2,3.11,38006
2020-07-16,3.22,3.13,3.15,3.2,14096
2020-07-17,3.22,3.12,3.22,3.12,25500
2020-07-20,3.18,3.12,3.18,3.18,7234
2020-07-21,3.18,3.12,3.18,3.17,17385
2020-07-22,3.33,3.1,3.32,3.17,198993
2020-07-23,3.39,3.24,3.39,3.24,103507
2020-07-24,3.35,3.29,3.34,3.33,49866
2020-07-27,3.36,3.25,3.36,3.34,24897
2020-07-28,3.24,3.14,3.2,3.2,75849
2020-07-29,3.26,3.2,3.26,3.25,4603
2020-07-30,3.26,3.19,3.19,3.26,11687
2020-07-31,3.34,3.13,3.34,3.19,133520
2020-08-03,3.36,3.28,3.28,3.33,102847
2020-08-04,3.34,3.28,3.29,3.34,34379
2020-08-05,3.4,3.29,3.36,3.36,123017
2020-08-06,3.36,3.29,3.32,3.36,58795
2020-08-07,3.37,3.25,3.37,3.3,58919
2020-08-10,3.37,3.31,3.36,3.36,32556
2020-08-11,3.58,3.36,3.36,3.58,49268
2020-08-12,3.36,3.28,3.31,3.36,41447
2020-08-13,3.43,3.3,3.43,3.32,141384
2020-08-14,3.68,3.43,3.6,3.43,245653
2020-08-17,3.73,3.6,3.72,3.6,85756
2020-08-18,3.87,3.66,3.84,3.7,201522
2020-08-19,3.97,3.62,3.7,3.86,211482
2020-08-20,3.92,3.66,3.92,3.66,99118
2020-08-21,3.9,3.66,3.7,3.9,157745
2020-08-24,3.76,3.54,3.6,3.76,135807
2020-08-25,3.6,3.54,3.56,3.6,22609
2020-08-26,3.57,3.48,3.53,3.53,36140
2020-08-27,3.59,3.46,3.59,3.57,45694
2020-08-28,3.64,3.55,3.64,3.6,88516
2020-08-31,3.7,3.65,3.67,3.67,58052
2020-09-01,3.68,3.66,3.66,3.67,4812
2020-09-02,3.76,3.62,3.67,3.65,173973
2020-09-03,3.73,3.65,3.7,3.72,184842
2020-09-04,3.79,3.61,3.79,3.68,63755
2020-09-07,3.88,3.74,3.8,3.77,23821
2020-09-08,3.9,3.74,3.87,3.8,92790
2020-09-09,3.91,3.8,3.83,3.86,82952
2020-09-10,3.83,3.81,3.81,3.83,8267
2020-09-11,3.87,3.76,3.82,3.8,26708
2020-09-14,3.85,3.73,3.73,3.82,20977
2020-09-15,3.88,3.75,3.87,3.8,6735
2020-09-16,3.91,3.81,3.88,3.87,44890
2020-09-17,3.88,3.83,3.88,3.88,14070
2020-09-18,3.85,3.77,3.84,3.85,8152
2020-09-21,3.86,3.7,3.75,3.86,68369
2020-09-22,3.82,3.75,3.81,3.82,31516
2020-09-23,3.82,3.75,3.75,3.82,13009
2020-09-24,3.85,3.75,3.85,3.75,11340
2020-09-25,3.85,3.72,3.76,3.85,36247
2020-09-28,3.86,3.72,3.81,3.72,140699
2020-09-29,3.89,3.82,3.83,3.89,61179
2020-09-30,3.83,3.83,3.83,3.83,1982
2020-10-01,3.91,3.83,3.9,3.85,86639
2020-10-02,3.99,3.86,3.99,3.9,87529
2020-10-05,4.12,3.99,4.04,3.99,280028
2020-10-06,4.19,4.04,4.14,4.04,129537
2020-10-07,4.15,4.08,4.12,4.14,102628
2020-10-08,4.19,4.11,4.11,4.12,38304
