Date,High,Low,Close,Open,Volume
2020-01-02,15.9,15.55,15.9,15.65,38873
2020-01-03,16.0,15.8,16.0,15.9,4456
2020-01-07,16.0,15.75,16.0,16.0,13235
2020-01-08,17.25,16.2,17.2,16.2,501231
2020-01-09,17.75,17.0,17.55,17.35,203149
2020-01-10,17.95,17.45,17.6,17.95,109282
2020-01-13,18.25,17.75,18.05,17.75,295918
2020-01-14,18.5,17.35,17.8,18.15,115808
2020-01-15,17.85,17.0,17.5,17.8,16937
2020-01-16,17.55,16.85,17.45,17.5,60018
2020-01-17,18.0,17.1,18.0,17.55,50437
2020-01-20,18.05,17.55,17.75,18.05,16761
2020-01-21,17.8,17.2,17.65,17.55,4462
2020-01-22,18.0,17.05,18.0,17.35,71661
2020-01-23,18.2,17.55,17.75,18.2,32425
2020-01-24,17.95,17.45,17.95,17.85,21317
2020-01-27,17.95,17.0,17.55,17.9,25072
2020-01-28,17.95,17.25,17.65,17.25,36173
2020-01-29,18.0,17.65,17.9,17.65,27186
2020-01-30,18.1,17.75,17.95,17.75,37381
2020-01-31,18.0,17.5,17.75,18.0,16347
2020-02-03,17.8,17.05,17.75,17.75,55047
2020-02-04,17.75,17.6,17.75,17.75,21213
2020-02-05,18.2,17.4,17.7,18.0,103196
2020-02-06,17.75,17.7,17.7,17.75,48137
2020-02-07,18.1,17.2,17.7,17.7,493199
2020-02-10,18.05,17.0,17.35,17.7,76101
2020-02-11,18.0,17.35,17.45,17.6,231010
2020-02-12,17.7,17.3,17.7,17.5,212291
2020-02-13,18.0,17.75,17.75,17.75,109857
2020-02-14,18.15,17.6,18.0,18.1,64134
2020-02-17,18.1,17.7,18.0,18.0,93955
2020-02-18,18.2,17.55,17.55,18.05,91224
2020-02-19,17.75,16.8,17.3,17.75,29819
2020-02-20,17.6,16.8,17.55,17.3,49825
2020-02-21,17.75,17.1,17.55,17.55,40053
2020-02-24,17.75,16.65,17.25,17.75,75752
2020-02-25,17.25,16.6,16.7,17.05,84938
2020-02-26,16.75,15.8,16.55,16.6,54826
2020-02-27,16.7,16.4,16.65,16.55,30435
2020-02-28,16.5,15.4,16.2,16.5,56710
2020-03-02,16.9,16.35,16.35,16.45,39902
2020-03-03,16.7,16.1,16.4,16.1,46242
2020-03-04,16.75,16.3,16.4,16.4,15363
2020-03-05,16.7,15.85,16.2,16.4,72800
2020-03-06,16.1,15.7,15.9,16.0,15241
2020-03-09,15.55,14.9,15.1,14.95,31159
2020-03-10,15.7,15.0,15.0,15.4,80761
2020-03-11,14.9,14.2,14.2,14.9,105598
2020-03-12,13.9,11.7,12.8,13.55,111323
2020-03-13,13.95,12.25,13.95,12.65,95406
2020-03-16,12.5,10.75,12.0,12.0,153116
2020-03-17,12.4,11.0,12.05,11.8,102882
2020-03-18,12.25,11.4,12.05,11.8,85314
2020-03-19,12.4,12.05,12.4,12.1,24472
2020-03-20,12.95,11.6,11.95,12.4,78812
2020-03-23,11.5,10.5,10.65,11.45,101909
2020-03-24,11.55,10.8,10.85,11.05,53371
2020-03-25,12.2,10.95,11.75,10.95,350404
2020-03-26,11.75,10.5,11.05,11.75,51663
2020-03-27,11.4,10.8,11.0,11.2,53744
2020-03-30,11.0,10.65,10.75,10.95,16011
2020-03-31,11.15,10.8,10.9,10.9,143674
2020-04-01,10.9,10.7,10.85,10.85,31366
2020-04-02,11.0,10.5,10.65,10.95,78886
2020-04-03,10.7,10.4,10.5,10.65,57989
2020-04-06,11.4,10.75,10.95,10.85,24864
