Date,High,Low,Close,Open,Volume
2020-01-02,18.5,17.15,18.15,17.2,16215
2020-01-03,19.05,17.9,17.9,18.85,24835
2020-01-07,19.0,17.9,18.45,17.9,11072
2020-01-08,18.85,18.1,18.85,18.45,2437
2020-01-09,19.0,18.05,18.65,18.85,11777
2020-01-10,18.95,17.95,18.6,18.85,8143
2020-01-13,18.95,18.15,18.8,18.6,7669
2020-01-14,18.95,18.35,18.95,18.95,3786
2020-01-15,18.95,18.35,18.9,18.95,5193
2020-01-16,18.9,18.3,18.3,18.9,4744
2020-01-17,18.9,18.3,18.8,18.3,1359
2020-01-20,19.0,18.4,19.0,18.8,8120
2020-01-21,19.0,18.55,19.0,19.0,10618
2020-01-22,19.0,18.85,19.0,19.0,3378
2020-01-23,19.5,18.5,19.4,19.0,9959
2020-01-24,19.55,18.75,18.8,19.5,8335
2020-01-27,19.4,18.8,18.9,18.85,6594
2020-01-28,19.4,18.6,18.7,19.4,4899
2020-01-29,19.1,18.75,19.0,18.85,1074
2020-01-30,19.1,18.75,19.0,19.0,1591
2020-01-31,19.35,18.7,19.3,19.1,4264
2020-02-03,19.25,18.8,19.15,18.85,4342
2020-02-04,19.35,19.0,19.15,19.35,612
2020-02-05,19.5,19.05,19.5,19.15,16888
2020-02-06,19.55,19.2,19.4,19.5,7123
2020-02-07,19.5,19.2,19.4,19.4,9545
2020-02-10,19.55,19.0,19.45,19.55,6310
2020-02-11,19.6,19.45,19.5,19.55,7954
2020-02-12,19.6,19.45,19.5,19.5,9237
2020-02-13,19.6,19.45,19.6,19.6,2209
2020-02-14,19.6,18.7,19.1,19.6,8790
2020-02-17,19.6,19.1,19.3,19.1,3217
2020-02-18,19.85,18.85,18.9,19.75,11597
2020-02-19,19.85,18.9,19.5,18.95,8922
2020-02-20,19.9,19.7,19.9,19.8,7527
2020-02-21,19.9,19.6,19.9,19.9,7940
2020-02-24,20.0,19.05,19.95,19.9,20577
2020-02-25,20.3,19.25,19.6,19.95,11165
2020-02-26,20.3,19.5,19.7,19.6,17411
2020-02-27,20.2,18.75,19.25,20.2,14805
2020-02-28,19.25,17.75,18.4,19.0,20666
2020-03-02,19.5,18.45,19.45,18.45,8244
2020-03-03,21.0,19.5,19.8,19.7,4573
2020-03-04,20.9,18.85,20.4,20.8,7256
2020-03-05,20.4,19.9,20.0,20.4,3366
2020-03-06,20.0,18.5,19.75,20.0,10524
2020-03-09,19.5,17.0,18.0,19.5,16474
2020-03-10,19.1,18.05,18.2,18.05,4377
2020-03-11,19.0,16.8,16.8,18.2,12584
2020-03-12,16.8,16.0,16.3,16.7,8828
2020-03-13,18.9,15.85,17.5,16.0,16405
2020-03-16,18.2,15.0,16.75,18.2,10290
2020-03-17,16.0,14.0,15.0,16.0,11730
2020-03-18,17.1,15.3,16.2,15.95,5601
2020-03-19,17.0,16.0,16.55,16.2,2681
2020-03-20,17.5,16.55,17.0,16.55,2262
2020-03-23,17.0,16.1,16.3,16.9,5378
2020-03-24,17.5,16.3,17.0,16.3,3707
2020-03-25,18.5,16.4,17.25,17.2,7910
2020-03-26,17.45,16.0,16.15,17.25,8180
2020-03-27,16.95,16.0,16.75,16.95,5555
2020-03-30,16.75,15.9,16.15,16.75,2242
2020-03-31,16.75,15.8,15.8,16.75,11102
2020-04-01,16.15,14.8,15.8,15.85,14949
2020-04-02,15.55,14.5,15.2,15.55,5580
2020-04-03,16.4,15.0,16.3,15.05,4520
2020-04-06,17.05,16.0,16.8,16.3,5820
2020-04-07,17.2,16.35,16.9,17.2,4415
2020-04-08,17.2,16.1,16.9,17.0,1975
2020-04-09,17.9,16.35,16.45,16.85,4646
2020-04-14,18.0,16.5,17.0,16.55,2781
2020-04-15,17.5,17.0,17.3,17.0,2187
2020-04-16,18.0,15.75,15.9,17.3,33450
2020-04-17,16.45,15.5,15.5,15.9,6178
2020-04-20,15.95,15.1,15.4,15.55,3282
2020-04-21,16.15,15.2,15.85,16.15,1021
2020-04-22,16.0,15.25,16.0,15.85,693
2020-04-23,16.1,15.35,15.95,15.5,3040
2020-04-24,16.15,15.5,16.1,15.95,6706
2020-04-27,16.1,15.55,16.0,16.1,4193
2020-04-28,16.0,15.5,15.5,16.0,10510
2020-04-29,16.0,15.5,15.75,15.5,5422
2020-04-30,15.95,15.4,15.75,15.75,4488
2020-05-04,15.75,15.3,15.65,15.75,6911
2020-05-05,16.1,15.3,15.4,15.6,1541
2020-05-06,15.95,15.2,15.35,15.4,2484
2020-05-07,15.35,14.95,14.95,15.35,6179
2020-05-08,15.15,14.95,15.15,15.05,2762
2020-05-11,15.15,14.6,15.05,15.15,11461
2020-05-12,15.1,14.95,15.1,15.1,10504
2020-05-13,15.1,14.5,14.85,15.1,16939
