Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,13.0,12.9,13.0,12.9,1000
2018-06-07,13.0,12.5,12.6,13.0,2491
2018-06-08,12.6,12.6,12.6,12.6,0
2018-06-11,12.6,12.3,12.4,12.6,4414
2018-06-12,12.0,12.0,12.0,12.0,666
2018-06-13,12.2,12.0,12.0,12.0,1668
2018-06-14,12.0,11.7,11.7,12.0,764
2018-06-15,12.2,12.2,12.2,12.2,1230
2018-06-18,12.0,12.0,12.0,12.0,46
2018-06-19,12.4,12.0,12.4,12.0,1009
2018-06-20,12.8,12.8,12.8,12.8,2500
2018-06-21,12.6,12.6,12.6,12.6,1
2018-06-25,13.1,13.1,13.1,13.1,40
2018-06-26,12.6,12.6,12.6,12.6,1191
2018-06-27,12.2,12.2,12.2,12.2,1230
2018-06-28,12.3,12.2,12.3,12.2,1000
2018-06-29,12.2,12.1,12.2,12.1,1481
2018-07-02,12.0,12.0,12.0,12.0,48
2018-07-03,12.9,12.4,12.4,12.4,6110
2018-07-04,12.4,12.4,12.4,12.4,0
2018-07-05,12.4,12.4,12.4,12.4,0
2018-07-06,12.4,12.4,12.4,12.4,0
2018-07-09,12.4,12.4,12.4,12.4,1
2018-07-10,12.4,12.4,12.4,12.4,0
2018-07-11,12.5,12.5,12.5,12.5,2
2018-07-12,12.5,12.5,12.5,12.5,0
2018-07-13,12.5,12.5,12.5,12.5,0
2018-07-16,12.5,12.5,12.5,12.5,0
2018-07-17,12.4,12.4,12.4,12.4,566
2018-07-18,12.4,12.4,12.4,12.4,0
2018-07-19,12.5,12.2,12.5,12.2,1767
2018-07-20,12.5,12.5,12.5,12.5,1200
2018-07-23,12.4,11.7,11.7,12.4,1351
2018-07-24,11.7,11.7,11.7,11.7,0
2018-07-25,11.7,11.7,11.7,11.7,0
2018-07-26,11.7,11.7,11.7,11.7,0
2018-07-27,11.7,11.7,11.7,11.7,150
2018-07-30,11.7,11.7,11.7,11.7,27
2018-07-31,11.7,11.7,11.7,11.7,20
2018-08-01,11.7,11.7,11.7,11.7,0
2018-08-02,11.6,11.6,11.6,11.6,5
2018-08-03,11.6,11.6,11.6,11.6,0
2018-08-06,11.6,11.6,11.6,11.6,0
2018-08-07,11.6,11.6,11.6,11.6,0
2018-08-08,11.6,11.6,11.6,11.6,1
2018-08-09,11.6,11.6,11.6,11.6,1000
2018-08-10,11.7,10.9,10.9,11.7,5226
2018-08-13,10.9,10.9,10.9,10.9,0
2018-08-14,10.9,10.9,10.9,10.9,0
2018-08-15,10.9,10.9,10.9,10.9,0
2018-08-16,8.55,8.55,8.55,8.55,2
2018-08-17,9.95,8.6,9.6,8.6,3100
2018-08-20,9.1,8.75,8.75,9.1,304
2018-08-21,8.65,8.65,8.65,8.65,1
2018-08-22,8.6,8.5,8.5,8.6,1000
2018-08-23,15.5,10.1,15.0,10.8,19469
2018-08-24,15.0,12.9,13.0,15.0,1731
2018-08-27,13.0,12.8,13.0,12.8,1001
2018-08-28,14.0,13.0,13.5,13.9,3068
2018-08-29,15.2,13.5,15.2,13.9,1500
2018-08-30,13.2,13.2,13.2,13.2,193
2018-08-31,16.1,13.8,16.1,13.8,4976
2018-09-03,15.0,14.7,15.0,15.0,4300
2018-09-04,16.3,14.4,14.4,15.0,4435
2018-09-05,15.0,14.8,15.0,14.8,1626
2018-09-06,14.5,13.5,13.5,14.5,2268
2018-09-07,14.7,14.6,14.6,14.7,203
2018-09-10,14.6,14.6,14.6,14.6,0
2018-09-11,14.7,14.2,14.2,14.7,758
2018-09-12,14.7,14.7,14.7,14.7,1519
2018-09-13,14.7,14.7,14.7,14.7,1750
2018-09-14,16.1,14.1,16.1,14.3,3434
2018-09-17,14.8,14.8,14.8,14.8,1049
2018-09-18,14.8,14.8,14.8,14.8,22
2018-09-19,14.8,14.8,14.8,14.8,22
2018-09-20,14.7,14.7,14.7,14.7,2
2018-09-21,14.5,14.3,14.5,14.3,41
2018-09-24,14.2,14.2,14.2,14.2,1333
2018-09-25,14.2,14.2,14.2,14.2,0
2018-09-26,14.2,13.8,13.8,14.0,1011
2018-09-27,13.8,13.8,13.8,13.8,1000
2018-09-28,13.9,13.9,13.9,13.9,1
2018-10-01,13.9,13.9,13.9,13.9,1
2018-10-02,14.0,13.5,13.5,14.0,88
2018-10-03,13.5,13.5,13.5,13.5,0
2018-10-04,13.4,12.7,12.7,13.4,1977
2018-10-05,12.7,12.7,12.7,12.7,0
2018-10-08,12.7,12.7,12.7,12.7,1
2018-10-09,12.7,12.7,12.7,12.7,0
2018-10-10,12.8,12.8,12.8,12.8,1
2018-10-11,12.4,12.4,12.4,12.4,98
2018-10-12,12.0,12.0,12.0,12.0,987
2018-10-15,11.9,11.7,11.9,11.7,1430
2018-10-16,11.7,11.7,11.7,11.7,1
2018-10-17,11.7,11.5,11.5,11.7,795
2018-10-18,11.9,11.8,11.8,11.9,59
2018-10-19,11.8,11.8,11.8,11.8,1
2018-10-22,11.8,11.8,11.8,11.8,7
2018-10-23,11.5,11.1,11.1,11.5,2659
2018-10-24,11.2,11.1,11.2,11.1,2436
2018-10-25,11.5,11.3,11.4,11.3,1290
2018-10-26,11.1,11.1,11.1,11.1,100
2018-10-29,11.4,11.0,11.0,11.0,152
2018-10-30,11.0,11.0,11.0,11.0,0
2018-10-31,11.4,11.1,11.3,11.1,1667
2018-11-01,12.0,11.5,12.0,11.5,3190
2018-11-02,12.0,12.0,12.0,12.0,1304
2018-11-05,12.2,12.2,12.2,12.2,1373
2018-11-06,12.4,12.4,12.4,12.4,1180
2018-11-07,12.9,12.6,12.6,12.6,3028
2018-11-08,12.9,12.7,12.7,12.9,1966
2018-11-09,12.9,12.4,12.4,12.9,425
2018-11-12,12.5,12.3,12.3,12.5,2420
2018-11-13,12.6,12.0,12.6,12.0,820
