Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,95.6,93.5,94.65,94.0,511728
2018-06-07,97.95,95.7,96.85,95.9,1151194
2018-06-08,97.0,95.0,96.15,96.5,540051
2018-06-11,96.9,95.8,96.0,96.5,361015
2018-06-12,97.1,95.6,95.7,96.55,544115
2018-06-13,96.4,94.9,95.35,95.5,440924
2018-06-14,96.25,93.8,96.1,94.65,463710
2018-06-15,96.9,93.95,93.95,96.2,482237
2018-06-18,94.05,93.1,93.75,93.8,600796
2018-06-19,93.2,91.2,92.0,93.05,758436
2018-06-20,93.45,92.0,92.9,92.0,641354
2018-06-21,93.9,90.8,91.05,93.05,853608
2018-06-25,93.0,90.65,90.65,92.5,986870
2018-06-26,91.7,90.25,90.75,90.7,634876
2018-06-27,92.7,90.1,91.95,91.25,697648
2018-06-28,92.3,90.2,90.9,92.0,408730
2018-06-29,93.3,91.5,93.2,91.65,456881
2018-07-02,92.45,91.25,91.8,92.45,583967
2018-07-03,92.85,91.8,92.4,92.4,563435
2018-07-04,92.35,90.55,90.95,92.3,521769
2018-07-05,92.45,91.0,91.35,91.0,617519
2018-07-06,92.85,90.9,92.6,91.3,674578
2018-07-09,93.9,92.85,93.8,93.05,291182
2018-07-10,95.35,93.2,95.05,93.75,473610
2018-07-11,94.35,93.15,93.3,94.25,415794
2018-07-12,95.0,89.8,94.55,93.35,961381
2018-07-13,95.65,94.2,94.6,94.8,536264
2018-07-16,95.75,94.4,94.8,94.6,615741
2018-07-17,95.85,94.1,95.4,94.8,766783
2018-07-18,96.55,88.3,90.1,95.95,2145838
2018-07-19,90.8,88.35,89.9,90.3,1218956
2018-07-20,92.05,88.95,90.95,89.45,1574220
2018-07-23,91.8,90.2,90.9,90.75,816272
2018-07-24,92.85,91.0,92.45,91.7,773673
2018-07-25,92.9,91.8,91.95,91.95,418682
2018-07-26,93.25,92.15,92.8,92.9,453798
2018-07-27,94.0,92.6,93.35,92.6,414302
2018-07-30,94.3,92.4,94.2,93.2,399034
2018-07-31,95.15,93.75,94.5,94.1,412356
2018-08-01,95.4,93.9,94.45,94.9,527522
2018-08-02,94.05,93.05,93.8,94.05,400099
2018-08-03,94.8,93.8,94.15,94.0,384871
2018-08-06,94.95,92.65,94.2,94.25,502105
2018-08-07,95.2,93.95,94.35,94.15,346194
2018-08-08,95.0,93.5,94.85,94.05,318867
2018-08-09,96.85,94.3,96.65,94.3,526745
2018-08-10,96.45,94.95,95.0,96.45,297611
2018-08-13,95.1,94.1,94.65,94.6,197408
2018-08-14,95.25,94.2,94.4,94.6,461203
2018-08-15,94.9,92.1,92.3,94.05,406766
2018-08-16,93.8,92.75,93.4,92.75,365634
2018-08-17,94.35,92.85,94.35,93.3,346121
2018-08-20,95.75,94.05,95.4,94.25,290812
2018-08-21,96.4,95.05,96.2,95.45,328157
2018-08-22,97.05,95.9,96.85,95.9,543453
2018-08-23,97.6,96.6,97.1,96.65,353163
2018-08-24,97.3,95.75,96.9,97.0,360613
2018-08-27,98.4,95.35,98.1,96.75,232040
2018-08-28,99.8,97.95,99.45,98.05,522059
2018-08-29,99.65,98.3,98.65,99.0,756750
2018-08-30,98.8,97.65,98.1,98.5,487134
2018-08-31,98.7,97.3,97.65,98.05,572807
2018-09-03,97.9,97.1,97.5,97.4,312375
2018-09-04,97.5,95.3,95.5,97.5,471036
2018-09-05,95.5,93.3,93.65,95.0,714319
2018-09-06,94.05,93.05,93.5,93.65,369832
2018-09-07,94.05,92.65,93.3,93.1,359405
2018-09-10,93.9,92.75,93.65,92.95,503421
2018-09-11,94.3,93.2,94.2,94.3,462920
2018-09-12,101.7,95.0,98.7,95.0,1492134
2018-09-13,100.6,98.15,99.7,98.8,622907
2018-09-14,101.6,99.75,101.1,100.0,553587
2018-09-17,103.8,101.7,102.1,101.9,759559
2018-09-18,102.8,101.1,101.5,102.2,567453
2018-09-19,102.8,100.1,101.2,101.5,724955
2018-09-20,102.3,101.0,101.3,101.2,886806
2018-09-21,102.2,100.8,101.2,101.5,624871
2018-09-24,101.8,100.1,100.4,101.2,492344
2018-09-25,100.9,97.65,98.1,100.3,807530
2018-09-26,98.2,96.95,97.2,98.1,601734
2018-09-27,97.55,96.85,97.15,97.15,526223
2018-09-28,99.7,97.1,98.0,97.3,904481
2018-10-01,98.8,97.55,98.5,98.45,539876
2018-10-02,102.8,98.5,100.8,98.55,895423
2018-10-03,102.8,100.8,102.7,101.1,640069
2018-10-04,103.0,99.9,100.3,102.7,549751
2018-10-05,100.3,98.6,99.2,99.95,510717
2018-10-08,99.8,98.55,99.35,98.55,406483
2018-10-09,101.7,99.15,100.9,99.55,1076342
2018-10-10,100.8,91.35,91.45,100.8,1429965
2018-10-11,91.6,88.95,89.1,90.0,1043317
2018-10-12,91.45,88.3,88.3,90.05,579052
2018-10-15,88.6,86.85,87.55,87.75,628595
2018-10-16,90.45,86.55,90.25,87.2,625314
2018-10-17,91.15,88.65,89.35,90.7,1163933
2018-10-18,90.55,87.95,89.7,88.35,658016
2018-10-19,90.05,84.65,85.85,89.85,1483362
2018-10-22,89.5,86.3,88.8,87.05,1123287
2018-10-23,88.35,85.5,85.75,88.35,827711
2018-10-24,86.3,82.55,82.55,85.05,1198475
2018-10-25,85.75,79.8,81.0,81.55,1601675
2018-10-26,80.85,77.55,79.2,79.5,1897025
2018-10-29,82.65,79.15,81.85,79.15,783543
2018-10-30,82.7,79.95,82.45,81.5,996223
2018-10-31,85.5,82.25,84.7,82.6,1181674
2018-11-01,85.65,83.7,84.95,85.05,854875
2018-11-02,88.45,86.1,88.0,87.1,404547
2018-11-05,87.2,84.9,86.15,87.2,630463
2018-11-06,87.2,85.0,86.15,86.7,522392
2018-11-07,87.7,85.9,87.2,86.75,722508
2018-11-08,88.35,86.2,86.55,87.85,560340
2018-11-09,86.45,85.0,85.6,86.45,352762
2018-11-12,86.75,83.55,83.7,86.0,379984
2018-11-13,84.85,82.75,83.65,83.6,446752
2018-11-14,84.0,81.9,83.15,83.15,392399
2018-11-15,83.85,82.2,83.05,83.1,403102
2018-11-16,84.4,82.6,83.0,83.4,336050
2018-11-19,83.6,80.75,81.15,83.0,365526
2018-11-20,81.2,78.85,79.75,80.3,638997
2018-11-21,80.8,79.1,80.3,79.75,345199
2018-11-22,80.4,78.7,78.7,80.15,367621
2018-11-23,79.2,78.0,78.85,78.75,536442
2018-11-26,80.6,79.0,80.35,79.0,666583
2018-11-27,80.4,77.8,78.05,80.2,498374
2018-11-28,78.95,77.4,77.7,78.05,600383
2018-11-29,80.0,78.65,79.35,78.65,639739
2018-11-30,81.75,80.05,80.4,80.6,835919
2018-12-03,83.4,81.1,81.2,83.4,508831
2018-12-04,81.25,79.35,79.35,81.25,714920
2018-12-05,79.1,77.6,77.8,79.0,332031
2018-12-06,76.55,74.5,74.75,76.45,670749
2018-12-07,76.75,75.25,75.4,75.45,422053
2018-12-10,75.6,74.25,74.5,74.35,336606
2018-12-11,77.0,74.55,76.55,75.5,399578
2018-12-12,77.45,75.35,77.05,76.55,653690
2018-12-13,77.5,76.4,76.75,77.25,234200
2018-12-14,76.95,75.05,75.5,75.65,337004
2018-12-17,75.45,72.75,73.15,75.45,458912
2018-12-18,73.5,72.1,72.9,72.4,440215
2018-12-19,73.85,72.35,72.4,72.9,529843
2018-12-20,72.4,70.65,71.0,72.0,478692
2018-12-21,71.75,69.5,69.85,70.95,765867
2018-12-27,70.45,68.25,69.0,69.85,643894
2018-12-28,71.25,69.05,70.05,69.05,448677
2019-01-02,71.65,68.9,70.9,70.05,1414412
2019-01-03,70.8,68.8,69.95,70.5,578326
2019-01-04,73.15,70.15,73.0,70.15,433121
2019-01-07,74.2,72.65,73.5,73.55,619516
2019-01-08,74.65,72.8,73.7,73.95,486238
2019-01-09,75.85,73.95,75.0,73.95,661751
