Date,Closing price,50,200
2018-06-04,64.03,,
2018-06-05,63.83,,
2018-06-07,64.87,,
2018-06-08,63.75,,
2018-06-11,64.88,,
2018-06-12,64.26,,
2018-06-13,63.9,,
2018-06-14,64.8,,
2018-06-15,63.77,,
2018-06-18,63.47,,
2018-06-19,63.72,,
2018-06-20,63.51,,
2018-06-21,63.12,,
2018-06-25,61.94,,
2018-06-26,61.76,,
2018-06-27,60.6,,
2018-06-28,59.75,,
2018-06-29,62.01,,
2018-07-02,62.51,,
2018-07-03,61.91,,
2018-07-04,61.13,,
2018-07-05,61.64,,
2018-07-06,61.85,,
2018-07-09,62.51,,
2018-07-10,63.01,,
2018-07-11,63.37,,
2018-07-12,63.45,,
2018-07-13,63.0,,
2018-07-16,63.8,,
2018-07-17,56.5,,
2018-07-18,52.05,,
2018-07-19,52.46,,
2018-07-20,51.66,,
2018-07-23,52.5,,
2018-07-24,52.3,,
2018-07-25,53.45,,
2018-07-26,52.61,,
2018-07-27,53.32,,
2018-07-30,53.28,,
2018-07-31,53.66,,
2018-08-01,54.5,,
2018-08-02,54.3,,
2018-08-03,55.13,,
2018-08-06,56.25,,
2018-08-07,55.5,,
2018-08-08,55.8,,
2018-08-09,56.08,,
2018-08-10,55.73,,
2018-08-13,54.17,,
2018-08-14,54.34,,
2018-08-15,53.8,,
2018-08-16,55.9,,
2018-08-17,57.02,,
2018-08-20,57.82,,
2018-08-21,57.77,,
2018-08-22,58.24,,
2018-08-23,58.41,,
2018-08-24,59.0,,
2018-08-27,58.17,,
2018-08-28,58.27,,
2018-08-29,57.86,,
2018-08-30,57.25,,
2018-08-31,58.37,,
2018-09-03,58.61,,
2018-09-04,57.47,,
2018-09-05,58.38,,
2018-09-06,58.24,,
2018-09-07,58.08,,
2018-09-10,58.19,,
2018-09-11,58.28,,
2018-09-12,58.5,,
2018-09-13,57.08,,
2018-09-14,58.06,,
2018-09-17,58.32,,
2018-09-18,58.7,,
2018-09-19,58.58,,
2018-09-20,58.0,,
2018-09-21,58.25,,
2018-09-24,57.91,,
2018-09-25,58.42,,
2018-09-26,58.7,,
2018-09-27,57.8,,
2018-09-28,58.25,,
2018-10-01,58.25,,
2018-10-02,58.26,,
2018-10-03,58.15,,
2018-10-04,57.26,,
2018-10-05,56.24,,
2018-10-08,55.21,,
2018-10-09,54.39,,
2018-10-10,54.9,,
2018-10-11,52.0,,
2018-10-12,51.93,,
2018-10-15,51.25,,
2018-10-16,52.74,,
2018-10-17,51.84,,
2018-10-18,52.77,,
2018-10-19,52.06,,
2018-10-22,50.3,,
2018-10-23,49.34,,
2018-10-24,49.395,,
2018-10-25,50.0,,
2018-10-26,49.845,,
2018-10-29,50.25,,
2018-10-30,51.49,,
2018-10-31,51.49,,
2018-11-01,51.45,,
2018-11-02,53.52,,
2018-11-05,52.61,,
2018-11-06,52.26,,
2018-11-07,52.47,,
2018-11-08,53.6,,
2018-11-09,53.15,,
2018-11-12,51.8,,
2018-11-13,51.55,,
2018-11-14,50.65,,
2018-11-15,50.15,,
2018-11-16,49.995,,
2018-11-19,48.855,,
2018-11-20,47.455,,
2018-11-21,47.765,,
2018-11-22,48.405,,
2018-11-23,47.96,,
2018-11-26,47.95,,
2018-11-27,48.59,,
2018-11-28,50.5,,
2018-11-29,51.81,,
2018-11-30,52.7,,
2018-12-03,51.61,,
2018-12-04,50.64,,
