Date,High,Low,Close,Open,Volume
2020-01-02,2.46,2.22,2.46,2.28,3600
2020-01-03,2.46,2.4,2.4,2.46,2289
2020-01-07,2.38,2.22,2.38,2.22,1763
2020-01-08,2.4,2.38,2.38,2.4,3555
2020-01-09,2.38,2.38,2.38,2.38,0
2020-01-10,2.4,2.34,2.34,2.36,7578
2020-01-13,2.38,2.26,2.38,2.26,756
2020-01-14,2.38,2.38,2.38,2.38,136
2020-01-15,2.38,2.38,2.38,2.38,0
2020-01-16,2.4,2.28,2.38,2.38,5200
2020-01-17,2.42,2.34,2.42,2.34,2398
2020-01-20,2.42,2.4,2.42,2.42,9430
2020-01-21,2.48,2.24,2.32,2.24,41826
2020-01-22,2.48,2.34,2.48,2.4,840
2020-01-23,2.48,2.34,2.34,2.48,21841
2020-01-24,2.4,2.38,2.4,2.38,70481
2020-01-27,2.46,2.32,2.46,2.32,7931
2020-01-28,2.46,2.46,2.46,2.46,0
2020-01-29,2.48,2.22,2.4,2.48,8977
2020-01-30,2.44,2.3,2.3,2.4,12366
2020-01-31,2.3,2.2,2.3,2.3,39593
2020-02-03,2.44,2.22,2.22,2.22,17836
2020-02-04,2.32,2.2,2.2,2.22,27008
2020-02-05,2.3,2.16,2.3,2.16,14734
2020-02-06,2.3,2.2,2.3,2.24,18021
2020-02-07,2.36,2.22,2.32,2.36,3188
2020-02-10,2.3,2.14,2.24,2.3,10305
2020-02-11,2.36,2.34,2.34,2.36,7475
2020-02-12,2.4,2.34,2.34,2.36,35905
2020-02-13,2.4,2.4,2.4,2.4,10000
2020-02-14,2.4,2.4,2.4,2.4,1200
2020-02-17,2.38,2.24,2.28,2.38,4432
2020-02-18,2.42,2.26,2.38,2.28,7821
2020-02-19,2.44,2.38,2.4,2.38,31220
2020-02-20,2.4,2.28,2.28,2.4,1157
2020-02-21,2.32,2.14,2.22,2.28,22456
2020-02-24,2.22,2.1,2.22,2.22,71100
2020-02-25,2.32,1.9,2.3,2.16,63834
2020-02-26,2.3,2.26,2.26,2.3,1019
2020-02-27,2.26,2.06,2.26,2.06,11100
2020-02-28,2.26,2.26,2.26,2.26,0
2020-03-02,2.18,2.08,2.16,2.08,1360
2020-03-03,2.16,2.16,2.16,2.16,2136
2020-03-04,2.54,2.02,2.1,2.1,16700
2020-03-05,2.2,2.1,2.2,2.1,2364
2020-03-06,2.2,2.08,2.2,2.2,15220
2020-03-09,2.08,1.7,1.83,1.92,62671
2020-03-10,2.02,1.89,2.02,2.0,34333
2020-03-11,2.1,2.1,2.1,2.1,40025
2020-03-12,2.1,2.0,2.0,2.1,156426
2020-03-13,2.08,2.0,2.0,2.0,65439
2020-03-16,2.0,1.42,1.42,2.0,10258
2020-03-17,1.65,1.57,1.65,1.57,9053
2020-03-18,1.63,1.62,1.63,1.62,12631
2020-03-19,1.63,1.63,1.63,1.63,0
2020-03-20,1.64,1.63,1.64,1.63,12859
2020-03-23,1.64,1.64,1.64,1.64,0
2020-03-24,1.64,1.64,1.64,1.64,0
2020-03-25,2.38,1.73,1.73,2.38,605
2020-03-26,2.12,1.74,1.74,1.75,794
2020-03-27,2.14,1.8,1.99,2.14,2203
2020-03-30,2.38,2.08,2.08,2.32,7092
2020-03-31,2.36,2.3,2.3,2.36,1067
2020-04-01,2.3,2.0,2.06,2.3,2405
2020-04-02,2.06,2.06,2.06,2.06,42
2020-04-03,2.12,2.08,2.1,2.08,28843
2020-04-06,2.1,1.94,2.06,2.1,8468
2020-04-07,2.0,1.9,2.0,1.98,12641
2020-04-08,1.99,1.95,1.95,1.99,186
2020-04-09,1.95,1.81,1.95,1.81,1648
2020-04-14,2.08,2.08,2.08,2.08,40
2020-04-15,2.1,1.89,1.89,2.1,7193
2020-04-16,1.89,1.89,1.89,1.89,45
2020-04-17,1.89,1.8,1.89,1.82,403
2020-04-20,2.02,1.81,2.0,1.81,5660
2020-04-21,2.08,1.69,2.08,1.69,110
2020-04-22,2.06,1.66,1.84,2.06,6719
2020-04-23,1.84,1.84,1.84,1.84,0
2020-04-24,1.8,1.8,1.8,1.8,111
2020-04-27,2.08,1.81,1.86,2.08,1716
2020-04-28,1.86,1.86,1.86,1.86,0
2020-04-29,2.02,1.86,1.86,2.02,6065
2020-04-30,1.88,1.86,1.86,1.88,2656
2020-05-04,1.86,1.86,1.86,1.86,400
2020-05-05,1.86,1.86,1.86,1.86,0
2020-05-06,1.86,1.86,1.86,1.86,0
2020-05-07,2.02,1.65,2.0,2.02,6530
2020-05-08,2.04,1.9,2.0,2.04,20595
2020-05-11,2.0,2.0,2.0,2.0,0
2020-05-12,2.0,1.8,1.99,2.0,3548
2020-05-13,1.86,1.84,1.86,1.84,498
2020-05-14,1.96,1.85,1.96,1.85,2377
2020-05-15,1.98,1.98,1.98,1.98,250
2020-05-18,1.98,1.98,1.98,1.98,0
2020-05-19,1.98,1.98,1.98,1.98,290
2020-05-20,1.9,1.82,1.82,1.9,2110
2020-05-22,1.8,1.69,1.8,1.8,15137
2020-05-25,1.99,1.84,1.96,1.99,263
2020-05-26,1.96,1.96,1.96,1.96,1500
2020-05-27,1.9,1.81,1.89,1.81,4691
2020-05-28,1.88,1.8,1.81,1.88,8310
2020-05-29,1.9,1.8,1.9,1.8,3340
2020-06-01,1.8,1.8,1.8,1.8,189
2020-06-02,1.82,1.82,1.82,1.82,5680
2020-06-03,1.86,1.77,1.86,1.86,13647
2020-06-04,1.9,1.77,1.77,1.9,19705
2020-06-05,1.87,1.87,1.87,1.87,329
2020-06-08,1.9,1.68,1.86,1.9,53318
2020-06-09,1.9,1.87,1.89,1.9,1273
2020-06-10,1.97,1.89,1.89,1.89,1515
2020-06-11,1.76,1.75,1.75,1.76,390
2020-06-12,1.96,1.69,1.96,1.69,591
2020-06-15,1.89,1.8,1.89,1.8,1529
2020-06-16,1.89,1.76,1.8,1.89,10080
2020-06-17,1.8,1.8,1.8,1.8,686
2020-06-18,1.8,1.8,1.8,1.8,0
