Date,High,Low,Close,Open,Volume
2020-01-02,6.1,5.62,6.0,5.88,20554
2020-01-03,5.98,5.9,5.98,5.98,2357
2020-01-07,6.0,5.88,6.0,5.88,4030
2020-01-08,6.0,5.9,5.98,6.0,1816
2020-01-09,6.1,5.9,6.1,5.9,2266
2020-01-10,6.0,6.0,6.0,6.0,3948
2020-01-13,6.1,6.0,6.0,6.0,5300
2020-01-14,6.1,5.82,6.08,6.1,14366
2020-01-15,6.08,5.84,6.0,5.84,2973
2020-01-16,6.4,5.84,6.4,6.0,1200
2020-01-17,6.4,5.86,6.2,6.4,7767
2020-01-20,6.18,5.88,6.06,6.18,2962
2020-01-21,6.04,5.7,5.96,5.88,27816
2020-01-22,6.06,5.64,5.88,5.64,3783
2020-01-23,6.24,6.08,6.24,6.08,15450
2020-01-24,6.24,5.82,6.04,6.24,19050
2020-01-27,6.0,5.82,6.0,5.86,3913
2020-01-28,5.88,5.76,5.78,5.76,1512
2020-01-29,5.98,5.8,5.98,5.8,1855
2020-01-30,6.0,5.84,6.0,5.94,1330
2020-01-31,6.0,5.88,5.88,6.0,1200
2020-02-03,6.1,5.74,6.1,5.74,2113
2020-02-04,6.08,5.82,6.0,5.82,7289
2020-02-05,5.98,5.9,5.98,5.9,4167
2020-02-06,6.1,5.9,6.1,5.96,8423
2020-02-07,6.1,5.9,6.1,6.1,6769
2020-02-10,6.1,6.1,6.1,6.1,83
2020-02-11,6.1,5.86,6.1,5.86,5998
2020-02-12,6.1,5.88,6.1,6.1,18094
2020-02-13,6.1,5.82,6.1,6.1,5505
2020-02-14,6.1,5.84,6.08,6.1,519
2020-02-17,6.1,6.08,6.08,6.08,9416
2020-02-18,6.2,6.1,6.1,6.18,1060
2020-02-19,6.1,5.92,6.1,6.1,12022
2020-02-20,6.1,5.94,6.0,6.1,15049
2020-02-21,6.2,5.92,6.2,6.0,2235
2020-02-24,6.2,5.86,6.2,6.0,13063
2020-02-25,6.4,5.7,5.92,6.4,33434
2020-02-26,5.98,5.8,5.98,5.8,10740
2020-02-27,6.24,5.8,6.24,5.82,7138
2020-02-28,6.7,5.7,6.14,5.7,9100
2020-03-02,6.14,5.7,6.04,6.14,17403
2020-03-03,6.6,5.52,6.6,5.98,16496
2020-03-04,6.4,5.82,6.34,6.4,5758
2020-03-05,6.34,5.62,6.34,5.62,7686
2020-03-06,6.34,5.68,6.28,5.68,11486
