Date,High,Low,Close,Open,Volume
2020-01-02,4.38,4.2,4.26,4.26,40050
2020-01-03,4.33,4.01,4.06,4.31,29202
2020-01-07,4.29,4.07,4.14,4.1,18759
2020-01-08,4.2,4.13,4.16,4.17,5667
2020-01-09,4.32,4.2,4.26,4.21,18270
2020-01-10,4.34,4.25,4.3,4.28,32745
2020-01-13,4.34,4.24,4.25,4.32,10575
2020-01-14,4.29,4.13,4.29,4.25,9280
2020-01-15,4.3,4.21,4.3,4.3,5830
2020-01-16,4.32,4.22,4.26,4.32,15511
2020-01-17,4.3,4.2,4.2,4.29,16524
2020-01-20,4.41,4.25,4.38,4.3,30206
2020-01-21,4.39,4.3,4.39,4.38,15338
2020-01-22,4.39,4.3,4.31,4.39,9719
2020-01-23,4.4,4.33,4.38,4.33,7318
2020-01-24,4.42,4.32,4.33,4.38,8964
2020-01-27,4.35,4.12,4.13,4.35,18759
2020-01-28,4.25,4.12,4.15,4.12,23078
2020-01-29,4.22,4.15,4.17,4.22,7606
2020-01-30,4.13,4.05,4.07,4.13,28709
2020-01-31,4.1,3.82,3.95,4.1,34681
2020-02-03,3.89,3.8,3.84,3.89,11274
2020-02-04,3.97,3.82,3.97,3.82,12529
2020-02-05,4.01,3.91,3.95,3.97,22117
2020-02-06,3.99,3.9,3.92,3.95,6344
2020-02-07,3.99,3.88,3.88,3.92,13766
2020-02-10,4.1,3.88,4.02,3.88,8486
2020-02-11,4.14,3.92,3.99,4.08,28925
2020-02-12,4.07,3.91,3.97,3.95,13788
2020-02-13,3.97,3.89,3.9,3.97,17439
2020-02-14,4.04,3.92,3.95,3.92,7833
2020-02-17,4.04,3.95,3.96,3.95,3974
2020-02-18,3.99,3.8,3.9,3.99,12346
2020-02-19,4.0,3.92,3.98,4.0,7688
2020-02-20,3.98,3.83,3.97,3.98,10233
2020-02-21,4.0,3.85,4.0,3.98,20134
2020-02-24,3.87,3.67,3.7,3.87,29249
2020-02-25,3.8,3.55,3.69,3.65,44050
2020-02-26,3.9,3.4,3.85,3.68,71803
2020-02-27,3.68,3.34,3.56,3.67,107057
2020-02-28,3.49,3.12,3.38,3.49,33103
2020-03-02,3.49,3.3,3.36,3.41,25910
2020-03-03,3.55,3.38,3.4,3.43,19627
2020-03-04,3.53,3.35,3.38,3.45,7537
2020-03-05,3.4,3.31,3.35,3.38,4101
2020-03-06,3.33,3.2,3.22,3.29,34643
2020-03-09,3.1,2.8,2.95,3.1,31911
2020-03-10,3.09,2.95,2.95,2.96,17078
2020-03-11,3.0,2.85,2.85,3.0,7354
2020-03-12,2.79,2.5,2.5,2.79,29067
2020-03-13,2.64,2.41,2.54,2.5,26039
2020-03-16,2.8,2.32,2.42,2.49,29395
2020-03-17,2.7,2.4,2.7,2.6,19225
2020-03-18,2.8,2.43,2.55,2.8,8893
2020-03-19,2.59,2.46,2.59,2.49,10939
2020-03-20,2.79,2.51,2.6,2.79,11946
2020-03-23,2.7,2.48,2.54,2.7,6595
2020-03-24,2.81,2.64,2.68,2.78,12805
2020-03-25,2.96,2.74,2.8,2.79,14264
2020-03-26,2.86,2.73,2.86,2.82,6069
2020-03-27,2.88,2.6,2.63,2.88,15069
2020-03-30,2.95,2.7,2.82,2.75,10184
2020-03-31,3.0,2.85,2.9,2.94,16271
2020-04-01,3.05,2.82,2.83,3.05,8293
2020-04-02,2.97,2.85,2.85,2.97,3742
2020-04-03,2.97,2.84,2.84,2.97,3311
2020-04-06,3.01,2.9,2.95,2.95,10018
2020-04-07,3.18,2.98,3.0,3.05,25591
2020-04-08,3.31,3.06,3.18,3.06,7654
2020-04-09,3.52,3.25,3.42,3.25,24528
2020-04-14,3.69,3.3,3.57,3.3,21934
2020-04-15,3.64,3.3,3.46,3.64,60454
2020-04-16,3.55,3.23,3.34,3.47,17531
2020-04-17,3.42,3.29,3.35,3.33,5443
2020-04-20,3.4,3.2,3.26,3.4,4832
2020-04-21,3.06,2.8,2.96,3.0,25336
2020-04-22,3.07,2.85,2.9,3.07,23088
2020-04-23,3.01,2.86,2.91,3.01,8436
2020-04-24,2.94,2.83,2.94,2.88,5424
2020-04-27,3.14,2.9,3.02,2.9,6506
2020-04-28,3.12,3.03,3.05,3.07,5778
2020-04-29,3.3,3.01,3.21,3.06,13097
2020-04-30,3.25,3.12,3.12,3.25,8110
2020-05-04,3.1,2.97,2.98,3.1,23291
2020-05-05,3.05,2.99,2.99,3.05,2695
2020-05-06,3.06,3.0,3.03,3.05,7282
2020-05-07,3.05,3.01,3.03,3.05,2240
2020-05-08,3.15,3.06,3.08,3.1,6868
2020-05-11,3.1,2.98,3.09,3.08,1604
2020-05-12,3.09,2.94,3.07,3.09,3344
2020-05-13,3.07,2.98,3.02,3.07,3061
2020-05-14,3.09,2.91,2.95,3.09,4168
2020-05-15,3.08,2.95,2.97,3.0,6474
2020-05-18,3.01,2.97,3.0,3.01,4268
2020-05-19,3.0,2.97,2.98,3.0,1914
2020-05-20,3.03,2.98,3.01,3.0,5470
2020-05-22,3.04,3.0,3.02,3.01,9148
2020-05-25,3.4,3.08,3.21,3.08,19490
2020-05-26,3.46,3.29,3.35,3.4,16423
2020-05-27,3.69,3.35,3.48,3.35,27230
2020-05-28,3.5,3.26,3.33,3.5,37147
2020-05-29,3.5,3.33,3.39,3.39,12462
2020-06-01,3.46,3.26,3.36,3.26,16350
2020-06-02,3.49,3.28,3.37,3.3,10601
2020-06-03,3.36,3.28,3.32,3.36,9607
2020-06-04,3.31,3.16,3.25,3.31,8610
2020-06-05,3.32,3.18,3.31,3.3,14921
2020-06-08,3.46,3.23,3.33,3.35,19770
2020-06-09,3.34,3.21,3.3,3.23,5704
2020-06-10,3.33,3.2,3.2,3.33,1875
2020-06-11,3.3,3.16,3.28,3.3,3076
2020-06-12,3.3,3.02,3.2,3.18,10018
2020-06-15,3.29,3.02,3.2,3.29,8556
2020-06-16,3.28,3.14,3.18,3.21,6429
