Date,High,Low,Close,Open,Volume
2020-01-02,78.0,75.0,78.0,75.46,1536271
2020-01-03,78.18,77.04,77.36,77.48,1049545
2020-01-07,78.34,77.38,77.8,77.4,1304141
2020-01-08,77.72,76.62,77.34,77.64,1605829
2020-01-09,79.92,77.6,78.66,77.6,2574903
2020-01-10,79.08,78.24,78.92,79.0,1299833
2020-01-13,79.46,78.78,79.24,79.18,695346
2020-01-14,79.76,77.68,77.68,79.5,1175721
2020-01-15,77.98,76.56,77.66,77.6,1618910
2020-01-16,78.12,77.26,77.66,77.78,1085986
2020-01-17,78.62,77.44,77.94,77.66,769841
2020-01-20,78.66,77.42,78.2,77.96,923807
2020-01-21,79.52,77.44,78.54,78.24,1307925
2020-01-22,79.34,76.42,76.5,78.82,1712387
2020-01-23,76.5,74.82,75.4,76.5,1065801
2020-01-24,76.52,74.8,75.94,75.78,1510085
2020-01-27,75.5,73.96,74.18,75.5,813485
2020-01-28,75.16,74.04,74.8,74.2,579334
2020-01-29,75.66,74.86,75.34,75.04,785666
2020-01-30,75.02,73.38,73.38,75.0,1064621
2020-01-31,74.3,72.7,72.72,73.72,2099198
2020-02-03,72.92,71.68,72.58,72.58,1536600
2020-02-04,76.9,69.06,75.46,69.5,9053818
2020-02-05,79.46,75.56,78.32,75.68,3364806
2020-02-06,78.92,76.16,76.48,78.5,1708064
2020-02-07,76.5,73.06,73.76,76.4,2695405
2020-02-10,74.2,72.72,73.5,73.8,1997470
2020-02-11,74.18,72.8,73.5,73.92,2182996
2020-02-12,73.46,72.06,73.1,73.46,2915797
2020-02-13,73.14,71.96,72.84,73.1,1568685
2020-02-14,73.52,72.8,73.2,72.88,1645043
2020-02-17,73.76,72.7,73.2,73.2,1255091
2020-02-18,72.86,72.18,72.5,72.72,2686250
2020-02-19,73.24,72.2,72.2,72.52,1689701
2020-02-20,72.8,72.12,72.54,72.42,1377710
2020-02-21,72.82,71.9,72.16,72.22,1479463
2020-02-24,71.1,68.5,68.9,71.0,2192515
2020-02-25,69.9,67.98,68.2,69.24,1851552
2020-02-26,69.06,65.74,68.64,67.84,2254779
2020-02-27,67.64,64.44,65.5,67.64,2217359
2020-02-28,64.46,62.94,64.22,63.44,2513972
2020-03-02,66.1,62.2,63.98,65.48,2562691
2020-03-03,65.4,63.14,63.44,65.02,2792096
2020-03-04,64.0,61.68,62.04,63.92,3276924
2020-03-05,65.14,60.26,63.66,62.76,5500342
2020-03-06,62.66,60.3,62.04,62.38,3878526
2020-03-09,59.72,57.16,59.04,58.22,3256959
2020-03-10,61.16,57.06,57.44,59.5,3513515
2020-03-11,58.22,55.34,55.84,57.82,3491981
2020-03-12,53.8,50.22,50.7,52.76,4362859
2020-03-13,54.68,49.32,50.64,51.58,4815842
2020-03-16,47.99,43.35,44.6,47.99,5351187
2020-03-17,46.08,39.72,41.13,45.7,5017412
2020-03-18,41.0,38.01,39.33,40.87,3950699
2020-03-19,45.9,38.8,45.4,39.88,5283489
2020-03-20,48.79,43.8,44.28,47.49,3553691
2020-03-23,45.94,41.47,44.7,42.0,3872439
2020-03-24,47.51,45.32,47.51,46.9,3822528
2020-03-25,54.1,46.1,48.72,49.21,4490576
2020-03-26,49.68,46.95,49.68,47.99,2116631
2020-03-27,49.4,45.55,46.09,49.4,3246289
