Date,Closing price,50,200
2018-06-04,19.2,,
2018-06-05,19.46,,
2018-06-07,20.2,,
2018-06-08,20.55,,
2018-06-11,19.96,,
2018-06-12,19.88,,
2018-06-13,20.3,,
2018-06-14,19.76,,
2018-06-15,20.0,,
2018-06-18,19.7,,
2018-06-19,19.8,,
2018-06-20,18.9,,
2018-06-21,19.5,,
2018-06-25,18.98,,
2018-06-26,19.0,,
2018-06-27,19.5,,
2018-06-28,19.4,,
2018-06-29,20.4,,
2018-07-02,20.65,,
2018-07-03,20.8,,
2018-07-04,21.2,,
2018-07-05,20.7,,
2018-07-06,19.86,,
2018-07-09,20.3,,
2018-07-10,20.1,,
2018-07-11,19.42,,
2018-07-12,19.96,,
2018-07-13,19.5,,
2018-07-16,19.42,,
2018-07-17,19.34,,
2018-07-18,19.3,,
2018-07-19,19.3,,
2018-07-20,19.9,,
2018-07-23,19.6,,
2018-07-24,20.0,,
2018-07-25,20.0,,
2018-07-26,20.0,,
2018-07-27,19.98,,
2018-07-30,20.15,,
2018-07-31,20.3,,
2018-08-01,20.25,,
2018-08-02,20.2,,
2018-08-03,20.15,,
2018-08-06,20.7,,
2018-08-07,22.0,,
2018-08-08,23.0,,
2018-08-09,22.85,,
2018-08-10,22.35,,
2018-08-13,22.2,,
2018-08-14,21.6,,
2018-08-15,22.45,,
2018-08-16,23.6,,
2018-08-17,23.45,,
2018-08-20,24.6,,
2018-08-21,22.0,,
2018-08-22,20.4,,
2018-08-23,21.2,,
2018-08-24,21.2,,
2018-08-27,20.6,,
2018-08-28,19.9,,
2018-08-29,19.66,,
2018-08-30,22.4,,
2018-08-31,21.95,,
2018-09-03,21.9,,
2018-09-04,22.35,,
2018-09-05,22.4,,
2018-09-06,21.75,,
2018-09-07,21.2,,
2018-09-10,20.95,,
2018-09-11,21.35,,
2018-09-12,21.3,,
2018-09-13,21.05,,
2018-09-14,21.1,,
2018-09-17,21.5,,
2018-09-18,22.25,,
2018-09-19,22.4,,
2018-09-20,21.9,,
2018-09-21,21.7,,
2018-09-24,22.1,,
2018-09-25,21.95,,
2018-09-26,21.6,,
2018-09-27,21.6,,
2018-09-28,22.0,,
2018-10-01,21.3,,
2018-10-02,21.0,,
2018-10-03,21.4,,
2018-10-04,21.3,,
2018-10-05,21.25,,
2018-10-08,20.4,,
2018-10-09,20.1,,
2018-10-10,20.05,,
2018-10-11,19.3,,
2018-10-12,19.3,,
2018-10-15,19.5,,
2018-10-16,19.38,,
2018-10-17,19.2,,
2018-10-18,19.12,,
2018-10-19,19.34,,
2018-10-22,19.0,,
2018-10-23,19.1,,
2018-10-24,18.4,,
2018-10-25,18.7,,
2018-10-26,18.6,,
2018-10-29,18.8,,
2018-10-30,18.38,,
2018-10-31,18.08,,
2018-11-01,18.3,,
2018-11-02,18.22,,
2018-11-05,18.46,,
2018-11-06,19.0,,
2018-11-07,19.44,,
2018-11-08,19.2,,
2018-11-09,19.2,,
2018-11-12,18.7,,
2018-11-13,18.4,,
2018-11-14,18.38,,
2018-11-15,18.02,,
2018-11-16,18.1,,
2018-11-19,19.08,,
2018-11-20,18.38,,
2018-11-21,17.82,,
2018-11-22,16.9,,
2018-11-23,16.2,,
2018-11-26,16.7,,
2018-11-27,16.32,,
2018-11-28,15.98,,
2018-11-29,16.3,,
2018-11-30,15.72,,
2018-12-03,16.06,,
2018-12-04,15.56,,
2018-12-05,15.38,,
2018-12-06,14.96,,
2018-12-07,15.78,,
2018-12-10,15.3,,
2018-12-11,15.58,,
2018-12-12,15.04,,
2018-12-13,14.7,,
2018-12-14,14.94,,
2018-12-17,14.3,,
2018-12-18,14.16,,
2018-12-19,13.88,,
2018-12-20,13.0,,
2018-12-21,13.46,,
2018-12-27,13.0,,
2018-12-28,13.4,,
2019-01-02,13.6,,
2019-01-03,15.3,,
2019-01-04,16.08,,
2019-01-07,16.44,,
2019-01-08,15.96,,
2019-01-09,16.08,,
2019-01-10,15.9,,
2019-01-11,15.96,,
2019-01-14,15.88,,
2019-01-15,15.22,,
2019-01-16,15.6,,
2019-01-17,15.0,,
2019-01-18,16.9,,
2019-01-21,16.76,,
2019-01-22,16.68,,
2019-01-23,16.0,,
2019-01-24,15.88,,
2019-01-25,16.28,,
2019-01-28,16.08,,
2019-01-29,16.24,,
2019-01-30,17.14,,
2019-01-31,18.0,,
2019-02-01,18.56,,
2019-02-04,18.76,,
2019-02-05,18.6,,
2019-02-06,18.7,,
2019-02-07,18.76,,
2019-02-08,18.5,,
2019-02-11,20.6,,
2019-02-12,20.15,,
2019-02-13,20.8,,
2019-02-14,20.75,,
2019-02-15,20.35,,
2019-02-18,21.0,,
2019-02-19,20.6,,
2019-02-20,20.05,,
2019-02-21,19.9,,
2019-02-22,19.46,,
2019-02-25,20.8,,
2019-02-26,20.6,,
2019-02-27,19.9,,
2019-02-28,20.1,,
2019-03-01,20.45,,
2019-03-04,20.9,,
2019-03-05,21.0,,
2019-03-06,20.85,,
2019-03-07,20.6,,
2019-03-08,20.0,,
2019-03-11,19.94,,
2019-03-12,20.3,,
2019-03-13,19.8,,
2019-03-14,19.5,,
2019-03-15,18.92,,
2019-03-18,19.42,,
2019-03-19,18.96,,
2019-03-20,18.86,,
2019-03-21,18.6,,
2019-03-22,18.6,,
2019-03-25,18.64,,
2019-03-26,19.06,,
2019-03-27,19.0,,
2019-03-28,19.0,,
2019-03-29,18.92,,
2019-04-01,19.65,,
2019-04-02,19.75,,
2019-04-03,19.75,,
2019-04-04,19.5,,
2019-04-05,19.5,,
2019-04-08,19.0,,
2019-04-09,18.85,,
2019-04-10,19.8,,
2019-04-11,19.5,,
2019-04-12,19.35,,
2019-04-15,18.95,,
2019-04-16,19.0,,
2019-04-17,18.85,,
2019-04-18,18.75,,
2019-04-23,18.0,,
2019-04-24,17.4,,
2019-04-25,18.75,,
2019-04-26,18.5,,
2019-04-29,17.55,,
2019-04-30,18.0,,
2019-05-02,17.9,,
2019-05-03,17.45,,
2019-05-06,17.85,,
2019-05-07,18.4,,
2019-05-08,19.7,,
2019-05-09,18.8,,
2019-05-10,19.2,,
2019-05-13,19.0,,
2019-05-14,18.75,,
2019-05-15,19.2,,
2019-05-16,20.0,,
2019-05-17,20.8,19.088399999999996,18.96034999999999
2019-05-20,18.8,19.0474,18.953099999999992
2019-05-21,19.6,19.027399999999997,18.950099999999992
2019-05-22,17.6,18.979399999999995,18.93734999999999
2019-05-23,18.1,18.942599999999995,18.924349999999993
2019-05-24,19.35,18.923599999999993,18.91109999999999
2019-05-27,19.25,18.912599999999998,18.892349999999993
2019-05-28,18.1,18.8846,18.868599999999997
2019-05-29,18.55,18.8772,18.849599999999995
2019-05-31,18.0,18.848799999999997,18.828599999999998
