Date,High,Low,Close,Open,Volume
2020-01-02,23.3,22.4,22.9,23.3,85157
2020-01-03,23.0,21.8,22.3,22.5,47456
2020-01-07,23.3,21.8,22.4,22.5,102179
2020-01-08,22.7,21.6,22.1,22.4,28306
2020-01-09,22.3,21.5,22.1,21.6,113133
2020-01-10,23.4,22.0,22.7,22.3,221872
2020-01-13,22.9,22.2,22.9,22.5,53094
2020-01-14,23.4,22.8,22.9,22.9,54977
2020-01-15,23.0,22.4,22.9,22.9,13493
2020-01-16,23.2,22.0,22.8,23.0,11638
2020-01-17,22.7,22.1,22.7,22.1,37735
2020-01-20,24.5,22.6,23.0,23.2,309032
2020-01-21,23.8,22.7,23.1,23.1,15331
2020-01-22,23.7,22.6,22.9,23.2,46151
2020-01-23,23.2,22.6,23.0,23.2,18498
2020-01-24,23.3,22.6,23.0,23.1,31540
2020-01-27,23.0,21.9,22.4,22.7,40121
2020-01-28,22.4,21.6,22.4,22.1,27482
2020-01-29,22.5,21.9,22.5,22.2,19213
2020-01-30,22.5,21.9,22.4,22.1,19154
2020-01-31,22.3,21.8,22.3,22.0,15404
2020-02-03,22.3,21.5,21.9,22.3,14594
2020-02-04,22.1,21.1,21.6,22.1,24112
2020-02-05,21.8,20.5,21.5,21.8,34952
2020-02-06,21.5,20.7,21.0,21.5,32631
2020-02-07,21.9,20.7,21.0,20.7,13785
2020-02-10,22.1,20.6,21.0,21.2,18758
2020-02-11,21.2,20.4,21.0,21.2,43197
2020-02-12,21.8,20.4,21.4,20.9,103836
2020-02-13,22.7,20.8,22.7,20.8,64363
2020-02-14,21.3,19.8,20.0,20.0,107970
2020-02-17,20.5,18.85,19.8,20.0,85227
2020-02-18,19.5,18.2,19.1,19.25,75661
2020-02-19,19.1,18.0,18.0,19.1,63250
2020-02-20,17.95,16.45,16.6,17.95,104495
2020-02-21,17.05,15.9,16.6,16.6,64909
2020-02-24,16.5,14.95,16.0,16.5,78283
2020-02-25,16.25,15.4,16.2,16.25,15957
2020-02-26,16.0,14.55,15.35,16.0,31030
2020-02-27,15.45,14.6,14.65,15.0,29453
2020-02-28,15.5,12.35,15.5,14.15,106955
2020-03-02,15.5,14.15,14.65,15.5,25966
2020-03-03,15.35,14.05,14.9,15.0,14388
2020-03-04,14.95,13.45,14.7,14.75,11643
2020-03-05,15.0,14.05,14.5,14.95,15822
2020-03-06,15.55,13.8,15.35,14.35,44337
2020-03-09,15.05,14.2,14.75,15.05,59948
2020-03-10,15.35,14.1,14.35,15.3,12834
2020-03-11,14.45,13.4,14.1,14.0,9799
2020-03-12,13.45,10.0,11.8,13.45,55485
2020-03-13,12.5,11.35,11.95,11.55,36192
2020-03-16,11.8,9.48,10.25,11.8,44277
2020-03-17,8.0,6.04,6.9,7.0,260259
2020-03-18,6.98,6.04,6.14,6.9,40333
2020-03-19,6.82,5.72,6.4,6.14,101960
2020-03-20,6.74,6.06,6.44,6.72,49698
2020-03-23,6.38,5.7,5.96,6.38,34922
2020-03-24,6.4,5.98,6.34,6.4,48233
2020-03-25,7.3,6.0,7.26,6.54,117084
2020-03-26,7.48,6.28,6.28,7.48,384050
2020-03-27,6.42,6.0,6.08,6.42,67277
2020-03-30,6.1,5.8,5.9,6.1,75830
2020-03-31,6.0,5.74,5.96,6.0,77430
2020-04-01,6.0,5.8,5.95,6.0,92467
2020-04-02,5.94,5.78,5.78,5.94,49620
2020-04-03,5.96,5.74,5.96,5.85,255232
2020-04-06,5.98,5.58,5.98,5.96,205410
2020-04-07,6.19,5.8,6.19,6.17,313539
2020-04-08,6.19,5.86,5.95,6.19,49345
2020-04-09,6.19,5.95,6.1,5.95,48289
2020-04-14,7.29,6.15,7.27,6.18,291674
2020-04-15,7.61,6.6,6.79,7.34,122048
2020-04-16,7.21,6.13,6.27,7.21,68528
2020-04-17,7.16,6.21,6.83,6.53,164845
2020-04-20,6.8,6.51,6.58,6.8,126232
2020-04-21,6.52,6.13,6.18,6.52,196475
2020-04-22,6.8,6.17,6.5,6.49,623397
2020-04-23,6.6,6.21,6.6,6.48,288485
2020-04-24,6.7,6.4,6.64,6.6,359322
2020-04-27,7.8,6.67,7.53,6.73,5018501
2020-04-28,7.74,7.15,7.48,7.54,1701232
2020-04-29,7.64,7.17,7.22,7.63,883276
2020-04-30,7.38,7.11,7.16,7.27,412152
2020-05-04,7.08,6.52,6.8,6.96,832579
2020-05-05,7.01,6.6,6.66,7.01,550141
2020-05-06,7.29,6.66,7.25,6.7,682108
2020-05-07,7.44,7.08,7.4,7.28,316151
2020-05-08,8.5,7.5,8.4,7.61,1101644
2020-05-11,8.96,8.0,8.58,8.56,835938
2020-05-12,8.78,8.2,8.3,8.7,472311
2020-05-13,8.99,7.7,8.65,8.21,1203002
2020-05-14,8.4,7.2,7.51,8.0,858988
2020-05-15,7.98,7.23,7.44,7.98,707908
2020-05-18,7.71,7.23,7.63,7.5,344768
2020-05-19,7.8,7.34,7.67,7.72,411139
2020-05-20,7.84,7.42,7.5,7.79,182095
2020-05-22,7.45,7.1,7.37,7.39,485830
2020-05-25,7.23,6.9,7.09,7.23,637152
2020-05-26,7.15,6.8,6.95,7.11,417758
2020-05-27,7.34,6.86,7.3,6.95,392318
2020-05-28,7.38,7.0,7.27,7.38,253563
2020-05-29,7.26,6.87,7.1,7.26,141316
2020-06-01,7.09,6.8,7.06,7.09,162440
2020-06-02,7.06,6.75,6.96,7.06,153292
2020-06-03,6.97,6.61,6.76,6.96,318853
2020-06-04,6.94,6.62,6.9,6.75,70869
2020-06-05,6.9,6.72,6.83,6.9,185476
2020-06-08,7.01,6.77,6.83,6.84,255814
2020-06-09,6.95,6.8,6.95,6.86,155911
2020-06-10,7.05,6.61,6.83,7.01,224125
2020-06-11,6.83,6.34,6.49,6.83,234901
2020-06-12,6.71,6.05,6.39,6.05,153537
2020-06-15,6.48,6.13,6.44,6.39,98411
2020-06-16,6.75,6.28,6.62,6.28,127047
2020-06-17,6.6,6.23,6.57,6.6,73963
2020-06-18,6.57,6.24,6.4,6.57,37415
2020-06-22,6.4,6.05,6.1,6.4,607838
2020-06-23,6.17,6.04,6.11,6.06,332422
2020-06-24,6.21,6.01,6.01,6.11,165938
2020-06-25,6.05,5.88,6.0,6.05,180386
2020-06-26,6.32,5.93,6.13,5.98,250999
2020-06-29,6.16,6.01,6.15,6.08,70956
2020-06-30,6.16,5.6,5.6,6.16,713875
2020-07-01,5.84,5.34,5.48,5.6,603221
2020-07-02,5.59,5.3,5.45,5.59,298564
2020-07-03,5.74,5.34,5.65,5.49,118014
2020-07-06,5.78,5.6,5.66,5.6,192490
2020-07-07,5.69,5.43,5.49,5.68,218413
2020-07-08,5.49,5.25,5.35,5.49,370104
2020-07-09,5.58,5.33,5.48,5.37,311820
2020-07-10,6.21,5.48,5.96,5.48,489512
2020-07-13,5.99,5.75,5.99,5.93,157207
2020-07-14,6.0,5.75,5.88,5.75,163256
2020-07-15,5.89,5.56,5.74,5.89,240750
2020-07-16,5.95,5.72,5.85,5.75,99672
2020-07-17,6.25,5.94,6.15,5.94,294447
2020-07-20,6.22,6.04,6.13,6.15,108558
2020-07-21,6.13,5.9,5.93,6.13,98535
2020-07-22,6.59,6.02,6.45,6.12,556371
2020-07-23,6.59,6.29,6.44,6.59,124101
2020-07-24,6.31,6.0,6.2,6.3,197229
2020-07-27,6.25,5.95,6.09,6.22,127615
2020-07-28,6.12,5.8,5.96,6.12,259236
2020-07-29,6.07,5.79,5.9,6.07,160261
