Date,Closing price,50,200
2018-06-04,6.5,,
2018-06-05,6.48,,
2018-06-07,6.59,,
2018-06-08,6.52,,
2018-06-11,6.73,,
2018-06-12,6.7,,
2018-06-13,6.7,,
2018-06-14,6.73,,
2018-06-15,6.7,,
2018-06-18,6.7,,
2018-06-19,6.67,,
2018-06-20,6.68,,
2018-06-21,6.6,,
2018-06-25,6.5,,
2018-06-26,6.4,,
2018-06-27,6.49,,
2018-06-28,6.41,,
2018-06-29,6.35,,
2018-07-02,6.4,,
2018-07-03,6.38,,
2018-07-04,6.4,,
2018-07-05,6.48,,
2018-07-06,6.35,,
2018-07-09,6.39,,
2018-07-10,6.33,,
2018-07-11,6.4,,
2018-07-12,6.4,,
2018-07-13,6.49,,
2018-07-16,6.36,,
2018-07-17,6.38,,
2018-07-18,6.31,,
2018-07-19,6.39,,
2018-07-20,6.33,,
2018-07-23,6.51,,
2018-07-24,6.42,,
2018-07-25,6.44,,
2018-07-26,6.35,,
2018-07-27,6.4,,
2018-07-30,6.5,,
2018-07-31,6.46,,
2018-08-01,6.49,,
2018-08-02,6.69,,
2018-08-03,6.63,,
2018-08-06,6.7,,
2018-08-07,6.8,,
2018-08-08,6.76,,
2018-08-09,6.9,,
2018-08-10,7.1,,
2018-08-13,7.72,,
2018-08-14,7.84,,
2018-08-15,7.75,,
2018-08-16,7.59,,
2018-08-17,7.35,,
2018-08-20,7.06,,
2018-08-21,6.99,,
2018-08-22,6.99,,
2018-08-23,7.38,,
2018-08-24,7.4,,
2018-08-27,7.4,,
2018-08-28,7.4,,
2018-08-29,7.32,,
2018-08-30,7.37,,
2018-08-31,7.42,,
2018-09-03,7.32,,
2018-09-04,7.29,,
2018-09-05,7.2,,
2018-09-06,7.4,,
2018-09-07,7.34,,
2018-09-10,7.3,,
2018-09-11,7.7,,
2018-09-12,7.5,,
2018-09-13,7.57,,
2018-09-14,7.95,,
2018-09-17,8.89,,
2018-09-18,8.73,,
2018-09-19,8.87,,
2018-09-20,8.61,,
2018-09-21,8.5,,
2018-09-24,8.65,,
2018-09-25,8.57,,
2018-09-26,8.5,,
2018-09-27,8.56,,
2018-09-28,9.8,,
