Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,7.22,7.1,7.1,7.2,27980
2018-06-07,7.32,7.12,7.2,7.32,37621
2018-06-08,7.36,6.9,7.08,7.36,16307
2018-06-11,7.18,6.56,6.8,7.04,95252
2018-06-12,6.98,6.7,6.86,6.8,48041
2018-06-13,6.86,6.5,6.68,6.86,56917
2018-06-14,7.06,6.66,6.8,7.0,24298
2018-06-15,7.08,6.72,7.08,6.72,46334
2018-06-18,7.08,6.82,6.86,7.08,51005
2018-06-19,7.06,6.8,6.8,6.98,17849
2018-06-20,7.38,6.86,7.38,6.86,167105
2018-06-21,7.38,7.18,7.3,7.38,29596
2018-06-25,7.28,7.04,7.16,7.04,21328
2018-06-26,7.3,7.16,7.3,7.16,35962
2018-06-27,7.3,7.16,7.16,7.3,17556
2018-06-28,7.14,7.06,7.14,7.06,2870
2018-06-29,7.2,6.9,7.0,7.1,15280
2018-07-02,7.28,6.92,7.28,7.0,28653
2018-07-03,7.3,7.2,7.3,7.28,60414
2018-07-04,7.3,7.0,7.26,7.28,26875
2018-07-05,7.3,7.1,7.16,7.26,11582
2018-07-06,7.3,7.0,7.26,7.02,29919
2018-07-09,7.3,7.0,7.02,7.26,21453
2018-07-10,7.26,7.0,7.14,7.16,63612
2018-07-11,7.18,7.1,7.18,7.14,9425
2018-07-12,8.24,7.18,7.94,7.18,223877
2018-07-13,8.0,7.32,7.48,8.0,105933
2018-07-16,7.64,7.1,7.4,7.64,76304
2018-07-17,7.9,7.4,7.58,7.4,35388
2018-07-18,8.0,7.54,7.86,7.96,50107
2018-07-19,7.98,7.7,7.74,7.7,16719
2018-07-20,8.0,7.8,7.96,7.82,30376
2018-07-23,7.98,7.72,7.78,7.98,49209
2018-07-24,7.9,7.66,7.9,7.82,11519
2018-07-25,7.9,7.76,7.84,7.9,16190
2018-07-26,7.84,7.52,7.6,7.84,4746
2018-07-27,7.8,7.56,7.74,7.6,33000
2018-07-30,8.0,7.74,7.74,8.0,37297
2018-07-31,8.38,7.6,8.06,7.74,115293
2018-08-01,8.1,7.7,7.7,8.1,45475
2018-08-02,7.88,7.76,7.88,7.78,24600
2018-08-03,7.88,7.62,7.72,7.88,19076
2018-08-06,7.84,7.56,7.72,7.72,20557
2018-08-07,7.88,7.74,7.84,7.74,12191
2018-08-08,8.02,7.8,7.98,7.84,32695
2018-08-09,8.58,7.78,8.54,7.98,161080
2018-08-10,7.48,6.42,7.22,7.0,447222
2018-08-13,7.2,6.7,6.88,7.2,107126
2018-08-14,7.16,6.82,6.92,6.88,26053
2018-08-15,7.18,6.94,7.0,6.94,44994
2018-08-16,7.16,6.92,6.98,6.92,33033
2018-08-17,7.02,6.92,7.02,7.02,24867
2018-08-20,7.0,6.68,6.74,7.0,87833
2018-08-21,6.8,6.64,6.78,6.72,43736
2018-08-22,6.82,6.54,6.68,6.8,38120
2018-08-23,6.72,6.5,6.5,6.58,75234
2018-08-24,6.7,6.42,6.62,6.68,41004
2018-08-27,6.8,6.42,6.62,6.6,23670
2018-08-28,7.08,6.62,6.8,6.62,60006
2018-08-29,6.8,6.4,6.68,6.8,47654
2018-08-30,6.68,6.2,6.5,6.56,46561
2018-08-31,6.52,6.3,6.5,6.5,62974
2018-09-03,6.56,6.32,6.54,6.54,39771
2018-09-04,6.58,6.36,6.52,6.52,36369
