Date,Closing price,50,200
2018-06-05,1.26,,
2018-06-06,1.185,,
2018-06-07,1.25,,
2018-06-08,1.215,,
2018-06-11,1.26,,
2018-06-12,1.26,,
2018-06-13,1.45,,
2018-06-14,1.24,,
2018-06-15,1.325,,
2018-06-18,1.2,,
2018-06-19,1.165,,
2018-06-20,1.28,,
2018-06-21,1.24,,
2018-06-22,1.21,,
2018-06-25,1.13,,
2018-06-26,1.1,,
2018-06-27,1.13,,
2018-06-28,1.12,,
2018-06-29,1.09,,
2018-07-02,1.15,,
2018-07-03,1.15,,
2018-07-04,1.08,,
2018-07-05,1.15,,
2018-07-06,1.15,,
2018-07-09,1.11,,
2018-07-10,1.15,,
2018-07-11,1.145,,
2018-07-12,1.145,,
2018-07-13,1.23,,
2018-07-16,1.1,,
2018-07-17,1.11,,
2018-07-18,1.115,,
2018-07-19,1.11,,
2018-07-20,1.11,,
2018-07-23,1.1,,
2018-07-24,1.095,,
2018-07-25,1.1,,
2018-07-26,1.12,,
2018-07-27,1.115,,
2018-07-30,1.09,,
2018-07-31,1.08,,
2018-08-01,1.07,,
2018-08-02,1.1,,
2018-08-03,1.1,,
2018-08-06,1.145,,
2018-08-07,1.095,,
2018-08-08,1.105,,
2018-08-09,1.105,,
2018-08-10,1.055,,
2018-08-13,1.055,,
2018-08-14,1.03,,
2018-08-15,1.0,,
2018-08-16,1.055,,
2018-08-17,1.055,,
2018-08-20,1.045,,
2018-08-21,0.97,,
2018-08-22,0.94,,
2018-08-23,0.97,,
2018-08-24,0.94,,
2018-08-27,0.98,,
2018-08-28,1.02,,
2018-08-29,0.936,,
2018-08-30,1.015,,
2018-08-31,1.015,,
2018-09-03,0.95,,
2018-09-04,0.99,,
2018-09-05,0.97,,
2018-09-06,0.97,,
2018-09-07,0.95,,
2018-09-10,0.96,,
2018-09-11,0.84,,
2018-09-12,0.98,,
2018-09-13,0.998,,
2018-09-14,0.96,,
2018-09-17,0.99,,
2018-09-18,1.04,,
2018-09-19,0.988,,
2018-09-20,0.98,,
2018-09-21,0.972,,
2018-09-24,0.91,,
2018-09-25,0.906,,
2018-09-26,0.884,,
2018-09-27,0.956,,
2018-09-28,0.94,,
2018-10-01,0.92,,
2018-10-02,0.888,,
2018-10-03,0.9,,
2018-10-04,0.882,,
2018-10-05,0.9,,
2018-10-08,0.882,,
2018-10-09,0.882,,
2018-10-10,0.87,,
2018-10-11,0.906,,
2018-10-12,0.89,,
2018-10-15,0.85,,
2018-10-16,0.802,,
2018-10-17,0.77,,
2018-10-18,0.8,,
2018-10-19,0.85,,
2018-10-22,0.63,,
2018-10-23,0.662,,
2018-10-24,0.702,,
2018-10-25,0.8,,
2018-10-26,0.828,,
2018-10-29,0.99,,
2018-10-30,0.936,,
2018-10-31,0.808,,
2018-11-01,0.848,,
2018-11-02,0.936,,
2018-11-05,0.9,,
2018-11-06,0.9,,
2018-11-07,0.9,,
2018-11-08,0.9,,
2018-11-09,0.818,,
2018-11-12,0.8,,
2018-11-13,0.8,,
2018-11-14,0.75,,
2018-11-15,0.73,,
2018-11-16,0.69,,
2018-11-19,0.692,,
2018-11-20,0.69,,
2018-11-21,0.69,,
2018-11-22,0.69,,
2018-11-23,0.69,,
2018-11-26,0.69,,
2018-11-27,0.7,,
2018-11-28,0.7,,
2018-11-29,0.7,,
2018-11-30,0.7,,
2018-12-03,0.728,,
2018-12-04,0.56,,
2018-12-05,0.61,,
2018-12-06,0.638,,
2018-12-07,0.65,,
2018-12-10,0.532,,
2018-12-11,0.62,,
2018-12-12,0.7,,
2018-12-13,0.65,,
2018-12-14,0.72,,
2018-12-17,0.65,,
2018-12-18,0.61,,
2018-12-19,0.7,,
2018-12-20,0.64,,
2018-12-21,0.61,,
2018-12-27,0.628,,
2018-12-28,0.62,,
2019-01-02,0.668,,
2019-01-03,0.668,,
2019-01-04,0.65,,
2019-01-07,0.65,,
2019-01-08,0.666,,
2019-01-09,0.63,,
2019-01-10,0.718,,
2019-01-11,0.898,,
2019-01-14,0.8,,
2019-01-15,0.75,,
2019-01-16,0.75,,
2019-01-17,0.75,,
2019-01-18,0.75,,
2019-01-21,0.7,,
2019-01-22,0.684,,
2019-01-23,0.72,,
2019-01-24,0.81,,
2019-01-25,0.796,,
2019-01-28,0.796,,
2019-01-29,0.8,,
2019-01-30,0.85,,
2019-01-31,0.764,,
2019-02-01,0.796,,
2019-02-04,0.742,,
2019-02-05,0.756,,
2019-02-06,0.72,,
2019-02-07,0.79,,
2019-02-08,0.846,,
2019-02-11,0.754,,
2019-02-12,0.844,,
2019-02-13,0.82,,
2019-02-14,0.798,,
2019-02-15,0.828,,
2019-02-18,0.736,,
2019-02-19,0.75,,
2019-02-20,0.75,,
2019-02-21,0.756,,
2019-02-22,0.784,,
2019-02-25,0.8,,
2019-02-26,0.8,,
2019-02-27,0.806,,
2019-02-28,0.72,,
2019-03-01,0.686,,
2019-03-04,0.726,,
2019-03-05,0.726,,
2019-03-06,0.7,,
2019-03-07,0.79,,
2019-03-08,0.74,,
2019-03-11,0.71,,
2019-03-12,0.8,,
2019-03-13,0.8,,
2019-03-14,0.8,,
2019-03-15,0.76,,
2019-03-18,0.78,,
2019-03-19,0.76,,
2019-03-20,0.76,,
2019-03-21,0.74,,
2019-03-22,0.74,,
2019-03-25,0.74,,
2019-03-26,0.758,,
2019-03-27,0.758,,
2019-03-28,0.72,,
2019-03-29,0.734,,
2019-04-01,0.9,,
2019-04-02,0.9,,
2019-04-03,0.89,,
2019-04-04,0.88,,
2019-04-05,0.9,,
2019-04-08,1.09,,
2019-04-09,1.01,,
2019-04-10,1.1,,
2019-04-11,1.03,,
2019-04-12,1.03,,
2019-04-15,1.03,,
2019-04-16,1.02,,
2019-04-17,1.0,,
2019-04-18,1.0,,
2019-04-23,1.03,,
2019-04-24,0.95,,
2019-04-25,1.02,,
2019-04-26,1.02,,
2019-04-29,1.02,,
2019-04-30,1.0,,
2019-05-02,1.02,,
2019-05-03,0.9,,
2019-05-06,1.0,,
2019-05-07,0.99,,
2019-05-08,0.995,,
2019-05-09,0.995,,
2019-05-10,1.07,,
2019-05-13,0.98,,
2019-05-14,1.05,,
2019-05-15,1.08,,
