Date,High,Low,Close,Open,Volume
2020-01-02,4.6,4.6,4.6,4.6,9
2020-01-03,4.6,3.76,4.4,4.6,6830
2020-01-06,4.38,4.38,4.38,4.38,1200
2020-01-07,3.9,3.9,3.9,3.9,4000
2020-01-08,3.9,3.9,3.9,3.9,0
2020-01-09,3.9,3.9,3.9,3.9,0
2020-01-10,3.9,3.9,3.9,3.9,0
2020-01-13,3.9,3.9,3.9,3.9,0
2020-01-14,3.9,3.9,3.9,3.9,0
2020-01-15,3.9,3.9,3.9,3.9,0
2020-01-16,3.9,3.9,3.9,3.9,0
2020-01-17,3.9,3.9,3.9,3.9,0
2020-01-20,3.96,3.9,3.96,3.9,660
2020-01-21,4.1,4.1,4.1,4.1,300
2020-01-22,4.0,3.9,4.0,3.9,3070
2020-01-23,4.0,4.0,4.0,4.0,0
2020-01-24,4.02,4.02,4.02,4.02,18192
2020-01-27,4.2,3.7,3.9,4.1,45627
2020-01-28,4.76,3.72,4.1,4.08,24689
2020-01-29,4.5,3.98,4.5,4.02,18206
2020-01-30,4.5,4.4,4.4,4.5,5100
2020-01-31,4.6,4.6,4.6,4.6,40000
2020-02-03,4.5,4.02,4.3,4.5,5400
2020-02-04,4.58,4.58,4.58,4.58,39
2020-02-05,4.3,4.3,4.3,4.3,3200
2020-02-06,4.26,4.26,4.26,4.26,2000
2020-02-07,4.2,3.8,3.84,4.2,20500
2020-02-10,3.84,3.8,3.8,3.84,5210
2020-02-11,3.8,3.8,3.8,3.8,0
2020-02-12,3.8,3.8,3.8,3.8,0
2020-02-13,3.8,3.8,3.8,3.8,0
2020-02-14,4.58,4.48,4.48,4.58,1085
2020-02-17,4.48,3.8,3.9,4.48,38230
2020-02-18,3.9,3.9,3.9,3.9,0
2020-02-19,3.98,3.92,3.98,3.92,10075
2020-02-20,3.98,3.96,3.98,3.96,4925
2020-02-21,3.98,3.98,3.98,3.98,0
2020-02-24,3.9,3.9,3.9,3.9,9300
2020-02-25,3.9,3.9,3.9,3.9,0
2020-02-26,3.9,3.9,3.9,3.9,0
2020-02-27,3.88,3.26,3.88,3.26,3112
2020-02-28,3.98,3.26,3.98,3.26,350
2020-03-02,3.98,3.98,3.98,3.98,0
2020-03-03,3.98,3.98,3.98,3.98,0
2020-03-04,3.98,3.98,3.98,3.98,0
2020-03-05,4.3,3.5,4.3,3.5,1386
2020-03-06,4.3,4.3,4.3,4.3,0
2020-03-09,4.3,4.3,4.3,4.3,0
2020-03-10,4.2,4.2,4.2,4.2,572
2020-03-11,4.2,3.56,3.56,4.2,25060
2020-03-12,3.56,3.56,3.56,3.56,0
2020-03-13,4.1,4.1,4.1,4.1,250
2020-03-16,3.9,3.9,3.9,3.9,400
2020-03-17,3.9,3.9,3.9,3.9,0
2020-03-18,4.0,3.2,4.0,3.2,2250
2020-03-19,4.0,4.0,4.0,4.0,0
2020-03-20,4.1,3.64,3.64,3.7,3000
2020-03-23,3.98,3.6,3.98,3.98,1506
2020-03-24,4.1,3.52,4.0,3.96,12900
2020-03-25,4.0,4.0,4.0,4.0,0
2020-03-26,4.0,4.0,4.0,4.0,0
2020-03-27,4.0,3.98,4.0,3.98,18000
2020-03-30,4.24,3.96,4.24,3.96,39585
2020-03-31,4.5,4.5,4.5,4.5,2104
2020-04-01,5.0,4.3,4.7,5.0,4927
2020-04-02,4.5,4.2,4.2,4.5,5260
2020-04-03,5.0,4.6,4.6,4.7,10677
2020-04-06,4.6,4.5,4.5,4.6,10000
