Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2019-01-15,6.3,3.0,5.96,3.0,56598
2019-01-16,5.92,4.8,5.4,5.92,21756
2019-01-17,5.98,5.3,5.7,5.3,9636
2019-01-18,6.18,5.3,5.5,5.7,9404
2019-01-21,5.8,5.1,5.7,5.7,8645
2019-01-22,5.7,5.3,5.66,5.7,4415
2019-01-23,5.78,5.2,5.5,5.66,4271
2019-01-24,5.72,5.5,5.5,5.5,4486
2019-01-25,5.72,5.7,5.7,5.72,691
2019-01-28,5.96,5.7,5.96,5.72,7831
2019-01-29,6.3,5.96,6.2,5.96,10449
2019-01-30,7.44,6.0,6.78,6.0,7632
2019-01-31,6.78,6.24,6.4,6.78,10101
2019-02-01,6.6,6.4,6.58,6.5,2845
2019-02-04,6.7,6.58,6.6,6.58,5698
2019-02-05,6.72,6.12,6.6,6.6,4264
2019-02-06,6.72,6.2,6.22,6.6,4022
2019-02-07,6.72,6.22,6.42,6.22,3953
2019-02-08,6.6,6.22,6.22,6.6,2664
2019-02-11,6.6,6.22,6.22,6.22,5913
2019-02-12,7.0,6.2,6.8,6.22,8650
2019-02-13,6.84,6.8,6.84,6.8,2007
2019-02-14,6.7,6.0,6.7,6.5,10634
2019-02-15,6.8,6.5,6.76,6.8,3670
2019-02-18,7.0,6.5,6.5,6.76,7513
2019-02-19,7.4,6.56,7.34,6.56,22255
2019-02-20,7.4,6.9,7.38,7.34,12131
2019-02-21,7.4,7.0,7.4,7.38,8112
2019-02-22,7.4,6.76,7.0,7.38,7033
2019-02-25,7.16,6.4,6.7,7.1,8119
2019-02-26,6.98,6.64,6.9,6.64,5917
2019-02-27,6.9,6.5,6.9,6.9,4774
2019-02-28,6.9,6.5,6.5,6.9,1532
2019-03-01,6.9,6.52,6.88,6.52,2087
2019-03-04,6.9,6.88,6.88,6.9,1015
2019-03-05,6.94,6.5,6.5,6.88,7558
2019-03-06,6.5,6.4,6.5,6.5,1796
2019-03-07,6.5,6.0,6.48,6.4,6705
2019-03-08,7.08,5.72,6.68,6.48,7809
2019-03-11,6.68,6.54,6.54,6.68,1080
2019-03-12,6.54,6.4,6.5,6.54,1071
2019-03-13,6.52,5.62,6.48,6.52,1438
2019-03-14,6.4,5.6,6.38,5.6,3730
2019-03-15,6.48,6.38,6.4,6.38,3704
2019-03-18,6.48,5.6,6.0,6.4,10761
2019-03-19,6.48,5.9,6.2,6.0,3433
2019-03-20,6.58,6.0,6.0,6.58,12213
2019-03-21,6.2,6.18,6.18,6.2,1262
2019-03-22,6.0,5.9,5.9,6.0,4105
2019-03-25,5.9,5.56,5.56,5.9,1320
2019-03-26,5.98,5.7,5.98,5.7,2406
2019-03-27,6.54,5.9,5.9,6.0,2140
2019-03-28,6.0,5.62,6.0,5.9,2953
2019-03-29,6.0,5.7,5.86,6.0,1577
2019-04-01,6.5,5.5,6.18,6.4,2520
2019-04-02,6.18,6.12,6.12,6.18,4189
2019-04-03,6.4,6.3,6.4,6.3,2753
2019-04-04,6.6,6.5,6.52,6.58,5204
2019-04-05,6.5,5.7,6.38,6.5,13096
2019-04-08,6.1,5.9,5.98,6.1,4402
2019-04-09,6.36,5.5,6.36,5.9,8693
2019-04-10,6.34,5.26,5.78,6.34,10371
2019-04-11,5.98,5.56,5.6,5.78,1795
2019-04-12,6.1,5.62,6.1,5.96,2848
2019-04-15,6.3,6.1,6.1,6.1,1619
2019-04-16,6.3,5.6,5.82,6.3,759
2019-04-17,6.22,5.52,6.16,5.6,5789
2019-04-18,6.16,5.8,5.8,6.16,1651
2019-04-23,6.1,5.8,5.82,5.8,1387
2019-04-24,6.1,5.8,6.08,5.98,1388
2019-04-25,6.24,5.8,6.0,6.08,1091
2019-04-26,6.0,5.5,5.7,6.0,4195
2019-04-29,5.7,5.5,5.56,5.7,1734
2019-04-30,5.76,4.7,5.76,5.38,7905
2019-05-02,5.74,5.02,5.6,5.74,4275
2019-05-03,5.62,5.5,5.58,5.6,1204
2019-05-06,5.5,5.08,5.08,5.5,4557
2019-05-07,5.12,4.6,4.62,5.04,11399
2019-05-08,4.8,4.5,4.75,4.5,7983
2019-05-09,5.18,4.0,5.12,5.18,10077
2019-05-10,5.1,4.5,5.1,5.1,2349
2019-05-13,5.5,4.8,5.0,4.8,5472
2019-05-14,5.5,5.4,5.4,5.5,2606
2019-05-15,5.4,5.0,5.0,5.4,5507
2019-05-16,5.3,5.0,5.0,5.28,1985
2019-05-17,5.3,5.0,5.0,5.0,4230
2019-05-20,5.28,5.0,5.26,5.0,594
2019-05-21,5.26,5.0,5.0,5.26,3505
2019-05-22,5.0,4.0,4.15,4.85,23215
2019-05-23,4.49,4.0,4.0,4.49,8466
2019-05-24,4.45,4.13,4.22,4.25,4062
2019-05-27,5.3,4.5,5.2,4.5,21022
2019-05-28,5.4,4.8,4.8,5.4,2416
2019-05-29,5.4,4.81,4.81,4.81,511
2019-05-31,6.2,4.81,6.2,4.81,13454
2019-06-03,6.7,5.8,6.18,6.4,12552
2019-06-04,6.3,5.82,6.3,6.18,3297
2019-06-05,6.3,5.4,5.7,6.3,17501
