Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,49.0,47.1,47.1,48.9,991
2018-06-07,47.1,47.1,47.1,47.1,0
2018-06-08,48.1,45.9,47.5,45.9,925
2018-06-11,47.5,47.5,47.5,47.5,33
2018-06-12,47.5,47.4,47.4,47.5,606
2018-06-13,47.4,47.4,47.4,47.4,5
2018-06-14,47.6,47.6,47.6,47.6,55
2018-06-15,48.0,47.5,47.5,48.0,772
2018-06-18,47.5,47.3,47.5,47.3,269
2018-06-19,48.7,46.4,48.4,46.4,454
2018-06-20,46.6,46.3,46.3,46.4,592
2018-06-21,46.4,46.0,46.0,46.3,442
2018-06-25,46.9,46.0,46.9,46.0,365
2018-06-26,46.9,46.9,46.9,46.9,0
2018-06-27,46.1,46.1,46.1,46.1,150
2018-06-28,46.1,46.1,46.1,46.1,0
2018-06-29,46.1,46.0,46.1,46.1,305
2018-07-02,45.4,43.6,43.6,45.4,180
2018-07-03,48.9,43.7,48.9,43.7,82
2018-07-04,48.9,48.9,48.9,48.9,0
2018-07-05,45.1,45.1,45.1,45.1,51
2018-07-06,45.9,45.9,45.9,45.9,10
2018-07-09,45.9,45.0,45.2,45.9,554
2018-07-10,45.2,45.2,45.2,45.2,0
2018-07-11,45.0,45.0,45.0,45.0,362
2018-07-12,45.0,45.0,45.0,45.0,82
2018-07-13,47.9,44.0,47.9,44.0,192
2018-07-16,47.6,47.6,47.6,47.6,200
2018-07-17,47.6,47.6,47.6,47.6,0
2018-07-18,47.6,47.6,47.6,47.6,0
2018-07-19,45.1,43.9,45.1,43.9,942
2018-07-20,45.1,45.1,45.1,45.1,0
2018-07-23,45.0,43.5,44.5,43.5,656
2018-07-24,44.2,44.2,44.2,44.2,204
2018-07-25,45.0,44.2,45.0,44.2,206
2018-07-26,46.0,45.9,46.0,46.0,730
2018-07-27,46.5,45.5,46.5,45.5,2799
2018-07-30,46.5,46.5,46.5,46.5,0
2018-07-31,46.5,46.4,46.4,46.5,1931
2018-08-01,45.0,45.0,45.0,45.0,320
2018-08-02,48.2,44.6,44.6,48.2,139
2018-08-03,46.0,44.6,44.6,46.0,391
2018-08-06,44.6,44.6,44.6,44.6,88
2018-08-07,45.1,44.6,45.1,44.6,83
2018-08-08,45.0,44.4,44.4,44.7,983
2018-08-09,48.2,48.2,48.2,48.2,45
2018-08-10,48.1,45.1,45.1,48.1,1003
2018-08-13,45.1,44.3,44.5,45.1,1733
2018-08-14,46.0,44.5,44.5,44.5,782
2018-08-15,45.9,45.0,45.9,45.0,1512
2018-08-16,48.4,44.0,44.0,44.2,2640
2018-08-17,46.9,45.2,45.5,45.2,1371
2018-08-20,46.2,46.1,46.2,46.1,301
2018-08-21,45.9,44.6,45.9,44.6,217
2018-08-22,47.2,45.1,47.2,45.2,12114
2018-08-23,50.8,47.2,50.0,47.2,10763
2018-08-24,49.7,47.0,49.3,49.7,3468
2018-08-27,49.9,48.0,49.9,49.0,3640
2018-08-28,49.9,49.5,49.9,49.9,1839
2018-08-29,50.0,48.5,49.9,50.0,1515
2018-08-30,49.5,49.5,49.5,49.5,150
2018-08-31,48.5,47.6,47.6,48.5,340
2018-09-03,48.4,46.1,47.0,47.5,4801
2018-09-04,47.1,46.7,47.0,46.7,5494
2018-09-05,47.3,47.0,47.3,47.0,3500
2018-09-06,47.9,46.0,47.9,47.3,1158
2018-09-07,46.5,46.5,46.5,46.5,951
2018-09-10,48.8,46.6,46.6,48.8,1769
2018-09-11,47.4,47.4,47.4,47.4,50
2018-09-12,46.5,46.5,46.5,46.5,400
2018-09-13,47.5,47.3,47.5,47.3,667
2018-09-14,48.4,48.4,48.4,48.4,500
2018-09-17,48.4,48.4,48.4,48.4,800
2018-09-18,49.3,47.3,49.1,47.6,1143
2018-09-19,49.1,49.1,49.1,49.1,0
2018-09-20,49.2,48.4,48.5,49.2,430
2018-09-21,50.0,48.1,48.1,48.5,1680
2018-09-24,50.0,48.6,48.6,48.6,215
