Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,17.5,16.75,17.15,17.5,15776
2018-06-07,17.6,16.8,17.2,17.15,19074
2018-06-08,17.4,16.5,17.0,16.5,6775
2018-06-11,16.95,16.45,16.75,16.95,16121
2018-06-12,17.25,16.75,17.25,16.8,10301
2018-06-13,17.15,16.0,16.4,17.15,76760
2018-06-14,16.9,15.2,15.9,16.4,13961
2018-06-15,15.95,15.5,15.95,15.95,3444
2018-06-18,16.4,14.5,15.3,15.7,29841
2018-06-19,15.85,15.0,15.45,15.3,8857
2018-06-20,15.9,15.0,15.5,15.0,5336
2018-06-21,15.95,14.95,15.85,15.2,25008
2018-06-25,15.95,15.35,15.95,15.75,13059
2018-06-26,15.95,15.5,15.9,15.95,7400
2018-06-27,15.85,15.35,15.85,15.85,11707
2018-06-28,15.8,14.6,15.35,15.1,14178
2018-06-29,15.95,15.15,15.7,15.35,9325
2018-07-02,16.0,14.9,15.85,16.0,19324
2018-07-03,15.7,14.95,15.25,15.25,5480
2018-07-04,16.05,15.25,15.65,16.05,6267
2018-07-05,16.0,15.3,15.5,15.65,3463
2018-07-06,16.5,15.25,15.25,16.5,9760
2018-07-09,19.0,17.0,18.15,17.15,251921
2018-07-10,18.15,16.65,17.15,18.15,89838
2018-07-11,17.9,17.1,17.55,17.15,18439
2018-07-12,17.3,16.1,16.95,17.3,37754
2018-07-13,21.5,17.0,19.5,17.0,241094
2018-07-16,23.6,20.0,22.2,20.1,208574
2018-07-17,24.5,22.2,23.6,22.2,115385
2018-07-18,24.5,21.7,22.2,23.7,77492
2018-07-19,21.6,18.8,20.6,21.6,160259
2018-07-20,21.2,19.25,20.3,20.6,27072
2018-07-23,21.0,18.55,18.55,20.3,46023
2018-07-24,19.7,18.7,19.0,18.7,24664
2018-07-25,19.5,18.9,18.95,19.0,23623
2018-07-26,19.1,18.1,18.5,18.95,33315
2018-07-27,18.85,17.4,17.85,18.85,53393
2018-07-30,17.85,16.5,17.25,17.85,32836
2018-07-31,17.7,16.85,17.25,17.2,7008
2018-08-01,18.2,16.85,17.5,17.25,5760
2018-08-02,19.55,16.5,18.9,17.45,20259
2018-08-03,19.0,17.6,18.95,18.5,18289
2018-08-06,19.6,18.2,19.0,18.95,11136
2018-08-07,19.2,18.0,18.35,18.8,12909
2018-08-08,19.35,17.65,18.5,18.0,18648
2018-08-09,24.0,18.35,19.1,18.5,139852
2018-08-10,20.5,19.1,19.75,19.1,32281
2018-08-13,20.9,19.0,20.1,19.9,22947
2018-08-14,20.1,19.2,19.5,20.1,15920
2018-08-15,19.65,18.65,18.7,19.25,8911
2018-08-16,18.95,17.75,18.75,18.15,4393
2018-08-17,19.9,18.3,18.7,18.3,4674
2018-08-20,19.5,18.5,18.65,18.7,4030
2018-08-21,19.45,17.55,19.05,19.4,23335
2018-08-22,18.9,17.85,18.45,17.85,4071
2018-08-23,19.35,18.1,18.8,18.1,4294
2018-08-24,19.35,18.55,18.85,18.75,2194
2018-08-27,18.95,17.5,18.45,18.75,15816
2018-08-28,18.9,17.7,18.0,18.5,20388
2018-08-29,18.4,18.0,18.3,18.4,10266
2018-08-30,18.65,17.7,18.0,17.7,17413
2018-08-31,18.7,17.5,18.3,18.0,10762
2018-09-03,18.3,17.0,17.2,18.3,20170
2018-09-04,18.15,16.9,17.35,17.2,20197
2018-09-05,17.45,16.9,17.45,17.0,9602
2018-09-06,18.4,16.8,17.9,17.55,8396
2018-09-07,18.2,17.0,17.5,17.7,2163
2018-09-10,18.2,17.0,17.55,17.5,9737
2018-09-11,17.85,16.9,17.85,17.45,17084
