Date,High,Low,Close,Open,Volume
2020-01-02,9.38,8.88,9.19,9.38,94973
2020-01-03,9.09,8.92,9.07,9.09,22771
2020-01-07,9.23,8.6,8.91,9.07,75938
2020-01-08,9.0,8.62,8.91,8.91,54535
2020-01-09,9.16,8.83,9.1,8.83,24824
2020-01-10,9.39,8.83,8.95,9.1,56543
2020-01-13,9.39,8.84,8.84,8.96,39213
2020-01-14,9.0,8.76,8.88,8.83,25900
2020-01-15,9.09,8.8,9.03,8.8,106219
2020-01-16,9.07,8.74,8.95,9.07,38815
2020-01-17,9.09,8.88,9.04,8.96,39675
2020-01-20,9.4,8.92,9.39,9.04,60656
2020-01-21,9.4,9.19,9.28,9.39,56698
2020-01-22,9.26,9.04,9.2,9.26,35873
2020-01-23,9.4,9.12,9.2,9.2,46060
2020-01-24,9.76,9.13,9.5,9.19,151884
2020-01-27,9.5,9.1,9.39,9.45,49614
2020-01-28,9.48,9.1,9.46,9.23,21811
2020-01-29,9.8,9.45,9.79,9.5,69960
2020-01-30,9.89,9.6,9.74,9.8,21482
2020-01-31,9.8,9.52,9.71,9.8,24059
2020-02-03,10.98,10.0,10.38,10.98,177598
2020-02-04,10.96,10.16,10.54,10.36,57659
2020-02-05,11.2,10.68,10.7,10.7,86998
2020-02-06,11.2,10.8,10.86,10.8,44058
2020-02-07,11.18,10.6,10.72,10.9,51307
2020-02-10,11.0,10.7,10.7,10.9,43813
2020-02-11,11.1,10.04,10.3,10.7,83926
2020-02-12,11.78,10.4,10.88,10.4,218958
2020-02-13,11.96,10.9,11.94,10.9,285466
2020-02-14,12.94,11.76,12.46,11.96,143086
2020-02-17,13.22,12.52,13.14,12.52,72897
2020-02-18,13.3,12.0,12.8,13.16,174862
2020-02-19,13.0,12.28,12.58,13.0,45317
2020-02-20,12.9,12.58,12.64,12.6,18552
2020-02-21,12.94,12.42,12.48,12.66,30964
2020-02-24,12.1,11.34,11.64,11.9,85083
2020-02-25,11.88,11.34,11.58,11.64,24590
2020-02-26,11.52,10.22,11.28,11.5,104968
2020-02-27,11.2,10.2,10.5,10.74,53408
2020-02-28,10.46,9.81,10.26,10.44,74511
2020-03-02,10.78,9.99,10.16,10.26,45376
2020-03-03,10.8,10.02,10.56,10.28,33611
2020-03-04,10.88,10.26,10.38,10.42,33207
2020-03-05,11.46,10.4,10.94,10.4,39770
2020-03-06,10.4,9.8,10.02,10.4,46614
2020-03-09,9.69,8.6,9.15,9.5,81037
2020-03-10,9.75,9.0,9.09,9.15,27651
2020-03-11,9.39,8.86,9.0,9.0,65075
2020-03-12,8.74,7.5,8.1,8.74,126112
2020-03-13,8.9,7.72,8.45,7.72,64662
2020-03-16,7.8,6.8,7.38,7.8,84357
2020-03-17,8.05,6.7,7.81,7.21,95830
2020-03-18,8.32,7.6,8.0,7.81,41121
2020-03-19,8.83,8.16,8.83,8.23,91199
2020-03-20,9.3,8.68,8.88,9.3,42578
2020-03-23,8.89,8.12,8.84,8.4,21031
2020-03-24,8.98,7.9,8.58,8.98,29991
2020-03-25,8.92,8.5,8.69,8.6,14260
2020-03-26,8.97,8.01,8.55,8.97,30711
2020-03-27,8.62,8.06,8.62,8.55,49988
2020-03-30,9.0,7.66,9.0,8.38,64972
2020-03-31,9.3,8.72,9.07,8.72,24169
2020-04-01,10.65,8.66,10.0,8.98,19878
2020-04-02,9.96,8.8,9.2,9.8,53524
2020-04-03,9.48,8.66,9.0,9.28,11567
2020-04-06,10.25,9.18,9.46,10.25,21326
2020-04-07,9.98,9.28,9.34,9.72,11238
2020-04-08,9.5,8.86,9.28,9.34,33139
2020-04-09,9.5,8.9,9.18,9.3,15453
2020-04-14,9.6,8.92,9.6,9.26,66788
2020-04-15,9.6,9.14,9.2,9.6,9707
2020-04-16,9.68,9.32,9.52,9.32,39474
2020-04-17,10.4,9.46,10.25,9.52,39567
2020-04-20,11.05,9.44,10.4,11.05,20153
2020-04-21,10.8,10.0,10.7,10.4,25140
2020-04-22,10.7,10.1,10.7,10.7,20820
2020-04-23,11.1,10.35,10.7,11.1,12308
2020-04-24,10.95,10.25,10.5,10.7,9763
2020-04-27,11.95,10.3,11.2,10.45,30696
2020-04-28,11.4,10.65,10.85,11.4,21048
2020-04-29,11.45,10.2,10.8,10.85,32463
2020-04-30,11.3,10.5,10.75,11.3,8353
2020-05-04,10.6,10.05,10.5,10.6,59563
2020-05-05,11.2,10.4,10.55,10.5,10162
2020-05-06,10.75,10.35,10.5,10.75,7178
2020-05-07,12.05,10.1,10.5,10.5,38586
2020-05-08,10.65,9.98,10.4,10.3,22082
2020-05-11,11.7,10.25,10.95,10.25,33667
2020-05-12,10.9,10.6,10.7,10.9,19180
2020-05-13,11.85,10.3,10.7,10.4,33806
2020-05-14,10.7,10.15,10.5,10.7,24245
2020-05-15,10.85,10.2,10.6,10.6,15334
2020-05-18,10.95,10.25,10.9,10.6,529025
2020-05-19,10.95,10.6,10.8,10.95,14756
2020-05-20,10.8,10.5,10.8,10.8,3189
2020-05-22,12.0,10.8,12.0,10.8,28855
2020-05-25,12.5,11.3,11.8,12.0,163270
2020-05-26,12.45,11.8,12.3,11.8,36960
2020-05-27,12.45,11.4,11.45,12.35,37565
2020-05-28,11.55,11.3,11.45,11.5,15914
2020-05-29,13.05,11.45,12.25,11.45,58699
2020-06-01,12.3,11.7,12.15,12.1,30168
2020-06-02,12.3,11.75,12.05,12.15,9253
2020-06-03,12.1,11.6,11.7,12.1,11392
2020-06-04,11.9,11.3,11.3,11.7,160479
2020-06-05,12.0,11.25,11.85,11.3,32078
2020-06-08,11.95,11.3,11.9,11.8,27949
2020-06-09,11.95,11.45,11.85,11.9,15073
2020-06-10,11.9,11.5,11.55,11.9,21959
2020-06-11,11.9,11.3,11.45,11.55,16850
2020-06-12,11.6,10.8,11.45,11.15,16812
2020-06-15,11.9,10.85,11.45,11.45,77844
2020-06-16,12.2,11.45,12.0,11.45,36685
2020-06-17,12.3,11.65,12.0,12.0,22619
2020-06-18,12.0,11.0,11.65,12.0,56028
2020-06-22,11.55,10.9,11.15,11.55,18551
2020-06-23,11.95,10.95,11.35,11.1,130297
2020-06-24,11.65,11.3,11.55,11.45,34642
2020-06-25,11.65,11.3,11.65,11.55,7921
2020-06-26,11.95,11.45,11.9,11.8,17584
2020-06-29,12.0,11.0,11.45,11.9,35094
2020-06-30,11.65,10.9,11.0,11.6,46891
2020-07-01,11.45,10.7,11.0,11.45,82042
2020-07-02,11.9,10.8,11.35,10.95,41408
2020-07-03,11.7,11.0,11.3,11.35,21981
2020-07-06,12.45,11.4,12.2,11.8,86033
2020-07-07,12.8,12.2,12.7,12.2,65066
2020-07-08,12.95,12.35,12.95,12.9,65986
2020-07-09,13.6,13.0,13.5,13.0,84982
2020-07-10,15.0,13.5,14.35,13.5,81937
2020-07-13,14.85,13.35,14.2,14.5,81389
2020-07-14,14.25,13.75,14.1,14.15,43923
2020-07-15,14.3,13.65,13.95,14.3,18823
2020-07-16,14.8,13.8,14.2,14.1,23966
