Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,25.9,22.3,25.0,22.3,34282
2018-06-07,25.0,23.9,24.9,25.0,6201
2018-06-08,25.1,24.2,24.6,24.8,1992
2018-06-11,24.3,23.5,23.5,24.2,8110
2018-06-12,26.0,23.6,24.3,23.6,15323
2018-06-13,24.5,23.8,24.0,24.5,3688
2018-06-14,24.0,22.2,23.1,23.9,38723
2018-06-15,23.4,22.2,22.2,23.3,6716
2018-06-18,23.0,22.2,23.0,22.2,2005
2018-06-19,22.8,22.1,22.2,22.2,7997
2018-06-20,23.0,22.5,22.5,22.7,8606
2018-06-21,22.9,22.5,22.5,22.5,2631
2018-06-25,24.6,23.0,23.6,23.0,12272
2018-06-26,23.5,22.8,23.0,23.5,4001
2018-06-27,23.0,22.5,22.6,23.0,374
2018-06-28,23.0,22.5,22.7,22.5,15131
2018-06-29,22.8,22.5,22.5,22.7,41851
2018-07-02,24.0,22.1,23.6,22.5,7600
2018-07-03,23.5,23.3,23.5,23.5,2156
2018-07-04,25.0,23.2,23.5,23.4,33389
2018-07-05,23.5,22.5,22.5,23.5,7436
2018-07-06,23.2,22.2,22.3,22.8,22935
2018-07-09,22.7,22.4,22.7,22.6,3386
2018-07-10,23.3,22.3,22.8,22.7,22667
2018-07-11,23.4,22.4,22.4,23.3,18555
2018-07-12,22.6,21.5,21.5,22.6,25842
2018-07-13,22.0,20.7,21.3,21.7,22401
2018-07-16,22.6,21.0,22.2,21.0,11533
2018-07-17,22.3,22.3,22.3,22.3,1892
2018-07-18,22.8,22.5,22.6,22.5,4952
2018-07-19,23.2,21.9,23.2,22.4,22137
2018-07-20,23.3,22.5,22.6,22.5,1149
2018-07-23,22.7,22.2,22.7,22.6,1948
2018-07-24,23.4,22.7,23.1,22.7,6971
2018-07-25,23.6,22.7,23.2,22.7,10817
2018-07-26,23.9,23.1,23.6,23.2,11521
2018-07-27,24.0,23.6,24.0,23.6,11360
2018-07-30,24.2,23.4,23.4,24.0,12439
2018-07-31,24.0,23.3,23.9,23.9,4171
2018-08-01,24.2,23.6,23.6,23.9,10719
2018-08-02,23.9,23.6,23.9,23.6,1151
2018-08-03,24.0,24.0,24.0,24.0,1240
2018-08-06,24.0,23.3,23.6,24.0,4144
2018-08-07,23.7,23.5,23.6,23.5,3922
2018-08-08,24.1,23.6,24.1,23.9,12520
2018-08-09,25.0,23.8,24.6,24.0,22899
2018-08-10,25.0,24.2,24.6,24.5,9812
2018-08-13,25.4,24.6,25.0,24.6,16853
2018-08-14,25.0,24.1,24.5,25.0,22079
2018-08-15,24.9,24.2,24.6,24.2,15170
2018-08-16,24.8,23.4,24.8,23.8,12099
2018-08-17,25.3,24.5,24.8,24.8,15422
2018-08-20,25.0,23.6,23.6,25.0,12024
2018-08-21,24.5,23.6,24.2,24.0,27182
2018-08-22,24.9,24.0,24.1,24.2,33708
2018-08-23,24.5,23.0,24.5,24.1,10955
2018-08-24,24.3,23.8,24.1,24.3,9009
2018-08-27,24.2,23.8,24.0,24.0,4475
2018-08-28,24.8,23.8,24.0,23.8,83221
2018-08-29,24.3,23.6,24.3,24.0,3721
2018-08-30,24.1,23.8,24.1,24.1,2082
2018-08-31,26.3,23.7,26.2,23.9,201044
2018-09-03,29.9,26.4,28.7,26.8,226031
2018-09-04,29.0,28.0,28.8,28.5,156795
