Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,29.7,28.6,29.2,28.9,603781
2018-06-07,29.7,28.9,29.4,29.45,560119
2018-06-08,29.9,29.05,29.9,29.65,495052
2018-06-11,30.3,29.45,30.0,29.7,526166
2018-06-12,29.8,29.05,29.2,29.8,842416
2018-06-13,29.5,29.2,29.45,29.25,688428
2018-06-14,29.5,28.65,29.2,29.3,1036754
2018-06-15,29.55,28.85,29.05,29.15,684076
2018-06-18,30.0,29.1,29.85,29.25,1303093
2018-06-19,29.7,29.1,29.35,29.65,893907
2018-06-20,29.5,29.15,29.35,29.3,801593
2018-06-21,29.7,29.15,29.3,29.4,775876
2018-06-25,29.65,29.0,29.2,29.2,836646
2018-06-26,29.25,29.1,29.2,29.2,590541
2018-06-27,30.0,29.2,29.75,29.2,573285
2018-06-28,29.95,29.4,29.6,29.6,401830
2018-06-29,29.95,29.45,29.6,29.75,437992
2018-07-02,29.75,29.3,29.65,29.45,410163
2018-07-03,29.8,29.55,29.6,29.6,384886
2018-07-04,29.85,29.5,29.6,29.65,433310
2018-07-05,29.75,29.5,29.55,29.7,395963
2018-07-06,30.7,29.45,30.6,29.65,680270
2018-07-09,31.6,30.35,31.55,30.5,963880
2018-07-10,32.3,31.5,32.05,31.55,880490
2018-07-11,32.15,31.65,31.85,31.9,758875
2018-07-12,32.35,31.9,32.0,31.9,936634
2018-07-13,32.2,31.8,31.8,32.05,725281
2018-07-16,32.35,31.75,31.95,32.0,851458
2018-07-17,32.2,31.75,31.8,32.2,583158
2018-07-18,33.85,31.65,33.35,31.95,1405092
2018-07-19,36.0,31.45,32.05,35.5,2614207
2018-07-20,32.9,31.65,32.85,32.1,1308777
2018-07-23,34.0,32.25,33.75,32.8,962466
2018-07-24,33.95,33.5,33.7,33.75,553740
2018-07-25,33.95,33.4,33.85,33.5,682440
2018-07-26,34.75,33.6,34.75,33.8,945727
2018-07-27,35.0,34.7,34.9,34.8,871705
2018-07-30,35.75,34.6,35.45,34.85,714183
2018-07-31,35.95,35.4,35.9,35.45,762230
2018-08-01,36.0,35.4,35.85,35.85,697794
2018-08-02,35.65,34.8,34.95,35.55,614096
2018-08-03,36.15,34.9,35.8,34.9,763085
2018-08-06,36.5,35.45,36.2,35.75,961392
2018-08-07,37.0,36.15,37.0,36.4,1058355
2018-08-08,37.7,36.9,37.5,36.95,683484
2018-08-09,37.7,37.05,37.25,37.55,327685
2018-08-10,37.3,36.55,36.8,37.25,534289
2018-08-13,36.9,35.8,36.2,36.65,739382
2018-08-14,36.45,35.3,35.55,36.25,708009
2018-08-15,36.15,35.2,35.85,35.4,735984
2018-08-16,36.9,35.75,36.75,35.75,919671
2018-08-17,37.45,36.7,37.2,36.95,728119
2018-08-20,37.7,37.0,37.65,37.15,654394
2018-08-21,37.8,36.5,36.75,37.7,753084
2018-08-22,37.25,36.7,36.9,36.9,565231
2018-08-23,37.2,36.8,37.0,36.9,612024
2018-08-24,37.15,36.65,37.0,36.75,832643
2018-08-27,37.4,36.65,36.85,37.0,562647
2018-08-28,37.05,36.5,36.55,36.9,544709
2018-08-29,36.65,31.5,34.7,36.6,1387471
2018-08-30,35.25,34.45,34.95,34.75,543767
2018-08-31,35.15,34.3,34.7,34.95,599544
2018-09-03,34.7,33.95,34.2,34.55,711437
2018-09-04,34.35,33.0,33.05,34.0,1232619
2018-09-05,33.75,32.8,32.9,33.05,1025914
2018-09-06,33.4,32.5,32.9,32.9,759880
2018-09-07,33.25,32.65,32.95,32.85,875365
2018-09-10,33.15,32.65,32.75,32.85,471902
2018-09-11,33.25,32.6,32.85,32.7,336790
2018-09-12,33.75,32.8,33.25,32.8,702855
2018-09-13,33.8,32.75,32.95,33.3,700524
2018-09-14,33.1,32.05,32.3,33.1,637593
2018-09-17,32.4,31.8,32.1,32.3,448774
2018-09-18,32.05,31.5,31.85,32.05,836464
2018-09-19,32.8,31.5,32.5,31.8,584416
2018-09-20,32.7,32.0,32.65,32.7,338583
2018-09-21,32.65,32.15,32.3,32.65,364648
2018-09-24,32.25,31.85,32.1,32.15,318790
2018-09-25,32.4,32.05,32.35,32.05,270434
2018-09-26,32.4,32.05,32.35,32.25,401449
2018-09-27,32.4,31.8,32.0,32.2,926596
2018-09-28,31.95,31.2,31.6,31.95,742728
2018-10-01,32.5,31.5,32.4,31.8,524817
2018-10-02,33.2,32.2,33.05,32.45,731153
2018-10-03,33.9,33.05,33.65,33.05,662714
2018-10-04,33.75,33.1,33.2,33.75,447736
2018-10-05,33.05,32.35,32.5,33.0,347335
