Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,4.58,4.52,4.58,4.52,1109
2018-06-06,4.6,4.58,4.6,4.58,667
2018-06-07,4.6,4.6,4.6,4.6,0
2018-06-08,4.48,4.48,4.48,4.48,200
2018-06-11,4.5,4.44,4.44,4.5,1569
2018-06-12,4.5,4.46,4.46,4.5,910
2018-06-13,4.46,4.46,4.46,4.46,0
2018-06-14,4.5,4.5,4.5,4.5,900
2018-06-15,4.46,4.38,4.4,4.46,7401
2018-06-18,4.4,4.38,4.38,4.4,1232
2018-06-19,4.38,4.36,4.38,4.38,4389
2018-06-20,4.38,4.36,4.36,4.38,4287
2018-06-21,4.36,4.36,4.36,4.36,550
2018-06-25,4.34,4.34,4.34,4.34,500
2018-06-26,4.34,4.34,4.34,4.34,0
2018-06-27,4.38,4.38,4.38,4.38,307
2018-06-28,4.38,4.38,4.38,4.38,300
2018-06-29,4.38,4.38,4.38,4.38,10
2018-07-02,4.36,4.34,4.34,4.36,2299
2018-07-03,4.34,4.34,4.34,4.34,0
2018-07-04,4.36,4.2,4.36,4.2,12
2018-07-05,4.36,4.36,4.36,4.36,220
2018-07-06,4.36,4.36,4.36,4.36,0
2018-07-09,4.48,4.34,4.34,4.4,277
2018-07-10,4.34,4.34,4.34,4.34,153
2018-07-11,4.34,4.34,4.34,4.34,0
2018-07-12,4.42,4.04,4.4,4.42,962
2018-07-13,4.4,4.14,4.4,4.14,342
2018-07-16,4.48,4.48,4.48,4.48,100
2018-07-17,4.44,4.44,4.44,4.44,2
2018-07-18,4.44,4.44,4.44,4.44,0
2018-07-19,4.42,4.42,4.42,4.42,600
2018-07-20,4.42,4.42,4.42,4.42,0
2018-07-23,4.42,4.42,4.42,4.42,0
2018-07-24,4.48,4.3,4.48,4.3,781
2018-07-25,4.48,4.48,4.48,4.48,0
2018-07-26,4.5,4.4,4.5,4.4,1997
2018-07-27,4.6,4.5,4.5,4.5,893
2018-07-30,4.5,4.5,4.5,4.5,260
2018-07-31,4.6,4.6,4.6,4.6,1800
2018-08-01,4.6,4.6,4.6,4.6,0
2018-08-02,4.64,4.54,4.64,4.6,1074
2018-08-03,4.54,4.46,4.5,4.54,401
2018-08-06,4.64,4.6,4.6,4.6,500
2018-08-07,4.8,4.74,4.74,4.74,3715
2018-08-08,4.94,4.8,4.88,4.8,7323
2018-08-09,4.88,4.66,4.74,4.88,3474
2018-08-10,4.74,4.64,4.74,4.68,3835
2018-08-13,4.74,4.52,4.68,4.74,809
2018-08-14,4.6,4.58,4.6,4.58,742
2018-08-15,4.62,4.58,4.58,4.62,2393
2018-08-16,4.64,4.52,4.52,4.64,99
2018-08-17,4.6,4.52,4.52,4.6,686
2018-08-20,4.52,4.52,4.52,4.52,0
2018-08-21,4.62,4.62,4.62,4.62,760
2018-08-22,4.68,4.6,4.62,4.66,1039
2018-08-23,4.62,4.56,4.56,4.62,598
2018-08-24,4.56,4.56,4.56,4.56,133
2018-08-27,4.66,4.56,4.66,4.6,546
2018-08-28,4.7,4.68,4.7,4.7,2435
2018-08-29,4.68,4.56,4.64,4.68,1032
2018-08-30,4.62,4.62,4.62,4.62,127
2018-08-31,4.6,4.5,4.5,4.6,2500
2018-09-03,4.6,4.54,4.6,4.54,2569
2018-09-04,4.58,4.52,4.58,4.54,662
2018-09-05,4.56,4.5,4.52,4.56,755
2018-09-06,4.5,4.5,4.5,4.5,1093
2018-09-07,4.5,4.5,4.5,4.5,60
2018-09-10,4.48,4.46,4.46,4.48,5487
2018-09-11,4.48,4.48,4.48,4.48,1820
2018-09-12,4.52,4.48,4.48,4.52,1006
2018-09-13,4.54,4.5,4.5,4.52,1520
2018-09-14,4.54,4.48,4.48,4.54,1504
2018-09-17,4.78,4.52,4.58,4.52,3380
2018-09-18,4.72,4.58,4.72,4.66,12838
2018-09-19,4.74,4.52,4.74,4.72,6019
2018-09-20,4.74,4.7,4.74,4.74,1878
2018-09-21,4.76,4.72,4.74,4.74,873
2018-09-24,4.78,4.74,4.74,4.74,177
2018-09-25,4.8,4.7,4.8,4.7,712
2018-09-26,4.6,4.6,4.6,4.6,700
2018-09-27,4.74,4.6,4.64,4.6,500
2018-09-28,4.66,4.66,4.66,4.66,1000
2018-10-01,4.76,4.7,4.76,4.7,514
2018-10-02,4.76,4.6,4.76,4.6,580
2018-10-03,4.7,4.7,4.7,4.7,119
2018-10-04,4.6,4.58,4.58,4.6,400
2018-10-05,4.6,4.6,4.6,4.6,100
2018-10-08,4.58,4.5,4.5,4.58,1315
2018-10-09,4.62,4.5,4.5,4.62,1914
2018-10-10,4.58,4.5,4.58,4.5,1067
2018-10-11,4.54,4.34,4.4,4.54,1000
2018-10-12,4.48,4.4,4.4,4.48,1091
2018-10-15,4.4,4.4,4.4,4.4,57
2018-10-16,4.48,4.4,4.48,4.4,1370
2018-10-17,4.48,4.48,4.48,4.48,0
2018-10-18,4.5,4.5,4.5,4.5,440
2018-10-19,4.5,4.26,4.26,4.5,1819
2018-10-22,4.3,4.26,4.28,4.26,1000
2018-10-23,4.3,4.24,4.24,4.3,545
2018-10-24,4.34,4.32,4.34,4.32,844
2018-10-25,4.3,4.3,4.3,4.3,252
2018-10-26,4.3,4.3,4.3,4.3,10
2018-10-29,4.4,4.26,4.4,4.3,2500
2018-10-30,4.4,4.3,4.38,4.4,1885
2018-10-31,4.36,4.1,4.1,4.36,3266
2018-11-01,4.36,4.24,4.36,4.24,1914
2018-11-02,4.38,4.3,4.38,4.32,1912
2018-11-05,4.38,4.38,4.38,4.38,0
2018-11-06,4.38,4.38,4.38,4.38,0
2018-11-07,4.4,4.4,4.4,4.4,400
2018-11-08,4.48,4.4,4.48,4.4,1357
2018-11-09,4.34,4.34,4.34,4.34,220
2018-11-12,4.34,4.3,4.32,4.34,1849
2018-11-13,4.34,4.32,4.32,4.34,727
2018-11-14,4.5,4.38,4.5,4.5,1008
2018-11-15,4.5,4.5,4.5,4.5,0
2018-11-16,4.42,4.4,4.4,4.42,1115
2018-11-19,4.4,4.32,4.34,4.4,716
2018-11-20,4.38,4.32,4.32,4.38,1214
2018-11-21,4.32,4.32,4.32,4.32,0
2018-11-22,4.4,4.4,4.4,4.4,504
2018-11-23,4.4,4.4,4.4,4.4,0
2018-11-26,4.3,4.24,4.26,4.24,710
2018-11-27,4.3,4.26,4.3,4.26,491
2018-11-28,4.3,4.3,4.3,4.3,0
2018-11-29,4.3,4.3,4.3,4.3,0
2018-11-30,4.3,4.3,4.3,4.3,0
2018-12-03,4.32,4.3,4.32,4.3,482
2018-12-04,4.34,4.32,4.34,4.32,237
2018-12-05,4.32,4.26,4.26,4.26,264
2018-12-07,4.3,4.26,4.26,4.28,1739
2018-12-10,4.2,4.18,4.18,4.2,1009
2018-12-11,4.28,4.28,4.28,4.28,930
2018-12-12,4.26,4.2,4.26,4.26,1787
2018-12-13,4.26,4.26,4.26,4.26,10
2018-12-14,4.22,4.2,4.2,4.22,3953
2018-12-17,4.2,4.2,4.2,4.2,1769
2018-12-18,4.18,4.0,4.08,4.18,1021
2018-12-19,4.08,4.06,4.06,4.08,1739
2018-12-20,4.06,4.06,4.06,4.06,0
