Date,High,Low,Close,Open,Volume
2020-01-03,203.5,192.8,203.0,199.8,103228
2020-01-07,205.0,200.0,203.0,201.0,38490
2020-01-08,204.0,199.0,204.0,202.5,12782
2020-01-09,207.0,204.0,206.0,205.0,17898
2020-01-10,209.0,206.0,207.5,206.0,16190
2020-01-13,209.5,203.5,205.5,208.0,25739
2020-01-14,208.0,203.5,205.0,205.0,38493
2020-01-15,207.0,203.0,204.0,207.0,93202
2020-01-16,212.0,205.0,208.5,205.0,27254
2020-01-17,211.0,206.0,208.0,209.5,15059
2020-01-20,208.5,204.5,207.5,208.0,14223
2020-01-21,205.5,202.5,204.5,204.5,39377
2020-01-22,206.5,201.0,203.5,204.0,11615
2020-01-23,205.5,201.0,204.0,203.0,33175
2020-01-24,207.0,202.5,203.5,205.0,24552
2020-01-27,201.5,196.2,197.8,201.5,25504
2020-01-28,203.0,197.8,201.0,197.8,11748
2020-01-29,203.0,198.0,198.0,201.0,10380
2020-01-30,203.0,193.2,194.2,198.2,48379
2020-01-31,198.0,193.6,196.8,194.0,27748
2020-02-03,198.8,194.8,197.0,194.8,14538
2020-02-04,201.0,197.6,200.0,197.6,12247
2020-02-05,204.5,197.4,198.4,200.0,82074
2020-02-06,202.0,193.6,195.8,195.8,101247
2020-02-07,198.2,194.0,194.0,196.4,42450
2020-02-10,194.0,188.0,192.2,194.0,53959
2020-02-11,195.4,190.6,191.4,192.4,56976
2020-02-12,193.0,190.0,191.0,191.2,71389
2020-02-13,192.0,187.8,189.2,191.2,91478
2020-02-14,192.0,187.0,192.0,187.0,57881
2020-02-17,194.8,189.2,189.6,190.2,35317
2020-02-18,190.8,185.0,188.8,189.6,44792
2020-02-19,192.6,188.4,192.0,188.4,35371
2020-02-20,193.4,191.0,191.8,191.8,26092
2020-02-21,191.8,188.0,189.2,191.6,18302
2020-02-24,186.4,180.4,183.8,186.4,32496
2020-02-25,184.8,179.8,179.8,183.4,25342
2020-02-26,182.0,171.2,181.8,179.8,49476
2020-02-27,180.0,170.0,174.2,180.0,56549
2020-02-28,178.2,165.8,174.6,169.4,83745
2020-03-02,179.4,168.4,172.6,175.2,59648
2020-03-03,176.8,168.8,168.8,174.2,81564
2020-03-04,171.4,167.2,168.8,167.8,46999
2020-03-05,172.6,167.0,168.2,169.8,43905
2020-03-06,167.4,161.6,164.0,167.0,484680
2020-03-09,161.0,153.0,155.4,159.6,92948
2020-03-10,158.8,150.6,152.4,155.2,84317
2020-03-11,155.4,143.4,143.4,154.2,56817
2020-03-12,139.6,125.0,126.8,139.6,91284
2020-03-13,133.6,120.8,127.0,126.0,168428
2020-03-16,126.0,112.2,117.2,125.2,88538
2020-03-17,121.4,111.2,116.4,118.8,138217
2020-03-18,119.8,113.2,115.2,115.6,96964
2020-03-19,118.2,113.0,115.8,115.2,73403
2020-03-20,123.6,117.4,123.0,119.0,50521
2020-03-23,120.4,110.4,110.6,120.0,76536
2020-03-24,116.2,111.6,116.2,114.8,113432
2020-03-25,125.8,118.2,123.8,121.0,64913
2020-03-26,135.8,121.4,133.4,124.0,60311
2020-03-27,140.2,134.0,136.8,135.0,132072
2020-03-30,137.0,129.0,133.4,137.0,41348
2020-03-31,141.4,133.2,136.0,133.2,42571
2020-04-01,133.8,130.8,132.2,133.8,35713
2020-04-02,138.8,132.2,136.0,132.8,77470
2020-04-03,138.2,128.6,128.6,138.0,31463
2020-04-06,135.6,130.6,133.0,130.6,37552
2020-04-07,142.8,133.0,138.0,133.0,79455
2020-04-08,147.8,136.6,136.6,147.8,48197
2020-04-09,144.8,137.6,138.0,144.8,16668
2020-04-14,150.8,142.0,144.8,142.8,47754
2020-04-15,147.6,137.2,138.4,147.6,29215
2020-04-16,139.0,130.0,131.4,138.0,36062
2020-04-17,138.8,133.0,137.4,138.0,36196
2020-04-20,141.8,131.0,132.4,137.2,43082
2020-04-21,135.8,131.2,133.0,135.8,54039
2020-04-22,136.8,131.2,136.0,133.2,58516
2020-04-23,138.8,131.6,132.6,136.2,42482
2020-04-24,136.2,131.6,134.2,134.8,37572
2020-04-27,140.0,134.8,135.8,135.2,45161
2020-04-28,149.4,140.2,143.6,141.2,49908
2020-04-29,148.0,144.0,145.4,147.8,50423
2020-04-30,147.0,142.8,145.8,146.8,33416
2020-05-04,145.8,134.6,138.0,145.8,45930
2020-05-05,141.2,137.6,139.6,139.8,41637
2020-05-06,142.6,137.4,138.0,139.8,28045
2020-05-07,142.2,136.6,142.2,136.6,24155
2020-05-08,143.8,138.0,138.6,142.2,27473
2020-05-11,143.0,137.6,138.6,140.4,44432
2020-05-12,139.6,133.6,134.0,139.2,36202
2020-05-13,136.6,132.0,133.6,135.2,15985
2020-05-14,132.8,126.0,127.8,132.8,32965
2020-05-15,131.6,127.6,129.8,129.0,23172
2020-05-18,135.8,131.4,134.2,132.2,14179
2020-05-19,140.0,133.2,138.0,135.4,20015
2020-05-20,144.4,137.8,144.2,140.0,20947
2020-05-22,143.6,140.0,140.6,143.6,18648
2020-05-25,147.4,142.2,144.6,142.2,28883
2020-05-26,151.4,145.4,145.4,147.2,36585
2020-05-27,149.0,145.4,145.4,148.8,52195
2020-05-28,147.0,142.2,143.4,146.0,27364
2020-05-29,150.6,140.8,150.6,143.2,26583
2020-06-01,163.0,152.0,155.0,152.0,68741
2020-06-02,160.4,149.6,150.6,159.6,42331
2020-06-03,158.8,150.6,151.6,158.8,22858
2020-06-04,152.2,147.0,150.6,151.6,65096
2020-06-05,157.8,150.0,156.4,152.2,23993
2020-06-08,161.8,155.2,160.6,156.0,37247
2020-06-09,164.4,154.2,156.0,161.6,62540
2020-06-10,158.6,152.0,153.6,156.6,44667
2020-06-11,152.6,145.8,147.6,152.2,45879
2020-06-12,150.2,142.2,143.8,146.8,23664
2020-06-15,150.0,141.0,145.6,150.0,263686
2020-06-16,158.6,146.2,154.8,146.2,56371
2020-06-17,154.4,148.8,148.8,154.4,35025
2020-06-18,151.8,148.8,149.8,149.8,32646
2020-06-22,149.4,146.0,147.6,149.0,32918
2020-06-23,150.0,146.4,149.4,146.8,36328
2020-06-24,151.6,148.8,149.6,150.4,32826
2020-06-25,150.2,145.6,148.8,150.0,30171
2020-06-26,153.4,148.8,152.2,148.8,23330
2020-06-29,156.0,150.4,154.8,152.4,34481
2020-06-30,158.6,151.6,154.6,154.6,22864
2020-07-01,158.2,152.0,155.0,154.8,13843
2020-07-02,163.8,155.0,161.6,155.6,168155
2020-07-03,163.2,160.0,161.4,163.0,31880
2020-07-06,168.4,161.6,165.0,161.6,36551
2020-07-07,170.4,165.0,168.4,165.0,71131
2020-07-08,170.8,166.4,169.2,169.2,58265
2020-07-09,171.0,164.6,165.0,169.2,22786
2020-07-10,165.2,161.8,162.6,165.2,25851
2020-07-13,167.0,163.4,165.0,163.4,15222
2020-07-14,167.0,161.4,163.2,166.0,19925
2020-07-15,193.6,165.0,190.0,165.0,143740
2020-07-16,196.0,188.0,192.2,190.4,74428
2020-07-17,192.0,189.0,189.0,191.8,26703
2020-07-20,195.0,188.6,194.4,189.2,45918
2020-07-21,195.4,190.8,191.2,194.8,20664
2020-07-22,193.8,187.6,190.4,193.8,16521
2020-07-23,192.2,187.0,189.6,190.6,15532
2020-07-24,188.0,182.0,187.2,187.8,25560
2020-07-27,188.4,182.0,184.0,188.0,15760
2020-07-28,187.0,183.4,185.0,184.2,13038
2020-07-29,187.0,182.0,185.0,187.0,10377
2020-07-30,185.8,178.0,178.0,185.2,12886
2020-07-31,186.8,176.0,180.8,176.0,30279
2020-08-03,184.6,179.4,182.0,180.0,25927
2020-08-04,186.0,181.0,181.2,182.4,19397
2020-08-05,187.8,182.0,186.8,183.6,33317
2020-08-06,187.6,180.6,182.4,187.0,30231
2020-08-07,183.0,179.4,181.4,182.2,21004
2020-08-10,182.8,176.2,180.0,181.6,21707
2020-08-11,183.0,179.2,183.0,180.0,25237
2020-08-12,183.0,175.8,178.2,183.0,27265
2020-08-13,182.2,178.6,181.6,179.0,16599
2020-08-14,184.2,180.8,182.4,181.6,24430
2020-08-17,188.2,182.8,186.4,184.0,22132
2020-08-18,187.4,183.8,185.0,186.4,18266
2020-08-19,189.0,185.0,188.0,185.0,25316
2020-08-20,190.0,184.2,188.6,184.8,29881
2020-08-21,193.4,187.0,191.0,188.6,40477
2020-08-24,194.6,190.0,192.0,191.2,34708
2020-08-25,194.0,188.6,191.6,192.0,30254
2020-08-26,228.5,198.8,224.0,200.5,231338
2020-08-27,232.0,218.5,222.0,222.5,127941
2020-08-28,225.5,215.0,221.0,225.0,36898
2020-08-31,223.5,218.5,222.5,221.5,27644
2020-09-01,222.0,214.5,218.0,222.0,35741
2020-09-02,222.0,215.5,217.5,219.5,20171
2020-09-03,218.0,209.0,211.0,217.5,44365
2020-09-04,213.0,207.5,210.0,210.0,25054
2020-09-07,215.5,209.5,213.0,210.0,12610
2020-09-08,218.5,207.0,218.0,215.0,36770
2020-09-09,217.5,213.0,214.0,217.5,22356
2020-09-10,216.5,213.0,215.0,215.5,13916
2020-09-11,217.5,211.5,213.5,215.0,16107
2020-09-14,217.0,212.0,212.0,215.0,23670
2020-09-15,216.0,211.0,213.0,212.5,11586
2020-09-16,215.5,212.0,214.5,213.5,9688
2020-09-17,215.5,209.0,213.5,215.0,14759
2020-09-18,241.0,218.0,239.5,218.0,119670
2020-09-21,241.0,229.0,229.0,240.5,60982
2020-09-22,237.0,227.0,227.0,230.0,30372
2020-09-23,233.5,226.5,229.0,230.5,42286
2020-09-24,238.0,222.5,235.0,228.0,58079
2020-09-25,238.0,226.5,231.5,237.0,44831
2020-09-28,236.5,229.0,231.5,235.0,48140
2020-09-29,234.5,226.0,230.0,231.5,33306
2020-09-30,232.0,223.5,227.5,231.0,36086
2020-10-01,231.0,224.0,229.5,227.0,25220
2020-10-02,229.5,225.0,228.0,229.0,15368
2020-10-05,232.5,228.0,229.5,230.0,13900
2020-10-06,233.0,229.0,232.0,229.5,88182
2020-10-07,239.0,227.5,234.5,232.0,47983
2020-10-08,238.0,233.5,234.5,234.5,12769
2020-10-09,243.5,235.0,242.5,235.0,21758
2020-10-12,247.0,236.0,242.5,245.0,36331
2020-10-13,246.0,240.0,242.0,244.0,55385
2020-10-14,244.5,240.0,243.0,240.0,12569
2020-10-15,243.5,234.0,240.0,243.0,25177
2020-10-16,241.0,236.5,240.0,240.0,21938
2020-10-19,246.0,235.5,237.5,240.0,15424
2020-10-20,239.5,231.0,233.5,237.5,37379
2020-10-21,234.5,228.0,229.5,233.5,41582
2020-10-22,267.0,233.0,260.0,239.0,234157
2020-10-23,276.5,262.0,264.0,263.0,114130
2020-10-26,267.0,242.5,244.0,264.0,103725
2020-10-27,255.0,239.0,253.0,244.0,68135
2020-10-28,249.5,233.0,238.0,249.5,82960
2020-10-29,240.0,230.5,236.0,234.0,43194
2020-10-30,243.0,228.5,243.0,232.0,22124
2020-11-02,242.5,233.5,236.0,242.0,30549
2020-11-03,247.0,236.5,245.5,236.5,25241
2020-11-04,256.0,241.0,255.0,244.0,30925
2020-11-05,269.0,255.5,265.5,258.0,50494
2020-11-06,268.5,260.0,264.0,265.5,27469
2020-11-09,274.5,255.0,259.5,268.0,43096
2020-11-10,260.0,250.0,256.0,260.0,84795
2020-11-11,262.5,255.0,256.0,256.5,38721
2020-11-12,263.0,256.0,259.0,256.0,48733
2020-11-13,271.0,257.5,268.0,257.5,34646
2020-11-16,279.5,264.0,264.0,273.0,71544
2020-11-17,266.0,260.0,263.0,264.0,25797
2020-11-18,266.0,259.0,264.0,263.0,31121
2020-11-19,279.5,264.5,275.0,274.0,85759
2020-11-20,283.5,272.5,281.5,275.0,32743
2020-11-23,292.5,284.5,287.5,284.5,72445
2020-11-24,295.0,284.0,293.5,287.5,55581
2020-11-25,297.5,288.5,290.0,293.5,55804
2020-11-26,296.0,287.5,290.0,296.0,23699
2020-11-27,289.5,285.0,286.5,289.5,77638
2020-11-30,287.0,267.0,271.0,287.0,638781
2020-12-01,277.0,267.5,276.5,274.0,49464
2020-12-02,279.5,272.0,276.0,276.5,35050
2020-12-03,285.5,273.0,285.5,276.0,39747
2020-12-04,296.0,283.0,294.0,285.5,52670
2020-12-07,296.0,284.0,284.5,295.0,48805
2020-12-08,287.5,279.0,283.0,284.5,26883
2020-12-09,286.0,278.5,281.5,285.0,27783
2020-12-10,290.0,278.5,290.0,281.5,355517
2020-12-11,290.5,284.0,288.0,290.0,253791
2020-12-14,302.5,288.0,302.0,289.0,44670
2020-12-15,313.0,299.5,308.5,300.0,60445
2020-12-16,314.0,301.0,305.0,314.0,35921
2020-12-17,317.5,304.5,312.5,305.0,437313
2020-12-18,320.5,312.0,317.5,312.5,36755
2020-12-21,321.5,306.0,313.0,316.0,50646
2020-12-22,317.0,310.0,316.0,310.0,51555
2020-12-23,322.5,311.0,313.0,316.5,33880
2020-12-28,314.0,307.5,311.0,313.0,21471
2020-12-29,319.0,311.0,314.5,311.0,26989
2020-12-30,315.0,300.0,311.5,315.0,44970
