Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,3.9,3.81,3.89,3.82,27837
2018-06-07,3.95,3.7,3.89,3.9,31040
2018-06-08,3.95,3.72,3.77,3.95,18136
2018-06-11,3.93,3.62,3.69,3.77,66234
2018-06-12,3.74,3.69,3.72,3.69,23538
2018-06-13,3.73,3.4,3.69,3.72,90975
2018-06-14,3.65,3.4,3.55,3.4,35552
2018-06-15,3.6,3.42,3.44,3.54,17452
2018-06-18,3.64,3.34,3.64,3.41,39420
2018-06-19,3.65,3.4,3.5,3.64,29757
2018-06-20,3.6,3.43,3.51,3.43,46698
2018-06-21,3.6,3.4,3.6,3.59,12626
2018-06-25,3.89,3.55,3.89,3.6,72045
2018-06-26,4.0,3.7,3.7,3.8,57005
2018-06-27,3.7,3.54,3.7,3.55,751
2018-06-28,3.7,3.5,3.67,3.7,42267
2018-06-29,3.78,3.5,3.64,3.54,20857
2018-07-02,3.67,3.55,3.67,3.64,8065
2018-07-03,3.7,3.57,3.68,3.7,671
2018-07-04,3.7,3.38,3.65,3.7,69357
2018-07-05,3.7,3.36,3.44,3.7,38726
2018-07-06,3.69,3.42,3.64,3.44,11499
2018-07-09,3.63,3.4,3.5,3.63,70259
2018-07-10,3.62,3.39,3.56,3.54,19556
2018-07-11,3.6,3.4,3.6,3.49,20347
2018-07-12,3.48,3.41,3.41,3.41,19376
2018-07-13,3.55,3.4,3.54,3.55,61924
2018-07-16,3.6,3.45,3.55,3.54,40823
2018-07-17,3.54,3.45,3.51,3.54,16335
2018-07-18,3.59,3.48,3.59,3.51,42437
2018-07-19,3.58,3.48,3.48,3.49,42481
2018-07-20,3.58,3.48,3.48,3.58,12366
2018-07-23,3.56,3.48,3.56,3.48,31017
2018-07-24,3.5,3.43,3.5,3.48,35859
2018-07-25,3.5,3.39,3.39,3.5,24256
2018-07-26,3.45,3.32,3.45,3.32,23862
2018-07-27,3.52,3.39,3.52,3.39,13782
2018-07-30,3.56,3.32,3.56,3.5,6535
2018-07-31,3.7,3.54,3.6,3.61,32413
2018-08-01,3.59,3.45,3.57,3.46,25793
2018-08-02,3.54,3.4,3.4,3.54,48993
2018-08-03,3.44,3.4,3.42,3.4,9533
2018-08-06,3.59,3.47,3.47,3.59,2700
2018-08-07,3.59,3.46,3.59,3.47,15840
2018-08-08,3.58,3.46,3.49,3.46,51179
2018-08-09,3.49,3.41,3.49,3.41,9233
2018-08-10,3.5,3.43,3.44,3.47,35708
