Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,324.0,318.5,318.5,322.5,60438
2018-06-07,325.0,316.0,316.0,319.0,62200
2018-06-08,321.0,313.0,316.5,315.0,57774
2018-06-11,319.0,314.0,314.5,315.5,106329
2018-06-12,323.5,314.5,319.5,315.5,400661
2018-06-13,327.0,320.5,323.0,321.0,40878
2018-06-14,331.5,321.0,330.0,323.0,107019
2018-06-15,336.5,328.0,333.5,330.0,59075
2018-06-18,335.0,322.0,322.5,334.5,46670
2018-06-19,325.0,317.0,323.5,320.5,63657
2018-06-20,324.0,317.5,318.5,324.0,152608
2018-06-21,319.5,316.5,318.0,319.0,78367
2018-06-25,320.0,309.0,318.5,318.0,70224
2018-06-26,320.5,316.5,318.5,318.0,49559
2018-06-27,320.5,312.0,317.0,318.0,28989
2018-06-28,315.0,304.0,311.0,314.5,89416
2018-06-29,322.5,311.5,319.0,311.5,237835
2018-07-02,320.0,310.0,310.5,316.5,33200
2018-07-03,312.5,304.5,304.5,311.5,70934
2018-07-04,308.0,302.5,306.0,302.5,78109
2018-07-05,310.0,302.0,303.5,305.5,21389
2018-07-06,312.0,303.0,309.5,303.0,64792
2018-07-09,318.5,309.5,315.5,309.5,32617
2018-07-10,321.5,315.5,321.0,315.5,20888
2018-07-11,326.5,318.0,323.5,319.5,72355
2018-07-12,330.0,322.5,330.0,323.0,87618
2018-07-13,333.5,328.0,330.0,330.0,43901
2018-07-16,335.5,330.0,332.0,332.0,32339
2018-07-17,334.0,323.0,324.0,330.5,47324
2018-07-18,362.0,336.0,340.0,342.0,102671
2018-07-19,384.5,339.5,377.0,339.5,235734
2018-07-20,386.5,371.5,379.0,376.0,134041
2018-07-23,380.5,373.0,379.5,378.0,33398
2018-07-24,395.0,380.0,393.0,380.0,56039
2018-07-25,400.0,384.5,398.5,393.0,43716
2018-07-26,404.5,399.5,403.5,400.0,25032
2018-07-27,406.5,397.0,403.0,404.0,25829
2018-07-30,404.5,395.0,397.5,403.0,24150
2018-07-31,401.0,390.0,394.5,396.5,35480
2018-08-01,394.5,386.0,388.5,392.5,30664
2018-08-02,391.5,383.5,390.0,385.5,18894
2018-08-03,392.5,387.5,389.5,392.5,18161
2018-08-06,398.5,391.5,393.5,392.0,50794
2018-08-07,402.5,395.0,399.5,395.5,341181
