Date,High,Low,Close,Open,Volume
2020-01-02,2.98,1.4,2.76,1.6,810128
2020-01-03,2.98,2.16,2.3,2.9,350272
2020-01-07,2.1,1.79,1.86,2.1,158448
2020-01-08,1.84,1.6,1.66,1.84,64616
2020-01-09,1.93,1.66,1.83,1.66,121997
2020-01-10,2.28,1.81,1.83,2.0,84063
2020-01-13,1.98,1.75,1.8,1.98,49555
2020-01-14,1.89,1.71,1.89,1.75,52372
2020-01-15,1.91,1.75,1.91,1.85,20515
2020-01-16,2.3,1.75,2.28,1.91,174641
2020-01-17,2.26,1.91,1.92,2.26,129574
2020-01-20,2.0,1.93,1.93,2.0,44326
2020-01-21,2.0,1.93,1.94,1.93,16690
2020-01-22,1.95,1.82,1.82,1.95,28960
2020-01-23,1.86,1.81,1.82,1.82,10419
2020-01-24,1.9,1.82,1.9,1.9,21863
2020-01-27,2.16,2.0,2.1,2.0,98772
2020-01-28,2.14,1.88,2.0,2.14,47976
2020-01-29,2.08,1.93,1.98,1.93,26185
2020-01-30,2.0,1.91,1.96,2.0,11459
2020-01-31,2.08,1.91,1.94,2.08,43436
2020-02-03,2.12,1.96,2.0,1.96,9342
2020-02-04,2.1,1.98,2.02,1.98,18884
2020-02-05,2.14,1.96,2.0,2.14,9225
2020-02-06,2.1,2.0,2.1,2.0,910
2020-02-07,2.02,2.0,2.02,2.0,5243
2020-02-10,2.2,2.0,2.0,2.2,21500
2020-02-11,2.16,1.91,2.1,1.91,50785
2020-02-12,2.1,2.0,2.1,2.0,46720
2020-02-13,2.16,2.0,2.06,2.0,41003
2020-02-14,2.36,2.1,2.16,2.1,113445
2020-02-17,6.65,2.0,4.82,2.1,4952489
2020-02-18,5.45,3.9,4.1,4.94,1481770
2020-02-19,4.5,3.76,3.92,4.1,434479
2020-02-20,3.88,3.2,3.5,3.6,497606
2020-02-21,3.96,3.42,3.44,3.5,139156
2020-02-24,5.2,3.44,4.8,3.62,1305563
2020-02-25,5.3,3.8,4.18,5.3,1105665
2020-02-26,4.8,3.96,4.58,4.18,587343
2020-02-27,5.3,4.68,4.9,5.2,1562183
2020-02-28,9.0,4.9,8.7,4.98,8421212
2020-03-02,8.75,5.0,5.35,8.7,5296966
2020-03-03,6.35,5.3,6.0,5.55,2022487
2020-03-04,6.2,5.4,5.65,6.05,1034030
2020-03-05,5.2,4.6,4.92,5.1,1134234
2020-03-06,4.88,4.0,4.38,4.86,807230
2020-03-09,4.26,3.8,3.82,4.08,586597
2020-03-10,4.58,3.74,3.98,3.82,475022
2020-03-11,4.24,3.62,3.9,3.98,268535
2020-03-12,3.76,3.12,3.3,3.76,376138
2020-03-13,4.8,3.3,3.8,3.3,379786
2020-03-16,3.78,3.0,3.46,3.78,288854
