Date,High,Low,Close,Open,Volume
2020-01-02,314.0,310.0,312.0,314.0,193
2020-01-03,316.0,312.0,312.0,316.0,235
2020-01-06,316.0,308.0,308.0,312.0,209
2020-01-07,310.0,308.0,308.0,308.0,316
2020-01-08,316.0,310.0,310.0,314.0,70
2020-01-09,316.0,312.0,316.0,312.0,523
2020-01-10,318.0,316.0,316.0,316.0,255
2020-01-13,318.0,314.0,318.0,316.0,1320
2020-01-14,314.0,312.0,314.0,314.0,71
2020-01-15,312.0,312.0,312.0,312.0,185
2020-01-16,312.0,312.0,312.0,312.0,346
2020-01-17,316.0,310.0,316.0,312.0,795
2020-01-20,318.0,312.0,318.0,318.0,457
2020-01-21,316.0,312.0,312.0,316.0,175
2020-01-22,320.0,316.0,316.0,316.0,438
2020-01-23,316.0,312.0,312.0,316.0,203
2020-01-24,318.0,310.0,316.0,318.0,600
2020-01-27,316.0,310.0,310.0,316.0,534
2020-01-28,310.0,310.0,310.0,310.0,0
2020-01-29,316.0,314.0,316.0,314.0,38
2020-01-30,316.0,312.0,312.0,316.0,266
2020-01-31,318.0,312.0,312.0,316.0,282
2020-02-03,318.0,312.0,312.0,314.0,284
2020-02-04,318.0,312.0,318.0,312.0,48
2020-02-05,318.0,312.0,312.0,318.0,343
2020-02-06,320.0,316.0,320.0,318.0,674
2020-02-07,320.0,314.0,316.0,318.0,268
2020-02-10,374.0,314.0,346.0,314.0,22686
2020-02-11,366.0,350.0,358.0,350.0,9266
2020-02-12,362.0,354.0,358.0,362.0,1790
2020-02-13,360.0,354.0,354.0,360.0,1232
2020-02-14,360.0,352.0,352.0,360.0,411
2020-02-17,356.0,350.0,354.0,356.0,1349
2020-02-18,356.0,354.0,354.0,356.0,259
2020-02-19,358.0,352.0,356.0,356.0,465
2020-02-20,358.0,352.0,358.0,356.0,681
2020-02-21,360.0,352.0,360.0,356.0,1797
2020-02-24,358.0,346.0,354.0,354.0,1210
2020-02-25,356.0,346.0,346.0,348.0,1184
2020-02-26,352.0,336.0,344.0,352.0,1941
2020-02-27,346.0,334.0,334.0,344.0,856
2020-02-28,336.0,322.0,336.0,334.0,794
2020-03-02,340.0,330.0,330.0,336.0,384
2020-03-03,344.0,332.0,344.0,340.0,1392
2020-03-04,356.0,342.0,356.0,344.0,412
2020-03-05,354.0,338.0,344.0,338.0,171
2020-03-06,338.0,328.0,330.0,338.0,1046
2020-03-09,326.0,300.0,300.0,326.0,691
2020-03-10,326.0,302.0,312.0,302.0,295
2020-03-11,312.0,302.0,308.0,312.0,150
2020-03-12,300.0,288.0,300.0,300.0,2414
2020-03-13,320.0,280.0,298.0,300.0,1812
2020-03-16,294.0,270.0,270.0,286.0,1268
2020-03-17,282.0,264.0,274.0,268.0,2700
2020-03-18,272.0,264.0,264.0,270.0,1062
2020-03-19,288.0,266.0,266.0,272.0,169
2020-03-20,350.0,284.0,340.0,288.0,46526
2020-03-23,346.0,326.0,340.0,330.0,30618
2020-03-24,362.0,344.0,356.0,344.0,18760
2020-03-25,380.0,364.0,370.0,364.0,8718
2020-03-26,422.0,370.0,410.0,372.0,10677
2020-03-27,422.0,396.0,404.0,408.0,8023
2020-03-30,398.0,374.0,390.0,398.0,4845
2020-03-31,398.0,374.0,388.0,390.0,2386
2020-04-01,394.0,382.0,390.0,394.0,860
2020-04-02,390.0,378.0,384.0,386.0,1720
2020-04-03,388.0,380.0,380.0,384.0,855
2020-04-06,380.0,378.0,380.0,380.0,608
2020-04-07,380.0,378.0,378.0,380.0,166
2020-04-08,378.0,364.0,364.0,378.0,1116
2020-04-09,364.0,364.0,364.0,364.0,0
2020-04-14,366.0,360.0,360.0,360.0,1027
2020-04-15,366.0,358.0,358.0,364.0,1901
2020-04-16,360.0,352.0,354.0,360.0,125
2020-04-17,366.0,350.0,350.0,352.0,637
2020-04-20,350.0,342.0,350.0,350.0,1670
2020-04-21,344.0,340.0,340.0,344.0,284
2020-04-22,344.0,340.0,344.0,342.0,686
2020-04-23,346.0,340.0,346.0,346.0,188
2020-04-24,344.0,344.0,344.0,344.0,29
2020-04-27,342.0,340.0,342.0,340.0,211
2020-04-28,348.0,344.0,346.0,344.0,177
2020-04-29,346.0,346.0,346.0,346.0,86
2020-04-30,350.0,348.0,348.0,348.0,124
2020-05-01,350.0,350.0,350.0,350.0,29
2020-05-04,354.0,344.0,346.0,348.0,291
2020-05-05,354.0,344.0,346.0,344.0,192
2020-05-06,344.0,344.0,344.0,344.0,183
2020-05-07,350.0,344.0,344.0,350.0,232
2020-05-11,354.0,344.0,350.0,344.0,245
2020-05-12,352.0,344.0,344.0,352.0,237
2020-05-13,346.0,346.0,346.0,346.0,30
2020-05-14,352.0,340.0,340.0,352.0,364
2020-05-15,350.0,344.0,344.0,348.0,412
2020-05-18,350.0,342.0,348.0,342.0,179
2020-05-19,350.0,344.0,350.0,348.0,110
2020-05-20,350.0,350.0,350.0,350.0,33
2020-05-25,350.0,350.0,350.0,350.0,435
2020-05-26,350.0,348.0,348.0,348.0,609
2020-05-27,352.0,344.0,344.0,352.0,710
2020-05-28,348.0,342.0,348.0,344.0,532
2020-05-29,348.0,346.0,348.0,346.0,65
2020-06-02,348.0,346.0,346.0,348.0,286
2020-06-03,348.0,344.0,346.0,348.0,270
2020-06-04,356.0,344.0,356.0,344.0,1406
2020-06-08,354.0,346.0,354.0,346.0,2000
2020-06-09,350.0,350.0,350.0,350.0,1003
2020-06-10,352.0,348.0,350.0,348.0,573
2020-06-11,350.0,348.0,350.0,348.0,1927
2020-06-12,350.0,348.0,348.0,350.0,65
2020-06-15,352.0,344.0,352.0,344.0,481
2020-06-16,354.0,352.0,354.0,352.0,531
2020-06-17,356.0,350.0,350.0,350.0,171
2020-06-18,354.0,350.0,350.0,350.0,754
2020-06-19,354.0,348.0,354.0,348.0,302
2020-06-22,356.0,350.0,350.0,356.0,491
2020-06-23,350.0,350.0,350.0,350.0,0
2020-06-24,356.0,350.0,350.0,350.0,220
2020-06-25,350.0,348.0,348.0,350.0,149
2020-06-26,350.0,350.0,350.0,350.0,100
2020-06-29,354.0,348.0,348.0,350.0,809
2020-06-30,352.0,348.0,352.0,348.0,861
2020-07-01,350.0,350.0,350.0,350.0,243
2020-07-02,354.0,348.0,350.0,348.0,661
2020-07-03,354.0,350.0,350.0,354.0,574
2020-07-06,356.0,354.0,354.0,354.0,309
2020-07-07,354.0,350.0,354.0,354.0,728
2020-07-08,378.0,356.0,358.0,356.0,913
2020-07-09,358.0,356.0,356.0,358.0,40
2020-07-10,354.0,350.0,350.0,354.0,808
2020-07-13,356.0,346.0,354.0,348.0,1311
2020-07-14,352.0,348.0,350.0,352.0,2971
2020-07-15,352.0,348.0,352.0,350.0,1568
2020-07-16,352.0,350.0,350.0,352.0,35
2020-07-17,354.0,350.0,350.0,350.0,448
2020-07-20,352.0,350.0,352.0,350.0,2714
2020-07-21,356.0,354.0,356.0,354.0,48
2020-07-22,356.0,356.0,356.0,356.0,0
2020-07-23,356.0,350.0,350.0,352.0,127
2020-07-24,356.0,350.0,354.0,350.0,118
2020-07-27,350.0,350.0,350.0,350.0,26
2020-07-28,350.0,350.0,350.0,350.0,180
2020-07-29,350.0,350.0,350.0,350.0,150
2020-07-30,354.0,350.0,350.0,350.0,307
2020-07-31,354.0,348.0,350.0,348.0,125
2020-08-03,354.0,354.0,354.0,354.0,600
2020-08-04,374.0,354.0,368.0,354.0,694
2020-08-05,370.0,368.0,370.0,368.0,160
2020-08-06,368.0,358.0,368.0,360.0,60
2020-08-07,360.0,360.0,360.0,360.0,75
2020-08-10,360.0,358.0,360.0,360.0,189
2020-08-11,368.0,360.0,364.0,368.0,425
2020-08-12,368.0,364.0,368.0,364.0,247
2020-08-13,370.0,368.0,370.0,370.0,652
2020-08-14,368.0,364.0,368.0,364.0,105
2020-08-17,366.0,360.0,366.0,360.0,236
2020-08-18,368.0,364.0,364.0,364.0,411
2020-08-19,370.0,364.0,364.0,370.0,84
2020-08-20,364.0,360.0,362.0,364.0,363
2020-08-21,370.0,360.0,370.0,360.0,321
2020-08-24,370.0,362.0,366.0,362.0,200
2020-08-25,372.0,364.0,370.0,364.0,72
2020-08-26,372.0,366.0,370.0,372.0,494
2020-08-27,380.0,364.0,368.0,380.0,688
2020-08-28,372.0,364.0,368.0,366.0,517
2020-08-31,374.0,370.0,370.0,370.0,980
2020-09-01,374.0,362.0,374.0,372.0,503
2020-09-02,372.0,364.0,364.0,372.0,109
2020-09-03,372.0,364.0,372.0,364.0,91
2020-09-04,370.0,362.0,364.0,364.0,448
2020-09-07,372.0,364.0,372.0,364.0,6249
2020-09-08,372.0,372.0,372.0,372.0,0
2020-09-09,372.0,372.0,372.0,372.0,65
2020-09-10,372.0,364.0,364.0,372.0,51
2020-09-11,372.0,364.0,372.0,370.0,644
2020-09-14,368.0,366.0,366.0,368.0,411
2020-09-15,380.0,366.0,378.0,366.0,446
2020-09-16,378.0,370.0,378.0,378.0,179
2020-09-17,376.0,376.0,376.0,376.0,21
2020-09-18,378.0,368.0,368.0,378.0,217
2020-09-21,376.0,358.0,362.0,376.0,990
2020-09-22,362.0,358.0,362.0,358.0,1429
2020-09-23,376.0,366.0,368.0,366.0,357
2020-09-24,376.0,370.0,370.0,376.0,45
2020-09-25,376.0,370.0,376.0,370.0,274
2020-09-28,380.0,366.0,370.0,366.0,669
2020-09-29,376.0,366.0,376.0,372.0,177
2020-09-30,366.0,366.0,366.0,366.0,115
2020-10-01,378.0,372.0,376.0,376.0,651
2020-10-02,372.0,368.0,368.0,370.0,521
2020-10-05,376.0,370.0,376.0,376.0,277
2020-10-06,382.0,378.0,382.0,378.0,850
2020-10-07,392.0,372.0,390.0,372.0,623
2020-10-08,390.0,378.0,390.0,382.0,526
