Date,High,Low,Close,Open,Volume
2020-01-02,91.6,90.0,91.4,90.2,2365
2020-01-03,94.6,91.8,92.4,91.8,5406
2020-01-07,93.6,92.0,93.2,92.6,3402
2020-01-08,93.2,90.2,93.2,93.2,1647
2020-01-09,94.8,93.2,93.8,93.4,4284
2020-01-10,95.0,93.8,93.8,94.0,433
2020-01-13,99.2,93.8,97.8,93.8,1367
2020-01-14,98.4,95.6,98.4,97.8,4561
2020-01-15,99.4,98.4,99.4,98.4,2615
2020-01-16,99.4,98.0,99.4,99.2,4692
2020-01-17,99.4,98.0,99.2,99.4,753
2020-01-20,99.4,99.2,99.2,99.2,246
2020-01-21,99.6,97.2,99.2,99.2,5152
2020-01-22,105.0,97.6,103.0,99.4,1901
2020-01-23,107.5,99.0,99.8,107.5,6817
2020-01-24,100.5,99.4,100.0,100.5,2838
2020-01-27,102.0,98.0,99.4,100.0,2077
2020-01-28,99.8,96.0,99.8,97.2,2473
2020-01-29,100.0,98.8,99.6,99.8,2168
2020-01-30,100.0,98.8,100.0,99.6,2380
2020-01-31,101.5,100.0,101.0,101.0,3070
2020-02-03,108.0,97.6,108.0,100.0,5435
2020-02-04,119.5,102.0,107.5,108.0,3861
2020-02-05,112.0,108.0,110.0,108.0,2959
2020-02-06,109.5,105.0,107.5,107.0,7409
2020-02-07,114.5,105.0,107.5,105.0,2775
2020-02-10,120.5,107.5,113.5,107.5,8904
2020-02-11,118.0,111.0,113.0,115.0,7214
2020-02-12,115.5,110.0,114.5,113.0,2444
2020-02-13,115.0,112.0,114.5,115.0,1467
2020-02-14,115.0,112.5,114.5,114.5,1067
2020-02-17,116.5,112.0,112.0,114.5,4617
2020-02-18,116.0,112.5,114.0,116.0,1414
2020-02-19,115.0,112.5,113.5,114.0,4258
2020-02-20,113.0,107.0,110.0,113.0,7538
2020-02-21,112.0,108.0,109.0,109.5,4405
2020-02-24,109.0,94.8,108.5,109.0,6077
2020-02-25,108.5,100.5,108.0,108.5,8878
2020-02-26,108.0,100.0,108.0,107.5,8372
2020-02-27,108.0,99.0,107.5,106.0,23603
2020-02-28,107.5,95.2,107.5,105.0,15571
2020-03-02,110.0,105.0,110.0,107.5,3416
2020-03-03,114.0,110.0,113.5,110.0,3941
2020-03-04,113.5,111.5,113.5,113.0,1252
2020-03-05,113.5,107.0,112.5,113.5,7313
2020-03-06,112.0,102.5,109.5,112.0,8621
2020-03-09,105.0,97.4,104.5,100.0,14773
2020-03-10,107.5,100.5,107.0,104.0,3678
2020-03-11,109.5,103.0,107.5,107.0,3349
2020-03-12,103.5,96.8,103.5,103.5,23982
2020-03-13,109.0,99.2,108.5,103.5,5406
2020-03-16,108.0,99.8,107.0,108.0,15617
2020-03-17,110.0,100.5,110.0,107.0,20044
2020-03-18,109.5,104.5,109.0,109.5,4808
2020-03-19,113.5,107.5,113.5,109.0,2706
2020-03-20,117.0,113.5,116.0,113.5,2011
2020-03-23,130.0,116.5,120.0,116.5,3916
2020-03-24,120.0,118.0,120.0,120.0,2505
2020-03-25,130.0,111.5,118.5,120.0,4005
2020-03-26,118.5,112.5,118.0,118.5,485
2020-03-27,125.0,115.0,120.0,117.5,1992
2020-03-30,129.5,122.0,127.5,122.0,2547
2020-03-31,153.0,127.0,140.5,129.0,26160
2020-04-01,153.0,127.5,137.0,149.0,17186
2020-04-02,145.5,133.0,135.0,137.0,8630
2020-04-03,135.0,126.5,127.5,135.0,6618
2020-04-06,137.5,120.0,132.0,126.0,4179
2020-04-07,140.0,132.5,137.0,132.5,2848
2020-04-08,134.5,129.5,133.0,134.5,2349
2020-04-09,133.0,127.5,131.5,133.0,1592
2020-04-14,144.5,132.0,139.5,132.0,4542
2020-04-15,140.0,137.5,138.5,140.0,800
2020-04-16,138.5,132.0,137.0,138.0,3778
2020-04-17,138.0,120.5,137.5,135.0,2955
2020-04-20,138.0,129.0,138.0,137.5,2903
2020-04-21,143.5,130.5,137.5,137.0,4990
2020-04-22,148.5,132.5,139.0,148.5,2630
2020-04-23,139.0,133.5,137.5,139.0,730
2020-04-24,142.0,134.5,140.0,139.0,1875
2020-04-27,141.5,133.5,140.0,140.5,7369
2020-04-28,141.0,133.0,134.0,141.0,5230
2020-04-29,137.0,134.0,135.5,135.0,7468
2020-04-30,138.0,133.0,136.0,136.0,6596
2020-05-04,150.0,132.0,148.0,132.0,8229
2020-05-05,149.0,142.0,148.5,148.5,4748
2020-05-06,149.0,143.0,147.0,149.0,2369
2020-05-07,153.5,145.0,153.0,148.5,187413
2020-05-08,172.0,153.5,167.5,153.5,7250
2020-05-11,175.5,170.0,172.5,173.0,11313
2020-05-12,185.0,176.0,182.0,176.0,12261
2020-05-13,200.0,182.0,184.0,182.5,10780
2020-05-14,198.5,166.0,178.5,185.0,26564
2020-05-15,194.5,182.5,185.0,185.0,7537
