Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,41.0,39.5,40.75,40.0,56305
2018-06-07,40.5,39.65,39.95,39.85,15341
2018-06-08,40.85,39.8,40.4,39.9,21144
2018-06-11,41.0,40.25,40.5,40.45,60785
2018-06-12,40.7,40.15,40.4,40.6,30089
2018-06-13,40.1,38.95,39.2,40.0,54916
2018-06-14,39.2,38.1,38.6,39.2,49671
2018-06-15,39.25,38.6,38.65,38.95,32710
2018-06-18,36.0,32.2,34.05,36.0,273005
2018-06-19,34.2,33.45,33.7,33.95,47752
2018-06-20,34.9,33.35,33.45,33.8,60670
2018-06-21,33.5,32.9,33.05,33.45,43298
2018-06-25,33.6,32.5,32.95,32.5,30519
2018-06-26,33.55,32.55,32.75,32.9,17169
2018-06-27,33.4,32.45,33.0,33.0,34896
2018-06-28,35.05,33.2,33.4,34.1,169170
2018-06-29,34.05,32.5,32.9,33.4,53922
2018-07-02,34.0,32.8,33.0,33.55,37206
2018-07-03,33.0,32.15,32.9,33.0,29892
2018-07-04,33.15,32.4,32.95,33.0,34608
2018-07-05,33.1,32.1,32.4,32.7,21187
2018-07-06,32.95,32.3,32.8,32.3,30236
2018-07-09,33.55,32.45,33.1,32.8,29530
2018-07-10,33.75,32.65,33.1,33.05,27910
2018-07-11,35.45,32.75,34.9,33.75,62258
2018-07-12,36.05,34.9,36.05,35.4,71340
2018-07-13,36.55,34.85,35.3,36.55,50899
2018-07-16,35.35,34.0,34.15,35.35,30312
2018-07-17,34.55,33.4,33.6,34.5,39543
2018-07-18,33.7,32.75,33.25,33.6,44582
2018-07-19,33.4,32.7,32.9,33.1,55039
2018-07-20,34.2,32.25,33.55,32.7,51716
2018-07-23,33.85,32.6,33.65,33.85,29415
2018-07-24,34.4,33.0,34.25,33.35,32928
2018-07-25,34.8,32.8,32.9,34.45,66967
2018-07-26,33.65,32.6,32.9,33.65,23518
2018-07-27,36.75,34.7,36.1,35.0,129930
2018-07-30,39.2,36.45,38.5,36.45,156074
2018-07-31,39.2,37.4,38.0,37.4,55384
2018-08-01,37.9,37.0,37.35,37.85,26814
2018-08-02,38.05,36.4,37.0,37.25,40017
2018-08-03,38.0,36.3,37.1,36.7,18313
2018-08-06,38.35,36.75,37.65,38.35,14111
2018-08-07,38.4,36.8,36.9,37.65,39646
2018-08-08,36.9,36.2,36.6,36.8,23206
2018-08-09,37.5,35.8,36.0,37.25,27510
2018-08-10,36.7,35.5,36.7,36.2,20523
2018-08-13,37.4,35.5,36.0,36.85,41161
2018-08-14,36.5,35.25,35.95,35.9,27639
2018-08-15,36.45,35.45,35.9,36.05,23161
2018-08-16,35.95,35.35,35.75,35.45,20250
2018-08-17,36.0,34.75,35.65,35.65,29604
2018-08-20,36.85,35.45,36.6,35.55,20855
2018-08-21,37.5,35.8,37.0,37.0,28727
2018-08-22,37.0,35.2,36.2,37.0,38735
2018-08-23,36.8,35.35,36.5,36.2,38042
2018-08-24,37.6,36.05,37.15,36.05,41514
2018-08-27,37.1,36.2,36.85,37.1,30053
2018-08-28,37.15,35.95,37.1,36.2,14449
2018-08-29,38.65,37.0,37.6,37.5,63818
2018-08-30,38.0,37.6,37.95,37.85,15439
2018-08-31,39.0,37.5,38.25,37.9,46300
2018-09-03,41.4,38.25,41.1,38.5,70564
2018-09-04,41.4,39.55,41.0,41.4,57992
2018-09-05,41.0,39.5,40.55,41.0,32499
2018-09-06,40.15,38.65,39.35,40.15,44533
2018-09-07,40.1,38.5,39.65,39.0,46144
2018-09-10,40.1,39.2,40.0,39.95,30719
2018-09-11,40.0,39.0,39.3,40.0,19449
2018-09-12,39.25,38.45,38.55,39.25,27716
2018-09-13,40.9,38.55,40.9,38.65,49904
2018-09-14,43.95,40.95,42.1,41.0,159250
2018-09-17,42.5,40.7,41.3,42.5,46800
2018-09-18,41.8,40.8,41.15,41.25,26113
2018-09-19,42.0,40.85,41.1,41.2,63155
2018-09-20,42.0,41.0,41.2,42.0,27524
2018-09-21,42.6,41.6,41.6,42.0,24999
2018-09-24,42.95,41.0,42.5,41.65,110567
2018-09-25,46.7,42.2,45.85,42.85,118214
2018-09-26,47.5,44.9,46.05,45.7,108830
2018-09-27,46.9,45.6,46.45,46.1,40568
2018-09-28,48.5,45.55,48.45,47.0,92353
2018-10-01,50.7,48.1,48.9,48.5,155200
2018-10-02,49.65,47.5,49.5,49.65,58981
2018-10-03,50.0,47.35,48.0,50.0,51020
2018-10-04,50.5,48.0,49.7,50.5,120809
2018-10-05,49.8,47.7,48.45,49.8,32440
2018-10-08,48.45,46.7,47.45,48.45,59338
2018-10-09,47.5,46.4,47.0,47.5,18449
2018-10-10,46.95,44.8,45.35,46.95,37006
2018-10-11,43.8,41.25,41.4,43.55,156129
2018-10-12,44.1,41.45,43.5,41.75,92434
2018-10-15,38.4,34.35,36.8,37.35,823750
2018-10-16,37.6,36.8,36.9,37.15,125902
2018-10-17,37.95,35.85,36.3,37.3,102144
2018-10-18,36.7,35.35,36.0,36.5,71027
2018-10-19,36.5,34.25,36.5,35.55,127075
2018-10-22,37.6,36.0,37.2,36.4,59188
2018-10-23,37.55,35.75,36.2,37.55,35553
2018-10-24,36.35,35.5,35.85,36.15,22692
2018-10-25,36.9,34.6,36.0,35.8,49416
2018-10-26,36.45,35.0,35.4,36.05,39609
2018-10-29,36.75,35.05,36.1,35.5,23929
2018-10-30,36.1,34.65,35.05,36.05,70578
2018-10-31,36.35,34.6,36.2,35.55,73435
2018-11-01,36.2,35.0,35.9,36.2,65429
2018-11-02,36.2,35.4,36.2,36.0,24340
2018-11-05,36.65,35.1,36.1,36.0,46039
2018-11-06,36.1,35.1,35.2,36.1,33694
2018-11-07,36.3,35.2,35.6,35.2,35218
2018-11-08,35.95,34.1,34.9,35.85,55224
2018-11-09,34.45,33.5,34.05,34.1,23626
2018-11-12,34.35,33.55,33.75,33.55,33208
