Date,Closing price,50,200
2018-06-04,121.8,,
2018-06-05,122.0,,
2018-06-07,123.6,,
2018-06-08,124.0,,
2018-06-11,122.8,,
2018-06-12,124.6,,
2018-06-13,122.0,,
2018-06-14,122.2,,
2018-06-15,120.2,,
2018-06-18,123.0,,
2018-06-19,123.6,,
2018-06-20,123.0,,
2018-06-21,130.0,,
2018-06-25,123.6,,
2018-06-26,122.2,,
2018-06-27,121.2,,
2018-06-28,124.0,,
2018-06-29,123.8,,
2018-07-02,123.4,,
2018-07-03,123.4,,
2018-07-04,122.0,,
2018-07-05,122.6,,
2018-07-06,123.0,,
2018-07-09,124.4,,
2018-07-10,124.4,,
2018-07-11,124.4,,
2018-07-12,125.4,,
2018-07-13,125.6,,
2018-07-16,125.2,,
2018-07-17,124.4,,
2018-07-18,123.6,,
2018-07-19,123.8,,
2018-07-20,125.2,,
2018-07-23,126.8,,
2018-07-24,127.0,,
2018-07-25,126.8,,
2018-07-26,125.8,,
2018-07-27,146.0,,
2018-07-30,149.6,,
2018-07-31,157.2,,
2018-08-01,159.6,,
2018-08-02,156.6,,
2018-08-03,157.0,,
2018-08-06,160.0,,
2018-08-07,159.8,,
2018-08-08,163.8,,
2018-08-09,162.4,,
2018-08-10,162.0,,
2018-08-13,159.8,,
2018-08-14,154.0,,
2018-08-15,154.0,,
2018-08-16,157.0,,
2018-08-17,157.8,,
2018-08-20,157.6,,
2018-08-21,155.4,,
2018-08-22,157.8,,
2018-08-23,159.6,,
2018-08-24,158.6,,
2018-08-27,155.0,,
2018-08-28,154.2,,
2018-08-29,154.6,,
2018-08-30,152.4,,
2018-08-31,152.6,,
2018-09-03,150.8,,
2018-09-04,148.6,,
2018-09-05,148.2,,
2018-09-06,147.4,,
2018-09-07,147.0,,
2018-09-10,144.4,,
2018-09-11,143.6,,
2018-09-12,144.0,,
2018-09-13,146.0,,
2018-09-14,145.8,,
2018-09-17,144.2,,
2018-09-18,145.2,,
2018-09-19,147.0,,
2018-09-20,146.6,,
2018-09-21,145.4,,
2018-09-24,141.8,,
2018-09-25,141.6,,
2018-09-26,145.2,,
2018-09-27,147.0,,
2018-09-28,126.4,,
2018-10-01,124.6,,
2018-10-02,120.8,,
2018-10-03,119.0,,
2018-10-04,116.6,,
2018-10-05,113.6,,
2018-10-08,110.8,,
2018-10-09,110.2,,
2018-10-10,109.8,,
2018-10-11,107.2,,
2018-10-12,107.2,,
2018-10-15,106.4,,
2018-10-16,109.2,,
2018-10-17,108.8,,
2018-10-18,108.0,,
2018-10-19,105.8,,
2018-10-22,105.4,,
2018-10-23,102.4,,
2018-10-24,103.0,,
2018-10-25,103.0,,
2018-10-26,102.8,,
2018-10-29,105.6,,
2018-10-30,106.6,,
2018-10-31,107.0,,
2018-11-01,108.2,,
2018-11-02,110.0,,
2018-11-05,104.6,,
2018-11-06,105.0,,
2018-11-07,104.4,,
2018-11-08,104.0,,
2018-11-09,106.8,,
2018-11-12,100.2,,
2018-11-13,96.0,,
2018-11-14,96.2,,
2018-11-15,95.5,,
2018-11-16,95.3,,
2018-11-19,95.1,,
2018-11-20,92.8,,
2018-11-21,94.3,,
2018-11-22,93.6,,
2018-11-23,93.1,,
2018-11-26,94.7,,
2018-11-27,95.5,,
2018-11-28,94.8,,
2018-11-29,95.0,,
2018-11-30,94.7,,
2018-12-03,94.6,,
2018-12-04,92.8,,
2018-12-05,94.0,,
2018-12-06,90.9,,
2018-12-07,91.0,,
2018-12-10,88.6,,
2018-12-11,91.8,,
2018-12-12,92.8,,
2018-12-13,95.4,,
2018-12-14,94.5,,
2018-12-17,92.5,,
2018-12-18,94.0,,
2018-12-19,92.1,,
2018-12-20,90.3,,
2018-12-21,90.4,,
2018-12-27,90.5,,
2018-12-28,91.5,,
2019-01-02,91.3,,
2019-01-03,91.4,,
2019-01-04,93.8,,
2019-01-07,92.4,,
2019-01-08,94.5,,
2019-01-09,93.3,,
2019-01-10,92.3,,
2019-01-11,92.8,,
2019-01-14,93.3,,
2019-01-15,91.9,,
2019-01-16,92.0,,
2019-01-17,92.4,,
2019-01-18,75.5,,
2019-01-21,72.8,,
2019-01-22,73.0,,
2019-01-23,71.8,,
2019-01-24,71.6,,
2019-01-25,73.7,,
2019-01-28,72.9,,
2019-01-29,73.5,,
2019-01-30,72.3,,
2019-01-31,72.1,,
2019-02-01,73.6,,
2019-02-04,72.7,,
2019-02-05,73.5,,
2019-02-06,73.1,,
2019-02-07,72.6,,
2019-02-08,72.2,,
2019-02-11,74.5,,
2019-02-12,74.4,,
2019-02-13,74.6,,
2019-02-14,66.0,,
2019-02-15,69.7,,
2019-02-18,69.1,,
2019-02-19,68.9,,
2019-02-20,67.1,,
2019-02-21,66.2,,
2019-02-22,68.7,,
2019-02-25,68.9,,
2019-02-26,68.8,,
2019-02-27,69.6,,
2019-02-28,68.0,,
2019-03-01,70.1,,
2019-03-04,69.7,,
2019-03-05,68.6,,
2019-03-06,67.8,,
2019-03-07,66.0,,
2019-03-08,65.4,,
2019-03-11,66.9,,
2019-03-12,65.6,,
2019-03-13,66.0,,
2019-03-14,67.0,,
2019-03-15,67.8,,
2019-03-18,68.3,,
2019-03-19,68.9,,
2019-03-20,68.2,,
2019-03-21,66.5,,
2019-03-22,65.8,,
2019-03-25,64.6,,
2019-03-26,64.4,,
2019-03-27,65.0,,
2019-03-28,64.8,,
2019-03-29,64.9,,
2019-04-01,65.95,,
2019-04-02,67.4,,
2019-04-03,67.05,,
2019-04-04,66.7,,
2019-04-05,66.3,,
2019-04-08,65.25,,
2019-04-09,64.0,,
2019-04-10,65.3,,
2019-04-11,66.2,,
2019-04-12,66.3,,
2019-04-15,66.55,,
2019-04-16,66.0,,
2019-04-17,67.6,,
2019-04-18,67.05,,
2019-04-23,65.1,,
2019-04-24,64.7,,
2019-04-25,67.1,,
2019-04-26,69.0,,
2019-04-29,69.5,,
2019-04-30,69.4,,
2019-05-02,77.6,,
2019-05-03,80.65,,
2019-05-06,83.4,,
2019-05-07,82.5,,
2019-05-08,80.45,,
2019-05-09,76.3,,
2019-05-10,77.3,,
2019-05-13,75.0,,
2019-05-14,74.85,,
2019-05-15,76.4,,
2019-05-16,75.25,,
2019-05-17,74.5,69.21100000000001,98.45424999999997
2019-05-20,74.1,69.337,98.02674999999998
2019-05-21,75.5,69.527,97.62124999999997
2019-05-22,76.35,69.74600000000001,97.21799999999998
2019-05-23,74.9,69.906,96.79249999999998
2019-05-24,73.7,70.06800000000001,96.362
2019-05-27,73.35,70.21500000000002,95.90974999999999
2019-05-28,73.85,70.35200000000002,95.46699999999997
2019-05-29,71.85,70.43300000000002,95.01624999999999
2019-05-31,70.9,70.48500000000001,94.57174999999998
