Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,10.05,9.925,9.94,9.925,493245
2018-06-06,10.05,9.915,10.04,9.95,436571
2018-06-07,10.14,9.885,9.89,10.04,520156
2018-06-08,10.11,9.78,10.01,9.875,497945
2018-06-11,10.07,9.84,9.895,10.07,433143
2018-06-12,10.03,9.885,9.965,9.94,770328
2018-06-13,10.3,9.94,10.24,9.96,1016361
2018-06-14,10.2,10.05,10.11,10.16,733881
2018-06-15,10.18,9.93,9.98,10.1,646140
2018-06-18,9.96,9.735,9.76,9.96,404602
2018-06-19,9.71,9.445,9.475,9.7,827504
2018-06-20,9.685,9.46,9.575,9.495,462585
2018-06-21,9.635,9.365,9.365,9.61,1028462
2018-06-25,9.55,9.305,9.46,9.39,541570
2018-06-26,9.755,9.395,9.715,9.4,616021
2018-06-27,9.775,9.45,9.665,9.67,625611
2018-06-28,9.725,9.465,9.62,9.665,428571
2018-06-29,9.73,9.6,9.69,9.68,365912
2018-07-02,9.69,9.4,9.425,9.605,487629
2018-07-03,9.53,9.38,9.47,9.425,334130
2018-07-04,9.485,9.29,9.32,9.485,229323
2018-07-05,9.445,9.33,9.37,9.33,283892
2018-07-06,9.44,9.34,9.375,9.39,208851
2018-07-09,9.565,9.405,9.54,9.445,271062
2018-07-10,9.645,9.53,9.61,9.555,235290
2018-07-11,9.55,9.315,9.365,9.55,439003
2018-07-12,9.48,9.35,9.465,9.425,482940
2018-07-13,9.58,9.33,9.35,9.465,400677
2018-07-16,9.545,9.35,9.515,9.355,211608
2018-07-17,9.75,9.505,9.74,9.525,448956
2018-07-18,9.78,9.535,9.58,9.705,239099
2018-07-19,9.565,9.445,9.455,9.555,326531
2018-07-20,9.435,8.685,8.765,9.405,1321045
2018-07-23,8.925,8.455,8.53,8.815,1156063
2018-07-24,8.83,8.47,8.82,8.605,897205
2018-07-25,9.105,8.82,8.98,8.82,812357
2018-07-26,9.135,8.92,9.065,8.98,726101
2018-07-27,9.275,9.045,9.155,9.07,698434
2018-07-30,9.16,8.735,8.825,9.16,1092949
2018-07-31,8.99,8.79,8.87,8.855,777601
2018-08-01,8.985,8.805,8.805,8.93,420013
2018-08-02,8.845,7.815,7.86,8.83,3042584
2018-08-03,8.3,7.915,7.99,8.085,1925994
2018-08-06,8.205,7.93,8.15,8.05,1024668
2018-08-07,8.19,7.955,8.1,8.18,1526400
2018-08-08,8.125,7.94,7.98,8.095,696170
2018-08-09,8.025,7.95,8.01,8.0,487314
2018-08-10,8.02,7.945,7.965,7.98,386678
2018-08-13,8.0,7.855,7.96,7.965,430294
2018-08-14,7.985,7.81,7.85,7.945,453987
2018-08-15,7.945,7.755,7.795,7.855,433436
2018-08-16,8.05,7.825,7.95,7.825,450422
2018-08-17,8.035,7.89,7.92,7.95,352822
2018-08-20,8.145,7.95,8.075,7.95,509763
2018-08-21,8.26,8.005,8.235,8.08,527334
2018-08-22,8.405,8.225,8.345,8.24,556940
2018-08-23,8.39,8.295,8.35,8.355,319091
2018-08-24,8.545,8.33,8.385,8.37,671042
2018-08-27,8.515,8.4,8.515,8.42,302253
2018-08-28,8.685,8.495,8.685,8.52,599839
2018-08-29,8.715,8.565,8.625,8.685,515957
2018-08-30,8.745,8.57,8.715,8.65,382563
2018-08-31,8.695,8.565,8.675,8.685,489301
2018-09-03,8.755,8.665,8.68,8.69,280203
2018-09-04,8.735,8.45,8.48,8.7,617742
2018-09-05,8.66,8.43,8.555,8.48,483616
2018-09-06,8.605,8.46,8.47,8.605,287884
2018-09-07,8.495,8.385,8.495,8.465,327436
2018-09-10,8.56,8.44,8.465,8.505,251985
2018-09-11,8.48,8.355,8.41,8.46,190567
2018-09-12,8.585,8.39,8.46,8.395,328158
2018-09-13,8.615,8.47,8.495,8.47,363606
2018-09-14,8.66,8.51,8.585,8.515,317713
2018-09-17,8.68,8.53,8.63,8.58,303153
2018-09-18,8.665,8.56,8.615,8.665,235893
2018-09-19,8.72,8.61,8.68,8.63,768949
2018-09-20,8.715,8.62,8.69,8.68,269333
2018-09-21,8.825,8.69,8.745,8.7,593594
2018-09-24,8.75,8.595,8.615,8.705,390270
2018-09-25,8.715,8.625,8.65,8.625,623695
2018-09-26,8.705,8.535,8.555,8.695,724222
2018-09-27,8.68,8.49,8.635,8.555,337371
2018-09-28,8.75,8.485,8.71,8.635,676058
2018-10-01,8.79,8.605,8.62,8.715,307022
2018-10-02,8.76,8.485,8.6,8.605,447660
2018-10-03,8.765,8.605,8.685,8.69,275914
2018-10-04,8.705,8.35,8.39,8.655,490138
2018-10-05,8.46,8.225,8.255,8.415,473515
2018-10-08,8.275,8.135,8.235,8.275,518706
2018-10-09,8.235,7.985,8.075,8.235,684116
2018-10-10,8.075,7.61,7.61,8.07,2473764
2018-10-11,7.61,7.375,7.545,7.545,865847
2018-10-12,7.72,7.54,7.59,7.58,605624
2018-10-15,7.655,7.42,7.54,7.655,371439
2018-10-16,8.135,7.61,7.69,7.77,1765755
2018-10-17,7.735,7.445,7.535,7.71,593423
2018-10-18,7.665,7.35,7.475,7.48,653456
2018-10-19,7.655,7.405,7.605,7.48,692205
2018-10-22,7.71,7.49,7.525,7.64,360965
2018-10-23,7.475,7.17,7.285,7.475,649745
2018-10-24,7.475,7.18,7.3,7.35,445946
2018-10-25,7.42,7.145,7.385,7.245,486512
2018-10-26,7.35,7.11,7.35,7.3,721023
2018-10-29,7.475,7.27,7.36,7.35,485039
2018-10-30,7.47,7.31,7.395,7.395,412496
2018-10-31,7.86,7.495,7.735,7.495,809821
2018-11-01,7.93,7.3,7.3,7.74,1031678
2018-11-02,7.945,7.495,7.595,7.495,1189565
2018-11-05,7.745,7.5,7.6,7.605,504576
2018-11-06,7.725,7.485,7.7,7.595,495077
2018-11-07,7.755,7.605,7.685,7.725,491608
2018-11-08,8.25,7.625,8.25,7.78,1502369
2018-11-09,8.545,7.925,7.925,8.18,1603576
2018-11-12,7.755,7.24,7.31,7.715,3041715
2018-11-13,7.52,7.115,7.16,7.4,1060010
2018-11-14,7.14,6.835,6.885,7.14,1466749
2018-11-15,7.055,6.915,6.945,6.92,577156
2018-11-16,7.085,6.825,6.855,7.035,849314
2018-11-19,6.925,6.775,6.785,6.92,601562
2018-11-20,6.845,6.58,6.635,6.75,693666
2018-11-21,6.785,6.635,6.735,6.695,447283
2018-11-22,6.7,6.52,6.54,6.7,403734
2018-11-23,6.705,6.495,6.675,6.545,633444
2018-11-26,6.745,6.495,6.505,6.69,691194
2018-11-27,6.545,6.19,6.2,6.515,1030771
2018-11-28,6.285,6.07,6.125,6.225,972021
2018-11-29,6.24,6.12,6.135,6.195,692979
2018-11-30,6.15,6.04,6.135,6.13,664028
2018-12-03,6.445,6.265,6.41,6.32,600897
2018-12-04,6.37,5.955,5.975,6.37,983254
2018-12-05,6.025,5.83,6.015,5.9,575421
2018-12-07,5.98,5.655,5.66,5.98,759888
2018-12-10,5.655,5.475,5.59,5.655,778236
2018-12-11,5.765,5.57,5.635,5.665,798336
2018-12-12,5.985,5.63,5.98,5.655,878246
2018-12-13,5.75,5.135,5.3,5.66,4391668
2018-12-14,5.46,5.07,5.43,5.27,1731310
2018-12-17,5.485,5.345,5.425,5.45,1433115
2018-12-18,5.38,5.17,5.205,5.38,1240394
2018-12-19,5.44,5.125,5.415,5.19,982639
2018-12-20,5.345,5.15,5.16,5.345,1115962
2018-12-21,5.22,5.065,5.12,5.155,1255835
2018-12-27,5.205,4.976,5.035,5.115,776777
2018-12-28,5.145,5.045,5.12,5.045,673812
2019-01-02,5.315,5.045,5.23,5.12,613302
2019-01-03,5.235,5.065,5.105,5.23,779572
2019-01-04,5.39,5.09,5.355,5.135,769026
2019-01-07,5.435,5.365,5.435,5.43,487966
2019-01-08,5.57,5.4,5.51,5.45,717523
2019-01-09,5.68,5.485,5.605,5.545,754723
2019-01-10,5.65,5.52,5.585,5.6,765530
2019-01-11,5.77,5.57,5.67,5.59,978311
2019-01-14,5.65,5.455,5.545,5.65,606311
2019-01-15,5.895,5.615,5.88,5.62,1354678
2019-01-16,6.045,5.785,6.035,5.94,1257441
2019-01-17,6.08,5.87,6.055,5.965,463474
2019-01-18,6.26,6.07,6.25,6.1,1021446
2019-01-21,6.265,6.14,6.17,6.25,707350
2019-01-22,6.215,6.11,6.17,6.17,514885
2019-01-23,6.365,6.11,6.285,6.19,818670
2019-01-24,6.465,6.265,6.435,6.32,1041660
2019-01-25,6.525,6.37,6.485,6.475,856421
2019-01-28,6.505,6.165,6.26,6.505,1032303
2019-01-29,6.45,6.26,6.36,6.26,598729
2019-01-30,6.425,6.265,6.385,6.405,572185
2019-01-31,6.475,6.28,6.34,6.42,764608
2019-02-01,6.47,6.245,6.355,6.34,497816
2019-02-04,6.52,6.35,6.45,6.365,564017
2019-02-05,6.505,6.4,6.44,6.505,514764
2019-02-06,6.59,6.44,6.5,6.44,1068340
2019-02-07,6.6,6.225,6.365,6.585,1225491
2019-02-08,6.44,6.135,6.15,6.3,787674
2019-02-11,6.215,6.095,6.2,6.19,1048061
2019-02-12,6.33,6.04,6.075,6.275,815597
2019-02-13,6.105,5.89,6.03,6.065,1144425
2019-02-14,6.12,5.975,5.995,6.05,628405
