Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-21,24.0,21.42,22.65,22.0,637119
2018-06-25,24.45,22.5,22.5,22.8,174955
2018-06-26,26.295,22.605,25.695,22.605,177052
2018-06-27,27.9,26.3,26.61,26.3,141278
2018-06-28,29.0,26.0,27.895,28.0,51474
2018-06-29,28.0,26.0,26.005,28.0,54169
2018-07-02,26.52,24.3,25.2,26.505,60418
2018-07-03,26.4,25.615,26.385,25.95,9991
2018-07-04,26.9,25.43,26.9,26.34,22213
2018-07-05,27.8,26.4,27.0,27.8,15138
2018-07-06,27.5,26.5,27.45,27.0,33194
2018-07-09,28.6,27.65,27.84,28.6,21146
2018-07-10,28.5,27.0,28.0,28.5,25106
2018-07-11,28.2,24.0,26.395,28.2,67944
2018-07-12,26.2,24.28,24.6,26.2,33504
2018-07-13,26.0,24.905,25.9,24.905,34462
2018-07-16,25.9,24.2,25.0,25.9,35653
2018-07-17,25.0,23.0,24.65,25.0,46899
2018-07-18,25.0,23.1,24.3,24.7,39274
2018-07-19,24.305,23.15,23.5,24.305,29289
2018-07-20,24.0,23.02,23.435,23.5,21270
2018-07-23,24.9,23.435,24.5,23.44,29953
2018-07-24,25.45,24.2,24.7,24.2,19513
2018-07-25,25.9,24.8,25.0,25.9,33049
2018-07-26,25.9,24.055,25.495,25.5,12420
2018-07-27,26.0,24.21,24.86,25.5,15347
2018-07-30,26.0,24.865,25.75,24.865,34914
2018-07-31,26.5,25.75,26.3,25.755,12461
2018-08-01,28.5,26.1,27.5,27.0,58822
2018-08-02,27.5,26.8,26.8,27.5,16065
2018-08-03,27.0,26.4,26.8,26.8,14118
2018-08-06,27.89,26.05,27.885,26.8,30866
2018-08-07,28.0,27.0,28.0,27.89,8336
2018-08-08,28.0,27.2,27.205,28.0,15445
2018-08-09,27.795,26.8,27.1,27.295,14051
2018-08-10,27.89,26.105,27.8,26.105,10809
2018-08-13,28.5,27.5,28.4,28.0,19403
2018-08-14,29.4,28.405,28.615,28.5,22951
2018-08-15,32.195,29.0,30.995,29.0,36562
2018-08-16,31.495,30.0,31.495,31.0,16921
2018-08-17,32.0,31.0,31.91,31.665,27070
2018-08-20,38.9,32.0,38.45,32.0,185657
2018-08-21,40.2,37.8,38.0,39.6,124775
2018-08-22,40.5,33.0,36.995,38.005,71612
2018-08-23,39.985,35.005,38.32,38.0,96617
2018-08-24,43.0,38.32,41.5,38.325,141814
2018-08-27,48.4,42.46,46.795,42.46,133226
2018-08-28,52.9,48.005,50.7,48.005,148384
2018-08-29,51.0,44.3,48.0,50.96,141703
2018-08-30,47.995,43.0,47.5,47.995,76646
2018-08-31,53.0,47.525,52.0,47.525,151780
2018-09-03,54.85,49.5,51.21,52.5,122365
2018-09-04,53.45,51.2,52.4,51.5,49828
2018-09-05,52.41,50.6,51.0,52.41,53566
2018-09-06,51.01,43.05,44.5,51.01,155478
2018-09-07,42.0,38.55,40.06,40.93,150896
2018-09-10,40.98,38.6,40.05,40.98,35474
2018-09-11,44.49,39.0,40.105,41.0,74262
2018-09-12,40.995,38.0,39.545,40.105,58204
2018-09-13,41.49,39.545,41.0,39.545,14030
2018-09-14,41.5,40.0,40.5,41.0,19813
2018-09-17,41.5,40.2,40.3,41.0,11002
2018-09-18,41.5,40.0,40.0,40.505,17560
2018-09-19,41.0,38.88,38.9,41.0,25002
2018-09-20,40.25,38.905,39.885,38.905,12993
2018-09-21,41.0,38.5,38.55,41.0,23965
2018-09-24,38.25,35.055,35.205,38.25,58786
2018-09-25,38.135,35.01,35.6,35.01,52463
2018-09-26,37.355,35.1,35.205,36.0,23813
2018-09-27,37.385,35.2,36.79,35.2,31654
2018-09-28,37.48,36.805,37.48,37.0,11892
2018-10-01,38.0,36.0,37.195,37.95,22249
2018-10-02,37.2,35.15,36.6,37.2,25493
2018-10-03,38.495,36.325,37.98,36.6,19899
2018-10-04,38.49,36.5,37.5,38.0,14906
2018-10-05,37.5,36.1,36.505,37.48,10432
2018-10-08,37.8,35.305,36.0,35.305,10233
2018-10-09,36.5,36.1,36.5,36.15,4151
2018-10-10,37.825,31.1,33.0,36.605,34785
2018-10-11,31.105,29.09,30.665,31.105,69350
2018-10-12,34.495,29.09,31.015,29.09,25315
2018-10-15,35.495,32.08,33.05,34.5,19151
2018-10-16,35.195,34.0,34.95,34.475,41852
2018-10-17,35.495,33.495,34.5,34.975,17584
2018-10-18,37.895,34.5,36.5,34.5,62131
2018-10-19,37.48,35.0,36.395,37.48,20139
2018-10-22,36.5,35.1,35.495,35.8,10313
2018-10-23,35.8,33.9,33.9,35.8,7585
2018-10-24,34.105,31.3,31.65,34.0,24749
2018-10-25,31.645,27.105,30.01,31.645,27576
2018-10-26,31.64,29.505,30.7,31.62,14733
2018-10-29,35.9,31.005,33.8,31.005,16143
2018-10-30,37.0,33.905,35.8,33.905,30834
2018-10-31,37.9,36.1,36.885,36.18,29628
2018-11-01,37.695,36.0,36.355,37.0,11428
2018-11-02,37.195,36.36,36.99,36.36,5297
2018-11-05,36.985,34.75,35.99,36.985,10060
2018-11-06,36.9,34.75,36.485,35.945,13522
2018-11-07,38.9,36.495,37.5,36.495,42636
2018-11-08,38.985,34.505,36.525,38.985,17458
2018-11-09,38.49,36.525,37.945,36.525,31881
2018-11-12,38.0,36.705,37.995,36.705,10009
2018-11-13,38.0,35.895,36.715,38.0,37479
2018-11-14,36.87,33.0,35.7,36.7,30413
2018-11-15,38.495,34.5,35.0,38.0,69202
2018-11-16,35.7,31.515,31.525,35.3,64159
2018-11-19,34.755,32.0,32.5,32.0,21089
2018-11-20,32.5,26.405,29.0,32.5,26830
2018-11-21,30.88,27.7,28.28,29.005,109482
2018-11-22,30.2,27.7,27.945,29.0,29515
2018-11-23,29.6,28.9,29.05,29.6,9020
2018-11-26,30.1,29.125,30.0,29.985,21356
2018-11-27,31.0,30.0,30.695,30.0,18639
2018-11-28,32.0,30.105,30.65,30.745,11095
2018-11-29,32.0,30.65,31.55,30.925,32062
2018-11-30,32.1,30.655,31.4,32.0,19611
2018-12-03,34.41,29.01,29.95,31.4,16844
2018-12-04,30.0,28.335,28.575,30.0,49386
2018-12-05,29.435,28.45,29.39,28.45,6075
2018-12-06,29.0,27.8,28.395,29.0,17340
2018-12-07,30.45,28.5,29.2,28.5,13462
2018-12-10,29.2,26.895,27.99,29.2,57854
2018-12-11,28.205,24.55,26.0,28.205,111720
2018-12-12,26.885,23.565,25.485,26.0,52370
2018-12-13,26.005,23.0,23.9,26.0,82307
2018-12-14,23.895,21.995,22.99,23.895,53337
2018-12-17,23.02,21.5,22.86,22.995,22397
2018-12-18,22.8,21.5,21.64,22.8,58053
2018-12-19,22.47,20.505,21.005,22.47,43546
2018-12-20,21.0,19.998,20.935,20.5,41239
2018-12-21,21.0,20.15,20.3,20.935,14168
2018-12-27,28.0,20.5,25.0,23.5,151275
2018-12-28,27.975,24.895,25.56,26.0,55709
2019-01-02,27.5,25.48,27.48,27.5,30181
2019-01-03,31.0,27.5,28.8,27.5,30145
2019-01-04,30.995,29.0,29.65,29.985,28558
2019-01-07,31.2,29.9,30.5,30.0,19246
2019-01-08,31.9,29.005,29.665,30.5,20880
2019-01-09,30.995,28.9,30.0,29.665,13420
2019-01-10,30.995,28.5,30.495,30.0,23157
2019-01-11,30.495,27.6,28.495,30.495,48386
2019-01-14,29.985,28.5,29.445,28.795,13461
2019-01-15,30.395,28.525,29.195,30.395,12961
2019-01-16,29.995,28.505,28.9,29.2,3419
2019-01-17,29.01,28.0,28.0,28.9,6450
2019-01-18,27.66,26.025,27.66,27.5,30930
2019-01-21,29.0,27.795,28.2,29.0,9103
2019-01-22,28.85,28.5,28.85,28.545,2879
2019-01-23,30.175,26.995,28.03,29.005,98811
2019-01-24,28.0,26.4,27.5,28.0,9593
2019-01-25,29.195,27.5,28.1,29.195,11053
2019-01-28,28.995,26.505,27.995,28.295,19097
2019-01-29,28.0,26.51,27.39,28.0,16852
2019-01-30,28.57,27.125,27.61,27.39,7418
2019-01-31,27.95,27.61,27.95,27.945,7843
2019-02-01,28.0,27.0,27.31,27.95,25443
2019-02-04,28.0,26.51,27.895,28.0,5537
2019-02-05,27.995,26.7,27.945,27.99,14047
2019-02-06,27.975,26.53,26.7,27.975,32773
2019-02-07,27.695,26.6,27.0,26.73,7201
2019-02-08,27.985,27.005,27.685,27.005,7337
2019-02-11,27.68,27.025,27.3,27.605,16932
2019-02-12,28.4,27.205,28.0,27.3,17473
2019-02-13,28.895,28.0,28.0,28.0,8775
2019-02-14,28.1,27.405,27.75,28.1,11770
2019-02-15,27.75,25.5,25.83,27.75,37695
2019-02-18,26.945,25.995,26.06,26.02,28710
2019-02-19,27.265,25.0,25.97,26.955,30848
2019-02-20,25.97,23.8,25.0,25.05,83589
2019-02-21,25.995,24.105,25.22,25.995,26343
2019-02-22,25.795,24.0,25.1,24.5,12332
2019-02-25,25.995,25.2,25.2,25.2,7005
2019-02-26,26.375,25.2,25.895,25.2,7497
2019-02-27,26.5,25.905,26.26,25.905,6594
2019-02-28,26.495,26.005,26.105,26.26,7876
2019-03-01,26.545,26.1,26.4,26.1,7693
2019-03-04,27.0,26.12,26.12,26.5,8269
2019-03-05,26.295,25.625,25.68,26.2,4306
2019-03-06,26.0,24.405,24.855,25.68,14665
2019-03-07,26.3,24.86,24.86,25.0,14773
2019-03-08,25.8,24.0,24.405,25.8,10049
2019-03-11,25.195,24.5,24.805,24.515,13190
2019-03-12,25.5,24.06,24.59,24.81,8972
2019-03-13,24.595,24.0,24.1,24.59,24159
2019-03-14,25.475,23.86,24.405,24.1,13558
2019-03-15,25.4,24.04,24.105,24.405,2971
2019-03-18,25.395,24.05,24.29,24.105,9951
2019-03-19,24.395,24.07,24.115,24.29,9142
2019-03-20,25.97,24.0,24.02,25.0,24781
2019-03-21,24.46,23.9,24.1,24.0,26255
2019-03-22,28.97,25.125,26.0,25.125,61887
2019-03-25,26.8,26.205,26.62,26.7,14687
2019-03-26,28.5,27.0,28.495,27.0,24314
2019-03-27,28.7,28.005,28.25,28.5,18078
2019-03-28,29.5,28.4,29.0,28.4,19913
2019-03-29,29.0,28.025,28.05,29.0,28362
2019-04-01,30.85,29.0,30.85,29.0,44467
2019-04-02,35.0,30.9,34.25,31.0,68006
2019-04-03,34.45,32.25,32.3,34.45,32753
2019-04-04,34.55,32.4,33.0,32.4,14973
2019-04-05,35.4,33.0,35.3,33.0,58638
2019-04-08,41.0,35.3,40.45,35.3,92910
2019-04-09,45.0,40.45,41.0,41.2,110660
2019-04-10,42.0,37.6,39.7,42.0,49622
2019-04-11,41.9,37.0,37.35,39.85,46676
2019-04-12,39.8,37.6,38.5,37.6,20747
2019-04-15,38.5,36.35,36.8,38.5,25544
2019-04-16,36.8,35.4,36.5,36.8,20119
2019-04-17,38.5,36.5,38.05,36.5,14194
2019-04-18,38.5,37.65,37.65,38.1,7723
2019-04-23,40.0,37.7,39.4,37.7,13337
2019-04-24,40.0,38.05,39.15,40.0,11165
2019-04-25,39.95,38.0,38.5,39.05,6625
2019-04-26,39.95,38.55,38.95,38.55,13337
2019-04-29,39.45,36.0,37.7,39.0,22412
2019-04-30,38.7,36.05,37.5,38.7,12652
2019-05-02,39.45,37.45,38.15,37.5,14807
2019-05-03,38.9,38.2,38.3,38.2,9240
2019-05-06,39.5,38.35,38.65,39.0,35543
2019-05-07,43.0,39.0,40.7,39.0,30237
2019-05-08,40.0,39.5,40.0,40.0,5860
2019-05-09,41.9,38.0,40.2,41.9,15893
2019-05-10,40.5,38.6,40.5,40.0,19493
2019-05-13,40.45,38.75,39.75,40.45,15533
2019-05-14,42.8,39.9,41.0,39.9,56744
2019-05-15,40.0,28.75,29.2,40.0,381650
2019-05-16,33.8,29.3,33.1,30.0,96914
2019-05-17,37.8,31.75,34.7,33.1,53867
2019-05-20,37.5,34.85,36.65,34.95,55624
2019-05-21,39.0,36.0,38.65,37.1,59001
2019-05-22,38.6,37.25,37.95,38.6,16580
2019-05-23,38.0,35.1,36.0,38.0,31303
2019-05-24,37.95,35.8,36.5,36.05,22279
2019-05-27,37.45,35.0,35.65,37.45,21960
2019-05-28,36.95,35.15,35.45,36.25,5857
2019-05-29,36.75,32.45,34.9,35.3,11157
2019-05-31,35.75,34.0,35.45,35.75,8807
2019-06-03,35.45,33.3,33.7,35.45,31727
2019-06-04,34.95,33.7,33.95,33.75,11767
2019-06-05,34.25,33.6,33.95,34.0,5364
