Date,High,Low,Close,Open,Volume
2020-01-02,20.2,19.5,20.0,20.0,8404
2020-01-03,20.3,19.25,20.3,20.0,21762
2020-01-07,20.3,19.25,20.0,20.0,391
2020-01-08,20.2,19.3,19.75,19.3,5205
2020-01-09,20.5,19.75,20.5,19.75,1501
2020-01-10,20.8,19.6,20.8,20.4,9758
2020-01-13,21.2,20.2,20.7,20.8,13493
2020-01-14,21.1,19.65,20.8,21.1,13536
2020-01-15,21.1,20.1,20.1,21.1,4612
2020-01-16,20.4,19.1,20.4,20.1,13581
2020-01-17,20.3,19.6,20.3,20.3,11745
2020-01-20,21.8,20.3,21.5,20.3,34098
2020-01-21,21.7,21.0,21.0,21.4,4283
2020-01-22,21.8,21.0,21.1,21.4,11053
2020-01-23,21.5,21.0,21.0,21.5,2338
2020-01-24,21.5,20.3,20.9,21.5,5925
2020-01-27,20.9,20.2,20.9,20.8,1573
2020-01-28,21.2,20.5,20.6,21.2,1594
2020-01-29,21.0,20.4,20.7,20.4,638
2020-01-30,21.0,20.4,20.7,20.8,3160
2020-01-31,20.7,20.2,20.6,20.7,2638
2020-02-03,20.6,19.45,20.5,20.6,8992
2020-02-04,20.7,20.0,20.5,20.0,5248
2020-02-05,20.6,20.0,20.6,20.5,9991
2020-02-06,21.1,20.0,20.3,21.0,19451
2020-02-07,20.3,19.6,19.85,19.95,13113
2020-02-10,20.4,19.65,19.95,19.65,13990
2020-02-11,19.95,19.5,19.6,19.7,7616
2020-02-12,20.2,19.55,19.95,19.6,11822
2020-02-13,20.3,19.5,19.95,20.2,12833
2020-02-14,21.1,20.0,20.0,20.9,36699
2020-02-17,20.9,20.1,20.5,20.4,12748
2020-02-18,20.8,20.1,20.5,20.8,7928
2020-02-19,21.0,19.8,20.2,20.6,10377
2020-02-20,20.6,19.75,20.2,20.1,4370
2020-02-21,20.6,19.65,20.0,20.2,4030
2020-02-24,20.4,18.75,18.8,19.5,22863
2020-02-25,19.4,18.55,18.6,18.8,9950
2020-02-26,19.0,17.45,18.45,19.0,42611
2020-02-27,19.15,17.75,18.3,18.75,5929
2020-02-28,18.3,17.5,18.0,18.3,6665
2020-03-02,19.35,18.25,19.1,19.0,16850
2020-03-03,19.4,18.9,18.95,19.4,9583
2020-03-04,18.95,18.95,18.95,18.95,294
2020-03-05,19.0,18.95,18.95,18.95,319
2020-03-06,19.15,17.9,19.15,18.0,13017
2020-03-09,19.1,17.25,18.25,19.1,11697
2020-03-10,18.95,18.25,18.3,18.25,8425
2020-03-11,18.3,17.5,17.7,18.1,11402
2020-03-12,17.2,16.0,17.05,17.1,13887
2020-03-13,18.95,16.0,16.2,16.1,10537
2020-03-16,16.45,13.85,14.0,16.45,17625
2020-03-17,14.0,13.0,13.1,13.85,18678
2020-03-18,13.5,13.0,13.35,13.5,15103
2020-03-19,13.75,12.25,13.1,13.45,15813
2020-03-20,15.0,13.0,14.0,13.3,4275
2020-03-23,14.9,13.5,14.75,14.9,1118
2020-03-24,14.9,13.3,14.8,14.9,6816
2020-03-25,15.0,13.7,14.4,15.0,8427
2020-03-26,14.45,13.1,14.25,14.45,8616
2020-03-27,14.25,14.0,14.0,14.25,1579
2020-03-30,14.25,13.95,13.95,14.25,2716
2020-03-31,14.5,14.0,14.3,14.0,1183
2020-04-01,14.15,13.0,14.15,14.15,59583
2020-04-02,13.6,13.25,13.25,13.3,4486
2020-04-03,13.5,13.0,13.05,13.5,4564
2020-04-06,13.3,13.0,13.25,13.15,8670
2020-04-07,14.7,13.5,14.6,13.7,523
2020-04-08,14.5,13.5,13.8,13.5,6503
2020-04-09,14.3,13.8,13.9,14.3,7957
2020-04-14,14.3,13.95,14.0,14.25,7631
2020-04-15,15.0,14.0,14.0,14.45,8302
2020-04-16,14.9,14.7,14.75,14.75,1391
2020-04-17,14.9,14.3,14.8,14.75,1722
2020-04-20,15.55,14.5,15.0,14.9,17236
2020-04-21,15.5,14.05,14.5,14.65,17307
2020-04-22,15.2,13.5,15.2,14.25,27816
2020-04-23,14.5,14.2,14.5,14.5,1595
2020-04-24,14.45,14.0,14.35,14.0,10488
2020-04-27,14.85,14.35,14.55,14.85,1424
2020-04-28,15.05,14.45,14.45,14.8,12362
2020-04-29,14.95,14.1,14.5,14.45,2372
2020-04-30,14.5,14.4,14.45,14.5,981
2020-05-04,14.25,13.7,13.85,14.25,532
2020-05-05,14.45,13.85,14.4,14.45,187
2020-05-06,14.7,13.75,14.65,14.7,955
2020-05-07,14.55,14.2,14.2,14.35,2995
2020-05-08,14.4,13.85,14.4,14.4,7929
2020-05-11,14.6,14.0,14.35,14.4,6880
2020-05-12,14.6,14.25,14.6,14.25,5803
2020-05-13,14.5,13.85,13.95,14.5,15838
2020-05-14,14.45,13.9,13.95,14.45,1187
2020-05-15,14.0,13.9,14.0,13.9,4252
2020-05-18,14.45,14.0,14.0,14.0,4620
2020-05-19,14.65,14.0,14.45,14.0,289
2020-05-20,14.7,14.0,14.45,14.7,821
2020-05-22,14.1,14.1,14.1,14.1,70
2020-05-25,14.4,13.75,14.15,14.1,925
2020-05-26,14.8,13.8,14.5,13.8,2969
2020-05-27,14.5,14.05,14.05,14.5,3022
2020-05-28,14.5,14.0,14.0,14.5,107
2020-05-29,14.6,14.2,14.2,14.2,1445
2020-06-01,14.9,14.4,14.4,14.4,1552
2020-06-02,14.8,14.1,14.1,14.8,3325
2020-06-03,14.75,14.4,14.6,14.75,4076
2020-06-04,14.8,14.45,14.55,14.8,534
2020-06-05,15.3,14.6,15.1,14.6,4678
2020-06-08,15.35,14.05,15.0,15.1,1825
2020-06-09,15.1,14.25,14.25,15.1,6466
2020-06-10,14.75,14.65,14.7,14.75,1999
2020-06-11,15.0,14.25,14.65,15.0,2572
2020-06-12,14.65,14.25,14.25,14.65,19
2020-06-15,14.4,14.2,14.4,14.2,14367
2020-06-16,14.5,14.1,14.3,14.45,10665
2020-06-17,14.45,14.3,14.45,14.3,6600
2020-06-18,14.45,13.8,14.45,14.45,764
2020-06-22,14.5,14.45,14.45,14.45,570
2020-06-23,14.45,14.0,14.45,14.45,1195
2020-06-24,14.5,13.85,14.4,14.1,1574
2020-06-25,14.45,13.95,14.0,14.45,10673
2020-06-26,14.3,14.0,14.2,14.3,52
2020-06-29,14.5,14.0,14.1,14.2,17744
2020-06-30,14.0,13.9,14.0,13.9,5890
2020-07-01,14.55,14.0,14.45,14.0,9238
2020-07-02,14.6,13.9,14.4,13.9,6685
2020-07-03,14.45,14.2,14.45,14.4,3085
2020-07-06,15.05,14.25,14.5,14.25,4268
2020-07-07,14.95,14.1,14.2,14.4,5095
2020-07-08,14.5,14.2,14.2,14.5,1381
2020-07-09,15.0,14.25,14.25,14.25,20535
2020-07-10,14.5,14.25,14.5,14.25,6729
2020-07-13,14.8,14.45,14.6,14.5,1942
2020-07-14,14.75,14.4,14.75,14.4,4269
2020-07-15,14.9,13.9,14.05,14.9,52814
2020-07-16,14.3,14.1,14.1,14.1,3698
