Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,22.5,21.8,22.5,22.3,6729
2018-06-07,22.9,22.8,22.8,22.9,25
2018-06-08,22.9,22.0,22.5,22.0,4942
2018-06-11,22.5,21.5,21.9,22.5,529
2018-06-12,22.7,21.4,22.7,21.9,5390
2018-06-13,22.6,22.6,22.6,22.6,113
2018-06-14,22.6,22.6,22.6,22.6,0
2018-06-15,22.5,22.5,22.5,22.5,51
2018-06-18,21.6,21.1,21.6,21.1,541
2018-06-19,21.5,20.6,21.0,21.0,5527
2018-06-20,23.1,21.4,23.0,21.4,21119
2018-06-21,23.2,23.0,23.0,23.0,6378
2018-06-25,23.2,23.0,23.0,23.2,5400
2018-06-26,23.5,23.0,23.5,23.0,1810
2018-06-27,23.5,23.4,23.5,23.5,3906
2018-06-28,23.9,23.7,23.7,23.9,1050
2018-06-29,23.8,23.0,23.4,23.7,2229
2018-07-02,23.9,23.5,23.5,23.9,516
2018-07-03,23.1,23.1,23.1,23.1,300
2018-07-04,23.1,23.0,23.0,23.1,5023
2018-07-05,23.6,22.5,23.1,23.0,156763
2018-07-06,23.4,22.8,23.3,23.4,4290
2018-07-09,22.8,21.5,21.8,22.8,26895
2018-07-10,21.9,21.7,21.8,21.8,10601
2018-07-11,22.2,21.0,21.1,22.0,1292
2018-07-12,21.8,21.0,21.4,21.0,5225
2018-07-13,21.5,20.1,20.5,21.5,16453
2018-07-16,21.0,20.5,20.8,20.5,3423
2018-07-17,21.6,20.8,21.5,20.8,1603
2018-07-18,21.5,20.8,20.8,21.5,6355
2018-07-19,21.8,21.0,21.8,21.0,420
2018-07-20,21.7,20.2,20.2,21.7,8882
2018-07-23,20.5,20.2,20.5,20.5,17819
2018-07-24,20.6,20.6,20.6,20.6,1100
2018-07-25,20.6,20.1,20.6,20.6,1315
2018-07-26,20.1,20.1,20.1,20.1,337
2018-07-27,20.6,20.6,20.6,20.6,70
2018-07-30,22.7,20.7,22.3,21.0,4477
2018-07-31,22.7,22.2,22.3,22.2,4645
2018-08-01,22.4,22.3,22.4,22.3,85
2018-08-02,22.5,22.4,22.5,22.4,3257
2018-08-03,22.6,20.6,22.6,22.0,4640
2018-08-06,23.0,22.6,23.0,22.6,7826
2018-08-07,22.8,22.5,22.5,22.8,765
2018-08-08,23.1,22.5,23.0,22.5,12754
2018-08-09,23.0,22.9,22.9,22.9,3655
2018-08-10,22.6,22.4,22.4,22.6,10000
2018-08-13,22.4,21.9,22.4,22.4,28709
