Date,High,Low,Close,Open,Volume
2020-01-02,160.0,158.0,159.0,159.0,653
2020-01-03,160.0,158.0,158.0,159.0,235
2020-01-07,158.0,153.0,156.0,158.0,901
2020-01-08,156.0,153.0,155.0,156.0,464
2020-01-09,156.0,154.0,154.0,155.0,191
2020-01-10,154.0,153.0,154.0,154.0,477
2020-01-13,154.0,150.0,153.0,154.0,12352
2020-01-14,153.0,151.0,152.0,153.0,1565
2020-01-15,152.0,150.0,151.0,152.0,3639
2020-01-16,151.0,150.0,150.0,151.0,3866
2020-01-17,150.0,150.0,150.0,150.0,1197
2020-01-20,151.0,150.0,150.0,151.0,4012
2020-01-21,151.0,150.0,150.0,151.0,515
2020-01-22,154.0,150.0,154.0,150.0,790
2020-01-23,151.0,150.0,150.0,150.0,442
2020-01-24,153.0,150.0,153.0,152.0,43206
2020-01-27,154.0,150.0,154.0,152.0,547
2020-01-28,154.0,150.0,154.0,153.0,23109
2020-01-29,153.0,150.0,152.0,153.0,16606
2020-01-30,153.0,150.0,150.0,153.0,1419
2020-01-31,153.0,152.0,153.0,152.0,256
2020-02-03,153.0,150.0,150.0,153.0,3427
2020-02-04,153.0,149.0,153.0,151.0,1395
2020-02-05,150.0,150.0,150.0,150.0,55
2020-02-06,154.0,150.0,154.0,150.0,402
2020-02-07,154.0,147.0,148.0,154.0,4411
2020-02-10,148.0,144.0,147.0,148.0,5249
2020-02-11,147.0,142.0,144.0,146.0,6257
2020-02-12,144.0,143.0,144.0,144.0,1786
2020-02-13,145.0,142.0,145.0,143.0,10628
2020-02-14,147.0,145.0,146.0,145.0,3610
2020-02-17,148.0,147.0,147.0,147.0,3572
2020-02-18,149.0,149.0,149.0,149.0,731
2020-02-19,149.0,147.0,149.0,149.0,10150
2020-02-20,150.0,147.0,150.0,147.0,68413
2020-02-21,150.0,149.0,150.0,150.0,1041
2020-02-24,150.0,147.0,147.0,150.0,580
2020-02-25,150.0,148.0,150.0,150.0,1258
2020-02-26,150.0,144.0,147.0,150.0,4768
2020-02-27,150.0,144.0,149.0,144.0,1489
2020-02-28,146.0,144.0,146.0,146.0,1296
2020-03-02,145.0,143.0,144.0,145.0,1721
2020-03-03,145.0,143.0,145.0,144.0,7787
2020-03-04,146.0,146.0,146.0,146.0,45
2020-03-05,147.0,142.0,145.0,147.0,1216
2020-03-06,146.0,143.0,146.0,145.0,724
2020-03-09,145.0,140.0,141.0,145.0,1684
2020-03-10,143.0,133.0,137.0,142.0,1526
2020-03-11,138.0,127.0,130.0,138.0,4478
2020-03-12,126.0,112.0,112.0,125.0,8513
2020-03-13,116.0,100.0,115.0,111.0,8779
2020-03-16,112.0,100.0,106.0,112.0,4442
2020-03-17,109.0,105.0,106.0,108.0,3023
2020-03-18,112.0,106.0,112.0,106.0,1826
2020-03-19,112.0,108.0,112.0,110.0,23292
2020-03-20,122.0,112.0,113.0,112.0,1894
2020-03-23,115.0,112.0,113.0,115.0,742
2020-03-24,120.0,113.0,113.0,113.0,2614
2020-03-25,113.0,109.0,112.0,113.0,5167
2020-03-26,115.0,112.0,113.0,115.0,3922
2020-03-27,117.0,106.0,106.0,115.0,7191
2020-03-30,107.0,101.0,104.0,106.0,4497
2020-03-31,107.0,100.0,103.0,102.0,122632
2020-04-01,104.0,100.0,104.0,104.0,2658
2020-04-02,104.0,100.0,102.0,104.0,2485
2020-04-03,104.0,101.0,104.0,101.0,1856
2020-04-06,102.0,95.0,95.0,102.0,14948
2020-04-07,101.0,94.0,95.0,97.5,15904
2020-04-08,96.5,93.0,93.5,96.5,11935
2020-04-09,99.0,93.0,93.5,94.5,7095
2020-04-14,97.0,94.0,96.0,94.5,8604
2020-04-15,97.0,95.0,97.0,95.0,804
2020-04-16,97.0,94.0,95.5,94.0,5321
2020-04-17,97.5,95.0,96.5,95.0,2231
2020-04-20,99.5,97.0,98.5,97.0,3300
2020-04-21,99.5,98.0,99.5,98.0,304
2020-04-22,99.5,96.5,97.0,97.0,3364
