Date,High,Low,Close,Open,Volume
2020-01-02,157.0,154.5,155.5,154.5,7268
2020-01-03,156.0,153.0,153.0,156.0,902
2020-01-07,154.5,153.0,154.0,153.0,3478
2020-01-08,154.0,151.5,152.0,153.5,3227
2020-01-09,155.0,152.5,153.5,152.5,1113
2020-01-10,158.5,155.0,158.5,155.5,3174
2020-01-13,162.5,157.0,161.0,158.0,3195
2020-01-14,165.0,161.0,162.5,161.5,6337
2020-01-15,167.0,164.0,167.0,165.5,2945
2020-01-16,168.0,164.5,164.5,166.0,5924
2020-01-17,167.0,165.0,165.0,165.0,2450
2020-01-20,165.5,163.5,163.5,165.5,4155
2020-01-21,163.5,162.5,163.0,163.5,2336
2020-01-22,165.0,162.0,165.0,163.0,3620
2020-01-23,165.0,161.5,161.5,164.5,8586
2020-01-24,164.0,162.0,162.0,163.5,4917
2020-01-27,162.0,158.0,158.0,162.0,1023
2020-01-28,162.0,157.5,162.0,158.5,2774
2020-01-29,161.5,158.5,158.5,161.0,5108
2020-01-30,172.0,152.5,168.0,152.5,15613
2020-01-31,183.0,168.0,179.5,168.0,20633
2020-02-03,185.0,179.5,185.0,179.5,16539
2020-02-04,191.0,185.0,190.5,185.0,12106
2020-02-05,190.5,187.5,189.0,189.5,6953
2020-02-06,193.0,188.0,190.5,188.5,9582
2020-02-07,189.5,184.0,184.5,189.5,6132
2020-02-10,188.0,184.0,186.5,185.0,5158
2020-02-11,191.5,187.0,190.0,187.0,3735
2020-02-12,191.5,188.5,191.5,190.0,4587
2020-02-13,193.0,189.5,192.5,191.5,3592
2020-02-14,195.0,190.0,190.0,192.0,7432
2020-02-17,194.5,190.5,194.5,190.5,9508
2020-02-18,196.0,192.5,192.5,194.5,843
2020-02-19,196.5,192.0,194.0,192.0,9708
2020-02-20,195.0,192.5,193.0,194.5,2254
2020-02-21,193.5,191.5,192.0,192.0,1753
2020-02-24,190.0,185.5,186.5,190.0,2782
2020-02-25,187.0,183.0,184.0,184.0,8921
2020-02-26,183.5,177.0,183.0,181.0,5339
2020-02-27,180.5,173.0,173.0,177.5,5372
2020-02-28,172.5,165.5,168.0,165.5,7841
2020-03-02,172.0,165.0,167.5,167.0,5224
2020-03-03,171.5,169.0,170.5,170.0,2754
2020-03-04,174.5,170.5,170.5,170.5,2440
2020-03-05,173.0,170.0,173.0,171.0,4623
2020-03-06,168.0,164.5,165.5,168.0,1249
2020-03-09,160.0,154.5,154.5,157.0,10166
2020-03-10,159.5,151.0,151.0,155.5,9302
2020-03-11,154.5,147.0,147.5,154.5,2671
2020-03-12,140.5,124.5,125.5,139.0,7933
2020-03-13,131.5,120.5,121.5,127.0,13036
2020-03-16,118.5,109.5,114.0,118.5,8319
2020-03-17,119.0,101.5,108.5,114.0,11232
2020-03-18,109.0,100.0,109.0,107.5,7308
2020-03-19,114.5,105.5,114.5,106.5,11894
2020-03-20,122.0,115.5,119.0,120.0,21459
2020-03-23,118.5,110.0,111.0,118.5,4533
2020-03-24,121.0,112.5,118.0,121.0,6809
2020-03-25,129.0,117.5,122.0,124.0,8747
2020-03-26,128.0,118.5,128.0,120.0,4540
2020-03-27,128.5,125.5,128.5,128.0,2603
2020-03-30,126.0,121.5,126.0,125.5,11781
2020-03-31,133.0,126.5,128.5,128.0,8722
2020-04-01,129.0,124.0,127.0,128.5,3563
2020-04-02,133.0,127.0,127.5,128.0,9367
2020-04-03,132.5,125.5,126.0,128.5,3447
2020-04-06,133.0,127.0,131.5,127.0,1843
2020-04-07,147.5,137.0,146.5,137.0,9789
2020-04-08,149.5,138.0,139.5,144.0,5201
2020-04-09,145.0,140.0,145.0,140.0,4362
2020-04-14,148.0,141.0,141.0,148.0,3358
2020-04-15,141.5,132.5,133.5,141.5,2278
2020-04-16,137.0,130.0,137.0,133.5,1512
2020-04-17,143.0,138.5,143.0,139.5,1485
2020-04-20,150.0,138.5,142.0,150.0,2199
2020-04-21,145.0,133.5,134.0,145.0,4890
2020-04-22,136.5,134.0,136.0,136.5,3056
2020-04-23,137.0,133.0,134.5,137.0,2283
2020-04-24,135.5,132.5,134.5,133.5,1591
2020-04-27,140.0,134.5,139.5,134.5,2339
2020-04-28,154.0,143.5,154.0,144.5,9216
2020-04-29,154.5,148.0,152.0,154.5,3886
2020-04-30,154.0,149.0,151.0,154.0,615
2020-05-04,146.5,142.0,144.0,146.5,1568
2020-05-05,154.0,144.5,148.0,154.0,1044
2020-05-06,149.5,145.5,149.5,148.0,1654
2020-05-07,150.5,147.0,150.5,147.5,1700
2020-05-08,152.0,149.0,149.0,152.0,1194
2020-05-11,150.0,144.0,144.0,150.0,1424
2020-05-12,144.0,140.0,142.5,143.5,1219
2020-05-13,142.5,140.0,141.0,142.5,4690
2020-05-14,139.5,132.5,135.0,139.5,3364
2020-05-15,137.5,134.0,135.5,137.0,2890
2020-05-18,141.0,138.0,141.0,138.0,3388
2020-05-19,141.5,139.0,139.5,141.5,1847
2020-05-20,141.0,138.5,140.0,140.0,1825
2020-05-22,141.0,138.5,138.5,140.5,1117
2020-05-25,142.5,139.0,140.0,140.5,4979
2020-05-26,147.5,142.0,142.0,142.5,4904
2020-05-27,152.0,145.0,148.0,147.0,5677
2020-05-28,151.0,149.0,150.5,150.5,3274
2020-05-29,150.0,147.0,148.0,150.0,4412
2020-06-01,150.5,147.0,147.0,149.5,1696
2020-06-02,154.0,149.0,152.5,151.5,2387
2020-06-03,159.0,153.5,158.0,153.5,2115
2020-06-04,161.0,157.5,159.5,159.0,2835
2020-06-05,164.5,160.0,162.5,160.0,4136
2020-06-08,165.0,162.0,165.0,162.5,599
2020-06-09,164.5,157.0,158.0,164.5,1673
2020-06-10,158.0,155.5,157.0,158.0,3188
2020-06-11,153.5,142.5,143.0,153.0,6932
2020-06-12,150.0,141.0,141.0,142.5,6013
2020-06-15,146.0,140.5,141.5,141.0,3194
2020-06-16,152.0,144.0,149.5,146.5,6130
2020-06-17,155.0,145.0,146.5,149.5,5600
2020-06-18,150.5,145.0,150.5,146.5,3306
2020-06-22,150.5,146.5,149.0,150.5,603
2020-06-23,150.5,147.5,147.5,149.0,569
2020-06-24,149.5,144.5,145.5,149.5,1176
2020-06-25,149.5,141.5,145.0,149.5,628
2020-06-26,147.5,145.0,146.0,147.0,696
2020-06-29,149.0,145.5,148.5,145.5,2133
2020-06-30,152.5,147.0,150.0,148.5,2680
2020-07-01,153.0,150.0,152.5,150.5,405
2020-07-02,156.5,154.0,155.0,154.0,1397
2020-07-03,157.0,154.5,157.0,154.5,1686
2020-07-06,160.5,158.0,158.0,158.5,1448
2020-07-07,159.0,157.5,158.5,158.5,851
2020-07-08,166.5,160.0,161.5,160.5,4076
2020-07-09,164.5,158.5,158.5,164.5,799
2020-07-10,160.5,157.0,160.5,158.5,1111
2020-07-13,163.0,161.0,163.0,161.0,1442
2020-07-14,163.0,160.0,161.0,161.5,932
2020-07-15,164.0,161.0,163.5,162.0,612
2020-07-16,165.5,163.5,164.0,164.0,9216
2020-07-17,166.5,152.5,155.5,166.0,12682
2020-07-20,160.0,154.0,155.0,155.5,5623
2020-07-21,158.0,155.0,156.0,157.0,3641
2020-07-22,159.0,156.0,159.0,156.5,2769
2020-07-23,158.5,156.0,157.0,158.0,10877
2020-07-24,157.0,154.0,155.0,157.0,1555
2020-07-27,155.5,153.0,153.5,155.0,873
2020-07-28,154.0,148.5,152.0,153.5,4189
2020-07-29,153.0,151.0,153.0,152.5,1117
2020-07-30,155.0,151.0,151.0,155.0,701
2020-07-31,154.0,151.0,152.5,151.0,703
2020-08-03,153.0,150.0,153.0,152.0,1912
2020-08-04,154.0,152.0,152.5,154.0,1615
2020-08-05,154.0,152.5,153.5,152.5,2711
2020-08-06,155.0,151.5,152.5,155.0,2690
2020-08-07,154.5,152.0,154.5,153.5,2039
2020-08-10,158.0,154.0,158.0,154.5,3342
2020-08-11,160.5,157.0,158.5,157.0,1435
2020-08-12,159.5,158.0,159.0,158.5,209
2020-08-13,160.0,158.0,158.0,159.0,1563
2020-08-14,158.0,156.5,158.0,157.5,596
2020-08-17,162.0,157.5,162.0,157.5,2917
2020-08-18,161.0,155.5,155.5,161.0,2594
2020-08-19,158.0,156.0,156.5,156.5,2540
2020-08-20,158.5,155.0,157.5,155.0,567
2020-08-21,158.0,155.0,157.0,157.0,924
2020-08-24,161.5,157.0,161.0,157.0,2411
2020-08-25,162.0,157.0,157.5,162.0,96
2020-08-26,158.5,156.5,157.0,157.0,3113
2020-08-27,157.5,154.5,155.5,154.5,3154
2020-08-28,157.0,155.0,156.0,155.5,1394
2020-08-31,156.5,154.5,154.5,156.0,4171
2020-09-01,156.5,153.5,154.5,154.0,2759
2020-09-02,158.0,155.0,156.0,155.0,2219
2020-09-03,159.5,155.0,155.0,158.0,1333
2020-09-04,157.0,153.5,154.5,153.5,884
2020-09-07,158.0,154.5,157.5,154.5,1628
2020-09-08,158.5,156.5,156.5,157.0,764
2020-09-09,161.5,156.5,160.5,156.5,3344
2020-09-10,165.0,160.5,165.0,160.5,3446
2020-09-11,169.0,165.0,166.0,165.0,2821
2020-09-14,173.5,167.0,170.0,167.0,8640
2020-09-15,172.5,167.0,172.0,167.0,3823
2020-09-16,173.5,171.0,173.0,173.0,2875
2020-09-17,177.0,172.0,175.5,173.0,1519
2020-09-18,175.5,173.0,174.0,175.0,2833
2020-09-21,177.0,165.5,167.5,177.0,2468
2020-09-22,169.0,166.5,167.5,166.5,3020
2020-09-23,169.0,164.0,164.0,168.5,2260
2020-09-24,164.5,160.5,161.5,164.5,6051
2020-09-25,163.5,161.0,161.5,162.0,803
2020-09-28,166.5,160.5,162.5,160.5,2135
2020-09-29,163.0,160.0,160.0,162.5,2833
2020-09-30,164.5,159.5,163.5,160.5,1185
2020-10-01,164.5,162.0,162.5,164.5,1247
2020-10-02,162.0,159.5,162.0,160.5,1188
2020-10-05,163.5,161.0,161.0,161.5,864
2020-10-06,163.0,160.0,161.5,160.0,1730
2020-10-07,159.5,156.5,157.5,159.5,3537
2020-10-08,161.0,155.0,157.0,159.5,1777
2020-10-09,158.5,155.5,158.5,157.0,2506
2020-10-12,159.5,156.0,156.5,158.5,2168
2020-10-13,159.5,157.0,157.0,158.0,1082
2020-10-14,159.5,157.5,158.5,157.5,5418
2020-10-15,158.5,154.5,155.0,158.5,596
2020-10-16,158.0,154.5,156.5,156.0,5878
2020-10-19,157.5,155.0,157.0,156.5,1002
2020-10-20,159.0,156.0,158.0,157.0,896
2020-10-21,158.5,154.0,154.0,158.0,1277
2020-10-22,154.0,149.5,151.0,154.0,3796
2020-10-23,154.0,151.0,151.0,151.5,2472
2020-10-26,151.5,147.0,148.0,151.0,1772
2020-10-27,148.0,145.0,146.5,147.5,969
2020-10-28,147.0,142.0,143.0,147.0,3150
2020-10-29,144.5,139.0,140.0,140.5,4588
2020-10-30,143.5,140.0,143.0,140.0,1594
2020-11-02,145.5,142.0,144.0,144.0,2588
2020-11-03,148.5,145.5,146.0,145.5,1508
2020-11-04,150.5,143.5,149.0,146.0,2380
2020-11-05,154.0,150.5,150.5,150.5,9639
2020-11-06,151.0,145.0,145.0,151.0,5978
2020-11-09,152.0,146.0,149.0,146.0,4434
2020-11-10,153.0,149.0,152.0,151.0,1139
2020-11-11,157.0,152.5,155.5,154.5,12607
2020-11-12,157.5,154.0,157.0,155.5,1655
2020-11-13,155.5,151.5,152.0,155.0,2359
2020-11-16,153.0,151.0,152.0,152.0,735
2020-11-17,152.5,148.0,148.5,152.0,3112
2020-11-18,151.0,148.0,149.0,148.0,2966
2020-11-19,153.0,148.5,150.5,151.0,4138
2020-11-20,152.5,149.0,150.5,151.5,2998
2020-11-23,154.0,150.5,153.5,150.5,11840
2020-11-24,158.0,153.5,155.0,155.5,10544
2020-11-25,157.0,152.0,152.0,157.0,5953
2020-11-26,153.0,151.0,152.0,153.0,1603
2020-11-27,153.5,151.0,151.5,152.5,2033
2020-11-30,152.5,148.5,148.5,152.0,6285
2020-12-01,150.5,148.5,149.5,150.0,2453
2020-12-02,151.0,149.0,151.0,150.0,2801
2020-12-03,154.5,149.0,150.0,154.5,1792
2020-12-04,153.0,151.0,152.0,151.0,2856
2020-12-07,153.0,150.5,150.5,152.0,1918
2020-12-08,152.5,150.0,152.0,152.0,2466
2020-12-09,154.5,152.5,154.5,152.5,3023
2020-12-10,156.0,152.0,156.0,155.0,3199
2020-12-11,159.0,151.0,158.0,152.5,3458
2020-12-14,159.5,155.0,157.5,157.5,3194
2020-12-15,159.5,155.5,156.5,158.0,2543
2020-12-16,159.0,155.5,159.0,157.0,2633
2020-12-17,159.0,154.0,156.0,159.0,6561
2020-12-18,156.0,150.0,150.0,155.5,10345
2020-12-21,152.0,148.5,148.5,151.5,4026
2020-12-22,150.5,148.5,150.5,148.5,3648
2020-12-23,150.5,148.0,150.0,150.0,4041
2020-12-28,152.0,149.5,150.5,150.0,2389
2020-12-29,153.0,150.5,150.5,151.0,1431
2020-12-30,151.0,149.5,149.5,151.0,3425
