Date,High,Low,Close,Open,Volume
2020-01-02,36.9,36.3,36.8,36.5,67567
2020-01-03,36.8,36.4,36.6,36.8,6800
2020-01-07,36.9,36.3,36.8,36.9,93475
2020-01-08,37.1,36.6,37.1,36.8,76202
2020-01-09,37.4,37.1,37.3,37.1,115174
2020-01-10,37.5,37.1,37.4,37.5,33815
2020-01-13,37.4,37.1,37.2,37.4,43280
2020-01-14,37.2,37.0,37.0,37.1,24989
2020-01-15,37.1,36.8,37.0,37.1,42535
2020-01-16,37.0,36.9,37.0,37.0,60294
2020-01-17,37.1,36.9,37.0,37.0,65094
2020-01-20,37.1,36.9,36.9,37.0,22669
2020-01-21,37.0,36.8,36.8,36.9,14776
2020-01-22,37.0,36.8,36.9,36.9,14337
2020-01-23,37.0,36.9,37.0,36.9,28320
2020-01-24,37.0,36.8,36.8,37.0,14885
2020-01-27,36.9,36.8,36.9,36.9,31714
2020-01-28,36.9,36.7,36.7,36.9,28361
2020-01-29,36.8,36.6,36.7,36.8,50926
2020-01-30,36.3,36.1,36.2,36.3,39875
2020-01-31,36.3,36.1,36.2,36.3,29157
2020-02-03,36.2,36.0,36.1,36.2,25120
2020-02-04,36.2,36.1,36.1,36.2,26915
2020-02-05,36.3,36.1,36.2,36.1,9110
2020-02-06,36.3,36.2,36.2,36.3,31921
2020-02-07,36.4,36.2,36.3,36.2,24790
2020-02-10,36.4,36.2,36.2,36.3,11630
2020-02-11,36.3,35.8,35.8,36.2,86366
2020-02-12,36.0,35.8,35.8,35.9,57873
2020-02-13,35.9,35.8,35.8,35.8,11528
2020-02-14,35.9,35.8,35.9,35.8,11483
2020-02-17,36.0,35.8,35.9,35.9,16701
2020-02-18,36.0,35.8,35.8,36.0,14924
2020-02-19,36.1,35.8,36.0,35.8,34466
2020-02-20,36.1,35.9,36.0,36.0,39942
2020-02-21,36.1,35.9,35.9,36.1,4002
2020-02-24,35.8,35.0,35.6,35.8,55528
2020-02-25,35.8,35.6,35.6,35.7,43783
2020-02-26,35.6,35.0,35.5,35.6,115773
2020-02-27,35.4,34.8,35.2,35.1,30554
2020-02-28,34.7,32.0,34.5,34.0,110929
2020-03-02,35.0,34.2,34.8,34.9,32454
2020-03-03,35.4,34.9,35.1,34.9,52826
2020-03-04,35.5,35.1,35.3,35.1,58923
2020-03-05,35.4,34.8,34.8,35.3,37396
2020-03-06,34.8,34.4,34.6,34.5,19109
2020-03-09,34.9,32.1,33.9,33.7,137373
2020-03-10,35.1,33.7,34.1,34.7,89793
2020-03-11,35.0,32.3,32.8,34.0,61435
2020-03-12,32.1,29.0,30.4,32.0,154862
2020-03-13,34.7,28.7,30.9,30.4,82013
2020-03-16,30.0,24.0,28.9,29.0,222234
2020-03-17,29.1,24.6,25.1,28.3,205935
2020-03-18,26.7,22.0,22.6,26.7,130786
2020-03-19,25.0,21.8,24.9,21.8,75762
2020-03-20,27.0,24.0,25.4,27.0,53326
2020-03-23,25.6,23.6,24.2,24.9,25363
2020-03-24,25.8,23.9,24.8,25.8,84245
2020-03-25,26.4,24.9,25.0,25.3,164480
2020-03-26,25.6,24.2,25.3,24.9,350594
2020-03-27,26.8,25.1,25.5,25.6,222988
2020-03-30,26.6,25.6,25.9,26.0,78229
2020-03-31,27.0,26.1,26.5,26.5,130535
2020-04-01,26.4,25.9,26.4,26.4,26674
2020-04-02,26.9,26.0,26.4,26.9,29504
2020-04-03,26.6,25.4,25.8,26.5,71138
2020-04-06,28.7,26.2,26.5,26.2,120494
2020-04-07,28.0,26.5,27.3,26.5,229190
2020-04-08,29.5,27.4,28.9,27.5,115358
2020-04-09,30.7,28.9,30.0,30.1,69625
2020-04-14,31.0,30.0,30.4,30.2,34169
2020-04-15,30.9,29.2,29.2,30.5,18396
2020-04-16,30.8,29.0,29.0,30.7,38340
2020-04-17,30.2,29.0,29.7,30.2,46322
2020-04-20,30.6,29.7,30.1,30.0,26797
2020-04-21,30.7,29.8,30.7,30.6,31939
2020-04-22,30.8,29.9,30.6,30.8,19041
2020-04-23,30.8,30.1,30.8,30.8,15307
2020-04-24,30.8,30.1,30.7,30.7,13508
2020-04-27,30.8,30.6,30.8,30.7,33160
2020-04-28,30.8,30.5,30.7,30.8,26949
2020-04-29,30.8,30.2,30.7,30.7,47960
2020-04-30,30.7,29.9,30.3,30.7,9475
2020-05-04,30.3,29.0,30.0,30.3,41066
2020-05-05,30.1,29.2,29.8,30.1,30023
2020-05-06,30.2,29.0,29.8,30.2,9907
2020-05-07,30.0,29.7,29.7,30.0,8311
2020-05-08,29.9,29.0,29.9,29.9,31996
2020-05-11,30.0,29.5,29.8,29.9,38029
2020-05-12,30.0,29.6,30.0,29.8,22625
2020-05-13,29.9,29.5,29.6,29.9,17187
2020-05-14,29.8,28.9,29.3,29.6,20958
2020-05-15,29.8,28.5,29.6,29.0,14524
2020-05-18,30.0,29.0,29.9,29.9,35001
2020-05-19,30.0,29.7,29.7,30.0,14178
2020-05-20,30.0,29.5,29.9,29.8,4402
2020-05-22,29.9,29.5,29.7,29.9,21544
2020-05-25,30.5,29.7,30.3,29.7,19207
2020-05-26,30.5,29.9,30.4,30.3,33637
2020-05-27,30.5,30.0,30.1,30.4,10171
2020-05-28,30.5,30.0,30.3,30.1,19145
2020-05-29,30.3,29.7,30.1,30.3,16696
2020-06-01,30.5,30.2,30.4,30.3,26835
2020-06-02,30.8,30.1,30.6,30.5,38601
2020-06-03,30.9,30.5,30.8,30.8,32431
2020-06-04,30.8,30.5,30.7,30.8,33925
2020-06-05,31.5,30.6,31.4,30.8,42461
2020-06-08,31.5,31.0,31.1,31.5,18667
2020-06-09,30.3,29.7,29.9,29.9,206524
2020-06-10,31.2,29.5,29.5,31.2,48190
2020-06-11,30.0,29.0,29.0,29.5,43071
2020-06-12,30.3,29.0,29.4,30.3,52411
2020-06-15,29.8,29.0,29.6,29.4,57584
2020-06-16,30.0,29.7,30.0,29.8,40176
2020-06-17,30.3,29.7,30.1,30.0,111954
2020-06-18,30.7,29.9,30.5,30.0,57502
2020-06-22,31.0,30.4,30.5,31.0,61870
2020-06-23,30.7,30.4,30.6,30.5,51331
2020-06-24,30.7,30.5,30.6,30.7,11496
2020-06-25,30.7,30.3,30.7,30.6,30007
2020-06-26,30.8,30.5,30.6,30.7,6269
2020-06-29,30.7,30.4,30.6,30.6,25907
2020-06-30,30.6,30.4,30.4,30.6,18367
2020-07-01,30.6,30.4,30.5,30.4,33866
2020-07-02,30.6,30.3,30.5,30.6,443323
2020-07-03,30.7,30.4,30.4,30.7,54511
2020-07-06,30.7,30.5,30.6,30.6,57645
2020-07-07,30.7,30.5,30.6,30.6,61634
2020-07-08,30.8,30.4,30.8,30.6,44592
2020-07-09,30.9,30.8,30.9,30.8,46616
2020-07-10,31.3,30.8,31.1,31.0,81186
2020-07-13,31.4,31.0,31.2,31.2,72283
2020-07-14,31.4,31.1,31.3,31.4,17160
2020-07-15,31.3,31.0,31.0,31.3,35503
2020-07-16,31.2,31.0,31.2,31.0,22053
2020-07-17,31.2,30.5,31.2,31.2,54123
2020-07-20,31.2,30.7,31.0,31.2,142682
2020-07-21,31.4,31.0,31.4,31.0,80993
2020-07-22,31.7,31.3,31.7,31.4,53408
2020-07-23,31.7,31.5,31.7,31.7,35081
2020-07-24,31.7,31.3,31.5,31.7,23069
2020-07-27,31.8,31.5,31.8,31.7,57515
2020-07-28,31.9,31.5,31.9,31.8,41258
2020-07-29,31.9,31.7,31.8,31.9,42703
2020-07-30,31.5,31.1,31.3,31.4,117420
2020-07-31,31.3,31.2,31.3,31.2,22801
2020-08-03,31.4,31.0,31.3,31.3,43941
2020-08-04,31.4,31.3,31.3,31.3,35313
2020-08-05,31.4,31.3,31.4,31.4,19888
2020-08-06,31.5,31.3,31.5,31.4,24297
2020-08-07,31.7,31.4,31.5,31.5,41264
2020-08-10,31.7,31.5,31.6,31.5,36857
2020-08-11,31.7,31.4,31.4,31.6,70649
2020-08-12,31.6,31.5,31.5,31.5,16115
2020-08-13,31.7,31.5,31.7,31.5,13292
2020-08-14,31.7,31.6,31.7,31.7,6365
2020-08-17,31.8,31.6,31.7,31.6,26004
2020-08-18,31.7,31.5,31.6,31.7,51933
2020-08-19,31.7,31.2,31.6,31.6,32102
2020-08-20,31.6,31.4,31.5,31.5,6625
2020-08-21,31.6,31.5,31.6,31.5,13118
2020-08-24,31.6,31.4,31.6,31.6,18839
2020-08-25,31.7,31.6,31.7,31.6,13247
2020-08-26,31.8,31.6,31.7,31.7,31589
2020-08-27,31.7,31.5,31.6,31.7,17918
2020-08-28,31.7,31.5,31.6,31.5,18192
2020-08-31,31.7,31.3,31.4,31.6,89573
2020-09-01,31.5,31.2,31.3,31.4,187030
2020-09-02,31.5,31.3,31.5,31.3,14614
2020-09-03,31.6,31.4,31.6,31.4,31014
2020-09-04,31.6,31.4,31.4,31.6,40437
2020-09-07,32.3,31.4,32.1,31.4,203904
2020-09-08,32.3,31.9,32.3,32.1,11105
2020-09-09,32.8,32.3,32.4,32.3,128429
2020-09-10,32.8,32.2,32.5,32.8,28416
2020-09-11,33.0,32.5,32.5,32.5,47858
2020-09-14,32.8,32.5,32.8,32.5,10369
2020-09-15,33.0,32.6,33.0,32.8,51982
2020-09-16,33.1,32.7,33.0,33.0,40573
2020-09-17,33.2,33.0,33.0,33.1,17369
2020-09-18,33.2,33.0,33.1,33.1,31562
2020-09-21,33.3,33.0,33.1,33.1,22938
2020-09-22,33.5,33.1,33.1,33.3,12476
2020-09-23,33.8,33.1,33.6,33.1,60170
2020-09-24,33.8,33.4,33.5,33.8,16560
2020-09-25,34.0,33.4,33.7,33.9,47346
2020-09-28,33.9,33.4,33.5,33.8,59379
2020-09-29,33.7,33.3,33.5,33.5,14333
2020-09-30,34.0,33.4,33.6,33.9,50530
2020-10-01,33.6,33.4,33.4,33.6,48528
2020-10-02,33.6,33.2,33.6,33.4,28430
2020-10-05,34.0,33.5,33.8,33.9,67588
2020-10-06,33.9,33.7,33.7,33.8,11514
2020-10-07,33.9,33.6,33.8,33.7,35893
2020-10-08,33.8,33.7,33.8,33.8,5615
2020-10-09,33.9,33.7,33.7,33.8,23688
2020-10-12,33.9,33.6,33.6,33.7,23594
2020-10-13,33.9,33.6,33.8,33.6,19887
2020-10-14,33.9,33.7,33.8,33.9,6764
2020-10-15,33.8,33.6,33.8,33.8,22152
2020-10-16,34.0,33.7,33.7,33.8,55202
2020-10-19,33.9,33.5,33.8,33.9,32908
2020-10-20,33.8,33.4,33.7,33.8,61355
2020-10-21,33.8,33.3,33.8,33.6,55509
2020-10-22,33.8,32.8,33.2,33.8,54996
2020-10-23,33.7,33.2,33.4,33.7,27180
2020-10-26,33.7,32.9,33.2,33.4,53668
2020-10-27,33.5,33.0,33.2,33.5,65879
2020-10-28,33.0,31.6,31.9,33.0,125440
2020-10-29,31.6,30.4,30.8,31.2,197894
2020-10-30,31.0,30.0,30.8,31.0,33300
2020-11-02,31.0,30.7,31.0,30.8,31463
2020-11-03,32.2,31.1,31.4,31.1,33098
2020-11-04,32.0,31.3,31.5,31.4,26917
2020-11-05,32.5,31.5,32.0,31.5,32928
2020-11-06,32.3,31.8,32.0,31.9,59320
2020-11-09,32.6,32.0,32.3,32.0,38671
2020-11-10,32.7,32.1,32.4,32.3,29011
2020-11-11,32.8,32.1,32.2,32.4,63708
2020-11-12,32.4,32.1,32.3,32.1,2831
2020-11-13,32.8,32.3,32.4,32.7,26011
2020-11-16,32.8,32.2,32.5,32.4,28617
2020-11-17,32.9,32.3,32.4,32.5,57612
2020-11-18,32.8,32.5,32.5,32.8,1404
2020-11-19,32.7,32.5,32.5,32.5,2348
2020-11-20,32.8,32.0,32.3,32.8,80149
2020-11-23,32.6,32.2,32.6,32.3,20668
2020-11-24,32.7,32.2,32.4,32.7,18148
2020-11-25,32.7,32.1,32.2,32.7,56465
2020-11-26,32.6,32.1,32.4,32.6,43527
2020-11-27,32.7,32.1,32.3,32.4,25721
