Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,2.79,2.74,2.78,2.74,65009
2018-06-07,2.79,2.75,2.78,2.78,41360
2018-06-08,2.79,2.7,2.78,2.79,5064
2018-06-11,2.76,2.7,2.75,2.76,24600
2018-06-12,2.79,2.7,2.78,2.76,12211
2018-06-13,2.78,2.7,2.78,2.7,48780
2018-06-14,3.0,2.75,2.92,2.77,146557
2018-06-15,2.93,2.75,2.76,2.93,9993
2018-06-18,2.85,2.8,2.8,2.85,4800
2018-06-19,2.75,2.75,2.75,2.75,1900
2018-06-20,2.76,2.6,2.6,2.76,12044
2018-06-21,2.95,2.69,2.85,2.7,202178
2018-06-25,2.87,2.86,2.87,2.87,11416
2018-06-26,2.88,2.69,2.88,2.85,14039
2018-06-27,2.95,2.88,2.95,2.88,4775
2018-06-28,3.0,2.9,2.9,3.0,54750
2018-06-29,2.95,2.9,2.95,2.95,226650
2018-07-02,3.25,3.0,3.0,3.0,91390
2018-07-03,3.32,3.0,3.1,3.25,89000
2018-07-04,3.17,2.92,2.92,3.17,47654
2018-07-05,3.01,2.7,2.85,2.87,24252
2018-07-06,2.98,2.71,2.79,2.8,31084
2018-07-09,2.99,2.72,2.96,2.99,13312
2018-07-10,3.0,2.65,2.95,2.96,55137
2018-07-11,3.3,2.95,3.1,3.16,72513
2018-07-12,3.13,2.9,3.06,3.12,39100
2018-07-13,3.1,3.0,3.09,3.04,29201
2018-07-16,2.99,2.96,2.99,2.99,9492
2018-07-17,3.0,2.81,2.81,3.0,10499
2018-07-18,3.25,2.91,2.91,3.25,25896
2018-07-19,3.25,2.9,2.99,2.93,41432
2018-07-20,2.99,2.99,2.99,2.99,0
2018-07-23,3.19,3.18,3.18,3.19,260
2018-07-24,3.2,3.1,3.15,3.2,14070
2018-07-25,3.04,2.95,2.95,3.01,20382
2018-07-26,3.0,2.7,3.0,2.87,22818
2018-07-27,3.2,2.9,3.19,3.0,94105
2018-07-30,3.2,3.0,3.19,3.19,30750
2018-07-31,3.19,3.02,3.02,3.02,33186
2018-08-01,3.5,3.0,3.4,3.0,156303
2018-08-02,3.7,3.3,3.35,3.4,66979
2018-08-03,3.7,3.3,3.62,3.35,192121
2018-08-06,3.72,3.39,3.71,3.62,39312
2018-08-07,3.67,3.46,3.67,3.67,27780
2018-08-08,3.67,3.46,3.5,3.67,25027
2018-08-09,3.67,3.48,3.55,3.5,40900
2018-08-10,3.75,3.45,3.75,3.55,24200
2018-08-13,3.75,3.41,3.74,3.41,57562
2018-08-14,3.85,3.7,3.8,3.7,61209
2018-08-15,3.9,3.7,3.9,3.85,176748
2018-08-16,4.0,3.81,3.9,3.95,154136
2018-08-17,4.2,3.81,4.07,3.9,793716
2018-08-20,4.72,4.0,4.49,4.11,355876
2018-08-21,4.75,4.26,4.55,4.56,222666
2018-08-22,4.54,4.01,4.03,4.54,370137
2018-08-23,4.25,3.76,4.16,4.0,444144
2018-08-24,4.21,3.8,4.0,4.16,149222
2018-08-27,4.11,3.94,3.95,4.05,85510
2018-08-28,4.04,3.75,3.98,4.04,116206
2018-08-29,3.99,3.75,3.75,3.99,60625
2018-08-30,3.76,3.5,3.75,3.76,16122
2018-08-31,4.1,3.75,3.75,3.8,307917
2018-09-03,3.84,3.75,3.75,3.75,17595
2018-09-04,3.9,3.57,3.76,3.9,101760
2018-09-05,4.2,3.62,3.9,3.76,156565
2018-09-06,4.14,3.8,4.13,3.99,26277
2018-09-07,4.02,3.65,3.96,3.77,234448
2018-09-10,3.9,3.72,3.9,3.88,21218
2018-09-11,3.95,3.75,3.95,3.9,32237
2018-09-12,4.4,3.9,4.3,4.0,123157
2018-09-13,4.44,3.98,4.07,4.3,261212
2018-09-14,4.08,3.9,3.98,4.06,53676
2018-09-17,3.96,3.65,3.78,3.96,104249
2018-09-18,4.47,3.68,4.24,3.77,180119
2018-09-19,4.43,3.97,4.04,4.43,41537
2018-09-20,4.25,3.91,4.07,4.05,77340
2018-09-21,4.06,3.92,4.06,4.05,69566
2018-09-24,4.49,4.01,4.27,4.05,42206
2018-09-25,4.29,4.1,4.15,4.24,87879
2018-09-26,4.5,4.03,4.39,4.15,268447
2018-09-27,5.0,4.39,4.96,4.45,673099
2018-09-28,5.0,4.46,4.61,4.99,524327
2018-10-01,4.74,4.1,4.1,4.6,250816
2018-10-02,4.34,3.95,4.16,4.21,261223
2018-10-03,4.85,4.29,4.55,4.67,584396
2018-10-04,4.65,4.3,4.53,4.62,207414
2018-10-05,4.58,4.2,4.56,4.5,186669
2018-10-08,4.67,4.32,4.4,4.6,121903
2018-10-09,4.44,4.2,4.4,4.39,202031
2018-10-10,4.5,4.12,4.2,4.37,121412
2018-10-11,4.06,3.7,3.99,4.0,165197
2018-10-12,4.07,3.83,3.96,3.97,84195
2018-10-15,4.18,3.98,3.99,4.06,62338
2018-10-16,4.25,3.95,4.1,4.07,88362
2018-10-17,4.16,3.8,4.02,4.16,105309
2018-10-18,4.02,3.85,4.0,4.02,70557
2018-10-19,4.17,3.88,3.9,3.92,22379
2018-10-22,4.04,3.9,3.9,3.95,30733
2018-10-23,4.0,3.61,3.7,3.91,74362
2018-10-24,3.8,3.57,3.8,3.72,63281
2018-10-25,3.84,3.5,3.7,3.84,163584
2018-10-26,3.75,3.5,3.73,3.7,77649
2018-10-29,3.73,3.51,3.69,3.73,48523
2018-10-30,3.71,3.36,3.49,3.68,91741
2018-10-31,3.68,3.45,3.51,3.52,79852
2018-11-01,3.61,3.35,3.46,3.5,75232
2018-11-02,3.6,3.27,3.6,3.5,60170
2018-11-05,3.55,3.48,3.5,3.52,35756
2018-11-06,3.57,3.38,3.46,3.56,42637
2018-11-07,3.6,3.35,3.43,3.37,47227
2018-11-08,3.7,3.35,3.6,3.45,56402
2018-11-09,4.09,3.6,4.0,3.61,253937
2018-11-12,4.1,3.8,3.99,4.0,331329
2018-11-13,4.05,3.9,4.0,4.0,162702
2018-11-14,4.08,3.78,3.98,4.05,53342
2018-11-15,4.07,3.8,3.93,3.98,180978
2018-11-16,3.99,3.75,3.85,3.93,66056
2018-11-19,4.0,3.55,3.68,3.55,54176
2018-11-20,3.68,3.42,3.57,3.68,84541
2018-11-21,3.74,3.42,3.63,3.54,43320
2018-11-22,3.8,3.66,3.75,3.7,103048
2018-11-23,3.95,3.8,3.87,3.85,112005
