Date,High,Low,Close,Open,Volume
2020-01-02,7.95,7.8,7.9,7.85,12924
2020-01-03,8.0,7.7,8.0,7.9,21572
2020-01-06,8.0,7.95,7.95,8.0,2438
2020-01-07,8.0,7.55,7.75,7.9,16723
2020-01-08,7.85,7.8,7.85,7.8,5740
2020-01-09,8.0,7.95,7.95,8.0,2350
2020-01-10,7.95,7.95,7.95,7.95,0
2020-01-13,7.95,7.75,7.95,7.75,410
2020-01-14,8.05,7.8,8.0,7.95,17300
2020-01-15,7.95,7.95,7.95,7.95,6580
2020-01-16,7.95,7.75,7.95,7.75,720
2020-01-17,8.2,7.75,8.2,7.75,8946
2020-01-20,7.9,7.85,7.85,7.9,7651
2020-01-21,8.0,7.75,7.9,7.8,12728
2020-01-22,8.0,7.95,8.0,8.0,15587
2020-01-23,8.0,7.75,8.0,8.0,35294
2020-01-24,8.0,7.8,7.8,8.0,9999
2020-01-27,7.7,7.4,7.7,7.6,38935
2020-01-28,7.65,7.6,7.65,7.65,6400
2020-01-29,7.6,7.55,7.55,7.6,5567
2020-01-30,7.6,7.5,7.5,7.6,2305
2020-01-31,7.7,7.45,7.7,7.5,21850
2020-02-03,8.0,7.6,8.0,7.7,35931
2020-02-04,8.8,8.0,8.5,8.0,33800
2020-02-05,8.75,8.25,8.65,8.6,45414
2020-02-06,9.5,8.5,9.5,8.85,96084
2020-02-07,10.0,8.8,9.15,9.55,25227
2020-02-10,9.25,8.9,9.05,8.9,17900
2020-02-11,9.6,8.7,9.55,8.8,21505
2020-02-12,9.55,9.0,9.4,9.55,13000
2020-02-13,9.4,9.3,9.4,9.35,15575
2020-02-14,9.9,9.6,9.9,9.6,13581
2020-02-17,9.85,9.1,9.55,9.65,78450
2020-02-18,9.6,9.05,9.2,9.1,54523
2020-02-19,10.4,8.55,9.35,9.85,103262
2020-02-20,9.85,9.1,9.1,9.35,44680
2020-02-21,9.1,8.65,8.7,9.0,62622
2020-02-24,9.3,8.3,8.95,9.0,41236
2020-02-25,8.75,8.2,8.25,8.65,48919
2020-02-26,8.3,7.6,8.3,8.25,39377
2020-02-27,8.0,7.5,7.9,8.0,39068
2020-02-28,8.1,7.2,8.1,7.5,14705
2020-03-02,8.1,7.25,7.4,8.1,79989
2020-03-03,7.95,7.6,7.95,7.95,88876
2020-03-04,8.8,7.7,7.7,8.8,44029
2020-03-05,7.75,7.4,7.5,7.7,83139
2020-03-06,7.45,7.15,7.45,7.25,5653
2020-03-09,7.25,6.65,7.0,7.0,34143
2020-03-10,7.25,6.95,6.95,7.0,21499
2020-03-11,6.65,6.0,6.3,6.65,61369
2020-03-12,6.0,5.35,5.85,6.0,12244
2020-03-13,6.8,6.15,6.8,6.45,82090
2020-03-16,6.8,5.5,6.35,6.8,21008
2020-03-17,6.4,6.25,6.4,6.3,89569
2020-03-18,6.9,6.4,6.7,6.4,28090
2020-03-19,7.0,6.2,6.6,7.0,13588
2020-03-20,7.2,6.6,7.05,7.2,14682
2020-03-23,6.95,6.25,6.5,6.95,1879
2020-03-24,7.0,6.55,6.9,6.55,9255
2020-03-25,7.1,6.75,6.95,6.95,15356
2020-03-26,7.0,6.6,6.95,6.95,6240
2020-03-27,7.05,6.6,6.85,6.95,8075
2020-03-30,7.0,6.6,7.0,6.6,9701
2020-03-31,7.2,6.95,6.95,7.05,97114
2020-04-01,7.2,6.75,7.0,6.75,3931
2020-04-02,7.0,6.9,7.0,7.0,1400
2020-04-03,7.0,7.0,7.0,7.0,430
2020-04-06,12.7,8.6,9.3,8.6,754823
2020-04-07,9.9,8.8,9.0,9.2,352106
2020-04-08,9.7,9.0,9.4,9.5,35907
2020-04-09,9.4,9.4,9.4,9.4,0
2020-04-14,9.65,8.6,8.9,9.65,43838
2020-04-15,8.95,7.95,8.85,8.8,32892
2020-04-16,8.95,8.65,8.9,8.85,14255
2020-04-17,9.15,8.85,9.1,8.9,4355
2020-04-20,9.0,8.25,8.8,8.95,13588
2020-04-21,8.95,8.5,8.55,8.95,3480
2020-04-22,8.9,8.5,8.9,8.5,14636
2020-04-23,8.95,8.5,8.8,8.5,14704
2020-04-24,9.95,8.75,9.6,8.75,87713
2020-04-27,10.8,9.65,10.3,9.65,134776
2020-04-28,12.0,10.1,12.0,10.5,229441
2020-04-29,12.7,11.0,11.0,12.5,182998
2020-04-30,11.2,10.6,11.1,11.2,35032
2020-05-04,11.8,10.2,11.2,11.8,90381
2020-05-05,12.4,11.4,12.1,11.5,170249
2020-05-06,14.9,13.4,14.5,14.0,876223
2020-05-07,15.0,13.6,14.0,14.9,176892
2020-05-08,14.0,12.8,13.0,14.0,137011
2020-05-11,13.3,12.0,12.2,13.3,89895
2020-05-12,12.2,11.9,12.0,12.2,57963
2020-05-13,12.0,11.6,11.7,11.8,50849
2020-05-14,12.9,11.7,11.9,12.0,98845
2020-05-15,12.2,11.7,11.7,12.2,58195
2020-05-18,12.0,11.2,11.7,11.8,79474
2020-05-19,11.9,11.3,11.9,11.9,59192
2020-05-20,12.0,11.3,11.5,11.9,102154
2020-05-22,12.0,11.4,11.9,11.4,134783
2020-05-25,12.0,11.6,11.8,11.9,50149
2020-05-26,12.4,11.9,11.9,12.3,164560
2020-05-27,12.7,11.8,12.0,12.0,191689
2020-05-28,14.2,13.2,13.6,13.8,947134
2020-05-29,14.3,13.1,13.9,13.8,161141
2020-06-02,15.0,13.2,15.0,13.9,83251
2020-06-03,15.6,14.7,14.9,15.1,73583
2020-06-04,15.0,14.5,14.9,14.5,17021
2020-06-05,15.9,13.6,14.2,15.1,98967
2020-06-08,14.5,13.8,13.8,14.0,81459
2020-06-09,14.0,13.3,13.3,14.0,51269
2020-06-10,13.7,13.0,13.7,13.3,36741
2020-06-11,13.7,12.7,13.1,13.7,111311
2020-06-12,18.0,12.7,15.9,12.7,573747
2020-06-15,16.9,14.6,14.6,16.0,108900
2020-06-16,16.4,15.0,15.7,15.0,71811
2020-06-17,15.7,14.4,14.8,15.1,100830
2020-06-18,15.2,14.7,14.9,15.1,24442
2020-06-19,15.2,14.9,15.2,15.1,11296
2020-06-22,15.6,14.6,15.5,15.1,33771
2020-06-23,15.8,15.5,15.5,15.5,76858
2020-06-24,16.5,15.5,15.5,15.9,100813
2020-06-25,15.8,15.1,15.1,15.5,91356
2020-06-26,15.8,13.5,15.1,15.8,114869
2020-06-29,16.2,14.7,16.2,15.1,31755
2020-06-30,16.3,15.5,16.0,16.2,63953
2020-07-01,16.9,16.2,16.8,16.5,151044
2020-07-02,17.3,16.4,16.9,16.8,140140
2020-07-03,18.5,17.4,18.0,17.4,73007
2020-07-06,18.9,17.4,17.4,18.9,131806
2020-07-07,18.4,17.4,18.2,17.9,76486
2020-07-08,18.4,17.7,18.4,18.2,31266
2020-07-09,18.9,18.2,18.3,18.3,33616
2020-07-10,20.4,18.0,20.2,18.5,185586
2020-07-13,21.4,20.4,21.2,20.6,142614
