Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,4.28,4.115,4.125,4.255,183885
2018-06-07,4.235,4.1,4.14,4.1,119958
2018-06-08,4.245,4.14,4.24,4.14,160037
2018-06-11,4.29,4.15,4.28,4.17,228385
2018-06-12,4.48,4.2,4.475,4.29,508634
2018-06-13,4.56,4.365,4.45,4.48,453241
2018-06-14,4.535,4.33,4.52,4.45,367698
2018-06-15,4.645,4.4,4.645,4.52,350970
2018-06-18,4.6,4.47,4.59,4.6,206256
2018-06-19,4.59,4.45,4.515,4.59,293421
2018-06-20,4.545,4.29,4.4,4.48,207667
2018-06-21,4.44,4.0,4.3,4.4,271950
2018-06-25,4.25,4.04,4.085,4.25,417641
2018-06-26,4.43,4.0,4.09,4.085,243452
2018-06-27,4.175,3.94,4.11,4.08,322452
2018-06-28,4.3,4.16,4.245,4.3,242033
2018-06-29,4.25,4.05,4.2,4.245,225203
2018-07-02,4.22,4.055,4.19,4.18,114377
2018-07-03,4.4,4.21,4.395,4.22,327707
2018-07-04,4.395,4.25,4.345,4.395,67722
2018-07-05,4.345,4.275,4.335,4.345,122175
2018-07-06,4.365,4.25,4.335,4.335,282609
2018-07-09,4.38,4.2,4.335,4.26,334810
2018-07-10,4.335,4.12,4.135,4.335,284212
2018-07-11,4.195,4.07,4.19,4.195,84549
2018-07-12,4.185,4.1,4.145,4.185,181750
2018-07-13,4.175,4.02,4.095,4.145,170795
2018-07-16,4.2,3.925,4.2,4.095,201828
2018-07-17,4.38,4.105,4.38,4.15,459557
2018-07-18,4.4,4.29,4.4,4.38,221628
2018-07-19,4.42,4.36,4.39,4.375,355356
2018-07-20,4.54,3.965,3.98,4.405,930920
2018-07-23,4.075,3.79,3.92,4.0,552928
2018-07-24,3.97,3.805,3.85,3.92,388120
2018-07-25,4.095,3.74,3.985,3.81,660310
2018-07-26,3.96,3.815,3.86,3.96,309456
2018-07-27,3.935,3.83,3.875,3.865,309482
2018-07-30,4.035,3.75,4.0,3.84,444708
2018-07-31,4.055,3.82,3.86,3.965,519900
2018-08-01,4.02,3.825,3.93,3.87,786485
2018-08-02,3.995,3.855,3.93,3.975,360096
2018-08-03,3.955,3.75,3.9,3.95,470342
2018-08-06,3.955,3.8,3.855,3.9,241559
2018-08-07,3.88,3.805,3.87,3.835,263716
2018-08-08,3.925,3.505,3.7,3.87,709276
2018-08-09,3.715,3.4,3.51,3.69,1196375
2018-08-10,3.6,3.37,3.42,3.52,923885
2018-08-13,3.53,3.325,3.385,3.42,576087
2018-08-14,3.53,3.35,3.525,3.38,605984
2018-08-15,3.885,3.475,3.8,3.6,1774383
2018-08-16,3.85,3.62,3.715,3.8,416443
2018-08-17,3.75,3.6,3.65,3.71,304364
2018-08-20,3.69,3.555,3.65,3.685,287719
2018-08-21,3.645,3.56,3.58,3.605,177813
2018-08-22,3.67,3.54,3.54,3.56,134074
2018-08-23,3.54,3.42,3.47,3.515,484689
2018-08-24,3.7,3.43,3.7,3.46,486433
2018-08-27,3.745,3.53,3.575,3.715,411473
2018-08-28,3.6,3.54,3.58,3.585,222709
2018-08-29,3.595,3.515,3.54,3.58,289229
2018-08-30,3.65,3.54,3.635,3.55,312770
2018-08-31,3.68,3.58,3.66,3.635,305629
2018-09-03,3.67,3.515,3.63,3.66,548849
2018-09-04,3.6,3.46,3.54,3.6,225691
2018-09-05,3.58,3.46,3.57,3.54,368213
2018-09-06,3.55,3.475,3.535,3.545,205348
2018-09-07,3.58,3.44,3.49,3.535,312768
2018-09-10,3.53,3.43,3.52,3.48,272681
2018-09-11,3.545,3.475,3.53,3.49,158257
2018-09-12,3.53,3.47,3.49,3.53,159100
2018-09-13,3.53,3.475,3.51,3.49,308370
2018-09-14,3.68,3.5,3.675,3.505,519469
2018-09-17,3.66,3.525,3.605,3.66,218467
2018-09-18,3.56,3.465,3.5,3.56,599210
2018-09-19,3.51,3.42,3.455,3.505,298348
2018-09-20,3.485,3.45,3.47,3.45,183785
2018-09-21,3.485,3.45,3.475,3.47,136284
2018-09-24,3.48,3.4,3.43,3.48,361978
2018-09-25,3.41,3.35,3.35,3.39,398329
2018-09-26,3.37,3.28,3.3,3.35,820458
2018-09-27,3.305,3.21,3.225,3.305,860611
2018-09-28,3.2,3.06,3.08,3.2,1533326
2018-10-01,3.295,3.06,3.25,3.075,1112448
2018-10-02,3.29,3.165,3.285,3.245,323404
2018-10-03,3.35,3.245,3.33,3.26,393451
2018-10-04,3.33,3.15,3.175,3.33,457053
2018-10-05,3.17,3.05,3.15,3.155,674459
2018-10-08,3.145,3.05,3.07,3.145,354959
2018-10-09,3.145,3.045,3.07,3.07,469485
2018-10-10,3.12,2.95,3.04,3.12,604543
2018-10-11,2.96,2.8,2.87,2.96,1315615
2018-10-12,3.095,2.845,3.095,2.845,822602
2018-10-15,3.13,2.965,3.005,3.105,193767
2018-10-16,3.145,2.94,3.145,3.005,431446
2018-10-17,3.15,3.015,3.12,3.14,549465
2018-10-18,3.15,3.03,3.08,3.145,302946
2018-10-19,3.08,2.925,2.99,3.08,625569
2018-10-22,2.99,2.81,2.81,2.98,365287
2018-10-23,2.8,2.62,2.66,2.8,857475
2018-10-24,2.84,2.65,2.8,2.66,206753
2018-10-25,2.825,2.7,2.8,2.805,307372
2018-10-26,3.045,2.52,2.63,2.795,1197281
2018-10-29,2.7,2.45,2.53,2.655,1183594
2018-10-30,2.525,2.47,2.52,2.525,757586
2018-10-31,2.77,2.47,2.75,2.47,1170721
2018-11-01,2.805,2.67,2.68,2.73,1152318
2018-11-02,2.79,2.615,2.68,2.735,341640
2018-11-05,2.7,2.65,2.66,2.685,139561
2018-11-06,2.895,2.6,2.79,2.675,1106274
2018-11-07,2.87,2.77,2.8,2.86,969338
2018-11-08,2.83,2.755,2.8,2.83,917539
2018-11-09,2.8,2.725,2.725,2.8,585207
2018-11-12,2.76,2.675,2.675,2.735,396154
2018-11-13,2.675,2.595,2.6,2.675,420451
2018-11-14,2.57,2.47,2.5,2.555,1198759
2018-11-15,2.69,2.5,2.655,2.5,975254
2018-11-16,2.865,2.65,2.75,2.695,2114011
2018-11-19,2.9,2.69,2.71,2.755,1596631
2018-11-20,2.74,2.59,2.59,2.66,1485215
2018-11-21,2.745,2.6,2.65,2.6,479486
2018-11-22,2.7,2.62,2.69,2.645,406643
2018-11-23,2.7,2.645,2.68,2.695,266252
2018-11-26,2.735,2.65,2.66,2.65,309750
2018-11-27,2.785,2.63,2.74,2.63,416756
2018-11-28,2.83,2.7,2.76,2.74,419821
2018-11-29,2.88,2.735,2.88,2.77,657887
2018-11-30,2.98,2.845,2.9,2.845,489739
2018-12-03,3.035,2.88,3.035,2.995,979088
2018-12-04,3.08,2.9,2.98,3.045,663166
2018-12-05,2.995,2.905,2.99,2.99,618281
2018-12-06,2.995,2.685,2.87,2.92,1010199
2018-12-07,3.025,2.83,3.0,2.935,1552178
2018-12-10,2.945,2.84,2.925,2.88,470678
2018-12-11,3.02,2.79,3.02,3.0,553165
2018-12-12,2.995,2.895,2.97,2.92,692126
2018-12-13,2.985,2.895,2.95,2.97,585490
2018-12-14,3.025,2.79,2.9,2.92,334007
2018-12-17,3.0,2.84,2.88,3.0,320331
2018-12-18,2.89,2.7,2.7,2.84,828926
2018-12-19,2.81,2.51,2.575,2.695,1411719
2018-12-20,2.58,2.4,2.425,2.58,967861
2018-12-21,2.54,2.43,2.45,2.505,1640921
2018-12-27,2.54,2.475,2.51,2.495,1009937
2018-12-28,2.825,2.51,2.675,2.54,1180381
2019-01-02,2.8,2.595,2.795,2.705,755911
2019-01-03,2.85,2.71,2.76,2.8,459941
2019-01-04,2.85,2.73,2.75,2.755,666536
2019-01-07,2.77,2.645,2.75,2.755,372710
2019-01-08,2.755,2.69,2.73,2.75,411660
2019-01-09,2.835,2.71,2.78,2.75,838910
2019-01-10,2.775,2.72,2.735,2.775,157038
2019-01-11,2.82,2.725,2.82,2.74,236358
2019-01-14,2.855,2.715,2.82,2.84,432667
2019-01-15,2.845,2.735,2.775,2.82,510966
2019-01-16,2.935,2.225,2.3,2.785,2784402
2019-01-17,2.435,2.305,2.42,2.305,1511937
2019-01-18,2.67,2.365,2.6,2.445,1208042
2019-01-21,2.64,2.43,2.5,2.605,1015535
2019-01-22,2.505,2.33,2.38,2.505,1222464
2019-01-23,2.51,2.28,2.3,2.385,808229
2019-01-24,2.31,2.23,2.26,2.3,571209
2019-01-25,2.285,2.21,2.245,2.26,921446
2019-01-28,2.295,2.04,2.08,2.25,2346519
2019-01-29,2.14,2.06,2.125,2.085,1269260
2019-01-30,2.26,2.11,2.26,2.135,1716015
2019-01-31,2.295,2.18,2.25,2.255,842212
2019-02-01,2.57,2.215,2.29,2.345,6889247
2019-02-04,2.355,2.175,2.23,2.295,1358770
2019-02-05,2.22,2.07,2.1,2.215,1589475
2019-02-06,2.125,2.01,2.035,2.12,1944169
2019-02-07,2.045,2.01,2.04,2.045,2175304
2019-02-08,2.145,2.015,2.11,2.04,1015357
2019-02-11,2.22,2.06,2.215,2.135,1742260
2019-02-12,2.22,2.05,2.09,2.215,1570057
2019-02-13,2.11,2.03,2.035,2.11,842797
2019-02-14,2.05,2.0,2.02,2.05,1324732
2019-02-15,2.03,1.854,1.854,2.02,3740796
2019-02-18,2.13,1.91,2.13,1.946,3528475
2019-02-19,2.2,2.07,2.135,2.115,1196506
2019-02-20,2.135,2.08,2.095,2.125,546169
2019-02-21,2.1,2.025,2.065,2.1,496425
2019-02-22,2.12,2.015,2.1,2.015,571363
2019-02-25,2.17,2.065,2.095,2.105,546596
2019-02-26,2.18,2.065,2.16,2.095,843177
2019-02-27,2.27,2.12,2.22,2.155,843685
2019-02-28,2.22,2.155,2.18,2.22,202474
2019-03-01,2.21,2.16,2.18,2.175,270316
2019-03-04,2.205,2.16,2.17,2.205,231602
2019-03-05,2.18,2.14,2.18,2.17,103791
2019-03-06,2.31,2.16,2.31,2.19,1659476
2019-03-07,2.34,2.25,2.295,2.34,576923
2019-03-08,2.35,2.235,2.3,2.27,835514
2019-03-11,2.39,2.265,2.355,2.265,646349
2019-03-12,2.465,2.26,2.3,2.31,1491160
2019-03-13,2.375,2.28,2.28,2.3,652144
2019-03-14,2.34,2.23,2.29,2.28,689248
2019-03-15,2.275,2.16,2.23,2.26,810085
2019-03-18,2.22,2.155,2.195,2.21,522753
2019-03-19,2.165,2.125,2.165,2.16,448322
2019-03-20,2.16,2.11,2.13,2.16,397942
2019-03-21,2.16,2.1,2.1,2.16,203662
2019-03-22,2.225,2.105,2.215,2.105,1017138
2019-03-25,2.285,2.2,2.285,2.22,227372
2019-03-26,2.275,2.045,2.1,2.275,1474541
2019-03-27,2.15,2.03,2.04,2.125,376161
2019-03-28,2.07,2.0,2.015,2.04,341139
2019-03-29,2.065,1.99,2.055,2.02,482892
2019-04-01,2.06,2.025,2.05,2.06,314648
2019-04-02,2.07,2.025,2.06,2.05,496498
2019-04-03,2.1,2.035,2.09,2.035,349493
2019-04-04,2.23,2.06,2.21,2.08,1277114
2019-04-05,2.315,2.165,2.285,2.21,1258510
2019-04-08,2.545,2.275,2.4,2.3,1854962
2019-04-09,2.43,2.335,2.37,2.43,933914
2019-04-10,2.44,2.345,2.385,2.375,745817
2019-04-11,2.475,2.39,2.425,2.39,1026549
2019-04-12,2.515,2.4,2.505,2.455,621739
2019-04-15,2.565,2.43,2.45,2.515,734005
2019-04-16,2.45,2.375,2.44,2.45,355531
2019-04-17,2.45,2.36,2.38,2.45,281633
2019-04-18,2.38,2.335,2.38,2.35,156154
2019-04-23,2.4,2.28,2.315,2.37,308574
2019-04-24,2.285,2.22,2.23,2.28,718093
2019-04-25,2.22,2.1,2.125,2.175,751213
2019-04-26,2.125,2.065,2.075,2.12,1054917
2019-04-29,2.21,2.08,2.11,2.08,932887
2019-04-30,2.11,2.055,2.08,2.11,681758
2019-05-02,2.125,2.025,2.035,2.1,652399
2019-05-03,2.07,2.02,2.035,2.035,283493
2019-05-06,2.05,1.982,2.01,2.03,709493
