Date,High,Low,Close,Open,Volume
2020-01-02,0.27,0.27,0.27,0.27,0
2020-01-03,0.27,0.27,0.27,0.27,0
2020-01-07,0.276,0.26,0.276,0.26,37719
2020-01-08,0.282,0.28,0.28,0.282,47319
2020-01-09,0.298,0.296,0.296,0.298,856
2020-01-10,0.312,0.292,0.312,0.296,30290
2020-01-13,0.32,0.32,0.32,0.32,7583
2020-01-14,0.332,0.312,0.33,0.332,50128
2020-01-15,0.33,0.33,0.33,0.33,0
2020-01-16,0.33,0.33,0.33,0.33,0
2020-01-17,0.328,0.326,0.328,0.326,35000
2020-01-20,0.328,0.308,0.328,0.308,17200
2020-01-21,0.328,0.328,0.328,0.328,0
2020-01-22,0.304,0.302,0.302,0.304,13550
2020-01-23,0.302,0.29,0.29,0.302,100000
2020-01-24,0.29,0.29,0.29,0.29,0
2020-01-27,0.29,0.29,0.29,0.29,0
2020-01-28,0.302,0.274,0.274,0.302,2250
2020-01-29,0.31,0.288,0.31,0.288,50000
2020-01-30,0.31,0.31,0.31,0.31,0
2020-01-31,0.326,0.326,0.326,0.326,5
2020-02-03,0.326,0.326,0.326,0.326,51387
2020-02-04,0.326,0.326,0.326,0.326,20
2020-02-05,0.326,0.326,0.326,0.326,0
2020-02-06,0.326,0.326,0.326,0.326,0
2020-02-07,0.306,0.306,0.306,0.306,6981
2020-02-10,0.3,0.3,0.3,0.3,2000
2020-02-11,0.3,0.3,0.3,0.3,0
2020-02-12,0.3,0.3,0.3,0.3,0
2020-02-13,0.3,0.3,0.3,0.3,0
2020-02-14,0.31,0.29,0.31,0.304,50138
2020-02-17,0.3,0.29,0.29,0.3,45057
2020-02-18,0.29,0.29,0.29,0.29,0
2020-02-19,0.29,0.29,0.29,0.29,0
2020-02-20,0.29,0.288,0.288,0.29,6000
2020-02-21,0.284,0.26,0.26,0.284,105019
2020-02-24,0.284,0.27,0.28,0.284,26996
2020-02-25,0.298,0.282,0.298,0.282,10066
2020-02-26,0.308,0.272,0.272,0.298,10356
2020-02-27,0.272,0.272,0.272,0.272,367
2020-02-28,0.284,0.28,0.28,0.284,1349
2020-03-02,0.284,0.282,0.282,0.284,4310
2020-03-03,0.294,0.264,0.294,0.264,125
2020-03-04,0.272,0.272,0.272,0.272,386
2020-03-05,0.274,0.258,0.274,0.258,5839
2020-03-06,0.284,0.284,0.284,0.284,4500
2020-03-09,0.3,0.248,0.25,0.3,18401
2020-03-10,0.25,0.25,0.25,0.25,0
2020-03-11,0.262,0.262,0.262,0.262,3200
2020-03-12,0.246,0.224,0.238,0.246,60050
2020-03-13,0.212,0.17,0.212,0.18,81400
2020-03-16,0.2,0.2,0.2,0.2,30000
2020-03-17,0.21,0.19,0.198,0.21,10155
2020-03-18,0.198,0.198,0.198,0.198,0
2020-03-19,0.185,0.183,0.185,0.183,6100
2020-03-20,0.194,0.174,0.184,0.194,50550
2020-03-23,0.184,0.184,0.184,0.184,100
2020-03-24,0.196,0.196,0.196,0.196,1700
2020-03-25,0.204,0.196,0.204,0.196,24549
2020-03-26,0.22,0.191,0.202,0.22,116212
2020-03-27,0.195,0.186,0.195,0.186,75682
2020-03-30,0.2,0.191,0.2,0.191,50060
2020-03-31,0.21,0.21,0.21,0.21,3052
2020-04-01,0.2,0.2,0.2,0.2,2000
2020-04-02,0.2,0.2,0.2,0.2,0
2020-04-03,0.2,0.2,0.2,0.2,0
2020-04-06,0.21,0.21,0.21,0.21,600
2020-04-07,0.216,0.192,0.193,0.192,5318
2020-04-08,0.202,0.193,0.199,0.193,6180
2020-04-09,0.208,0.193,0.198,0.208,40800
2020-04-14,0.198,0.198,0.198,0.198,4850
2020-04-15,0.199,0.186,0.199,0.186,5799
2020-04-16,0.188,0.188,0.188,0.188,6153
2020-04-17,0.179,0.175,0.175,0.179,20412
2020-04-20,0.175,0.175,0.175,0.175,5714
2020-04-21,0.175,0.174,0.175,0.174,49477
2020-04-22,0.175,0.175,0.175,0.175,0
2020-04-23,0.175,0.175,0.175,0.175,0
2020-04-24,0.175,0.175,0.175,0.175,0
2020-04-27,0.168,0.163,0.164,0.168,50642
2020-04-28,0.164,0.164,0.164,0.164,5000
2020-04-29,0.171,0.155,0.171,0.16,25935
2020-04-30,0.171,0.171,0.171,0.171,0
2020-05-04,0.161,0.161,0.161,0.161,5747
2020-05-05,0.161,0.161,0.161,0.161,0
2020-05-06,0.161,0.161,0.161,0.161,0
2020-05-07,0.161,0.158,0.158,0.161,3300
2020-05-08,0.158,0.158,0.158,0.158,0
2020-05-11,0.158,0.156,0.156,0.158,1007
2020-05-12,0.174,0.156,0.174,0.156,81321
2020-05-13,0.178,0.16,0.16,0.174,27524
2020-05-14,0.167,0.154,0.154,0.154,22460
2020-05-15,0.78,0.18,0.456,0.18,4215058
2020-05-18,1.0,0.5,0.795,0.505,4244757
2020-05-19,1.05,0.565,0.595,0.83,2986112
2020-05-20,0.675,0.48,0.53,0.65,707710
2020-05-22,0.7,0.51,0.53,0.575,605146
2020-05-25,0.59,0.51,0.53,0.53,288253
2020-05-26,0.545,0.41,0.454,0.515,778755
2020-05-27,0.458,0.372,0.414,0.424,491125
2020-05-28,0.414,0.32,0.35,0.414,529510
2020-05-29,0.396,0.362,0.362,0.378,352410
2020-06-01,0.38,0.362,0.368,0.362,106808
2020-06-02,0.39,0.36,0.37,0.36,54829
2020-06-03,0.392,0.358,0.39,0.36,17199
2020-06-04,0.39,0.366,0.366,0.39,16681
2020-06-05,0.39,0.356,0.356,0.386,203028
2020-06-08,0.37,0.34,0.34,0.348,114082
2020-06-09,0.34,0.314,0.336,0.34,89991
2020-06-10,0.338,0.336,0.338,0.336,9413
2020-06-11,0.358,0.314,0.344,0.34,66605
2020-06-12,0.344,0.32,0.338,0.344,11828
2020-06-15,0.358,0.338,0.338,0.358,2934
2020-06-16,0.358,0.356,0.358,0.358,10647
2020-06-17,0.358,0.332,0.332,0.358,33000
2020-06-18,0.332,0.31,0.31,0.332,84598
2020-06-22,0.354,0.31,0.346,0.31,52573
2020-06-23,0.368,0.326,0.348,0.368,924
2020-06-24,0.37,0.33,0.33,0.368,52917
2020-06-25,0.336,0.316,0.336,0.33,4865
2020-06-26,0.35,0.314,0.316,0.336,64464
2020-06-29,0.31,0.284,0.29,0.284,55121
2020-06-30,0.45,0.328,0.36,0.328,2116949
2020-07-01,0.376,0.34,0.34,0.366,104527
2020-07-02,0.342,0.316,0.32,0.342,99034
2020-07-03,0.332,0.32,0.33,0.32,57165
2020-07-06,0.33,0.312,0.328,0.33,50718
2020-07-07,0.338,0.306,0.332,0.336,61292
2020-07-08,0.336,0.312,0.314,0.312,28399
2020-07-09,0.314,0.292,0.31,0.314,29790
2020-07-10,0.31,0.308,0.31,0.308,5813
2020-07-13,0.328,0.328,0.328,0.328,155
2020-07-14,0.328,0.3,0.3,0.328,36379
2020-07-15,0.3,0.284,0.3,0.292,74723
2020-07-16,0.3,0.284,0.29,0.3,14869
2020-07-17,0.296,0.296,0.296,0.296,4555
2020-07-20,0.284,0.27,0.278,0.284,136868
2020-07-21,0.284,0.262,0.28,0.284,35017
2020-07-22,0.284,0.284,0.284,0.284,1150
2020-07-23,0.286,0.286,0.286,0.286,35000
2020-07-24,0.274,0.266,0.266,0.27,32908
2020-07-27,0.272,0.266,0.266,0.272,4007
2020-07-28,0.282,0.252,0.282,0.252,8190
2020-07-29,0.27,0.268,0.27,0.268,45418
2020-07-30,0.27,0.262,0.262,0.27,34969
2020-07-31,0.26,0.25,0.26,0.26,42359
2020-08-03,0.268,0.25,0.252,0.25,10750
2020-08-04,0.268,0.268,0.268,0.268,50000
2020-08-05,0.314,0.274,0.276,0.314,26665
2020-08-06,0.28,0.276,0.276,0.28,3745
2020-08-07,0.294,0.262,0.294,0.276,19600
2020-08-10,0.316,0.28,0.28,0.316,19924
2020-08-11,0.29,0.288,0.288,0.29,5050
2020-08-12,0.304,0.272,0.276,0.272,82131
2020-08-13,0.282,0.276,0.282,0.282,41647
2020-08-14,0.294,0.282,0.282,0.294,1028
2020-08-17,0.304,0.27,0.278,0.27,20828
2020-08-18,0.27,0.27,0.27,0.27,832
2020-08-19,0.282,0.25,0.282,0.25,280138
2020-08-20,0.296,0.296,0.296,0.296,200
2020-08-21,0.48,0.29,0.336,0.31,423855
2020-08-24,0.336,0.302,0.328,0.336,244569
2020-08-25,0.515,0.334,0.436,0.334,1444224
2020-08-26,0.464,0.34,0.388,0.458,813599
2020-08-27,0.408,0.39,0.4,0.39,119731
2020-08-28,0.402,0.32,0.348,0.4,312902
2020-08-31,0.354,0.348,0.354,0.348,42428
2020-09-01,0.348,0.33,0.344,0.33,42712
2020-09-02,0.362,0.332,0.36,0.34,43372
2020-09-03,0.336,0.336,0.336,0.336,5812
2020-09-04,0.334,0.324,0.326,0.334,26368
2020-09-07,0.326,0.326,0.326,0.326,1406
2020-09-08,0.316,0.302,0.314,0.308,175929
2020-09-09,0.316,0.316,0.316,0.316,15
2020-09-10,0.332,0.318,0.332,0.318,3100
2020-09-11,0.33,0.33,0.33,0.33,17300
2020-09-14,0.31,0.31,0.31,0.31,222
2020-09-15,0.308,0.306,0.308,0.306,30000
2020-09-16,0.312,0.3,0.312,0.3,28135
2020-09-17,0.302,0.302,0.302,0.302,50
2020-09-18,0.3,0.282,0.3,0.282,33746
2020-09-21,0.29,0.29,0.29,0.29,10000
2020-09-22,0.286,0.272,0.286,0.28,65280
2020-09-23,0.28,0.274,0.28,0.28,14182
2020-09-24,0.29,0.276,0.29,0.276,14416
2020-09-25,0.292,0.272,0.292,0.274,54031
2020-09-28,0.304,0.274,0.282,0.274,2123
2020-09-29,0.282,0.274,0.278,0.282,51306
2020-09-30,0.276,0.274,0.276,0.274,50067
2020-10-01,0.29,0.29,0.29,0.29,11810
2020-10-02,0.422,0.272,0.272,0.3,421755
2020-10-05,0.292,0.278,0.288,0.288,43117
2020-10-06,0.292,0.28,0.292,0.28,10965
2020-10-07,0.28,0.278,0.28,0.28,15001
2020-10-08,0.32,0.286,0.314,0.3,218620
2020-10-09,0.386,0.314,0.36,0.314,294577
2020-10-12,0.41,0.344,0.376,0.36,498634
2020-10-13,0.378,0.33,0.352,0.378,153049
2020-10-14,0.37,0.326,0.33,0.37,148713
2020-10-15,0.348,0.29,0.31,0.348,179254
2020-10-16,0.324,0.32,0.32,0.324,11669
2020-10-19,0.33,0.298,0.33,0.32,95752
2020-10-20,0.332,0.31,0.33,0.332,18000
2020-10-21,0.328,0.31,0.314,0.31,22638
2020-10-22,0.49,0.304,0.368,0.328,1811289
2020-10-23,0.36,0.32,0.322,0.36,296791
2020-10-26,0.59,0.336,0.5,0.35,4375193
2020-10-27,0.635,0.446,0.54,0.52,2144158
2020-10-28,0.555,0.368,0.39,0.54,950002
2020-10-29,0.402,0.35,0.37,0.356,269757
2020-10-30,0.362,0.316,0.33,0.356,291732
2020-11-02,0.66,0.33,0.5,0.332,3062590
2020-11-03,0.56,0.416,0.466,0.5,1051738
2020-11-04,0.496,0.4,0.446,0.44,329096
2020-11-05,0.496,0.408,0.432,0.446,329377
2020-11-06,0.555,0.386,0.488,0.432,884197
2020-11-09,0.57,0.446,0.53,0.488,410510
2020-11-10,0.545,0.448,0.494,0.545,527986
2020-11-11,0.494,0.402,0.448,0.494,755648
2020-11-12,0.56,0.438,0.49,0.476,1498623
2020-11-13,0.55,0.488,0.53,0.488,588346
2020-11-16,0.55,0.46,0.478,0.535,556075
2020-11-17,0.54,0.444,0.51,0.478,644551
2020-11-18,0.52,0.444,0.505,0.488,786146
2020-11-19,0.5,0.448,0.486,0.482,580667
2020-11-20,0.5,0.454,0.496,0.454,81622
2020-11-23,0.494,0.458,0.458,0.494,83217
2020-11-24,0.486,0.436,0.45,0.486,165817
2020-11-25,0.482,0.422,0.482,0.45,126144
2020-11-26,0.49,0.442,0.476,0.442,157789
2020-11-27,0.488,0.45,0.45,0.45,50549
2020-11-30,0.452,0.41,0.428,0.438,101637
2020-12-01,0.448,0.398,0.448,0.432,7420
2020-12-02,0.43,0.402,0.424,0.422,76903
2020-12-03,0.424,0.424,0.424,0.424,0
2020-12-04,0.43,0.38,0.428,0.43,79367
2020-12-07,0.428,0.388,0.39,0.428,180792
2020-12-08,0.402,0.362,0.402,0.39,29640
2020-12-09,0.4,0.374,0.398,0.374,2780
2020-12-10,0.434,0.37,0.434,0.39,92641
2020-12-11,0.448,0.416,0.44,0.448,46643
2020-12-14,0.412,0.408,0.408,0.412,26348
2020-12-15,0.408,0.386,0.394,0.408,22803
2020-12-16,0.406,0.36,0.406,0.368,90643
2020-12-17,0.43,0.384,0.408,0.43,35900
2020-12-18,0.398,0.38,0.386,0.398,64276
2020-12-21,0.394,0.368,0.394,0.38,31498
2020-12-22,0.39,0.37,0.388,0.384,17670
2020-12-23,0.4,0.36,0.4,0.388,6386
2020-12-28,0.39,0.37,0.39,0.372,12245
2020-12-29,0.41,0.37,0.41,0.39,48494
2020-12-30,0.408,0.408,0.408,0.408,11
