Date,High,Low,Close,Open,Volume
2020-01-02,0.882,0.828,0.852,0.86,260340
2020-01-03,0.86,0.838,0.84,0.846,84156
2020-01-07,0.86,0.81,0.828,0.84,185894
2020-01-08,0.826,0.786,0.8,0.826,501159
2020-01-09,0.854,0.79,0.812,0.8,338941
2020-01-10,0.846,0.786,0.8,0.842,309327
2020-01-13,0.828,0.8,0.818,0.8,92041
2020-01-14,0.818,0.798,0.8,0.818,119597
2020-01-15,0.82,0.77,0.8,0.798,224960
2020-01-16,0.788,0.742,0.788,0.742,380926
2020-01-17,0.834,0.77,0.79,0.784,448499
2020-01-20,0.9,0.764,0.796,0.792,1112198
2020-01-21,0.83,0.788,0.81,0.806,312189
2020-01-22,0.816,0.782,0.798,0.816,98579
2020-01-23,0.8,0.76,0.778,0.798,511409
2020-01-24,0.81,0.76,0.8,0.776,405394
2020-01-27,0.812,0.77,0.792,0.8,646472
2020-01-28,0.808,0.77,0.774,0.792,231229
2020-01-29,0.864,0.768,0.796,0.768,490109
2020-01-30,0.802,0.766,0.794,0.796,273939
2020-01-31,0.818,0.78,0.8,0.818,296501
2020-02-03,0.846,0.774,0.818,0.814,446494
2020-02-04,0.998,0.828,0.902,0.848,1171026
2020-02-05,1.075,0.938,0.978,0.938,1589875
2020-02-06,0.998,0.95,0.97,0.964,130410
2020-02-07,0.97,0.858,0.892,0.97,431667
2020-02-10,1.02,0.892,0.9,0.892,187540
2020-02-11,1.635,0.892,1.43,0.916,16826827
2020-02-12,1.765,1.31,1.57,1.525,11786359
2020-02-13,1.825,1.43,1.655,1.595,4360933
2020-02-14,1.8,1.58,1.67,1.66,2516750
2020-02-17,1.89,1.53,1.77,1.705,2208787
2020-02-18,2.06,1.655,1.69,1.96,2725642
2020-02-19,1.685,1.45,1.57,1.685,1091135
2020-02-20,1.7,1.45,1.7,1.57,851547
2020-02-21,1.86,1.61,1.735,1.74,1377305
2020-02-24,1.735,1.52,1.61,1.735,1101872
2020-02-25,1.66,1.58,1.6,1.64,451903
2020-02-26,1.6,1.445,1.6,1.6,615286
2020-02-27,1.66,1.45,1.545,1.6,522590
2020-02-28,1.515,1.245,1.365,1.515,797675
2020-03-02,1.49,1.265,1.31,1.35,1174895
2020-03-03,1.46,1.295,1.3,1.35,601707
2020-03-04,1.345,1.27,1.3,1.305,347065
2020-03-05,1.35,1.275,1.29,1.34,298522
2020-03-06,1.28,1.15,1.235,1.28,562279
2020-03-09,1.48,1.05,1.25,1.14,1021686
2020-03-10,1.35,1.16,1.24,1.265,837515
2020-03-11,1.29,1.15,1.195,1.29,213716
