Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,6.15,6.0,6.14,6.0,5550
2018-06-07,6.2,5.5,5.75,6.15,12100
2018-06-08,6.07,5.55,6.04,5.55,27936
2018-06-11,6.04,5.8,6.0,6.04,13609
2018-06-12,6.17,5.81,6.04,5.94,20790
2018-06-13,6.15,5.9,6.05,6.0,26878
2018-06-14,6.0,5.7,5.74,5.79,5802
2018-06-15,6.0,5.7,5.91,5.7,12261
2018-06-18,5.99,5.66,5.99,5.91,33451
2018-06-19,6.1,5.79,6.1,5.99,7089
2018-06-20,6.08,5.5,6.0,5.85,25904
2018-06-21,6.1,5.67,6.04,5.94,16684
2018-06-25,6.04,5.8,5.98,6.04,6822
2018-06-26,5.98,5.75,5.98,5.98,8280
2018-06-27,6.05,5.75,5.75,6.05,2897
2018-06-28,6.05,5.75,5.95,5.9,17762
2018-06-29,6.19,5.64,5.9,6.09,24115
2018-07-02,5.94,5.5,5.64,5.9,13678
2018-07-03,5.75,5.55,5.69,5.74,6493
2018-07-04,5.95,5.56,5.94,5.84,17232
2018-07-05,5.76,4.95,5.62,5.76,182579
2018-07-06,5.61,5.31,5.31,5.5,19783
2018-07-09,5.49,5.2,5.49,5.2,9027
2018-07-10,5.46,5.11,5.37,5.32,19595
2018-07-11,5.39,5.08,5.38,5.37,44079
2018-07-12,5.52,5.15,5.3,5.46,22787
2018-07-13,5.54,5.14,5.54,5.19,31944
2018-07-16,5.6,5.2,5.6,5.37,23698
2018-07-17,5.76,5.11,5.6,5.7,36493
2018-07-18,5.93,5.55,5.6,5.66,13219
2018-07-19,5.6,5.2,5.3,5.43,9151
2018-07-20,5.35,5.2,5.35,5.3,38322
2018-07-23,5.34,5.1,5.2,5.34,13051
2018-07-24,5.27,5.07,5.2,5.19,14135
2018-07-25,5.34,5.05,5.34,5.15,12862
2018-07-26,5.39,5.1,5.3,5.34,39705
2018-07-27,5.8,5.17,5.74,5.29,25734
2018-07-30,6.3,5.21,6.3,5.8,73045
2018-07-31,6.12,5.2,5.42,6.12,103181
2018-08-01,5.47,5.1,5.47,5.42,44469
2018-08-02,5.6,5.35,5.58,5.41,18015
2018-08-03,5.57,5.23,5.4,5.57,6194
2018-08-06,5.38,5.12,5.25,5.3,19385
2018-08-07,5.25,5.1,5.25,5.15,24022
2018-08-08,5.28,5.0,5.27,5.12,35078
2018-08-09,5.27,5.01,5.2,5.27,8466
2018-08-10,6.36,5.0,5.23,5.15,175908
2018-08-13,5.79,5.15,5.65,5.39,54468
2018-08-14,5.77,5.36,5.7,5.65,49472
2018-08-15,5.95,5.38,5.9,5.8,86706
2018-08-16,5.8,5.56,5.8,5.79,10079
2018-08-17,6.34,5.71,6.34,5.71,83569
2018-08-20,6.8,6.05,6.75,6.51,137399
2018-08-21,7.45,6.75,7.25,6.75,152791
2018-08-22,7.45,6.72,6.99,7.45,32527
2018-08-23,7.4,7.01,7.15,7.01,66457
2018-08-24,7.4,7.01,7.2,7.19,68348
2018-08-27,7.82,7.35,7.6,7.5,88469
2018-08-28,7.7,7.25,7.56,7.6,58808
2018-08-29,7.75,7.25,7.55,7.75,26929
2018-08-30,7.75,7.25,7.54,7.55,36356
2018-08-31,7.7,7.11,7.4,7.54,40680
2018-09-03,7.59,7.1,7.38,7.4,69373
2018-09-04,7.43,6.65,6.71,7.4,42444
2018-09-05,7.3,6.9,7.1,6.93,56622
2018-09-06,7.24,6.99,6.99,7.1,70219
2018-09-07,7.45,6.79,6.8,7.1,24994
2018-09-10,6.79,6.3,6.79,6.79,40831
2018-09-11,8.0,7.16,7.3,7.3,239847
2018-09-12,9.5,7.19,8.7,7.19,404255
2018-09-13,11.9,9.1,10.9,9.15,730293
2018-09-14,11.5,9.23,10.14,11.0,541450
2018-09-17,10.44,9.16,9.4,10.14,174351
2018-09-18,9.65,8.3,8.4,9.4,118339
2018-09-19,9.4,7.8,8.29,8.3,73279
2018-09-20,9.14,8.33,9.14,8.63,129358
2018-09-21,9.2,7.99,8.48,9.2,144883
2018-09-24,8.97,8.0,8.7,8.02,24648
2018-09-25,9.32,8.68,9.0,8.8,37642
2018-09-26,9.0,8.26,8.5,9.0,43740
2018-09-27,8.5,7.8,8.39,8.24,45595
2018-09-28,7.98,7.52,7.65,7.87,166253
2018-10-01,9.5,8.32,8.4,8.46,146676
2018-10-02,9.0,7.76,8.18,8.65,111897
2018-10-03,8.59,8.03,8.23,8.18,80902
2018-10-04,8.48,8.15,8.17,8.28,24133
2018-10-05,8.27,7.85,7.99,8.25,50645
2018-10-08,8.96,7.97,8.96,8.1,82131
2018-10-09,11.0,8.9,10.0,8.97,206852
2018-10-10,10.48,9.9,10.0,10.12,119351
2018-10-11,9.7,8.0,9.5,9.7,135857
2018-10-12,9.5,9.0,9.47,9.5,55073
2018-10-15,9.9,9.1,9.1,9.47,39495
2018-10-16,9.74,9.0,9.24,9.36,16775
2018-10-17,9.24,8.5,9.05,9.24,58254
2018-10-18,9.22,8.95,9.1,9.05,18809
2018-10-19,9.25,8.72,9.08,9.25,37770
2018-10-22,9.19,8.8,9.0,9.08,17460
2018-10-23,9.09,8.6,8.7,9.0,39273
2018-10-24,8.95,8.43,8.6,8.95,18940
2018-10-25,9.75,8.11,8.78,8.6,256480
2018-10-26,9.06,8.35,8.44,8.9,50286
2018-10-29,8.45,8.1,8.1,8.45,43884
2018-10-30,9.22,8.15,9.1,8.15,35629
2018-10-31,9.48,8.3,8.99,8.6,70999
2018-11-01,8.9,8.31,8.6,8.9,36656
2018-11-02,8.78,8.06,8.49,8.6,12080
2018-11-05,9.15,8.3,8.3,8.7,36970
2018-11-06,8.55,8.12,8.2,8.31,18190
2018-11-07,8.77,8.3,8.39,8.3,49193
2018-11-08,8.64,8.2,8.28,8.54,25670
2018-11-09,8.42,8.18,8.33,8.29,12304
2018-11-12,8.45,8.09,8.39,8.33,27313
2018-11-13,8.25,7.8,7.97,8.25,22967
2018-11-14,8.5,7.71,8.02,7.97,41855
2018-11-15,8.56,7.81,8.25,8.56,24320
2018-11-16,8.6,8.03,8.35,8.25,40971
2018-11-19,8.46,7.82,7.99,8.35,30991
2018-11-20,7.97,7.4,7.45,7.9,35729
2018-11-21,7.64,7.32,7.52,7.5,18103
2018-11-22,7.52,7.0,7.39,7.52,27714
2018-11-23,8.0,7.23,7.99,7.3,51966
2018-11-26,8.1,7.36,7.9,7.99,50696
2018-11-27,8.1,7.71,7.85,7.95,12816
2018-11-28,8.1,7.71,8.0,8.1,13144
2018-11-29,8.15,7.79,8.07,8.0,9152
2018-11-30,8.0,7.83,7.99,7.99,9247
2018-12-03,8.0,7.76,7.87,8.0,13243
2018-12-04,8.1,7.4,7.57,7.87,25861
2018-12-05,7.5,7.1,7.19,7.5,51845
2018-12-06,7.25,6.72,7.13,7.25,40051
2018-12-07,7.9,7.01,7.32,7.13,42037
2018-12-10,7.4,6.84,7.19,7.25,23599
2018-12-11,7.39,6.87,6.97,7.0,21057
2018-12-12,7.39,6.52,7.06,6.74,26170
2018-12-13,7.2,6.76,6.9,7.2,23363
2018-12-14,7.09,6.68,7.0,6.9,42666
2018-12-17,7.05,6.61,6.78,7.0,39694
2018-12-18,6.94,6.78,6.9,6.78,7616
2018-12-19,6.9,6.68,6.68,6.9,7840
2018-12-20,6.68,6.33,6.51,6.68,19491
2018-12-21,7.0,6.0,6.79,6.51,22401
2018-12-27,7.5,5.96,6.6,6.7,50505
2018-12-28,7.5,6.5,6.95,6.6,36137
2019-01-02,7.17,6.7,6.96,6.95,36372
2019-01-03,6.96,6.8,6.8,6.85,12293
2019-01-04,6.94,6.7,6.94,6.85,13202
