Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-06,302.5,295.0,302.0,295.0,57528
2018-06-07,304.5,296.5,298.0,304.0,22029
2018-06-08,301.5,298.0,299.0,301.5,33609
2018-06-11,304.0,300.0,301.5,302.0,19145
2018-06-12,305.5,298.5,303.0,304.5,17808
2018-06-13,304.5,301.0,303.0,301.5,20467
2018-06-14,304.5,299.5,302.0,300.5,12986
2018-06-15,305.0,299.0,303.5,303.5,76131
2018-06-18,304.5,294.5,297.5,304.0,20871
2018-06-19,297.0,293.5,295.0,294.5,15759
2018-06-20,300.5,293.0,299.5,299.0,25138
2018-06-21,301.5,295.5,296.0,297.0,33835
2018-06-22,297.0,294.5,295.0,294.5,34012
2018-06-25,296.0,292.5,295.0,295.5,32454
2018-06-26,298.5,289.5,298.5,294.5,51068
2018-06-27,300.0,293.5,295.5,297.0,117347
2018-06-28,298.5,294.0,298.0,295.5,36713
2018-06-29,311.5,295.0,311.5,301.0,83802
2018-07-02,308.5,305.0,308.5,305.0,27129
2018-07-03,309.5,301.5,305.0,304.5,22859
2018-07-04,304.5,300.5,304.0,303.0,28117
2018-07-05,305.0,301.0,302.5,302.0,19670
2018-07-06,302.5,297.0,299.5,300.5,22493
2018-07-09,303.5,293.0,302.0,293.0,11076
2018-07-10,307.0,300.5,306.5,300.5,22887
2018-07-11,307.5,300.0,305.0,304.0,14646
2018-07-12,307.5,304.5,306.0,305.0,10038
2018-07-13,308.0,303.5,306.5,307.0,10485
2018-07-16,309.0,304.5,305.5,304.5,10714
2018-07-17,309.5,301.0,305.5,302.0,12712
2018-07-18,307.5,298.5,307.0,298.5,5076
2018-07-19,308.0,301.5,303.5,306.5,10326
2018-07-20,306.5,297.5,306.0,303.5,15050
2018-07-23,306.5,303.0,305.5,306.5,4468
2018-07-24,312.0,302.5,312.0,306.5,14007
2018-07-25,318.0,305.5,315.0,311.5,46062
2018-07-26,321.5,311.0,320.5,311.5,37860
2018-07-27,328.0,310.5,328.0,310.5,24487
2018-07-30,331.5,323.5,331.5,323.5,34226
2018-07-31,331.5,328.0,330.0,328.0,26124
2018-08-01,331.5,328.5,330.5,330.0,73054
2018-08-02,333.0,327.0,328.5,330.0,16732
2018-08-03,332.0,327.0,331.5,328.0,24015
2018-08-06,337.0,330.5,332.0,330.5,12050
2018-08-07,338.0,328.5,334.0,328.5,69099
2018-08-08,334.5,332.0,332.5,333.5,75174
2018-08-09,334.0,330.0,331.0,333.0,10902
2018-08-10,332.5,326.0,332.5,331.0,29471
2018-08-13,334.5,329.0,330.0,332.5,14483
2018-08-14,315.5,297.5,300.0,305.5,156805
2018-08-15,301.0,288.0,294.5,301.0,93095
2018-08-16,295.5,283.0,286.0,295.0,221999
2018-08-17,288.5,283.0,287.0,284.5,46713
2018-08-20,289.0,286.5,288.0,286.5,28205
2018-08-21,289.5,286.5,288.5,288.5,23450
2018-08-22,291.0,288.0,288.0,290.5,28771
2018-08-23,291.5,288.0,289.0,288.0,21674
2018-08-24,290.0,287.5,288.0,287.5,20945
2018-08-27,295.5,288.0,293.5,288.0,23354
2018-08-28,295.0,289.5,294.5,293.5,20076
2018-08-29,300.0,293.0,300.0,294.5,38484
2018-08-30,305.0,295.5,305.0,297.0,39656
2018-08-31,312.0,299.0,312.0,303.5,61643
2018-09-03,310.5,305.0,307.0,310.5,41074
2018-09-04,310.0,305.0,308.5,309.5,21277
2018-09-05,314.5,306.0,314.0,311.0,45620
2018-09-06,315.5,310.0,313.0,315.5,31523
2018-09-07,315.5,313.0,314.5,315.0,20311
2018-09-10,316.0,310.0,311.5,315.0,15185
2018-09-11,314.0,310.0,312.0,311.5,17962
2018-09-12,314.0,310.5,311.0,312.0,17559
2018-09-13,315.5,311.5,313.0,315.5,18742
2018-09-14,320.5,313.0,319.5,313.0,20876
2018-09-17,325.5,314.0,324.5,319.5,17580
2018-09-18,324.5,318.5,324.0,324.5,24649
2018-09-19,322.5,316.0,317.5,316.0,16234
2018-09-20,318.5,313.5,313.5,317.0,13595
2018-09-21,318.0,310.5,318.0,310.5,47328
2018-09-24,320.5,315.5,319.5,315.5,13183
2018-09-25,319.5,312.0,318.5,312.0,11309
2018-09-26,320.5,314.0,320.0,314.5,8726
2018-09-27,321.5,313.5,320.5,313.5,21459
2018-09-28,330.0,317.5,327.5,320.0,54463
2018-10-01,327.5,321.5,322.0,327.5,11649
2018-10-02,323.0,317.5,320.0,322.5,19055
2018-10-03,322.5,317.5,320.5,318.0,27095
2018-10-04,322.5,312.0,320.0,320.5,13950
2018-10-05,316.5,292.0,314.5,307.0,19078
2018-10-08,309.5,286.5,303.0,286.5,12009
2018-10-09,307.0,301.0,302.5,303.0,29614
2018-10-10,304.0,289.0,293.5,304.0,10835
2018-10-11,266.5,241.0,266.5,245.0,246063
2018-10-12,272.0,246.0,263.0,272.0,176058
2018-10-15,265.0,258.0,265.0,260.0,51382
2018-10-16,268.0,261.5,267.0,261.5,24390
2018-10-17,271.5,266.0,269.0,266.0,21141
2018-10-18,270.0,264.0,269.5,268.0,14720
2018-10-19,269.5,264.5,267.0,269.5,29662
2018-10-22,271.0,264.5,271.0,264.5,22960
2018-10-23,276.5,263.5,275.0,267.0,28796
2018-10-24,286.0,263.0,267.0,286.0,55860
2018-10-25,265.0,260.0,261.0,264.5,33047
2018-10-26,260.5,256.0,257.5,260.5,45889
2018-10-29,263.5,254.5,263.5,254.5,62355
2018-10-30,260.5,252.0,256.5,260.5,19001
2018-10-31,269.5,256.0,259.0,256.0,71777
2018-11-01,260.5,257.0,258.5,259.0,19577
2018-11-02,265.5,258.0,261.0,258.0,36237
2018-11-05,262.5,256.5,258.0,256.5,17309
2018-11-06,260.5,256.0,260.0,259.5,67155
2018-11-07,270.0,259.0,269.0,259.0,874902
2018-11-08,278.0,270.0,275.0,270.0,344832
2018-11-09,291.5,272.0,291.5,277.5,46600
2018-11-12,293.0,284.5,289.5,291.0,50956
2018-11-13,294.5,275.5,292.0,275.5,54261
2018-11-14,294.5,272.5,279.0,292.5,53843
2018-11-15,285.5,250.0,252.5,285.5,478217
2018-11-16,256.5,240.5,251.5,253.0,47433
2018-11-19,260.5,250.5,260.5,259.5,127561
2018-11-20,256.5,236.5,243.5,255.5,568239
2018-11-21,252.5,245.5,248.5,247.0,36230
2018-11-22,257.0,247.0,255.0,249.5,218735
2018-11-23,258.0,252.5,255.5,255.5,8400
2018-11-26,258.0,251.0,255.0,255.5,267742
2018-11-27,264.0,252.0,262.0,253.0,28019
2018-11-28,276.0,263.0,271.5,263.0,27781
2018-11-29,274.5,267.0,267.0,274.5,31680
2018-11-30,272.0,262.0,264.5,265.5,23310
2018-12-03,271.5,260.5,261.0,268.0,26867
2018-12-04,263.0,256.0,257.0,259.0,23304
2018-12-05,257.5,254.0,256.0,257.0,12143
2018-12-06,256.0,251.0,256.0,255.5,21069
2018-12-07,259.5,254.5,259.5,258.5,161313
2018-12-10,260.5,256.0,258.5,257.5,22231
2018-12-11,267.5,256.5,257.5,260.0,56549
2018-12-12,265.0,256.0,263.0,259.0,19655
2018-12-13,263.5,257.0,261.0,258.0,22789
2018-12-14,261.5,257.5,261.0,259.0,13527
2018-12-17,261.5,255.0,257.0,261.5,24947
2018-12-18,258.5,250.0,252.5,253.5,112634
2018-12-19,255.5,250.5,252.0,255.0,13511
2018-12-20,249.5,247.5,248.0,248.5,7050
2018-12-21,249.0,242.0,243.5,248.0,48568
2018-12-27,245.5,230.0,230.0,236.0,17241
2018-12-28,236.0,228.0,230.5,230.5,37659
2019-01-02,235.5,224.0,234.0,224.0,49520
2019-01-03,237.5,230.0,230.0,237.5,16777
2019-01-04,236.5,226.5,235.0,226.5,50794
2019-01-07,238.5,235.5,237.5,238.0,37630
2019-01-08,253.0,237.5,250.0,239.5,15738
2019-01-09,251.5,245.5,245.5,250.0,6303
2019-01-10,247.0,243.0,244.5,244.5,18750
2019-01-11,247.0,241.5,245.5,241.5,115639
2019-01-14,254.5,237.5,239.0,254.5,21779
2019-01-15,243.5,237.5,239.0,243.5,117529
2019-01-16,240.5,237.5,239.0,240.0,15673
2019-01-17,245.0,238.0,242.0,245.0,21433
2019-01-18,247.5,235.5,240.5,235.5,15013
2019-01-21,245.5,237.5,239.0,242.0,8784
2019-01-22,244.5,237.5,241.0,239.0,88591
2019-01-23,248.0,240.0,244.5,240.0,27935
2019-01-24,250.0,239.0,241.5,245.5,13128
2019-01-25,244.5,239.0,244.0,239.0,8730
2019-01-28,247.5,240.0,241.5,242.5,20122
2019-01-29,245.0,240.5,244.5,240.5,9960
2019-01-30,247.5,239.0,247.0,247.5,17292
2019-01-31,249.5,240.0,241.5,246.5,11011
2019-02-01,244.5,239.5,241.0,244.5,9385
2019-02-04,244.5,241.5,243.0,241.5,20548
2019-02-05,249.0,243.5,248.0,244.5,30293
2019-02-06,250.0,243.5,247.0,243.5,9614
2019-02-07,250.0,240.5,243.0,240.5,21569
2019-02-08,246.0,241.0,243.5,241.0,13469
2019-02-11,247.5,243.5,246.0,246.0,6440
2019-02-12,259.0,244.5,256.5,246.0,13844
2019-02-13,264.0,250.0,259.5,250.0,13481
2019-02-14,265.0,255.5,264.0,255.5,19547
2019-02-15,276.0,261.0,275.5,268.0,20257
2019-02-18,275.5,268.0,274.0,275.5,15915
2019-02-19,273.0,267.5,271.5,273.0,15963
2019-02-20,278.5,266.5,277.0,266.5,24179
2019-02-21,283.0,275.5,281.0,279.0,6460
2019-02-22,287.5,277.5,287.5,280.5,12895
2019-02-25,292.0,281.5,286.0,289.5,25682
2019-02-26,294.5,284.5,293.5,289.0,253323
2019-02-27,292.0,278.5,284.5,288.5,25700
2019-02-28,287.0,274.0,278.5,287.0,24474
2019-03-01,289.0,274.0,287.5,285.0,122752
2019-03-04,290.5,278.5,284.5,290.5,16298
2019-03-05,285.0,276.0,283.5,280.5,28455
2019-03-06,284.5,277.5,278.0,284.5,18509
2019-03-07,278.5,269.0,269.0,278.5,36912
2019-03-08,270.0,261.0,263.0,264.0,56075
2019-03-11,265.0,262.0,263.0,262.0,13744
2019-03-12,272.0,264.0,272.0,264.0,12034
2019-03-13,272.0,267.0,272.0,269.5,8711
2019-03-14,274.0,269.0,274.0,269.0,10799
2019-03-15,275.5,270.5,273.5,272.5,19269
2019-03-18,277.0,270.0,272.5,270.0,11764
2019-03-19,274.0,268.0,268.0,270.5,12504
2019-03-20,271.0,265.0,270.0,269.5,14013
2019-03-21,277.0,262.5,266.5,276.5,7814
2019-03-22,266.5,262.0,262.5,266.0,19178
2019-03-25,260.5,255.0,258.0,257.5,23037
