Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,13.2,12.6,12.8,13.2,2177
2018-06-07,13.6,12.8,12.8,12.8,11
2018-06-08,12.8,12.8,12.8,12.8,73
2018-06-11,12.8,12.1,12.8,12.7,2335
2018-06-12,12.8,12.8,12.8,12.8,0
2018-06-13,13.6,12.5,13.6,12.5,4141
2018-06-14,13.6,12.6,12.6,13.6,247
2018-06-15,12.9,12.6,12.9,12.7,9766
2018-06-18,13.0,12.5,12.5,13.0,7830
2018-06-19,12.5,12.5,12.5,12.5,0
2018-06-20,12.5,12.1,12.1,12.5,2433
2018-06-21,12.3,12.0,12.0,12.1,15480
2018-06-25,12.7,12.0,12.7,12.5,3010
2018-06-26,12.8,12.8,12.8,12.8,40
2018-06-27,12.8,12.8,12.8,12.8,0
2018-06-28,12.0,11.3,11.8,11.6,7891
2018-06-29,12.0,12.0,12.0,12.0,1200
2018-07-02,12.0,12.0,12.0,12.0,0
2018-07-03,12.0,12.0,12.0,12.0,0
2018-07-04,12.0,12.0,12.0,12.0,2960
2018-07-05,12.0,12.0,12.0,12.0,0
2018-07-06,12.0,11.3,11.5,12.0,3390
2018-07-09,11.5,11.5,11.5,11.5,0
2018-07-10,11.5,11.5,11.5,11.5,0
2018-07-11,11.5,11.5,11.5,11.5,0
2018-07-12,11.5,11.5,11.5,11.5,0
2018-07-13,12.5,11.8,11.8,12.5,5014
2018-07-16,11.8,11.8,11.8,11.8,0
2018-07-17,11.8,11.8,11.8,11.8,0
2018-07-18,12.1,11.2,11.2,12.1,2762
2018-07-19,11.4,10.8,11.4,11.1,2613
2018-07-20,12.0,10.8,10.8,12.0,9027
2018-07-23,12.0,11.3,11.9,12.0,382
2018-07-24,11.6,11.6,11.6,11.6,1455
2018-07-25,11.6,11.6,11.6,11.6,2845
2018-07-26,11.6,11.5,11.5,11.6,3755
2018-07-27,11.5,11.5,11.5,11.5,0
2018-07-30,11.5,11.5,11.5,11.5,0
2018-07-31,11.5,11.2,11.5,11.2,490
2018-08-01,11.5,11.2,11.5,11.2,261
2018-08-02,11.5,11.2,11.5,11.2,4138
2018-08-03,11.7,11.6,11.7,11.6,2055
2018-08-06,11.2,10.0,10.9,11.0,35767
2018-08-07,10.9,10.1,10.8,10.9,9289
2018-08-08,10.8,10.8,10.8,10.8,0
2018-08-09,11.5,10.8,11.5,10.8,8000
2018-08-10,11.5,11.5,11.5,11.5,0
2018-08-13,11.1,10.8,11.1,11.1,6523
2018-08-14,11.1,11.1,11.1,11.1,0
2018-08-15,11.2,11.2,11.2,11.2,120
2018-08-16,11.8,11.8,11.8,11.8,2799
2018-08-17,11.8,11.2,11.2,11.8,2525
2018-08-20,12.1,10.5,12.1,11.3,6611
2018-08-21,12.2,9.9,10.0,12.2,32852
2018-08-22,10.0,9.75,10.0,10.0,6984
2018-08-23,10.9,10.5,10.5,10.5,970
2018-08-24,10.5,9.75,10.4,10.3,8444
2018-08-27,9.8,9.8,9.8,9.8,150
2018-08-28,10.5,9.9,9.9,10.5,275
2018-08-29,10.0,9.85,9.9,10.0,5797
2018-08-30,10.4,9.8,9.8,10.4,2240
2018-08-31,10.4,10.2,10.4,10.4,1688
2018-09-03,10.5,9.95,10.5,10.4,7331
2018-09-04,10.1,10.0,10.0,10.1,3320
2018-09-05,10.0,10.0,10.0,10.0,0
2018-09-06,10.5,10.2,10.2,10.5,155
2018-09-07,10.5,9.75,9.95,10.5,6007
2018-09-10,9.8,9.55,9.8,9.6,2162
2018-09-11,9.7,9.45,9.45,9.7,6997
2018-09-12,9.45,9.45,9.45,9.45,0
2018-09-13,10.5,9.75,10.0,9.75,8912
2018-09-14,12.1,10.5,10.8,10.5,10513
2018-09-17,11.1,10.5,10.5,11.0,5148
2018-09-18,10.5,10.5,10.5,10.5,0
2018-09-19,10.5,10.0,10.0,10.5,2104
2018-09-20,10.5,10.5,10.5,10.5,2000
2018-09-21,11.0,9.5,11.0,10.7,1500
2018-09-24,12.0,11.0,11.0,12.0,1054
2018-09-25,11.0,10.0,10.6,11.0,5157
2018-09-26,11.0,10.0,10.8,10.5,5054
2018-09-27,11.1,10.0,11.0,10.7,7303
2018-09-28,11.5,10.0,11.5,11.0,8087
2018-10-01,11.8,10.0,10.6,11.8,24086
2018-10-02,10.8,10.0,10.1,10.8,8677
