Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,62.0,56.2,60.2,61.6,106149
2018-06-07,61.8,60.0,60.6,60.8,611
2018-06-08,61.0,60.0,60.0,61.0,3781
2018-06-11,60.6,57.8,58.4,60.6,1315
2018-06-12,58.0,53.4,55.0,58.0,7375
2018-06-13,56.2,52.0,53.8,55.0,3984
2018-06-14,55.0,52.0,54.8,52.0,571
2018-06-15,55.0,53.6,55.0,54.8,797
2018-06-18,54.0,53.0,53.2,54.0,1734
2018-06-19,53.2,53.2,53.2,53.2,34
2018-06-20,53.2,51.0,53.0,53.2,2214
2018-06-21,53.2,51.2,53.0,53.0,727
2018-06-25,52.4,51.4,52.2,52.4,335
2018-06-26,53.0,51.0,51.6,52.2,147
2018-06-27,51.0,50.0,50.8,51.0,875
2018-06-28,50.2,49.1,49.1,50.2,926
2018-06-29,48.2,43.1,48.2,47.5,2748
2018-07-02,49.6,45.6,48.2,48.2,2694
2018-07-03,52.0,48.1,52.0,48.1,858
2018-07-04,52.2,50.2,51.6,52.2,1643
2018-07-05,51.8,47.6,49.3,51.8,1550
2018-07-06,50.8,48.9,50.6,49.4,1741
2018-07-09,50.0,48.9,49.9,49.2,644
2018-07-10,53.2,50.2,52.2,50.8,3144
2018-07-11,52.8,51.0,51.0,52.8,1778
2018-07-12,53.2,50.2,52.2,51.4,1203
2018-07-13,55.0,50.0,55.0,51.4,3219
2018-07-16,55.0,51.2,52.8,55.0,559
2018-07-17,54.0,51.6,54.0,52.8,752
2018-07-18,53.0,51.2,52.0,53.0,771
2018-07-19,52.6,50.2,51.8,51.2,3277
2018-07-20,50.8,50.0,50.0,50.4,4608
2018-07-23,50.0,49.1,50.0,50.0,1710
2018-07-24,50.0,50.0,50.0,50.0,25
2018-07-25,52.0,50.2,50.2,50.4,1453
2018-07-26,50.2,48.0,49.9,50.2,10496
2018-07-27,51.0,49.9,50.6,49.9,1443
2018-07-30,51.2,50.0,51.0,50.4,2407
2018-07-31,50.2,50.0,50.0,50.2,1001
2018-08-01,50.6,49.1,50.4,49.1,258
2018-08-02,50.4,49.7,50.4,49.7,285
2018-08-03,50.4,50.0,50.4,50.4,787
2018-08-06,52.2,49.1,49.1,50.4,2189
2018-08-07,49.9,48.4,49.0,49.1,2975
2018-08-08,49.0,46.9,48.7,49.0,3293
2018-08-09,56.2,47.2,54.2,47.8,13193
2018-08-10,60.0,54.4,60.0,55.6,52703
2018-08-13,70.4,57.8,65.2,59.8,33009
2018-08-14,66.6,58.8,65.6,64.8,16963
2018-08-15,66.2,60.2,60.8,65.6,12826
2018-08-16,61.4,58.2,59.8,61.0,2035
2018-08-17,59.4,55.2,57.0,59.4,17391
2018-08-20,52.8,46.7,47.5,52.8,92996
2018-08-21,51.0,47.6,50.4,48.0,14442
2018-08-22,51.0,48.0,49.4,51.0,6611
2018-08-23,49.6,47.0,48.5,49.6,5870
2018-08-24,48.5,46.5,47.5,48.5,10579
2018-08-27,52.4,46.5,50.8,47.5,16052
2018-08-28,52.0,48.9,50.2,51.0,3591
2018-08-29,55.0,49.1,54.8,50.4,5245
2018-08-30,54.8,50.8,51.6,54.8,4297
2018-08-31,52.2,48.9,51.8,52.2,4197
2018-09-03,54.0,52.0,52.0,52.0,4782
2018-09-04,52.8,49.0,51.8,52.2,3543
2018-09-05,52.8,50.4,51.8,51.0,7197
2018-09-06,54.0,51.2,52.0,51.2,1945
2018-09-07,56.0,50.0,53.4,52.2,6803
2018-09-10,57.2,53.6,56.6,53.6,12746
2018-09-11,57.0,55.0,55.0,56.6,3715
2018-09-12,61.0,56.0,58.8,56.0,11210
2018-09-13,59.0,52.2,56.4,59.0,6211
2018-09-14,57.2,55.0,55.8,55.0,1486
2018-09-17,55.8,53.0,53.0,55.8,8339
2018-09-18,53.8,51.6,52.0,53.2,4449
2018-09-19,54.0,52.2,54.0,52.8,1665
2018-09-20,54.0,51.2,51.2,54.0,3042
2018-09-21,53.0,50.4,50.8,53.0,2404
2018-09-24,52.0,50.8,52.0,50.8,1241
2018-09-25,54.6,52.0,54.0,52.0,1115
2018-09-26,54.6,53.0,53.0,54.6,4887
2018-09-27,54.0,52.2,54.0,53.0,3064
2018-09-28,54.8,53.0,53.4,54.8,3933
2018-10-01,54.0,52.2,53.6,53.8,3022
2018-10-02,54.4,52.2,54.4,54.0,3546
