Date,Highest price,Lowest price,Closing price,Opening price,Volatility
2018-06-05,10.95,10.8,10.8,10.95,1911
2018-06-06,11.1,10.8,10.8,10.9,9310
2018-06-07,10.95,10.7,10.75,10.85,2365
2018-06-08,10.95,10.7,10.7,10.95,6036
2018-06-11,10.9,10.5,10.85,10.9,8660
2018-06-12,10.8,10.4,10.6,10.8,46538
2018-06-13,10.85,10.6,10.7,10.6,3514
2018-06-14,11.2,10.7,11.15,10.9,6995
2018-06-15,11.25,11.05,11.25,11.1,96156
2018-06-18,11.3,11.0,11.15,11.25,3578
2018-06-19,11.15,11.05,11.15,11.15,2199
2018-06-20,11.8,11.45,11.55,11.45,1341
2018-06-21,11.7,11.5,11.5,11.55,1702
2018-06-25,11.7,11.45,11.5,11.5,3930
2018-06-26,11.75,11.6,11.7,11.75,1425
2018-06-27,11.7,11.55,11.55,11.55,6304
2018-06-28,11.75,11.55,11.7,11.65,8954
2018-06-29,11.8,11.7,11.8,11.7,2188
2018-07-02,11.8,11.45,11.6,11.8,2679
2018-07-03,11.7,11.5,11.65,11.55,906
2018-07-04,11.65,11.2,11.6,11.65,1473
2018-07-05,11.5,11.0,11.4,11.5,1371
2018-07-06,11.45,11.05,11.45,11.45,728
2018-07-09,11.5,11.2,11.5,11.2,1116
2018-07-10,11.8,11.25,11.8,11.6,1136
2018-07-11,12.0,11.4,12.0,11.9,3985
2018-07-12,12.0,11.55,11.8,12.0,567
2018-07-13,12.5,12.0,12.2,12.05,937
2018-07-16,12.7,11.9,12.6,12.1,2573
2018-07-17,12.65,12.5,12.6,12.65,839
2018-07-18,12.6,12.0,12.4,12.6,953
2018-07-19,12.4,12.35,12.4,12.4,200
2018-07-20,12.35,12.1,12.2,12.35,269
2018-07-23,12.45,11.9,12.0,12.1,2211
2018-07-24,12.4,12.0,12.2,12.0,711
2018-07-25,12.2,12.15,12.15,12.2,50
2018-07-26,12.0,11.9,11.95,12.0,894
2018-07-27,12.4,11.85,11.85,11.85,637
2018-07-30,12.35,11.9,12.2,11.95,2578
2018-07-31,12.2,12.0,12.1,12.2,708
2018-08-01,12.25,11.9,12.1,12.1,1003
2018-08-02,12.1,11.8,11.8,12.1,1795
2018-08-03,11.85,11.7,11.7,11.75,3523
2018-08-06,12.5,11.7,12.5,11.8,5632
2018-08-07,12.4,11.5,12.4,11.75,16677
2018-08-08,12.4,11.8,11.9,12.4,7129
2018-08-09,12.0,11.9,11.9,11.9,2933
2018-08-10,12.0,11.6,11.75,12.0,4940
2018-08-13,11.75,11.05,11.05,11.7,5612
2018-08-14,11.15,10.9,10.9,11.05,3263
2018-08-15,10.9,10.15,10.3,10.85,3660
2018-08-16,10.65,10.3,10.5,10.3,51914
2018-08-17,10.8,10.45,10.75,10.8,720
