Date,High,Low,Close,Open,Volume
2020-01-02,65.65,64.45,64.65,65.35,548006
2020-01-03,65.1,64.0,64.55,64.7,449914
2020-01-07,66.7,65.1,65.55,65.2,837003
2020-01-08,65.85,64.1,65.55,65.6,401795
2020-01-09,67.65,65.6,67.35,66.2,542358
2020-01-10,68.2,66.7,66.75,67.75,315438
2020-01-13,71.0,68.75,69.65,69.75,1054883
2020-01-14,70.55,68.55,70.35,70.0,634920
2020-01-15,71.35,69.85,70.8,70.9,494318
2020-01-16,71.5,70.4,71.3,70.85,389314
2020-01-17,73.2,71.1,72.8,71.45,625572
2020-01-20,73.9,72.9,73.6,72.9,401310
2020-01-21,73.9,72.45,73.0,73.6,335546
2020-01-22,73.3,71.9,72.45,73.0,440057
2020-01-23,72.9,71.55,71.9,72.9,322106
2020-01-24,73.15,72.0,72.7,72.0,276510
2020-01-27,72.4,71.35,72.0,72.35,621858
2020-01-28,73.05,71.55,72.65,72.0,378133
2020-01-29,73.2,72.45,73.15,72.8,267297
2020-01-30,73.0,71.9,72.8,73.0,378966
2020-01-31,73.85,72.75,73.1,72.9,347190
2020-02-03,74.1,72.75,74.0,73.1,341769
2020-02-04,75.75,74.05,75.1,74.05,506681
2020-02-05,75.8,74.45,75.1,75.1,437299
2020-02-06,75.95,75.15,75.55,75.85,248767
2020-02-07,75.65,74.0,74.1,75.6,303101
2020-02-10,74.6,73.3,73.85,74.3,311563
2020-02-11,75.8,73.85,75.55,73.85,571467
2020-02-12,75.95,75.05,75.75,75.55,543412
2020-02-13,75.75,73.65,74.35,75.75,785336
2020-02-14,75.0,74.15,75.0,74.4,250188
2020-02-17,77.0,74.25,75.7,74.6,558608
2020-02-18,76.25,74.65,75.75,75.7,308047
2020-02-19,77.15,75.75,77.05,75.75,284157
2020-02-20,77.5,76.65,76.75,77.15,416988
2020-02-21,78.0,75.95,78.0,76.75,449980
2020-02-24,76.05,74.05,74.1,75.9,762807
2020-02-25,75.0,72.95,73.25,74.05,531111
2020-02-26,73.1,68.75,72.5,72.0,758899
2020-02-27,71.75,68.35,69.3,71.75,546840
2020-02-28,68.2,65.5,66.95,66.4,1021237
2020-03-02,70.55,68.05,70.5,68.3,1040001
2020-03-03,72.7,71.05,71.15,72.0,509336
2020-03-04,73.0,69.9,72.15,71.15,626390
2020-03-05,73.5,69.5,70.55,73.25,477508
2020-03-06,69.3,67.45,68.4,68.95,520527
2020-03-09,66.65,62.3,66.3,63.95,774999
2020-03-10,68.1,63.8,64.25,66.3,557351
2020-03-11,65.45,59.8,60.75,64.25,1154399
2020-03-12,58.05,52.4,52.7,55.4,1362686
2020-03-13,59.0,50.55,52.85,53.2,1199730
2020-03-16,50.45,47.3,48.78,50.0,1221953
2020-03-17,50.5,43.14,47.58,49.36,915074
2020-03-18,46.72,43.84,45.9,46.52,754571
2020-03-19,46.06,41.34,42.74,45.6,836476
2020-03-20,47.3,42.94,44.14,44.7,859817
2020-03-23,43.7,41.68,41.96,42.18,945907
2020-03-24,47.92,42.82,47.92,44.0,934863
2020-03-25,51.05,45.58,48.22,50.0,684997
2020-03-26,50.7,46.78,50.7,48.0,500531
2020-03-27,52.0,50.0,50.7,50.8,588425
2020-03-30,53.15,49.84,52.0,51.7,512987
2020-03-31,55.65,52.3,54.1,52.95,624823
2020-04-01,56.45,53.0,55.5,53.75,583735
2020-04-02,55.7,52.35,52.85,54.7,629196
2020-04-03,54.95,52.7,54.3,52.9,307595
2020-04-06,56.85,55.2,55.75,55.7,290899
2020-04-07,59.85,57.1,58.5,57.1,620797
2020-04-08,56.0,50.35,52.35,53.5,1925808
2020-04-09,55.75,52.6,55.45,53.6,616682
2020-04-14,58.0,54.25,54.25,57.0,840864
2020-04-15,55.0,49.98,49.98,54.25,991598
2020-04-16,51.95,49.96,50.9,50.45,645891
2020-04-17,53.8,52.4,53.4,52.5,504444
2020-04-20,55.1,53.45,54.85,53.6,550224
2020-04-21,54.2,50.7,50.8,54.2,1049013
2020-04-22,53.35,50.65,53.25,51.6,576129
2020-04-23,54.2,52.35,53.55,53.35,372347
2020-04-24,53.65,52.1,52.1,52.95,260925
2020-04-27,53.95,52.4,53.1,52.5,320734
2020-04-28,53.75,52.5,53.25,53.2,282329
2020-04-29,54.95,53.0,54.0,53.0,449431
2020-04-30,54.95,53.7,53.7,54.05,243658
2020-05-04,53.9,51.05,52.9,52.0,555458
2020-05-05,54.4,53.0,53.55,53.6,360333
2020-05-06,54.45,52.4,52.5,53.5,306475
2020-05-07,54.5,52.1,53.4,52.1,389805
2020-05-08,55.0,53.4,53.5,53.4,246983
2020-05-11,54.65,53.55,53.9,53.7,245347
2020-05-12,56.2,53.75,54.95,53.9,332252
2020-05-13,55.0,51.5,52.0,54.95,396431
2020-05-14,51.45,49.42,50.35,51.0,386066
2020-05-15,51.5,50.15,50.65,50.45,242406
2020-05-18,52.8,51.0,52.2,51.0,267792
2020-05-19,53.8,52.05,53.3,52.15,423666
2020-05-20,54.8,52.95,53.6,53.3,210472
2020-05-22,54.6,53.0,54.2,53.6,176588
2020-05-25,56.7,54.2,55.9,54.2,265108
2020-05-26,56.75,54.2,54.55,56.2,375752
2020-05-27,56.3,54.05,56.0,54.6,236769
2020-05-28,56.4,54.35,55.0,56.0,235050
2020-05-29,54.95,52.95,54.75,54.95,371273
2020-06-01,55.4,53.5,53.95,54.8,313738
2020-06-02,54.9,53.15,53.15,53.95,395294
2020-06-03,55.85,53.15,55.2,53.15,447270
2020-06-04,55.1,53.7,54.3,55.1,254564
2020-06-05,54.3,51.6,52.3,53.0,994108
2020-06-08,53.45,51.9,52.0,52.3,424546
2020-06-09,52.55,50.2,51.55,52.1,518768
2020-06-10,52.0,50.1,50.1,51.55,357779
2020-06-11,50.05,48.52,48.56,50.05,478383
2020-06-12,50.85,47.7,49.8,48.16,758019
2020-06-15,52.2,49.14,51.5,49.7,385462
2020-06-16,52.75,50.5,50.6,52.75,486069
2020-06-17,51.6,50.2,50.7,50.6,192143
2020-06-18,51.95,50.25,51.45,50.3,419011
2020-06-22,51.35,49.74,50.45,50.0,229085
2020-06-23,51.05,50.2,50.6,50.35,304397
2020-06-24,51.45,50.3,50.5,50.6,180148
2020-06-25,51.3,50.5,50.9,50.5,388353
2020-06-26,58.4,51.8,56.75,51.8,1806719
2020-06-29,58.05,55.5,56.7,57.1,540185
2020-06-30,57.65,55.4,55.7,57.0,337005
2020-07-01,56.95,54.8,56.3,55.7,393812
2020-07-02,58.15,56.05,57.2,56.95,546013
2020-07-03,57.85,56.4,57.35,57.5,229501
2020-07-06,58.05,56.6,57.0,57.75,261215
2020-07-07,57.4,55.85,57.2,57.0,187825
2020-07-08,57.05,55.7,55.75,56.3,166975
2020-07-09,56.65,55.7,56.1,55.8,182116
2020-07-10,56.35,55.2,56.2,56.05,159939
